# Created by WEAP: 5/6/2021 11:59:31 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_CEN_NF San Jo (84,940 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (6,638 ha),  2000 - 3000 m (53,721 ha),  3000 - 4000 m (24,580 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 183.1, 205.8, 228.6, -4.992, -8.005, -10.2
1950, 2, 120.9, 120.5, 123.7, 1.063, -1.852, -3.952
1950, 3, 92.86, 99.27, 104.5, 1.028, -1.608, -3.619
1950, 4, 89.22, 96.81, 105.3, 5.251, 2.677, 0.7927
1950, 5, 26.29, 29.69, 31.36, 7.841, 5.218, 3.309
1950, 6, 0.539, 1.344, 1.57, 11.52, 8.894, 6.988
1950, 7, 15.96, 29.97, 39.58, 16.99, 14.31, 12.36
1950, 8, 1.264, 2.698, 3.595, 16.31, 13.55, 11.56
1950, 9, 22.06, 31.08, 37.91, 11.76, 8.983, 7.002
1950, 10, 85.69, 91.85, 100.1, 9.082, 6.328, 4.35
1950, 11, 396.8, 477.3, 536.9, 5.098, 2.26, 0.09541
1950, 12, 313, 347.9, 374.4, 2.691, -0.3582, -2.614
1951, 1, 130.1, 146, 151.6, -1.105, -4.012, -6.225
1951, 2, 109.1, 106, 108.2, -0.6269, -3.326, -5.396
1951, 3, 59.69, 61.62, 61.16, 1.172, -1.296, -3.244
1951, 4, 120.2, 120.9, 129.5, 4.719, 2.325, 0.4711
1951, 5, 29.3, 30.91, 33.75, 7.978, 5.635, 3.843
1951, 6, 14.27, 22.63, 28.66, 12.66, 10.18, 8.403
1951, 7, 0.7195, 3.801, 6.898, 16.47, 14.01, 12.33
1951, 8, 0.5242, 2.601, 4.394, 15.34, 12.79, 11.03
1951, 9, 0.7169, 3.338, 5.396, 14.82, 12.05, 10.09
1951, 10, 50.92, 60.71, 67.15, 7.289, 4.424, 2.393
1951, 11, 129.4, 155.6, 171.9, 2.741, -0.2005, -2.375
1951, 12, 407.3, 434.8, 479.1, -3.168, -6.162, -8.352
1952, 1, 329.1, 369, 428.1, -4.089, -7.296, -9.752
1952, 2, 121, 116.2, 118.2, -1.5, -4.49, -6.709
