# Created by WEAP: 5/6/2021 11:59:33 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Upr Middle Frk American (8,516 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (501 ha),  2000 - 3000 m (8,014 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 427.4, 538.8, -6.195, -6.793
1950, 2, 108.6, 142.8, -2.008, -2.608
1950, 3, 199.3, 275.1, -2.26, -2.58
1950, 4, 117.2, 165.7, 2.256, 1.739
1950, 5, 93.36, 125.9, 5.622, 5.066
1950, 6, 33.93, 38.76, 9.292, 8.646
1950, 7, 0.2001, 1.836, 15.19, 14.51
1950, 8, 0.9967, 1.752, 14.11, 13.58
1950, 9, 23.35, 37.68, 9.95, 9.375
1950, 10, 174.3, 205.1, 6.426, 6.327
1950, 11, 458.3, 572.6, 2.353, 2.186
1950, 12, 356.4, 447.6, 0.2427, 0.01279
1951, 1, 217.5, 273.1, -4.025, -4.302
1951, 2, 125.9, 162.2, -2.941, -3.013
1951, 3, 62.67, 97.14, -1.55, -1.743
1951, 4, 110.4, 127.6, 3.826, 3.165
1951, 5, 95.57, 122.6, 5.941, 5.464
1951, 6, 1.733, 2.184, 11.06, 10.48
1951, 7, 0, 0, 14.43, 14.1
1951, 8, 2.807, 4.678, 13.26, 12.65
1951, 9, 4.981, 3.862, 11.81, 11.52
1951, 10, 132.1, 160.2, 4.082, 3.875
1951, 11, 181.4, 237.1, 0.2702, -0.1831
1951, 12, 485.8, 561.8, -4.82, -5.172
1952, 1, 459.8, 552.3, -6.665, -7.301
1952, 2, 201.2, 253.5, -4.253, -4.25
1952, 3, 326.9, 396.4, -4.815, -5.242
1952, 4, 61.44, 78.83, 2.448, 2.222
1952, 5, 17.55, 26.23, 6.574, 6.542
1952, 6, 20.9, 27.38, 8.089, 7.756
1952, 7, 35.37, 33.5, 14.47, 14.07
1952, 8, 2.106, 2.908, 13.44, 13.16
1952, 9, 18.43, 29.95, 10.77, 10.54
1952, 10, 2.09, 2.069, 8.329, 8.224
1952, 11, 99.26, 116.2, -1.325, -1.639
1952, 12, 348.7, 432, -3.776, -3.955
1953, 1, 237.2, 285.5, -1.608, -1.345
1953, 2, 17.36, 27.85, -2.603, -2.694
1953, 3, 113.8, 163.4, -1.284, -1.475
1953, 4, 167.6, 194.8, 1.378, 0.9545
1953, 5, 154, 226, 2.212, 1.807
1953, 6, 30.21, 43.73, 7.469, 7.113
1953, 7, 2.873, 2.928, 14.76, 14.68
1953, 8, 21.34, 30.52, 12.51, 12.33
1953, 9, 2.759, 2.791, 12.09, 11.85
1953, 10, 30.45, 47.89, 4.985, 4.806
1953, 11, 68.08, 108, 1.283, 1.005
1953, 12, 69.34, 94.12, -2.368, -2.445
1954, 1, 179.8, 233.7, -3.145, -3.296
1954, 2, 177.7, 229.3, -1.787, -1.189
1954, 3, 202.3, 303.3, -2.775, -3.184
1954, 4, 62.76, 75.41, 4.257, 3.916
1954, 5, 1.975, 11.68, 8.542, 8.28
1954, 6, 21.9, 41.31, 9.324, 8.988
1954, 7, 0.2534, 1.482, 15.05, 14.85
1954, 8, 0.602, 0.3225, 12.13, 12.06
1954, 9, 1.53, 0.1335, 9.924, 9.738
1954, 10, 0.04599, 0, 6.176, 5.85
1954, 11, 107, 141.4, 2.225, 1.489
1954, 12, 244.6, 324.9, -3.72, -4.09
1955, 1, 128.9, 193.5, -6.477, -7.137
1955, 2, 93.38, 141.7, -4.866, -5.012
1955, 3, 62.48, 70.73, -2.246, -2.605
1955, 4, 129.5, 165.1, -0.6151, -1.319
1955, 5, 54.37, 82.55, 5.661, 4.815
1955, 6, 6.418, 10.64, 10.13, 9.478
1955, 7, 5.117, 6.496, 12.85, 12.43
1955, 8, 0.3081, 2.829, 15.21, 14.95
1955, 9, 16.49, 19.23, 11.07, 10.72
1955, 10, 10.65, 13.44, 6.886, 6.75
1955, 11, 151.8, 181.4, 0.1385, -0.2059
1955, 12, 944, 1157, -2.501, -2.944
1956, 1, 420, 503.8, -2.84, -3.394
1956, 2, 214.9, 233, -6.104, -6.346
1956, 3, 58.69, 54.03, -1.482, -1.913
1956, 4, 71.59, 94.91, 1.766, 1.167
1956, 5, 153.3, 226.1, 5.919, 5.305
1956, 6, 5.084, 7.175, 10.3, 9.866
1956, 7, 10.12, 10.89, 13.75, 13.26
1956, 8, 3.621, 6.775, 12.46, 12.1
1956, 9, 22.6, 32.07, 11.29, 11
1956, 10, 187.9, 212.6, 4.004, 3.543
1956, 11, 0.9471, 3.055, -0.1778, -0.09565
1956, 12, 73.19, 94.59, -2.601, -2.339
1957, 1, 170.7, 198.8, -6.595, -6.99
1957, 2, 209.4, 243.8, -1.457, -1.527
1957, 3, 161, 207.8, -0.1513, -0.7515
1957, 4, 86.55, 92.71, 2.978, 2.287
1957, 5, 164.2, 200, 5.076, 4.421
1957, 6, 0.02, 0.03734, 11.65, 11.32
1957, 7, 8.979, 8.733, 13.81, 13.57
1957, 8, 0, 0, 12.6, 12.42
1957, 9, 16.81, 15.23, 11.34, 11.11
1957, 10, 86.5, 90.31, 3.852, 3.405
1957, 11, 102.2, 128.2, -1.01, -1.151
1957, 12, 238.8, 258.1, -1.907, -1.828
1958, 1, 185.7, 216.8, -3.366, -3.232
1958, 2, 318.3, 380.4, -1.354, -1.704
1958, 3, 267.9, 321.1, -3.792, -4.286
1958, 4, 223, 256.8, 0.1424, -0.29
1958, 5, 27.77, 40.13, 7.391, 6.958
1958, 6, 36, 45.51, 9.607, 9.079
1958, 7, 22.46, 30.2, 13.54, 13.11
1958, 8, 22.2, 28.62, 15.61, 15.16
1958, 9, 26.94, 38.78, 11.01, 10.77
1958, 10, 8.813, 8.093, 7.427, 7.225
1958, 11, 53.53, 77.93, 0.8451, 0.326
1958, 12, 57.28, 69.89, 0.9159, 0.5678
1959, 1, 235.9, 265.8, -1.391, -2.049
1959, 2, 284.5, 332.7, -3.93, -4.442
1959, 3, 42.73, 57.45, 0.6992, 0.1327
1959, 4, 31, 31.04, 4.627, 3.863
1959, 5, 95.54, 120, 4.289, 3.683
1959, 6, 0.646, 0.4209, 11.48, 11.35
1959, 7, 0.09667, 0.1351, 16.25, 16.03
1959, 8, 7.255, 12.59, 13.7, 13.56
1959, 9, 72.8, 84.78, 9.364, 8.87
