# Created by WEAP: 5/6/2021 11:59:38 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CO_NW_Upr Blue (91,639 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (15,587 ha),  3000 - 4000 m (74,807 ha),  4000 - 5000 m (1,246 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 90.48, 108.5, 100.1, -9.866, -11.41, -12.16
1950, 2, 60.13, 85.83, 86.61, -8.713, -9.786, -10.17
1950, 3, 69.85, 97.04, 102.3, -6.616, -8.249, -9.13
1950, 4, 118.8, 147.6, 144, -0.6016, -2.481, -3.533
1950, 5, 57.04, 68.79, 69.05, 1.918, 0.3249, -0.4004
1950, 6, 18.23, 18.52, 19.13, 7.909, 6.62, 6.169
1950, 7, 21.46, 26.49, 29.11, 9.389, 8.078, 7.597
1950, 8, 16.23, 19.05, 21.27, 8.137, 7.02, 6.718
1950, 9, 39.31, 46.62, 50.17, 6.293, 4.721, 4.065
1950, 10, 11.2, 12.06, 11.04, 4.557, 3.193, 2.745
1950, 11, 117.7, 136.7, 121.7, -3.284, -5.079, -5.898
1950, 12, 111, 143.7, 137.3, -7.607, -8.854, -9.275
1951, 1, 98.45, 128.4, 123.8, -10.87, -12.47, -13.16
1951, 2, 101, 134, 126, -9.136, -10.67, -11.33
1951, 3, 43.74, 56.3, 55.8, -7.968, -9.456, -10.09
1951, 4, 130.2, 175.8, 178.4, -1.859, -3.869, -4.903
1951, 5, 64.37, 79.01, 81.55, 3.759, 1.841, 0.8631
1951, 6, 48.56, 51.93, 54.6, 5.858, 4.276, 3.585
1951, 7, 46.86, 54.59, 56.43, 11.61, 10.18, 9.634
1951, 8, 34.35, 36.38, 39.55, 9.733, 8.406, 7.941
1951, 9, 29.82, 32.93, 34.01, 6.707, 5.175, 4.539
1951, 10, 41.22, 49.13, 49.95, 1.678, -0.1723, -0.9989
1951, 11, 74.06, 97.22, 95.61, -7.334, -8.686, -9.168
1951, 12, 198.5, 233.1, 207.1, -9.964, -11.92, -12.91
1952, 1, 74, 99.85, 97.08, -11.38, -12.53, -12.82
1952, 2, 55.8, 68.32, 59.73, -11.07, -12.37, -12.81
1952, 3, 76.05, 107.2, 113.6, -9.498, -11.09, -11.77
1952, 4, 61.88, 88.56, 94.21, -0.4064, -2.287, -3.204
1952, 5, 50.3, 65.08, 69.75, 4.086, 2.248, 1.34
1952, 6, 9.508, 10.81, 11.66, 9.825, 8.359, 7.774
1952, 7, 51.64, 55.94, 55.16, 10.81, 9.508, 9.073
1952, 8, 74.71, 75.67, 75.86, 10.08, 8.633, 8.057
1952, 9, 19.54, 24.36, 26.21, 7.636, 6.309, 5.836
1952, 10, 1.823, 2.422, 2.605, 3.341, 1.945, 1.418
1952, 11, 60.09, 78.41, 78.69, -7.718, -9.042, -9.511
1952, 12, 54.22, 60.74, 52.11, -10.73, -11.53, -11.62
1953, 1, 73.37, 81.63, 69.03, -5.949, -7.65, -8.543
1953, 2, 52.97, 67.52, 63.39, -9.925, -11.24, -11.74
1953, 3, 65.33, 77.74, 74.84, -4.598, -6.134, -6.839
1953, 4, 109.9, 131.3, 121.5, -3.05, -4.805, -5.662
1953, 5, 86.82, 101.5, 100, 1.762, 0.09024, -0.7061
1953, 6, 36.84, 36.97, 37.01, 9.263, 7.796, 7.173
1953, 7, 71.06, 82.4, 85.75, 12.25, 10.71, 10.05
1953, 8, 31.28, 30.48, 29.36, 10.3, 8.905, 8.346
1953, 9, 8.989, 11.67, 13.39, 8.14, 6.79, 6.294
1953, 10, 37.15, 38.69, 34.68, 2.772, 1.171, 0.4442
1953, 11, 59.31, 72.42, 68.37, -2.787, -4.238, -4.865
1953, 12, 49.82, 62.44, 60.69, -9.965, -11.38, -12.02
1954, 1, 22.77, 29.77, 29.61, -6.124, -7.587, -8.202
1954, 2, 34.78, 45.06, 41.99, -4.666, -5.965, -6.475
1954, 3, 57.89, 67.42, 61.45, -6.323, -7.953, -8.725
1954, 4, 35.8, 47.9, 49.39, 1.558, -0.01798, -0.7742
1954, 5, 56.52, 65.75, 64.58, 5.068, 3.56, 2.901
1954, 6, 18.1, 21.22, 23.72, 8.683, 7.735, 7.487
1954, 7, 49.04, 56.63, 58.87, 12.22, 11.1, 10.72
1954, 8, 19.85, 24, 27.4, 10.92, 9.71, 9.299
1954, 9, 71.03, 78.76, 80.44, 8.517, 7.153, 6.636
1954, 10, 48.46, 57.19, 58.04, 3.342, 1.918, 1.33
1954, 11, 42.1, 48.53, 42.46, -2.195, -3.449, -3.898
1954, 12, 45.71, 50.99, 43.69, -9.315, -9.947, -9.915
1955, 1, 33.4, 44.62, 43.84, -11.72, -12.55, -12.67
1955, 2, 54.58, 71.67, 67.34, -12.84, -13.75, -13.92
1955, 3, 84.66, 95.74, 86.9, -7.401, -8.615, -9.065
1955, 4, 29.59, 33.44, 28.33, -2.758, -4.013, -4.534
1955, 5, 79.41, 88.04, 83.78, 4.003, 2.322, 1.509
1955, 6, 19.91, 22.46, 24.5, 7.104, 5.798, 5.29
1955, 7, 66.64, 74.23, 76.62, 11.48, 10.3, 9.894
1955, 8, 107.1, 110.1, 112.8, 11.2, 9.895, 9.403
1955, 9, 9.467, 11.58, 13.42, 7.57, 6.472, 6.179
1955, 10, 57.51, 62.33, 59.25, 1.943, 0.8153, 0.4765
1955, 11, 90.16, 106.1, 94.85, -5.873, -7.243, -7.82
1955, 12, 45.18, 55.05, 51.17, -6.351, -7.792, -8.405
1956, 1, 99.92, 117.6, 104.1, -6.899, -8.261, -8.79
1956, 2, 76.03, 95.36, 86.24, -12.43, -13.29, -13.41
1956, 3, 54.33, 58.97, 51.53, -6.745, -7.817, -8.164
1956, 4, 127.8, 148.2, 133.8, -1.564, -3.191, -3.978
1956, 5, 33.29, 44.92, 49.44, 5.823, 4.298, 3.619
1956, 6, 20.3, 22.06, 23.58, 10.12, 8.971, 8.588
1956, 7, 47.29, 49.25, 47.94, 10.6, 9.349, 8.892
1956, 8, 27.09, 29.33, 31.36, 9.199, 7.95, 7.504
1956, 9, 6.568, 6.272, 5.669, 7.862, 6.876, 6.665
1956, 10, 33.72, 40.7, 42.13, 2.161, 0.9419, 0.5197
1956, 11, 37.46, 47.11, 44.67, -8.112, -9.22, -9.606
1956, 12, 47.85, 57.69, 53.29, -9.91, -10.48, -10.39
1957, 1, 108.1, 137.6, 133.6, -10.71, -12.07, -12.61
1957, 2, 61.02, 71.69, 60.51, -5.089, -6.552, -7.152
