# Created by WEAP: 5/6/2021 11:59:41 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CO_E_Arkansas (5,256,214 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,487,915 ha),  2000 - 3000 m (690,944 ha),  3000 - 4000 m (76,675 ha),  4000 - 5000 m (680 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 2.598, 12.81, 29.87, 34.27, -0.1749, -1.57, -5.748, -8.37
1950, 2, 4.837, 17.28, 28.8, 19.18, 3.856, 0.8865, -3.099, -5.427
1950, 3, 5.745, 9.692, 15.57, 12.25, 4.382, 1.118, -2.788, -4.777
1950, 4, 15.93, 27.96, 30.8, 26.62, 10.27, 6.593, 2.809, 0.8778
1950, 5, 22.33, 20.04, 18.62, 22.25, 14.32, 9.613, 5.359, 3.157
1950, 6, 30.19, 48.45, 51.21, 47.09, 21.32, 15.91, 11.53, 9.268
1950, 7, 87.01, 91.59, 98.61, 106.5, 21.56, 16.3, 11.98, 9.741
1950, 8, 45.52, 33.3, 31.73, 42.46, 20.77, 15.95, 11.54, 9.134
1950, 9, 56.27, 35.06, 29.86, 30.39, 16.92, 12.76, 8.751, 6.656
1950, 10, 2.727, 4.478, 6.539, 5.442, 15.45, 12.27, 8.091, 5.845
1950, 11, 4.296, 9.693, 13.11, 10.5, 4.375, 2.815, -0.9421, -2.741
1950, 12, 2.882, 5.302, 11.99, 14.08, 2.234, 0.528, -3.581, -5.65
1951, 1, 14.03, 22.58, 36.63, 30.99, -2.151, -4.013, -7.659, -9.32
1951, 2, 4.841, 12.61, 19.72, 19.06, 2.382, -0.5307, -4.936, -7.456
1951, 3, 12.07, 39.93, 60.74, 63.7, 3.24, 0.02786, -3.82, -6.103
1951, 4, 22.34, 40.4, 61.05, 56.95, 8.17, 4.199, 0.3545, -1.456
1951, 5, 64.6, 52.96, 51.5, 41.18, 15.39, 10.74, 6.496, 4.463
1951, 6, 78.81, 30.4, 30.97, 30.17, 17.73, 13.51, 9.526, 7.566
1951, 7, 42.02, 38.28, 28.47, 37.57, 23.87, 19.47, 15.48, 13.38
1951, 8, 56.31, 76.66, 83.45, 88.34, 22.86, 17.98, 13.8, 11.55
1951, 9, 16.8, 12.44, 15.33, 15.28, 17.46, 13.69, 9.862, 8.163
1951, 10, 20.96, 28.95, 40.29, 41.5, 10.94, 7.407, 3.517, 1.777
1951, 11, 16.76, 32.08, 60.07, 45.38, 3.049, 0.154, -4.145, -6.283
1951, 12, 4.826, 19.72, 50.09, 51.14, -0.3477, -2.594, -6.904, -9.118
1952, 1, 3.683, 13.78, 34.27, 42.57, 1.594, -1.098, -5.852, -8.618
1952, 2, 9.146, 32.83, 44.54, 40.94, 1.862, -2.027, -6.549, -9.189
1952, 3, 19.79, 28.84, 38.93, 40.78, 2.652, -1.21, -5.298, -7.549
1952, 4, 50.06, 78.54, 121.5, 124.4, 9.78, 5.552, 1.546, -0.6991
1952, 5, 37.12, 93.6, 134.6, 117.3, 15.09, 10.41, 6.348, 4.117
1952, 6, 5.459, 6.798, 5.907, 6.549, 23.97, 18.26, 13.72, 11.47
1952, 7, 20.49, 50.37, 68.77, 85.19, 23.92, 18.67, 14.42, 12
1952, 8, 59.21, 79.64, 92.67, 109.4, 23.53, 18.33, 13.87, 11.6
1952, 9, 29.02, 36.32, 46.88, 54.5, 18.96, 14.38, 10.24, 7.818
1952, 10, 0.4596, 0.929, 1.843, 2.109, 11.99, 9.013, 5.147, 3.379
1952, 11, 17.14, 31.47, 62.93, 58.68, 1.487, -1.697, -5.591, -6.976
1952, 12, 6.518, 11.29, 14, 11.41, -0.2289, -3.096, -8.002, -10.46
1953, 1, 4.177, 5.38, 5.683, 7.155, 3.998, 0.9923, -3.407, -5.894
1953, 2, 6.273, 17.59, 26.56, 28.77, 1.265, -2.311, -6.433, -8.823
1953, 3, 18.31, 17.73, 35.54, 40.29, 7.025, 3.063, -1.122, -3.378
1953, 4, 36.19, 34.38, 52.77, 58.75, 8.301, 4.194, 0.2792, -1.641
1953, 5, 55.57, 74.59, 95.41, 99.39, 13.5, 8.536, 4.258, 2.132
1953, 6, 20.37, 22.44, 22.7, 38.37, 23.09, 17.77, 13.23, 10.92
1953, 7, 48.24, 99.87, 126.1, 123, 24.47, 19.3, 14.78, 12.39
1953, 8, 64.35, 60.53, 65.38, 71.61, 22.44, 17.27, 12.97, 10.72
1953, 9, 3.409, 2.988, 2.808, 6.167, 19.58, 15.24, 10.77, 8.576
1953, 10, 14.87, 24.31, 38.55, 52.14, 12.86, 8.8, 4.436, 2.263
1953, 11, 24.16, 41.64, 69.01, 65.29, 5.905, 3.033, -1.638, -3.79
1953, 12, 16.9, 23.75, 33.41, 25.57, -0.9392, -3.639, -8.197, -10.63
1954, 1, 6.76, 8.12, 15.98, 18.27, 0.9459, -0.2699, -4.883, -7.092
1954, 2, 3.372, 14.56, 22.1, 20.08, 6.535, 3.271, -1.264, -3.708
1954, 3, 10.15, 25.63, 44.36, 49.54, 3.379, -0.02884, -4.044, -5.815
1954, 4, 8.062, 21.5, 37.18, 33.18, 13.17, 9.213, 4.919, 2.79
1954, 5, 45.57, 76.71, 115.6, 113.3, 14.57, 10.43, 6.403, 4.696
1954, 6, 14.06, 20.13, 18.79, 18.27, 22.66, 17.19, 12.8, 10.5
1954, 7, 53.85, 78.78, 99.06, 135.1, 25.54, 19.85, 15.38, 12.9
1954, 8, 57.29, 57.6, 60.59, 67.84, 23.01, 18.04, 13.65, 11.19
1954, 9, 9.189, 21.54, 30.88, 38.79, 20.53, 15.8, 11.32, 8.693
1954, 10, 30.84, 25.11, 34.57, 31.28, 11.97, 9.337, 5.396, 3.679
1954, 11, 3.927, 15.93, 23.04, 19.45, 6.619, 4.04, -0.2067, -2.242
1954, 12, 8.084, 14.81, 28.46, 17.16, 1.588, -0.7255, -5.421, -7.833
1955, 1, 2.314, 5.646, 12.84, 17.31, -1.038, -3.387, -7.797, -10.18
1955, 2, 7.144, 31.18, 57.85, 50.38, -1.785, -4.614, -8.997, -11.23
1955, 3, 5.899, 16.21, 22.19, 26.24, 4.348, 1.147, -2.898, -5.172
1955, 4, 16.53, 36.35, 57.37, 58.65, 10.89, 6.063, 1.706, -0.8626
1955, 5, 100.8, 211.6, 280.1, 251.4, 15.61, 10.48, 6.19, 3.736
1955, 6, 19.47, 17.57, 25.38, 22.99, 19.06, 14.18, 10.07, 7.897
1955, 7, 25.62, 43.78, 50.49, 66.9, 24.64, 18.83, 14.48, 11.94
1955, 8, 68.4, 93.59, 100.9, 123.4, 23.32, 17.88, 13.6, 11.21
1955, 9, 22.46, 21.21, 16.47, 15.39, 18.83, 14.7, 10.53, 8.338
1955, 10, 2.872, 8.448, 8.571, 7.874, 12.97, 9.593, 5.265, 3.299
1955, 11, 4.702, 16.58, 32.5, 25.71, 3.159, 1.187, -2.85, -4.522
1955, 12, 2.898, 4.943, 12.84, 12.67, 1.493, 0.3412, -4.165, -6.131
1956, 1, 11.69, 32.53, 67.79, 62.99, 0.3236, -0.8191, -5.078, -6.775
1956, 2, 6.713, 19.63, 34.28, 28.33, -1.874, -4.178, -8.548, -10.53
1956, 3, 11.94, 23.52, 41.88, 35.26, 4.96, 1.74, -2.488, -4.392
1956, 4, 18.71, 44.04, 82.88, 85.74, 8.977, 5.005, 0.8048, -1.217
1956, 5, 29.98, 57.29, 87.06, 81.36, 17.32, 12.88, 8.441, 6.317
1956, 6, 23.29, 23.93, 21.5, 23.62, 23.8, 18.12, 13.61, 11.43
1956, 7, 57.56, 63.82, 71.88, 76.12, 23.32, 18.1, 13.66, 11.54
1956, 8, 43.51, 51.64, 51.6, 59.35, 21.99, 16.81, 12.35, 10.03
1956, 9, 1.262, 3.049, 5.066, 9.134, 19.76, 15.69, 11.45, 9.274
1956, 10, 3.473, 8.305, 16.03, 21.03, 13.59, 9.581, 5.077, 2.928
1956, 11, 13.38, 33.2, 63.16, 53.12, 2.824, -0.2163, -4.709, -6.935
1956, 12, 3.867, 14.4, 27.19, 25.32, 1.662, -0.9807, -5.871, -8.174
1957, 1, 4.327, 25.13, 60.24, 63.69, -2.464, -3.2, -7.339, -9.135
1957, 2, 3.381, 9.721, 22.59, 31.36, 4.711, 2.902, -1.431, -3.551
1957, 3, 21.11, 32.17, 49.49, 53.03, 4.291, 1.275, -2.747, -4.986
1957, 4, 96.42, 137.7, 200.7, 201.6, 7.374, 3.236, -0.6939, -2.47
1957, 5, 95.82, 158.1, 236.1, 220.2, 13.37, 8.38, 4.177, 2.027
1957, 6, 44.99, 48.03, 54.74, 52.46, 19.54, 14.95, 10.77, 8.578
1957, 7, 62.93, 124.3, 162.2, 180.8, 24.13, 18.47, 14.07, 11.82
1957, 8, 43.78, 86.14, 126.4, 137.2, 22.94, 17.61, 13.2, 10.79
1957, 9, 19.9, 17.66, 22.08, 21.48, 16.97, 12.87, 8.65, 6.474
1957, 10, 28.51, 46.56, 52.83, 64.04, 11.73, 8.11, 3.876, 1.84
1957, 11, 30.91, 76.47, 144.8, 122.9, 2.479, -1.596, -6.05, -8.004
1957, 12, 1.548, 2.622, 3.026, 5.255, 3.378, 0.3974, -4.61, -7.029
1958, 1, 9.022, 18.61, 33.99, 33.72, -0.3051, -2.854, -7.527, -9.759
1958, 2, 7.889, 11.86, 14.86, 18.33, 2.252, 0.2636, -4.07, -6.135
1958, 3, 26.49, 57.92, 96.22, 92.98, 0.3352, -2.404, -6.229, -7.901
1958, 4, 25.57, 61.23, 110.9, 112.2, 8.15, 3.867, -0.1639, -2.321
1958, 5, 84.87, 62.08, 67.18, 67.2, 17.38, 12.41, 8.226, 6.055
1958, 6, 41.31, 44.78, 46.62, 48.19, 21.46, 16.68, 12.6, 10.39
1958, 7, 90.34, 68.74, 55.19, 60.5, 22.46, 17.8, 13.77, 11.7
1958, 8, 42.47, 74.32, 89.93, 82.08, 23.49, 18.49, 14.35, 12.22
1958, 9, 19.93, 20.69, 24.36, 26.27, 19.41, 14.78, 10.61, 8.322
1958, 10, 14.99, 26.46, 40.31, 37.11, 12.13, 8.652, 4.462, 2.168
1958, 11, 10.65, 18.05, 40.32, 41.37, 4.911, 3.084, -0.9038, -2.91
1958, 12, 6.586, 18.89, 26.63, 22.02, 1.534, 0.6611, -2.762, -4.738
1959, 1, 17.11, 31.26, 60.41, 36.5, -2.116, -2.926, -6.386, -8.47
1959, 2, 8.919, 20.5, 35.11, 29.12, 0.4472, -1.904, -5.783, -7.649
