# Created by WEAP: 5/6/2021 11:59:36 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Pit River (273,146 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (160,042 ha),  1000 - 2000 m (103,687 ha),  2000 - 3000 m (8,514 ha),  3000 - 4000 m (888 ha),  4000 - 5000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, pr[mm/m]:Elevation 4000 to 5000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m, tas[C]:Elevation 4000 to 5000 m

1950, 1, 484.4, 419.1, 376, 474.3, 474.3, -1.015, -4.521, -7.971, -12.61, -12.61
1950, 2, 176.4, 185, 184.2, 249.8, 249.8, 5.037, 1.413, -2.18, -6.921, -6.921
1950, 3, 152.2, 138.6, 142.8, 198.9, 198.9, 6.676, 2.727, -0.9312, -5.609, -5.609
1950, 4, 89.97, 116.1, 122.1, 164.8, 164.8, 11.79, 7.329, 3.37, -1.366, -1.366
1950, 5, 40.99, 27.68, 23.32, 34.63, 34.63, 16.22, 11.85, 7.898, 3.146, 3.146
1950, 6, 24.31, 37.69, 51.88, 84.48, 84.48, 18.59, 14.28, 10.47, 5.788, 5.788
1950, 7, 0.0003349, 0.07361, 0.2635, 0, 0, 24.74, 20.26, 16.31, 11.59, 11.59
1950, 8, 0.6192, 0.4033, 0.6325, 2.7, 2.7, 23.54, 19.17, 15.33, 10.63, 10.63
1950, 9, 20.91, 34.83, 51.51, 76.55, 76.55, 19.47, 14.92, 10.98, 6.277, 6.277
1950, 10, 484, 499.6, 582.5, 789.3, 789.3, 12.95, 8.853, 5.117, 0.4277, 0.4277
1950, 11, 193.7, 179.9, 182.2, 257.4, 257.4, 9.549, 5.583, 1.777, -2.989, -2.989
