# Created by WEAP: 5/6/2021 11:59:25 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: WA_W_Lwr Lewis (36,689 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (34,563 ha),  1000 - 2000 m (2,126 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m

1950, 1, 376.4, 525.3, -6.075, -9.459
1950, 2, 279.7, 377.5, 0.3515, -3.188
1950, 3, 279.7, 415.2, 3.015, 0.2649
1950, 4, 152.1, 189.7, 5.699, 3.038
1950, 5, 41.79, 65.83, 9.233, 7.041
1950, 6, 41.95, 35.49, 13.33, 11.39
1950, 7, 44.24, 42.18, 15.25, 13.81
1950, 8, 41.85, 41.93, 16.6, 14.79
1950, 9, 61.21, 86.32, 13.16, 11.36
1950, 10, 327.1, 473.4, 7.635, 5.533
1950, 11, 358.2, 473, 4.557, 1.546
1950, 12, 327.5, 403.2, 4.474, 1.231
1951, 1, 346.7, 494.9, 0.6437, -2.22
1951, 2, 214, 293.1, 2.498, -0.4241
1951, 3, 223, 276.8, 2.093, -0.2451
1951, 4, 36.82, 60.48, 8.275, 6.092
1951, 5, 84.55, 113.3, 10.15, 8.298
1951, 6, 12.34, 24.34, 13.88, 12.04
1951, 7, 13.23, 17.09, 15.72, 14.2
1951, 8, 15.66, 21.88, 14.99, 13.42
1951, 9, 123.5, 140.9, 14.05, 12.74
1951, 10, 311.9, 415.6, 8.147, 6.107
1951, 11, 268, 383.2, 4.195, 1.521
1951, 12, 268.6, 353.2, -0.1635, -2.714
1952, 1, 215.8, 324.5, -1.265, -4.414
1952, 2, 151.8, 218.6, 2.076, -0.7533
1952, 3, 202.9, 258.4, 3.33, 0.7967
1952, 4, 73.53, 92.86, 7.806, 5.914
1952, 5, 42.72, 64.88, 10.44, 8.617
1952, 6, 79.4, 92.95, 11.89, 10.15
1952, 7, 1.122, 0.8341, 16.64, 14.84
1952, 8, 24.93, 21.68, 16.4, 14.49
1952, 9, 19.74, 18.83, 15.14, 13.07
1952, 10, 33.94, 30.81, 11.6, 10
1952, 11, 64.86, 69.99, 1.908, -0.4549
1952, 12, 327.9, 427, 1.859, -1.334
1953, 1, 582.7, 910.1, 5.008, 2.537
