# Created by WEAP: 5/6/2021 11:59:42 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: AZ_APS_N_Middle Colorado (10,710,774 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (449,544 ha),  1000 - 2000 m (7,021,538 ha),  2000 - 3000 m (3,233,077 ha),  3000 - 4000 m (6,615 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, pr[mm/m]:Elevation 3000 to 4000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m, tas[C]:Elevation 3000 to 4000 m

1950, 1, 4.411, 11.13, 19.58, 43.54, 5.378, 0.3136, -1.929, -6.664
1950, 2, 9.982, 23.08, 25.91, 42.71, 10.95, 4.834, 1.87, -2.706
1950, 3, 10.46, 14.31, 17.32, 39.93, 13.15, 7.023, 3.83, -0.7305
1950, 4, 0.4958, 1.091, 1.915, 5.157, 18.9, 12.4, 8.841, 3.573
1950, 5, 0.888, 3.745, 4.068, 7.515, 21.01, 14.62, 11.07, 4.979
1950, 6, 0.1348, 4.188, 6.441, 9.256, 25.59, 20.13, 16.8, 10.6
1950, 7, 32.34, 54.11, 70.7, 139.3, 29.14, 23.06, 19.36, 13.47
1950, 8, 14.32, 24.75, 21.42, 32.77, 28.63, 21.72, 18.13, 11.84
1950, 9, 13.2, 21.38, 27.03, 38.89, 24.16, 17.61, 14.03, 8.396
1950, 10, 0.1312, 0.4451, 2.113, 3.456, 21.44, 15.9, 12.82, 7.283
1950, 11, 1.208, 3.043, 6.104, 8.598, 13.84, 7.508, 4.986, 0.8263
1950, 12, 0.4023, 1.496, 2.868, 3.68, 11.16, 4.394, 1.72, -1.873
1951, 1, 16.44, 20.04, 30.33, 58.12, 7.084, 0.9784, -1.823, -5.662
1951, 2, 4.642, 11.56, 17.61, 40.19, 8.825, 2.904, 0.08366, -4.257
1951, 3, 7.393, 11.18, 15.28, 30.5, 11.93, 5.568, 2.594, -2.32
1951, 4, 28.14, 28.23, 31.15, 70.57, 16.8, 10.55, 7.108, 1.969
1951, 5, 13.81, 16.23, 13.12, 16.45, 21.21, 15.21, 11.89, 6.01
1951, 6, 0.05481, 0.03875, 0.0801, 0.101, 25.51, 19.19, 15.46, 9.363
1951, 7, 25.96, 26.89, 40.09, 95.8, 30.18, 24.75, 21.15, 15.14
1951, 8, 44.85, 74.28, 81.98, 131.5, 27.74, 22.05, 18.69, 12.85
1951, 9, 23.02, 19.05, 19, 22.36, 25.9, 19.49, 15.89, 10.1
1951, 10, 16.29, 25.77, 31.16, 62.53, 17.76, 12.06, 9.063, 4.08
