# Created by WEAP: 5/6/2021 11:59:30 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\gridded_obs.monthly.1950-1999.nc
# Raster grid: 222 rows x 462 columns, (53 N, 125 W) - (25 N, 67 W), 0.125 degree resolution (approximately 14 km)
# Timespan: Monthly, January 1950 - December 1999 (600 data points)
# Variables extracted:
#      pr: monthly_sum_pr[mm/m]
#      tas: monthly_avg_Tavg[C]

# WEAP Catchment: CA_PGE_N_Trinity (185,534 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (44,576 ha),  1000 - 2000 m (119,967 ha),  2000 - 3000 m (20,991 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, pr[mm/m]:Elevation 0 to 1000 m, pr[mm/m]:Elevation 1000 to 2000 m, pr[mm/m]:Elevation 2000 to 3000 m, tas[C]:Elevation 0 to 1000 m, tas[C]:Elevation 1000 to 2000 m, tas[C]:Elevation 2000 to 3000 m

1950, 1, 455.8, 377.6, 326.5, -3.45, -6.54, -8.119
1950, 2, 182.8, 150.9, 121.3, 2.653, -0.5828, -2.25
1950, 3, 186.2, 165.6, 174.9, 4.406, 1.154, -0.4125
1950, 4, 86.84, 84.4, 64.17, 9.329, 5.736, 3.986
1950, 5, 32.69, 25.46, 21.84, 13.76, 10.16, 8.335
1950, 6, 24.8, 28.86, 29.47, 16.55, 12.88, 11.19
1950, 7, 0.3876, 1.836, 2.271, 22.21, 18.62, 16.8
1950, 8, 0.9983, 1.023, 0.9463, 20.91, 17.51, 15.71
1950, 9, 27.54, 33.51, 37.33, 16.85, 13.34, 11.57
1950, 10, 437.2, 407.9, 371, 10.89, 7.415, 5.848
1950, 11, 171.8, 158.7, 145.7, 7.106, 3.761, 2.043
1950, 12, 289.2, 238.8, 206.8, 3.88, 0.878, -0.6673
1951, 1, 315.6, 267.6, 244.5, 0.6966, -2.705, -4.221
1951, 2, 260, 218, 189.5, 2.812, -0.4709, -1.978
1951, 3, 66.53, 56.53, 52.01, 5.18, 1.607, -0.06989
