# Created by WEAP: 4/12/2021 4:42:42 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Stevenson Creek (9,038 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (69 ha),  1000 - 2000 m (6,775 ha),  2000 - 3000 m (2,195 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 6.417, 4.474, 2.497, 100.6, 106.2, 115.6
2006, 2, 7.552, 5.497, 3.309, 88.05, 86.69, 93.86
2006, 3, 6.905, 4.615, 2.098, 178.3, 194.4, 222.5
2006, 4, 12.39, 10.12, 7.608, 75.28, 81.44, 89.53
2006, 5, 14.76, 12.2, 9.319, 65.8, 77.7, 88.04
2006, 6, 23.06, 20.61, 17.8, 0, 0.009254, 0.002036
2006, 7, 24.82, 22.33, 19.51, 0.08658, 0.09405, 0.1111
2006, 8, 23.39, 21.01, 18.27, 1.843, 3.252, 4.147
2006, 9, 22.19, 19.82, 17.09, 28.38, 40.43, 44.2
2006, 10, 16.63, 14.22, 11.53, 18.49, 20.02, 21.52
2006, 11, 10.16, 8.047, 5.786, 76.99, 83.45, 89.96
2006, 12, 5.906, 3.82, 1.74, 86.14, 92.58, 101
2007, 1, 6.685, 4.718, 2.733, 98.21, 94.32, 90.96
2007, 2, 4.201, 2.143, -0.2173, 468.3, 491.7, 544.7
2007, 3, 6.703, 4.507, 2.039, 78.38, 90.73, 104.1
2007, 4, 12.93, 10.67, 8.173, 27.56, 29.66, 32.27
2007, 5, 17, 14.67, 12.04, 21.61, 24.11, 25.37
2007, 6, 21.06, 18.61, 15.82, 2.16, 3.179, 3.887
2007, 7, 24.81, 22.26, 19.4, 0.9368, 1.657, 2.104
2007, 8, 24.99, 22.54, 19.76, 0.6725, 1.285, 1.945
