# Created by WEAP: 4/12/2021 4:43:08 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_E_Middle Bear (78,864 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (52,730 ha),  2000 - 3000 m (26,134 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -2.201, -4.884, 75.89, 152.3
2006, 2, -0.9013, -3.499, 43.96, 76.9
2006, 3, 5.934, 3.266, 33.7, 50.5
2006, 4, 9.702, 7.056, 34.93, 50.29
2006, 5, 15.13, 12.53, 85.22, 109.4
2006, 6, 17.29, 14.7, 10.98, 12.92
2006, 7, 21.14, 18.57, 20.93, 21.81
2006, 8, 21.55, 18.94, 4.327, 4.945
2006, 9, 15.7, 13.15, 14.94, 15.95
2006, 10, 10.14, 7.51, 17.23, 24.96
2006, 11, 0.5335, -2.077, 28.33, 45.34
2006, 12, -3.305, -5.871, 38.88, 67.82
2007, 1, -4.844, -7.409, 25.38, 50.31
2007, 2, -2.786, -5.367, 132.5, 216.9
2007, 3, -0.9398, -3.529, 30.62, 50.08
2007, 4, 8.022, 5.336, 23.01, 33.29
2007, 5, 11.66, 9.079, 61.82, 84.22
2007, 6, 19.61, 17.02, 26.31, 31.79
2007, 7, 22.45, 19.88, 26.45, 28.77
2007, 8, 22.07, 19.49, 2.634, 2.952
2007, 9, 17.67, 15.07, 17.17, 24.45
2007, 10, 9.783, 7.15, 32.32, 45.5
2007, 11, -1.119, -3.774, 77, 133
2007, 12, -6.794, -9.425, 82.25, 148.6
2008, 1, -7.975, -10.66, 28.57, 55.17
2008, 2, -7.615, -10.19, 35.43, 61.94
2008, 3, -1.455, -4.075, 26.55, 42.94
2008, 4, 6.746, 4.107, 32.31, 45.06
2008, 5, 13.39, 10.82, 34.93, 47.01
2008, 6, 18.8, 16.25, 31.72, 38.21
2008, 7, 22.16, 19.6, 10.54, 10.75
2008, 8, 21.46, 18.89, 2.469, 2.885
2008, 9, 15.69, 13.03, 49.51, 56.54
2008, 10, 8.73, 6.121, 57.34, 71.72
2008, 11, 2.6, 0.04134, 25.22, 40.77
2008, 12, -2.667, -5.275, 23.59, 43.34
2009, 1, -6.901, -9.61, 23.86, 44.47
2009, 2, -1.164, -3.72, 22.16, 37.51
2009, 3, 1.709, -0.9031, 54.96, 91.86
2009, 4, 8.137, 5.548, 46.58, 66.07
2009, 5, 16.43, 13.81, 16.24, 22.39
2009, 6, 19.22, 16.7, 22.67, 26.99
2009, 7, 23.05, 20.47, 5.906, 7.425
2009, 8, 21.92, 19.34, 11.89, 12.44
2009, 9, 13.32, 10.74, 53.5, 57.6
2009, 10, 8.941, 6.338, 44.09, 54.11
2009, 11, -0.1727, -2.8, 59.02, 94.15
2009, 12, -2.955, -5.592, 31.84, 58.63
2010, 1, -2.321, -4.945, 70.24, 131.2
2010, 2, -2.534, -5.148, 106.1, 185.3
2010, 3, -2.026, -4.672, 15.56, 24.77
2010, 4, 3.142, 0.593, 56.95, 82.84
2010, 5, 12.72, 10.18, 30.12, 40.84
2010, 6, 20.26, 17.66, 10.38, 11.3
2010, 7, 21.66, 19.06, 8.858, 11.57
2010, 8, 20.66, 18.04, 21.29, 22.51
2010, 9, 15.99, 13.39, 55.39, 62.79
2010, 10, 9.475, 6.875, 61.7, 84.88
2010, 11, -1.225, -3.829, 55.01, 88.69
2010, 12, -3.709, -6.343, 23.32, 46.42
2011, 1, -3.079, -5.779, 39.72, 74.41
2011, 2, -0.08905, -2.796, 32.81, 57.42
2011, 3, 5.68, 3.037, 49.54, 77.34
2011, 4, 12.36, 9.7, 23.18, 33.18
2011, 5, 12.04, 9.5, 68.33, 86.3
2011, 6, 19.44, 16.86, 30.52, 37
2011, 7, 22.21, 19.65, 33.74, 39.98
2011, 8, 22.25, 19.65, 21.58, 23.44
2011, 9, 15.58, 13, 111.7, 119.9
2011, 10, 7.06, 4.479, 58.14, 78.96
2011, 11, -3.172, -5.783, 43.48, 67.43
2011, 12, -0.771, -3.366, 48.34, 89.86
2012, 1, -4.974, -7.582, 64.57, 121.1
2012, 2, -5.681, -8.334, 58.7, 105.9
2012, 3, 0.7235, -1.884, 72.67, 119.3
2012, 4, 6.234, 3.586, 63.52, 90.89
2012, 5, 11.75, 9.16, 82.15, 111.6
2012, 6, 15.85, 13.26, 48.66, 54.11
2012, 7, 21.97, 19.38, 27.87, 33.35
2012, 8, 22.72, 20.15, 22.96, 23.8
2012, 9, 16.48, 13.89, 1.221, 1.37
2012, 10, 7.484, 4.874, 81.24, 102.1
2012, 11, 2.979, 0.402, 30.38, 48.33
2012, 12, -6.282, -8.974, 65.39, 124.6
2013, 1, -1.447, -4.095, 17.51, 31.97
2013, 2, -2.404, -4.995, 19.56, 34.13
2013, 3, 7.069, 4.409, 42.27, 68.88
2013, 4, 8.471, 5.776, 76.93, 106.9
2013, 5, 12.73, 10.14, 56.08, 75.41
2013, 6, 17.03, 14.43, 11.8, 14.36
2013, 7, 22.46, 19.89, 26.25, 25.7
2013, 8, 21.34, 18.75, 61.26, 65.62
2013, 9, 14.36, 11.77, 18.6, 24.47
2013, 10, 11.82, 9.2, 33.38, 49.73
2013, 11, 6.094, 3.463, 62, 98.56
2013, 12, -3.501, -6.14, 19.74, 37.04
2014, 1, -0.5784, -3.18, 53.28, 101.3
2014, 2, -0.04854, -2.694, 22.48, 38.26
2014, 3, 5.817, 3.148, 73.6, 121
2014, 4, 7.791, 5.143, 58.09, 81.97
2014, 5, 10.56, 7.951, 149.3, 199.4
2014, 6, 17.92, 15.33, 19.25, 22.25
2014, 7, 21.58, 19.03, 20.73, 23.62
2014, 8, 21.64, 19.07, 1.394, 1.601
2014, 9, 14.5, 11.86, 47.46, 51.14
2014, 10, 11.18, 8.57, 38.43, 49.66
2014, 11, 2.42, -0.1863, 44.58, 77.52
2014, 12, -1.15, -3.752, 22.23, 42.97
2015, 1, -4.644, -7.273, 38.73, 70.24
2015, 2, -5.454, -8.039, 15.61, 25.86
2015, 3, -2.379, -5.029, 41.11, 68.69
2015, 4, 7.939, 5.27, 28.74, 36.66
2015, 5, 11.18, 8.625, 80.41, 103.4
2015, 6, 16.37, 13.78, 49.62, 58.9
2015, 7, 22.38, 19.84, 18.78, 20.03
2015, 8, 21.27, 18.66, 1.338, 1.719
2015, 9, 15.34, 12.77, 23.34, 25.4
2015, 10, 10.98, 8.39, 5.326, 8.881
2015, 11, 4.72, 2.159, 32.25, 51.45
2015, 12, -4.773, -7.393, 41.35, 73.18
2016, 1, -1.347, -3.996, 64.2, 126.2
2016, 2, -5.427, -8.096, 34.92, 59.09
2016, 3, 0.562, -2.09, 37.84, 60.32
2016, 4, 7.177, 4.538, 71.99, 109.7
2016, 5, 15.48, 12.92, 41.59, 55.17
2016, 6, 18.62, 16.03, 18.2, 22.29
2016, 7, 23.53, 20.91, 38.97, 43.36
2016, 8, 22.15, 19.53, 3.155, 3.62
2016, 9, 13.91, 11.34, 26.71, 29.01
2016, 10, 8.989, 6.347, 29.83, 42.08
2016, 11, 0.5641, -2.036, 62.7, 102.3
2016, 12, -9.867, -12.47, 13.96, 25.01
2017, 1, -5.621, -8.237, 77.87, 149.2
2017, 2, -2.744, -5.325, 31.21, 54.96
2017, 3, 2.161, -0.5417, 11.46, 19.45
2017, 4, 6.48, 3.848, 34.72, 50.21
2017, 5, 11.34, 8.819, 59.8, 80.86
2017, 6, 16.08, 13.49, 55.91, 64.66
2017, 7, 20.26, 17.73, 70.17, 75.74
2017, 8, 21.56, 18.99, 4.734, 5.365
2017, 9, 17.65, 15.05, 27.79, 29.71
2017, 10, 11.41, 8.806, 34.85, 43.6
2017, 11, 3.593, 1.038, 14.09, 25.15
2017, 12, -0.3325, -3.025, 74.62, 141.9
2018, 1, -4.006, -6.583, 24.15, 45.19
2018, 2, -0.9719, -3.619, 20.14, 36.67
2018, 3, 2.577, -0.0427, 54.97, 88.54
2018, 4, 7.349, 4.71, 33.88, 47.41
2018, 5, 10.87, 8.296, 88.79, 116.7
2018, 6, 18.41, 15.82, 24.57, 27.95
2018, 7, 22.01, 19.45, 0.9296, 1.238
2018, 8, 21.72, 19.15, 3.021, 3.829
2018, 9, 14.24, 11.67, 15.12, 18.58
2018, 10, 8.121, 5.53, 2.435, 4.541
2018, 11, 2.93, 0.3419, 41.82, 61.48
2018, 12, -0.6544, -3.327, 72.31, 136.7
2019, 1, -0.09946, -2.705, 38.47, 71.48
2019, 2, 4.98, 2.395, 5.578, 11.16
