# Created by WEAP: 4/12/2021 4:43:14 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upr SF Yuba (31,606 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (11,064 ha),  2000 - 3000 m (20,541 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 1.286, -1.459, 549, 511.7
2006, 2, 2.126, -0.2729, 352.8, 346.7
2006, 3, 3.296, 0.9009, 157.4, 146.2
2006, 4, 7.264, 5.372, 161.9, 150.5
2006, 5, 10.95, 8.933, 198.6, 179.1
2006, 6, 18.78, 16.37, 1.198, 5.977
2006, 7, 19.56, 17.68, 3.354, 16.04
2006, 8, 17.98, 15.62, 0.5003, 2.231
2006, 9, 17.35, 14.93, 3.381, 2.931
2006, 10, 11.56, 9.365, 100.8, 96.72
2006, 11, 4.871, 2.437, 186.9, 177.7
2006, 12, 1.281, -1.747, 233.8, 216.7
2007, 1, 1.383, -1.333, 290, 259
2007, 2, -0.8261, -2.776, 733.8, 757
2007, 3, 3.616, 0.8614, 87.96, 83.37
2007, 4, 8.398, 6.152, 78.64, 76.29
2007, 5, 12.87, 10.43, 77.77, 83.33
2007, 6, 16.05, 13.8, 41.28, 36.32
2007, 7, 20.18, 18.34, 5.952, 11.07
2007, 8, 19.98, 17.94, 15.49, 12.82
2007, 9, 16.06, 13.71, 13.98, 16.84
2007, 10, 12.11, 9.617, 61.79, 57.52
2007, 11, 4.947, 2.645, 258.2, 211.3
2007, 12, -0.4804, -2.954, 980.9, 997.1
2008, 1, 1.52, -1.852, 214.4, 213.3
2008, 2, 1.224, -1.77, 233.1, 210.6
2008, 3, 3.617, 1.294, 162, 141.2
2008, 4, 10.16, 7.542, 58.23, 59.19
2008, 5, 12.12, 9.791, 36.06, 35.3
2008, 6, 18.84, 16.73, 22.78, 31
2008, 7, 20.52, 18.28, 0, 0
2008, 8, 19.7, 17.64, 0.5295, 0.9533
2008, 9, 14.73, 12.38, 15.46, 17.45
2008, 10, 10.71, 8.135, 80.95, 70.36
2008, 11, 5.597, 2.804, 82.35, 79.02
2008, 12, 3.649, 0.5681, 93.44, 108.3
2009, 1, 1.594, -1.465, 88.98, 75.71
2009, 2, 2.728, 0.1615, 245.2, 218.1
2009, 3, 2.154, -0.2114, 223.3, 219.7
2009, 4, 4.838, 3.17, 310.9, 305.7
2009, 5, 9.291, 7.41, 219.5, 208.3
2009, 6, 14.73, 12.61, 30.39, 33.05
2009, 7, 20.94, 18.81, 0.946, 1.903
2009, 8, 18.07, 16.13, 2.333, 2.116
2009, 9, 15.37, 12.97, 0.9257, 1.063
2009, 10, 12.05, 9.3, 51.83, 43.81
2009, 11, 3.565, 1.117, 229.3, 201.9
2009, 12, 2.636, 0.5064, 650.9, 624.7
2010, 1, -0.8148, -3.39, 664.6, 662.5
2010, 2, -1.608, -3.513, 1009, 920.2
2010, 3, 4.453, 1.883, 77.07, 72.15
2010, 4, 4.629, 2.558, 125.1, 124.9
2010, 5, 12.43, 10.2, 25.33, 19.89
2010, 6, 18.56, 16.09, 2.251, 7.762
2010, 7, 18.81, 16.68, 0, 0
2010, 8, 17.01, 14.69, 30.4, 30.76
