# Created by WEAP: 4/12/2021 4:43:33 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Middle Lewis (30,704 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (27,536 ha),  1000 - 2000 m (3,123 ha),  2000 - 3000 m (45 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 1.141, -0.951, -4.091, 788.6, 765.5, 803.9
2006, 2, 4.531, 2.488, -0.8244, 417.2, 431.5, 452.9
2006, 3, 6.824, 4.827, 1.609, 208.2, 209.8, 254.5
2006, 4, 9.422, 7.639, 4.186, 219.1, 224.6, 292.6
2006, 5, 12.88, 11.16, 7.481, 50.05, 49.5, 70.12
2006, 6, 16.72, 14.94, 11.06, 109.8, 105.2, 141.7
2006, 7, 17.21, 15.56, 11.54, 25.87, 26.27, 33.93
2006, 8, 16.03, 14.37, 10.12, 21.65, 23.3, 36.1
2006, 9, 16.32, 14.43, 10.59, 13.13, 12.35, 16.86
2006, 10, 11.48, 9.528, 5.674, 234.6, 224.8, 258
2006, 11, 4.282, 2.173, -1.019, 550.7, 535.9, 599.3
2006, 12, 3.455, 1.197, -1.758, 524.8, 522.5, 585.9
2007, 1, 2.616, 0.435, -2.489, 764.4, 771.2, 795.2
2007, 2, 1.994, -0.1531, -3.085, 315.9, 329.9, 321.8
2007, 3, 5.584, 3.595, 0.3756, 159, 157.4, 174.2
2007, 4, 8.323, 6.402, 3.037, 147.4, 141.5, 180
2007, 5, 13.98, 12.23, 8.77, 100.1, 105.2, 128.3
2007, 6, 15.67, 13.92, 10.19, 127, 129.5, 186.9
2007, 7, 19.77, 18.01, 13.95, 1.536, 1.523, 1.071
2007, 8, 18.59, 16.88, 12.9, 4.89, 4.147, 6.965
2007, 9, 16.81, 14.86, 11.05, 20.62, 20.41, 30.31
2007, 10, 11.59, 9.52, 5.828, 125.6, 121.5, 139.5
2007, 11, 3.881, 1.753, -1.399, 477.7, 486.8, 523.1
2007, 12, 0.9975, -1.234, -4.299, 368.9, 369.6, 388.3
2008, 1, 0.03592, -2.194, -5.309, 237.3, 243.4, 236.1
2008, 2, 3.078, 0.993, -1.999, 512.2, 500.5, 526
2008, 3, 5.83, 3.769, 0.6621, 291.1, 292.9, 350.1
2008, 4, 10.81, 8.918, 5.487, 17.65, 17.97, 32.76
2008, 5, 10.55, 8.725, 5.005, 65.88, 68.3, 102.1
2008, 6, 19.82, 17.98, 14.05, 33.48, 34.73, 43.72
2008, 7, 19.03, 17.28, 13.18, 7.472, 6.503, 8.288
2008, 8, 18.22, 16.41, 12.59, 18.16, 20.1, 33.15
2008, 9, 14.96, 13.07, 9.325, 28.98, 28.1, 36.48
2008, 10, 11.43, 9.386, 5.737, 10.62, 10.1, 14.3
2008, 11, 6.335, 4.189, 0.892, 321.8, 323.9, 341
2008, 12, 3.97, 1.757, -1.266, 314.3, 308.3, 352
2009, 1, 4.114, 1.959, -0.8405, 264.2, 257, 288.9
2009, 2, 5.47, 3.431, 0.5107, 260.9, 256.6, 276
2009, 3, 4.028, 2.183, -0.9048, 305.9, 311, 359.7
2009, 4, 10.42, 8.457, 5.212, 262.8, 288.1, 322.9
2009, 5, 11.03, 9.284, 5.675, 208, 211.7, 279.4
2009, 6, 14.4, 12.79, 9.009, 176.4, 181.2, 266.9
2009, 7, 19.03, 17.35, 13.31, 14.24, 12.65, 16.09
2009, 8, 18.46, 16.79, 13.01, 72.04, 73.3, 102.5
2009, 9, 11.6, 9.844, 6.13, 328.3, 323.1, 390.2
2009, 10, 11.68, 9.756, 6.159, 206.4, 199.3, 232.3
2009, 11, 5.346, 3.276, -0.1368, 488.2, 484.4, 517.5
2009, 12, 3.422, 1.341, -1.805, 422, 425, 458.5
2010, 1, -1.172, -3.293, -6.225, 688.6, 682.4, 723.3
2010, 2, -2.672, -4.82, -7.518, 482.8, 496.5, 496.5
2010, 3, 6.495, 4.473, 1.407, 308.2, 313, 377.2
2010, 4, 6.084, 4.163, 0.7847, 362.2, 365.6, 495.7
2010, 5, 10.98, 9.217, 5.556, 156.9, 157.7, 197.6
2010, 6, 15.1, 13.36, 9.635, 39.68, 38.96, 53.73
2010, 7, 17.54, 15.86, 12.08, 9.817, 10.73, 17.71
2010, 8, 17.74, 16.03, 12.08, 187.8, 196.7, 223.6
2010, 9, 16.54, 14.69, 11.13, 115.1, 114.5, 90.88
2010, 10, 12.49, 10.49, 6.661, 215.3, 215, 237.8
2010, 11, 5.333, 3.292, -0.07669, 599, 619.6, 696.2
2010, 12, 1.829, -0.3562, -3.37, 465.8, 462.1, 516.9
2011, 1, 4.486, 2.312, -0.7891, 564.9, 558.7, 583.4
2011, 2, 5.003, 2.831, -0.2358, 159.7, 154.5, 182.7
2011, 3, 5.79, 3.795, 0.5184, 381.2, 368.7, 435.5
2011, 4, 11.38, 9.563, 6.106, 78.11, 80.66, 112.5
2011, 5, 11.39, 9.523, 6.205, 169.4, 183, 236.7
2011, 6, 16.33, 14.58, 10.81, 72.02, 71.82, 101.5
2011, 7, 18.38, 16.64, 12.62, 60.95, 60.78, 89.49
2011, 8, 19.41, 17.63, 13.57, 78.25, 83.67, 105.3
2011, 9, 16.56, 14.77, 10.97, 23.18, 25.19, 28.87
2011, 10, 8.099, 6.126, 2.413, 341.2, 339.4, 360.3
2011, 11, 3.953, 1.868, -1.324, 238.5, 232.5, 268.2
2011, 12, 4.722, 2.592, -0.367, 757.7, 756.9, 782.4
2012, 1, -1.252, -3.499, -6.161, 279.5, 282.2, 285.8
2012, 2, 2.079, -0.1191, -3.033, 417.3, 418, 426.1
2012, 3, 5.785, 3.732, 0.5592, 546.5, 560.2, 626.1
2012, 4, 7.678, 5.938, 2.755, 344.3, 355.6, 441.2
2012, 5, 11.81, 10.02, 6.39, 121.7, 113.5, 155.6
2012, 6, 15.47, 13.67, 10.06, 75.82, 77.98, 111
2012, 7, 18.32, 16.64, 12.72, 8.965, 9.921, 9.704
2012, 8, 20.36, 18.6, 14.41, 14.36, 12.9, 12.92
2012, 9, 15.37, 13.55, 9.542, 69.16, 69.69, 96.9
2012, 10, 8.794, 6.793, 3.301, 114, 114.7, 145.7
2012, 11, 6.264, 4.275, 1.069, 783.8, 798.5, 828.8
2012, 12, 3.056, 0.9376, -2.1, 348, 344.6, 404
2013, 1, 5.301, 3.115, 0.07331, 845.3, 847.1, 873.7
2013, 2, 5.669, 3.341, 0.5222, 226.7, 238.9, 278.5
2013, 3, 7.65, 5.577, 2.552, 303.1, 303.9, 363.3
2013, 4, 8.725, 6.894, 3.496, 242.4, 255.2, 298.7
2013, 5, 11.65, 9.856, 6.4, 336, 344.8, 454.1
2013, 6, 14.05, 12.42, 8.73, 87.27, 90.66, 136.6
2013, 7, 20.13, 18.39, 14.4, 16.83, 17.07, 24.85
2013, 8, 17.41, 15.66, 11.55, 20.23, 18.84, 22.76
2013, 9, 11.89, 10.1, 6.308, 205.6, 204.1, 247
2013, 10, 10.51, 8.584, 4.943, 272.2, 264.4, 315.9
2013, 11, 6.642, 4.586, 1.011, 516.7, 513, 540.1
2013, 12, 3.731, 1.307, -1.65, 495.5, 488.8, 553.5
2014, 1, 3.814, 1.76, -1.01, 687.7, 673.6, 707.3
2014, 2, 5.232, 3.057, 0.09967, 327.8, 328.2, 353.4
2014, 3, 5.97, 4.024, 0.9171, 471.2, 487.1, 583
2014, 4, 8.873, 7.029, 3.629, 225.2, 230.6, 321.2
2014, 5, 11.74, 10.04, 6.182, 172.8, 177.4, 251.8
2014, 6, 17.2, 15.45, 11.67, 22.63, 22.1, 28.81
2014, 7, 20.42, 18.61, 14.62, 6.849, 5.703, 9.487
2014, 8, 18.19, 16.43, 12.64, 10.53, 11.06, 19.4
2014, 9, 12.51, 10.63, 7.034, 378.2, 387.3, 440.4
2014, 10, 9.533, 7.734, 3.92, 147.7, 147.6, 198.9
2014, 11, 6.533, 4.281, 1.076, 463.4, 472.7, 516
2014, 12, 3.53, 1.287, -1.786, 225.7, 214.8, 235.6
