# Created by WEAP: 4/12/2021 4:43:36 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_N_CEN_Interior Coulee (1,197,238 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,197,238 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m

2006, 1, -1.236, 53.67
2006, 2, 3.786, 45.99
2006, 3, 9.437, 11.78
2006, 4, 13.37, 18.35
2006, 5, 17.18, 7.687
2006, 6, 21.56, 14.58
2006, 7, 23.07, 4.781
2006, 8, 22.26, 3.419
2006, 9, 18.68, 0.1345
2006, 10, 13.31, 12.55
2006, 11, 2.595, 51.02
2006, 12, 3.826, 27.17
2007, 1, -0.2209, 36.66
2007, 2, 1.708, 23.14
2007, 3, 8.541, 11.98
2007, 4, 11.31, 5.273
2007, 5, 19.46, 4.686
2007, 6, 22.17, 10.51
2007, 7, 24.73, 0.9124
2007, 8, 23.51, 0.8756
2007, 9, 19.74, 0.442
2007, 10, 12.86, 8.07
2007, 11, 0.08746, 43.84
2007, 12, -5.857, 27.85
2008, 1, -4.516, 11.55
2008, 2, 0.9835, 22.81
2008, 3, 3.69, 15.61
2008, 4, 14.11, 3.148
2008, 5, 15.5, 7.272
2008, 6, 26.3, 4.873
2008, 7, 24.2, 6.492
2008, 8, 22.87, 1.737
2008, 9, 18.52, 2.536
2008, 10, 12.49, 1.478
2008, 11, 5.666, 19.66
2008, 12, 1.933, 19.19
2009, 1, 2.499, 13.89
2009, 2, 8.586, 12.16
2009, 3, 7.643, 27.73
2009, 4, 14.01, 34.76
2009, 5, 16.73, 56.26
2009, 6, 20.94, 39.56
2009, 7, 24.54, 0.1539
2009, 8, 23.73, 3.845
2009, 9, 15.85, 19.18
2009, 10, 13.48, 6.132
2009, 11, 3.281, 40.09
2009, 12, 0.2289, 27.27
2010, 1, -5.23, 40.76
2010, 2, -4.888, 33.25
2010, 3, 8.877, 16.35
2010, 4, 9.451, 20.73
2010, 5, 15.43, 7.712
2010, 6, 20.62, 1.921
2010, 7, 23.4, 8.237
2010, 8, 21.73, 41.25
2010, 9, 20.4, 0.9302
2010, 10, 14.59, 10.77
2010, 11, 4.096, 38.79
2010, 12, -1.579, 33.39
2011, 1, 2.574, 30.93
2011, 2, 7.436, 3.629
2011, 3, 9.053, 41.61
2011, 4, 15.93, 11.68
2011, 5, 15.65, 22.81
2011, 6, 21.44, 20.64
2011, 7, 23.67, 12.3
2011, 8, 24.09, 5.464
2011, 9, 19.17, 0.9397
2011, 10, 10.49, 33.44
2011, 11, 0.5057, 29.73
2011, 12, 4.352, 49.24
2012, 1, -3.855, 22.17
2012, 2, -1.74, 20.85
2012, 3, 8.483, 40.76
2012, 4, 12.75, 23.03
2012, 5, 16.49, 6.128
2012, 6, 20.61, 20.66
2012, 7, 23.34, 1.11
2012, 8, 25.54, 0.2163
2012, 9, 18.63, 1.718
2012, 10, 12.3, 8.987
2012, 11, 6.01, 60.22
2012, 12, -0.8481, 15.19
2013, 1, 4.145, 45.83
2013, 2, 6.32, 13.47
2013, 3, 10.43, 25.19
2013, 4, 13.77, 26.28
2013, 5, 16.1, 35.45
2013, 6, 19.43, 8.93
2013, 7, 24.99, 3.769
2013, 8, 23.14, 0.1367
2013, 9, 16.61, 8.781
2013, 10, 13.94, 18.65
2013, 11, 5.644, 56.58
2013, 12, -0.3837, 44.05
2014, 1, 0.7093, 34.25
2014, 2, 5.905, 11.76
2014, 3, 9.5, 42.06
2014, 4, 12.91, 27.28
2014, 5, 15.91, 58.49
2014, 6, 22.38, 14.28
2014, 7, 23.78, 1.6
2014, 8, 23.75, 2.241
2014, 9, 17.36, 12.55
2014, 10, 13.35, 6.68
2014, 11, 4.384, 42.22
2014, 12, 1.383, 15.54
2015, 1, 2.502, 16.85
2015, 2, 5.252, 11.83
2015, 3, 9.625, 28.19
2015, 4, 10.78, 16.97
2015, 5, 15.45, 11.44
2015, 6, 21.04, 21.08
