# Created by WEAP: 4/12/2021 4:44:02 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_E_Arkansas (5,256,214 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,487,915 ha),  2000 - 3000 m (690,944 ha),  3000 - 4000 m (76,675 ha),  4000 - 5000 m (680 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 4.147, 0.646, -5.404, -8.383, 7.082, 18.36, 47.38, 49.72
2006, 2, 6.43, 3.165, -2.776, -5.566, 7.525, 11.92, 21.4, 30.25
2006, 3, 7.157, 3.132, -2.156, -4.865, 21.2, 35.62, 75.85, 83.91
2006, 4, 13.28, 9.851, 4.691, 1.97, 18.87, 19.54, 18.78, 24.91
2006, 5, 20.51, 15.86, 10.44, 7.636, 30.51, 34.68, 37.78, 43.63
2006, 6, 23.18, 19.03, 13.98, 11.21, 47.07, 48.74, 51.65, 59.92
2006, 7, 27.13, 21.83, 16.44, 13.58, 47.86, 52.03, 56.6, 57.64
2006, 8, 23.38, 18.64, 13.4, 10.53, 62.08, 107.3, 134.5, 113.5
2006, 9, 21.45, 16.9, 11.72, 9.311, 53.74, 64.7, 82.12, 61.33
2006, 10, 14.47, 10.94, 5.598, 3.078, 13.58, 24.9, 44.03, 38.68
2006, 11, 6.591, 3.819, -1.632, -4.291, 8.336, 20.43, 31.68, 30.55
2006, 12, 0.839, -1.632, -7.46, -10.25, 8.785, 26.36, 59.37, 66.57
2007, 1, 4.702, 1.367, -5.136, -8.62, 5.686, 10.41, 29, 31.73
2007, 2, 1.553, -1.992, -8.022, -10.6, 6.889, 24.71, 57.24, 60.62
2007, 3, 3.117, 0.2925, -4.84, -7.371, 24.54, 64.04, 146, 141
2007, 4, 11.3, 7.355, 2.012, -0.6974, 21.86, 43.96, 81.76, 83.77
2007, 5, 16.29, 11.72, 6.283, 3.63, 66.7, 96.16, 134.5, 128.8
2007, 6, 24.5, 18.21, 12.66, 9.799, 24.34, 42.6, 55.49, 48.65
2007, 7, 26.61, 20.47, 14.82, 11.83, 48.22, 83.29, 122.3, 128.6
2007, 8, 27.27, 20.89, 15.09, 12.34, 45.63, 65.22, 84.7, 92.26
2007, 9, 21.97, 17.34, 11.81, 9.283, 17.42, 36.43, 56.17, 62.08
2007, 10, 11.05, 7.528, 2.267, -0.2167, 14.9, 36.21, 61.95, 64.67
2007, 11, 6.29, 3.162, -2.53, -5.128, 13.8, 26.21, 48.14, 51.38
2007, 12, -2.392, -3.163, -8.493, -11.02, 12.62, 32.12, 90.29, 114.5
2008, 1, 1.456, -0.6848, -7.255, -10.77, 7.417, 21.71, 63.05, 70.38
2008, 2, -0.02786, -2.799, -8.456, -11.02, 18.36, 31.5, 64.12, 75.46
2008, 3, 5.255, 1.612, -3.794, -6.392, 25.1, 65.78, 120.8, 117.5
2008, 4, 9.724, 5.759, 0.3875, -2.18, 31.84, 74.09, 137.5, 125.9
2008, 5, 18.05, 12.75, 7.251, 4.684, 47.58, 40.45, 60.53, 65.34
2008, 6, 22.13, 16.76, 11.51, 8.605, 78.97, 77.49, 80.77, 71.27
2008, 7, 26.45, 20.73, 15.22, 12.31, 142.9, 161.5, 192.8, 152.1
2008, 8, 23.82, 18.53, 13.01, 10.29, 35.46, 61.09, 82.06, 54.58
2008, 9, 20.58, 14.73, 8.888, 6.342, 32.12, 51.77, 66.89, 82.69
2008, 10, 9.283, 6.281, 1.325, -0.9891, 34.69, 66.82, 121.3, 139.2
2008, 11, 5.997, 2.646, -3.152, -5.69, 22.11, 35.96, 66.8, 70.49
2008, 12, 3.026, 0.1781, -5.98, -9.033, 5.844, 15.34, 32.71, 45.64
2009, 1, 3.667, 0.6254, -5.724, -9.131, 1.651, 2.465, 4.689, 8.423
2009, 2, 2.602, 0.1234, -5.465, -8.046, 23.57, 31.98, 66.67, 67.47
2009, 3, 4.254, 0.7514, -4.688, -7.328, 25.93, 45.3, 83.55, 86.13
2009, 4, 11.74, 7.29, 1.815, -0.9944, 17.26, 49.92, 84.4, 81.66
2009, 5, 18.67, 13.39, 7.957, 5.388, 61.73, 57.83, 76.61, 84.94
2009, 6, 22.79, 18.24, 12.99, 10.27, 64.82, 39.43, 39.1, 40.06
2009, 7, 28.27, 22.43, 16.95, 14.05, 34.32, 82.45, 120.6, 138.1
2009, 8, 26.04, 20.11, 14.52, 11.66, 86.95, 143.9, 192.2, 171
2009, 9, 20.66, 15.31, 9.567, 7.01, 13.2, 23.61, 35.41, 30.98
2009, 10, 13.19, 9.572, 4.408, 2.024, 28.74, 63.19, 109.7, 104
2009, 11, 4.762, 2.03, -3.27, -5.798, 21.72, 40, 71.57, 73.69
2009, 12, 5.003, 2.172, -3.748, -6.73, 2.917, 7.212, 12.69, 16.46
2010, 1, 2.39, 0.07778, -5.799, -8.774, 7.829, 19.28, 45.18, 53.4
2010, 2, 0.9962, -0.8974, -6.356, -9.349, 16.64, 31.32, 58.24, 63.01
2010, 3, 4.776, 1.451, -3.748, -6.067, 24.95, 47.53, 111.1, 126.9
