# Created by WEAP: 4/12/2021 4:44:10 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_ACCESS1-0_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SCE_S_CoastalSLA (189,573 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (138,223 ha),  1000 - 2000 m (51,314 ha),  2000 - 3000 m (36 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 13.59, 10.2, 8.278, 35.12, 39.73, 42.12
2006, 2, 14.07, 10.84, 9.335, 55.5, 66.89, 82.01
2006, 3, 13.42, 9.412, 7.86, 329.5, 293.5, 312.6
2006, 4, 18.63, 15.78, 14.14, 12.81, 18.69, 13.08
2006, 5, 19.72, 17.07, 15.88, 14.03, 24.27, 49.04
2006, 6, 27.18, 25.89, 24.67, 0.4675, 0.03566, 0
2006, 7, 29.13, 27.72, 25.91, 2.919, 9.046, 5.522
2006, 8, 28.43, 26.37, 24.8, 3.336, 2.132, 3.39
2006, 9, 26.32, 24.2, 22.54, 55.24, 115.8, 148.6
2006, 10, 22.04, 19.5, 17.87, 1.416, 0.667, 0.3331
2006, 11, 16.1, 12.35, 10.8, 17.97, 16.86, 16.78
2006, 12, 13.35, 9.661, 8.146, 12.1, 11.34, 11.39
2007, 1, 13.02, 10.05, 8.493, 32.46, 34.3, 42.89
2007, 2, 11.84, 8.05, 6.527, 152.3, 143.7, 180.8
2007, 3, 14.07, 10.36, 8.697, 58.89, 54.94, 54.51
2007, 4, 19.56, 16.9, 15.28, 2.026, 3.835, 6.212
2007, 5, 22.31, 19.92, 18.85, 0.9203, 2.322, 4.037
2007, 6, 25.11, 23.64, 22.27, 11.56, 11.85, 15.74
2007, 7, 26.57, 25.28, 23.77, 1.137, 7.209, 13.48
2007, 8, 28.28, 26.79, 25.29, 3.816, 0.9761, 0.4923
2007, 9, 25.92, 23.89, 22.36, 2.139, 1.706, 1.402
2007, 10, 21.88, 19.31, 17.87, 2.684, 2.499, 0.8457
2007, 11, 17.21, 14, 12.62, 8.669, 10.13, 13.89
2007, 12, 11.29, 7.38, 5.97, 186.8, 199, 236.8
2008, 1, 11.25, 7.618, 6.292, 187.3, 170.6, 188.2
