# Created by WEAP: 12/14/2020 6:00:55 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_CCSM4_r6i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_NF American (90,315 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (30,062 ha),  1000 - 2000 m (47,725 ha),  2000 - 3000 m (12,527 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 8.076, 3.923, -0.193, 205, 281.5, 295.1
1950, 2, 10.18, 5.246, 1.307, 295.6, 372.7, 369.5
1950, 3, 11, 6.331, 2.223, 216.3, 274.3, 274.9
1950, 4, 17.56, 12.8, 8.274, 28.57, 42.46, 53.41
1950, 5, 15.71, 11.3, 7.808, 104.3, 133, 130.7
1950, 6, 19.56, 14.9, 11.42, 5.577, 12.14, 33.05
1950, 7, 25.63, 21.11, 17.35, 4.294, 8.305, 15.28
1950, 8, 22.89, 18.56, 14.5, 0.1437, 2.057, 5.656
1950, 9, 22.68, 18.16, 13.43, 0.07895, 0.7748, 2.85
1950, 10, 15.44, 10.99, 6.548, 116.2, 158.1, 162.2
1950, 11, 9.381, 4.982, 0.9516, 252.1, 327.7, 367.5
1950, 12, 9.229, 4.998, 0.1239, 153.3, 211.4, 223.8
1951, 1, 6.836, 2.531, -2.919, 192, 249.2, 235.9
1951, 2, 8.709, 3.964, 0.3483, 473.7, 632, 639.3
1951, 3, 9.549, 5.088, 0.9949, 335.1, 438.8, 458.1
1951, 4, 11.22, 6.695, 2.989, 118.1, 157, 184
1951, 5, 15.32, 10.65, 6.702, 31.84, 38.59, 33.18
1951, 6, 22.85, 18.27, 14.14, 0.2792, 3.198, 11.08
1951, 7, 25.6, 20.78, 16.42, 0.001344, 0.04162, 0.1809
1951, 8, 23.49, 19.09, 15.1, 0, 0, 0
1951, 9, 21.7, 17.04, 12.51, 0.867, 1.203, 1.107
1951, 10, 11.86, 7.361, 2.812, 84.26, 99.47, 88.47
1951, 11, 11.37, 7.179, 2.654, 63.69, 96.57, 116.4
1951, 12, 7.837, 3.454, -0.9454, 391.7, 543.1, 601.6
1952, 1, 6.826, 2.533, -1.646, 221.1, 298.8, 286.9
1952, 2, 6.635, 1.935, -2.785, 209, 272.3, 248.2
1952, 3, 9.555, 5.106, 0.6606, 84.19, 107.7, 90.55
1952, 4, 14.97, 10.41, 6.494, 163.1, 217.9, 207.7
1952, 5, 15.56, 11.04, 7.245, 49.25, 75.55, 92.89
1952, 6, 19.81, 15.07, 11.22, 1.897, 4.019, 9.836
1952, 7, 24.35, 19.48, 15.65, 2.33, 11.73, 30.84
1952, 8, 23.59, 19.16, 15.02, 0.01399, 0.2871, 1.244
1952, 9, 23.48, 18.87, 14.42, 5.228, 8.091, 7.481
1952, 10, 22.04, 17.5, 12.46, 13.91, 11.66, 8.866
1952, 11, 7.978, 3.687, -0.9522, 86.96, 109.9, 100.7
1952, 12, 7.633, 3.677, -1.583, 31.85, 35.35, 32.58
1953, 1, 5.755, 1.784, -4.192, 81.43, 88.05, 108.7
1953, 2, 10.05, 5.32, 0.1456, 168, 211.9, 202
1953, 3, 11.4, 6.666, 2.491, 103.4, 143.2, 153.5
1953, 4, 17.43, 12.81, 8.104, 11.21, 21.33, 29.76
1953, 5, 16.33, 11.8, 7.994, 113.4, 185.2, 211.7
1953, 6, 23.55, 18.69, 14.2, 0.4587, 1.079, 0.8138
1953, 7, 26.14, 21.43, 16.91, 5.078, 15.17, 20.04
1953, 8, 27.37, 22.67, 18.48, 2.086, 5.307, 7.1
1953, 9, 23.85, 19.43, 14.76, 2.35, 4.026, 16.53
1953, 10, 16.06, 12.1, 7.715, 70.04, 105.7, 131.1
1953, 11, 10.19, 5.895, 1.291, 98.17, 150.9, 163.1
1953, 12, 5.883, 1.458, -3.316, 248.7, 322.8, 342.2
1954, 1, 6.847, 2.499, -1.956, 191.8, 272.4, 231.2
1954, 2, 11.57, 7.34, 2.538, 75, 94.66, 85.19
