# Created by WEAP: 12/14/2020 6:01:06 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_CCSM4_r6i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Mid American (15,009 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (284 ha),  1000 - 2000 m (13,240 ha),  2000 - 3000 m (1,485 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 4.973, 2.786, 1.171, 233.3, 279.2, 299.9
1950, 2, 6.462, 4.072, 2.572, 308.4, 366.2, 387.7
1950, 3, 7.813, 5.184, 3.455, 257.3, 272.2, 274.5
1950, 4, 14.04, 11.35, 9.543, 32.33, 41.08, 52.02
1950, 5, 12.07, 10.17, 9.021, 133, 130.8, 128.8
1950, 6, 16.13, 13.89, 12.61, 12.49, 13.95, 20.18
1950, 7, 22.54, 20.1, 18.58, 9.32, 8.801, 11.36
1950, 8, 20.03, 17.56, 15.86, 0.3348, 1.755, 3.738
1950, 9, 19.6, 16.81, 14.79, 0.08782, 1.418, 2.417
1950, 10, 12.22, 9.678, 7.929, 148.7, 156.7, 159.1
1950, 11, 5.989, 3.835, 2.368, 283.8, 320.5, 362.4
1950, 12, 6.194, 3.629, 1.643, 204.1, 215.3, 223.6
1951, 1, 3.746, 0.9699, -1.266, 222.7, 251.2, 249
1951, 2, 5.168, 2.955, 1.504, 541.4, 610.7, 635.1
1951, 3, 6.267, 3.772, 2.136, 368.9, 440.9, 472.5
1951, 4, 7.721, 5.516, 4.126, 138.1, 160, 181.6
1951, 5, 11.87, 9.585, 7.998, 51.12, 40.04, 34.2
1951, 6, 19.52, 17.07, 15.38, 0.395, 3.382, 6.807
1951, 7, 22.29, 19.59, 17.76, 0, 0.01613, 0.02154
1951, 8, 20.5, 18.07, 16.43, 0, 0, 0
1951, 9, 18.47, 15.81, 13.87, 0.2365, 0.6448, 0.9555
1951, 10, 8.596, 6.034, 4.235, 117.5, 106.8, 90.91
1951, 11, 8.62, 6.019, 4.154, 82.91, 96.13, 112.8
1951, 12, 4.59, 2.241, 0.5434, 452.9, 527, 588.4
1952, 1, 3.808, 1.425, -0.2381, 247.6, 257.8, 263.7
1952, 2, 3.39, 0.6768, -1.229, 250.7, 275.8, 270.9
1952, 3, 6.317, 3.65, 1.805, 93.65, 93.7, 91.47
1952, 4, 11.5, 9.245, 7.688, 221.5, 225.2, 218.1
1952, 5, 12.13, 9.933, 8.455, 58.37, 75.4, 86.79
1952, 6, 16.49, 14.01, 12.38, 5.359, 5.675, 8.733
1952, 7, 21.02, 18.51, 16.9, 11.58, 10.74, 18.49
1952, 8, 20.4, 17.94, 16.3, 0, 0.553, 1.078
1952, 9, 20.6, 17.76, 15.82, 5.173, 5.633, 6.194
1952, 10, 19.19, 15.92, 13.66, 15.78, 10.25, 6.806
1952, 11, 4.638, 2.27, 0.5305, 103, 102.3, 101.2
1952, 12, 4.792, 2.176, 0.1024, 38.68, 35.68, 31.46
1953, 1, 3.173, -0.04487, -2.529, 107.9, 93.91, 101.2
1953, 2, 6.688, 3.73, 1.562, 194.9, 204.3, 208.4
1953, 3, 7.952, 5.303, 3.599, 140.2, 150.3, 152
1953, 4, 14.02, 11.2, 9.295, 13.63, 20.71, 26.59
1953, 5, 12.91, 10.64, 9.17, 154.9, 190.3, 213.2
1953, 6, 20.16, 17.45, 15.61, 0.5774, 1.225, 0.8757
1953, 7, 22.95, 20.23, 18.3, 11.13, 10.57, 12.67
1953, 8, 24.22, 21.53, 19.73, 6.088, 4.546, 5.102
