# Created by WEAP: 12/14/2020 5:58:57 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_CCSM4_r6i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upper Pit (1,373,488 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (8,466 ha),  1000 - 2000 m (1,270,761 ha),  2000 - 3000 m (94,228 ha),  3000 - 4000 m (33 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 4.422, 2.504, -0.4916, -3.233, 102.2, 75.6, 139.9, 361.5
1950, 2, 7.358, 4.262, 0.9683, -1.876, 80.2, 76.69, 149.4, 462.6
1950, 3, 7.994, 5.367, 2.039, -1.038, 68.3, 63.76, 111.8, 305.3
1950, 4, 13.63, 11.08, 8.011, 5.676, 10.95, 16.31, 29.99, 59.01
1950, 5, 13.68, 10.7, 7.38, 4.246, 42.94, 50.93, 89.52, 204
1950, 6, 16.93, 14.2, 10.98, 7.489, 25.76, 34.82, 49.95, 78.49
1950, 7, 22.45, 19.22, 15.85, 13.99, 7.852, 13.95, 18.67, 28.41
1950, 8, 18.95, 16.92, 13.98, 11.17, 3.151, 9.049, 13.67, 26.8
1950, 9, 17.46, 15.45, 12.52, 9.971, 0.8345, 5.47, 8.077, 8.892
1950, 10, 11.01, 8.167, 5.16, 3.439, 19.73, 29.35, 54.29, 148.8
1950, 11, 5.571, 2.646, -0.423, -2.544, 69.48, 63.76, 113.3, 450.9
1950, 12, 4.544, 2.422, -0.4198, -2.382, 35.53, 45.52, 86.19, 292.3
1951, 1, 0.8571, -2.225, -4.965, -5.459, 68.17, 63.76, 124.4, 350
1951, 2, 5.405, 2.939, -0.2931, -2.991, 159.8, 149, 271.4, 782.3
1951, 3, 7.186, 3.969, 0.4547, -2.077, 145.7, 128.7, 239.9, 571.7
1951, 4, 8.315, 5.66, 2.409, -0.7377, 32.44, 34.32, 59.45, 133.9
1951, 5, 12.2, 9.468, 6.172, 3.088, 22.69, 29.23, 46.09, 107.6
1951, 6, 19.93, 16.28, 12.91, 11.08, 9.237, 26.99, 34.21, 18.82
1951, 7, 20.54, 18.87, 16.03, 13.08, 2.436, 0.4364, 0.5638, 2.954
1951, 8, 19.55, 18.16, 15.14, 11.51, 0.9523, 0.6061, 0.7852, 0
1951, 9, 16.43, 13.93, 10.99, 9.025, 8.568, 13.4, 19.51, 27.16
1951, 10, 6.922, 4.356, 1.421, -0.9193, 21.26, 30.6, 49.8, 113.9
1951, 11, 6.609, 4.083, 1.164, -0.498, 19.91, 25.24, 45.45, 102.5
1951, 12, 3.536, 0.7642, -2.029, -2.797, 134, 146.1, 266.2, 927.5
1952, 1, 2.385, -0.5098, -3.328, -4.616, 163.7, 175.9, 330.8, 771.6
1952, 2, 2.692, -0.2354, -3.525, -6.154, 36.36, 46.92, 98.29, 285.7
1952, 3, 6.932, 4.2, 0.782, -2.867, 27.42, 36.08, 70.24, 197.7
1952, 4, 12.77, 9.799, 6.551, 4.051, 54.25, 83.13, 153.6, 297.5
1952, 5, 14.2, 11.2, 7.823, 4.599, 28.83, 47.08, 78.11, 147.7
1952, 6, 16.29, 13.02, 9.86, 7.706, 21.72, 49.92, 71.6, 97.57
1952, 7, 22.01, 19.3, 15.92, 13.26, 26.53, 13.46, 19.92, 48.9
1952, 8, 20.58, 18.22, 15.04, 12.12, 5.052, 5.965, 8.637, 9.855
1952, 9, 19.18, 16.52, 13.45, 11.53, 0.2964, 0.9346, 1.821, 7.551
1952, 10, 15.89, 13.81, 11.08, 9.693, 3.138, 3.897, 8.686, 19.33
1952, 11, 1.861, -1.815, -4.561, -4.183, 34.51, 38.29, 71.62, 210
1952, 12, 1.609, -1.67, -4.449, -3.656, 12.87, 20.41, 35.69, 86.78
1953, 1, -0.9035, -4.961, -7.449, -7.033, 21.05, 32.88, 61.51, 135.2
1953, 2, 4.893, 0.4177, -2.854, -3.081, 64.21, 62.92, 115.2, 268.6
1953, 3, 7.829, 5.204, 1.958, -0.9975, 52.23, 56.53, 106.4, 287.5
1953, 4, 13.77, 10.72, 7.539, 5.624, 4.591, 11.47, 20.73, 32.16
1953, 5, 15.05, 11.98, 8.397, 5.677, 46.86, 79.97, 122, 176
1953, 6, 17.94, 14.48, 11.49, 10.42, 0.7169, 13.36, 19.08, 9.522
1953, 7, 21.81, 20.21, 17.37, 14.35, 3.813, 6.528, 8.594, 8.411
1953, 8, 23.95, 21.55, 18.32, 15.64, 4.327, 10.76, 13.76, 15.49
1953, 9, 20.08, 17.44, 14.45, 12.46, 3.032, 12.17, 8.621, 22.69
1953, 10, 11.78, 9.146, 6.224, 4.402, 33.57, 45.83, 81.39, 203.6
1953, 11, 4.567, 1.531, -1.181, -2.101, 73.56, 61.81, 96.67, 312.8
