# Created by WEAP: 12/14/2020 5:59:12 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_CCSM4_r6i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Colo HeadwatersN (2,134,890 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (495,804 ha),  2000 - 3000 m (1,557,238 ha),  3000 - 4000 m (81,848 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -2.857, -4.434, -9.121, 7.341, 24.67, 83.05
1950, 2, -2.455, -4.382, -8.882, 15.62, 34.81, 116.4
1950, 3, 4.56, 2.103, -3.779, 19.18, 35.33, 96.92
1950, 4, 10.42, 7.612, 1.244, 31.37, 47.56, 128
1950, 5, 12.92, 10.78, 5.707, 29.92, 43.71, 94.38
1950, 6, 17.42, 15.11, 9.706, 27.01, 36.66, 58.19
1950, 7, 19.74, 17.46, 12.12, 18.05, 27.25, 44.66
1950, 8, 19.6, 17.47, 11.99, 27.62, 31.44, 49.25
1950, 9, 13.49, 11.54, 6.314, 21.93, 26.21, 45.28
1950, 10, 6.991, 4.956, 0.08916, 56.69, 70.2, 137.8
1950, 11, 1.426, -0.3468, -5.239, 9.927, 16.41, 47.83
1950, 12, -2.688, -4.273, -9.206, 13.59, 40.33, 139.7
1951, 1, -4.978, -6.598, -10.95, 25.66, 66.67, 207.1
1951, 2, -2.1, -4.164, -9.42, 42.27, 73.36, 153.3
1951, 3, 2.691, -0.0219, -5.063, 43.08, 67.2, 170.3
1951, 4, 9.738, 7.29, 2.215, 24.81, 32.31, 71.47
1951, 5, 13.56, 11.45, 6.49, 18.19, 24.04, 40.18
1951, 6, 17.69, 15.46, 10.01, 36.88, 43.7, 68.69
1951, 7, 22.04, 19.72, 14.09, 15.74, 23.02, 33.92
1951, 8, 20.4, 18.04, 12.33, 23.91, 27.39, 47.55
1951, 9, 13.96, 11.91, 6.898, 34.64, 43.26, 72.62
1951, 10, 4.767, 3.391, -0.8099, 59.46, 68.33, 115.5
1951, 11, 3.104, 1.24, -3.692, 27.43, 53.09, 146.5
1951, 12, -5.09, -6.593, -11.12, 25.21, 45.9, 123.5
1952, 1, -3.699, -5.238, -9.658, 37.72, 78.7, 223.4
1952, 2, -3.457, -5.099, -9.091, 41.12, 70.03, 177
1952, 3, 3.081, 0.6806, -4.616, 23.21, 52.52, 176.2
1952, 4, 8.587, 6.561, 0.6246, 35.42, 59.7, 183.6
1952, 5, 10.17, 8.321, 3.335, 83.25, 92.47, 154.5
1952, 6, 15.43, 13.3, 8.127, 27.2, 35.57, 54.37
1952, 7, 19.49, 17.21, 11.61, 18.47, 24.43, 42.6
1952, 8, 18.94, 16.67, 11.1, 11.98, 16.95, 24.32
1952, 9, 13.1, 11.12, 6.083, 37.91, 46.39, 80.47
1952, 10, 11.02, 9.338, 4.68, 14.32, 14.68, 28.27
1952, 11, -4.811, -6.417, -10.23, 38.03, 62.74, 140
1952, 12, -9.432, -10.79, -14.6, 10.29, 26.92, 74.81
1953, 1, -11.09, -12.38, -16.25, 21.53, 52.4, 156.5
1953, 2, -6.594, -8.079, -12.12, 28.39, 50.35, 114
1953, 3, 1.914, -0.4151, -5.544, 10.49, 20.12, 51.13
1953, 4, 9.27, 7.064, 1.552, 55.67, 77.08, 158.5
1953, 5, 11.66, 9.483, 4.479, 51.73, 70.74, 136
1953, 6, 17.93, 15.9, 10.72, 2.926, 3.881, 8.145
1953, 7, 22.4, 20.28, 14.68, 23.85, 26.68, 37.26
1953, 8, 18.36, 16.06, 10.39, 79.45, 74.53, 90.83
1953, 9, 13.35, 11.21, 6.334, 60.81, 73.9, 118.1
1953, 10, 8.796, 6.903, 2.216, 14.95, 20.38, 39.16
1953, 11, 1.098, -0.8556, -4.964, 66.82, 96.21, 202.3
1953, 12, -6.582, -8.078, -12.67, 16.84, 34.37, 104.9
1954, 1, -6.22, -7.7, -11.8, 14.13, 40.26, 107.8
1954, 2, -3.582, -5.292, -9.356, 4.61, 10.94, 34.86
1954, 3, 2.183, 0.1145, -5.089, 32.19, 52.84, 136.7
1954, 4, 8.593, 6.575, 1.142, 22.31, 33.2, 72.26
1954, 5, 13.54, 11.39, 6.114, 6.201, 8.635, 21.26
1954, 6, 18.03, 15.79, 10.38, 9.278, 12.2, 18.73
1954, 7, 20.94, 18.74, 13.36, 11.32, 17.5, 28.66
1954, 8, 20.39, 18.08, 12.52, 35.85, 40.86, 42.84
1954, 9, 13.17, 11.01, 6.22, 19.72, 26, 31.17
1954, 10, 8.616, 7.018, 2.696, 44.6, 61.56, 125.9
1954, 11, -0.63, -2.281, -6.815, 15.52, 31.02, 87.21
1954, 12, -4.648, -6.257, -11.06, 11.17, 29.32, 80.77
1955, 1, -7.915, -9.36, -13.79, 14.42, 33.78, 104.7
1955, 2, -2.906, -4.6, -9.301, 25.92, 43.9, 110
1955, 3, -2.701, -4.415, -8.788, 19.5, 33.35, 91.73
1955, 4, 2.97, 0.848, -3.831, 46.43, 72.15, 184.4
1955, 5, 10.76, 9.097, 4.035, 31.71, 40.09, 91.53
1955, 6, 16.01, 13.76, 8.588, 54.3, 70.13, 123.9
1955, 7, 21.43, 19.02, 13.47, 14.36, 19.14, 30.8
1955, 8, 18.86, 16.76, 11.34, 62.85, 75.52, 113
1955, 9, 14.64, 12.52, 7.343, 10.83, 13, 19.72
1955, 10, 7.718, 6.034, 1.351, 8.062, 10.63, 17.2
1955, 11, -2.592, -4.297, -8.956, 10.56, 26.24, 77.7
1955, 12, -6.911, -8.521, -13.18, 16.03, 35.49, 105.9
1956, 1, -4.136, -5.633, -10.04, 10.76, 26.18, 92.89
1956, 2, -6.432, -8.015, -11.82, 37.54, 69.64, 212.3
1956, 3, 0.7793, -1.323, -6.204, 11.55, 22.15, 63.89
1956, 4, 9.159, 6.835, 0.9252, 29.89, 35.78, 78.09
1956, 5, 12.01, 9.759, 4.531, 25.65, 37.16, 75.02
1956, 6, 18.77, 16.6, 11.22, 17.96, 23.67, 35.5
1956, 7, 21.73, 19.52, 13.92, 12.76, 19.37, 29.26
1956, 8, 20.28, 18.09, 12.68, 29.43, 42.05, 68.56
1956, 9, 13.72, 11.79, 6.824, 45.7, 51.74, 72.57
1956, 10, 7.68, 6.02, 1.483, 16.84, 26.08, 62.25
1956, 11, 0.1019, -1.803, -6.49, 32.17, 68.49, 179.6
1956, 12, -7.131, -8.658, -12.94, 17.35, 39.32, 133.4
1957, 1, -10.9, -12.16, -16.08, 11.74, 33.46, 124.1
1957, 2, -6.141, -7.767, -12.1, 4.134, 13.62, 50.48
1957, 3, -1.309, -3.525, -8.491, 13.48, 30.7, 80.83
1957, 4, 7.795, 5.397, 0.1255, 22.67, 34.55, 91.42
1957, 5, 13.47, 11.34, 6.049, 55.28, 63.46, 93.07
1957, 6, 18.65, 16.51, 11.24, 6.041, 7.441, 11.6
1957, 7, 21.64, 19.49, 13.81, 22.87, 24.18, 26.15
1957, 8, 18.93, 16.72, 11.06, 42.79, 50.77, 74.44
1957, 9, 13.08, 11.13, 6.322, 55.44, 53.75, 59.72
1957, 10, 7.887, 6.071, 1.823, 43.57, 59.61, 114.6
1957, 11, -0.466, -1.883, -5.29, 62.01, 91.96, 201.2
1957, 12, -7.824, -9.067, -12.97, 9.411, 17.93, 55.11
1958, 1, -7.949, -9.596, -14.26, 20.91, 51.84, 157.8
1958, 2, -2.885, -4.833, -9.602, 8.059, 21.81, 72.56
1958, 3, 3.535, 1.563, -3.591, 19.62, 26.8, 67.79
1958, 4, 5.61, 3.832, -1.367, 27.14, 38.74, 95.06
1958, 5, 13.3, 11.19, 6.174, 27.7, 38.11, 72.53
1958, 6, 17.16, 14.91, 9.524, 16.68, 20.48, 32.1
1958, 7, 20.29, 18.09, 12.43, 48.96, 61.61, 83.39
1958, 8, 20.35, 18.07, 12.43, 27.88, 40.41, 83.72
1958, 9, 13.92, 12.02, 7.307, 66.27, 70.95, 69.41
1958, 10, 5.853, 3.974, -0.6856, 7.724, 12.25, 25.19
1958, 11, 2.517, 0.6095, -3.912, 33.72, 58.25, 161.5
1958, 12, -8.452, -9.972, -13.88, 40.27, 82.55, 230.1
1959, 1, -12.34, -13.61, -17.1, 19.68, 44.07, 148.8
1959, 2, -4.967, -6.887, -11.23, 17.45, 41.84, 107.8
1959, 3, 2.681, 0.2249, -4.718, 23.07, 39.84, 90.32
