# Created by WEAP: 12/14/2020 6:02:41 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\monthly_CCSM4_r6i1p1.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: UT_N_Green (2,284,134 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,102,858 ha),  2000 - 3000 m (1,158,669 ha),  3000 - 4000 m (22,607 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -1.722, -4.347, -10.44, 5.497, 11.19, 10.06
1950, 2, 1.34, -2.158, -7.979, 12.82, 24.12, 40.25
1950, 3, 7.321, 3.147, -2.721, 7.72, 15.49, 31.31
1950, 4, 12.61, 8.512, 3.742, 10.06, 18.43, 37.54
1950, 5, 15.39, 11.1, 6.213, 23.46, 41.93, 95.63
1950, 6, 20.12, 15.83, 10.07, 13.72, 23.23, 43.5
1950, 7, 22.84, 18.51, 13, 9.549, 14.14, 13.86
1950, 8, 21.66, 17.46, 12.09, 13.83, 22.38, 41.34
1950, 9, 16.2, 12.26, 7.36, 14.06, 17.96, 24.24
1950, 10, 9.016, 5.141, -0.1745, 42.13, 63.39, 115.5
1950, 11, 1.896, -1.542, -6.736, 17.27, 28.34, 49.54
1950, 12, -2.046, -4.688, -10.53, 13.23, 23.22, 54.68
1951, 1, -5.007, -7.56, -12.49, 20.56, 38.14, 45.22
1951, 2, -0.2796, -3.31, -9.256, 37.97, 71.3, 111.5
1951, 3, 5.357, 1.267, -4.034, 33.94, 63.24, 117.9
1951, 4, 11.47, 7.075, 1.438, 19.21, 37.54, 87.15
1951, 5, 15.61, 11.24, 5.585, 18.11, 29.24, 60.65
1951, 6, 20.9, 16.51, 11.03, 28.33, 40.97, 86.74
