# Created by WEAP: 5/10/2021 7:56:29 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CESM1-BGC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_NF American (90,315 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (30,062 ha),  1000 - 2000 m (47,725 ha),  2000 - 3000 m (12,527 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 8.325, 4.248, -0.3827, 210.2, 257.8, 253.3
2006, 2, 8.625, 3.835, -0.3728, 305.6, 419.2, 408
2006, 3, 15.42, 11.06, 5.874, 25.67, 39.78, 43.75
2006, 4, 13.58, 8.806, 5.175, 143.2, 184.4, 188.5
2006, 5, 17.96, 13.67, 9.796, 35.34, 56.8, 68.06
2006, 6, 21.92, 17.28, 13.48, 38.85, 65.28, 78.58
2006, 7, 27.01, 22.16, 18.09, 29.4, 46.81, 37.23
2006, 8, 27.61, 23.17, 19.11, 0.1036, 1.87, 9.693
2006, 9, 23.13, 19.3, 15.46, 45.52, 73.51, 78.58
2006, 10, 14.02, 9.996, 5.856, 28.84, 32.52, 32.06
2006, 11, 11.66, 8.332, 3.023, 3.188, 6.85, 6.895
2006, 12, 6.761, 2.661, -2.213, 312.4, 442.8, 428.6
2007, 1, 5.688, 1.496, -3.811, 121.4, 174.6, 144.2
2007, 2, 9.119, 4.682, 0.1274, 105.2, 160.2, 163.8
2007, 3, 9.627, 4.859, 0.9329, 164.8, 205.5, 189.5
2007, 4, 13.39, 8.387, 4.39, 108.2, 126.4, 113
2007, 5, 15.82, 11.12, 7.182, 32.79, 50.79, 56.34
2007, 6, 22.24, 17.44, 13.41, 11.14, 21.9, 48.12
2007, 7, 28.04, 23.1, 18.98, 0, 0.03532, 0.2357
2007, 8, 24.92, 20.51, 16.4, 0.000995, 0, 0
2007, 9, 22.45, 18.43, 14.16, 5.772, 8.919, 19.5
2007, 10, 17.96, 13.87, 9.184, 27.04, 34.35, 31.51
2007, 11, 12.51, 9.043, 4.978, 666.5, 883, 987.7
2007, 12, 10.98, 7.911, 2.595, 103.2, 137.2, 126.1
2008, 1, 9.441, 5.641, 0.4311, 122.1, 148.3, 147.5
2008, 2, 11.52, 7.161, 2.025, 76.11, 121.9, 136.3
2008, 3, 11.36, 6.492, 2.201, 76.09, 84.15, 83.9
2008, 4, 14.3, 9.391, 5.811, 131, 175.4, 190.3
2008, 5, 17.58, 13.05, 9.317, 27.43, 54.28, 63.34
2008, 6, 22.89, 18.71, 14.79, 11.2, 24.75, 29.14
2008, 7, 27.37, 22.34, 18.4, 7.53, 24.84, 36.93
2008, 8, 27.82, 23.28, 19.45, 0.04675, 1.459, 5.945
2008, 9, 24.6, 20.34, 15.7, 0, 0, 0
2008, 10, 19.51, 15.93, 11.71, 217.3, 239.9, 213.7
2008, 11, 11.28, 7.378, 3.651, 173.8, 243.8, 250.9
2008, 12, 7.922, 3.743, -1.29, 231.6, 324.9, 384.5
2009, 1, 8.502, 3.97, -0.7783, 211.1, 306.4, 305
2009, 2, 11.67, 7.311, 3.003, 321.6, 407.5, 393.5
2009, 3, 9.421, 4.977, 1.095, 325, 404.8, 372.1
2009, 4, 12.44, 7.459, 3.94, 129.4, 164.2, 169.8
2009, 5, 15.71, 11.52, 7.444, 93.76, 156.6, 157.9
