# Created by WEAP: 5/10/2021 7:56:40 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CESM1-BGC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_NF Upr Stanislaus (77,227 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (18,738 ha),  2000 - 3000 m (54,200 ha),  3000 - 4000 m (4,289 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 2.362, -1.285, -4.68, 243.7, 266.2, 267.1
2006, 2, 1.707, -1.724, -4.817, 278.7, 298.9, 260
2006, 3, 9.036, 5.818, 2.715, 36.03, 36.37, 33.66
2006, 4, 6.001, 3.019, 0.6554, 177.9, 193.3, 178.6
2006, 5, 11.77, 8.672, 6.267, 31.13, 35.86, 34.68
2006, 6, 15.34, 12.18, 9.683, 44.61, 68.04, 71.37
2006, 7, 20.25, 17.02, 14.33, 51.49, 60.7, 57.14
2006, 8, 21.38, 18.1, 15.24, 13.15, 23.32, 35.28
2006, 9, 17.47, 14.2, 11.31, 26.27, 31.16, 22.36
2006, 10, 8.123, 4.778, 1.841, 31.48, 31.62, 29.42
2006, 11, 6.153, 2.351, -1.389, 2.432, 5.916, 12.02
2006, 12, 0.8428, -3.14, -7.041, 242.8, 270.5, 251.3
2007, 1, -0.9352, -4.75, -8.388, 86.21, 95.01, 82.66
2007, 2, 2.532, -0.7531, -3.784, 68.17, 82.64, 79.1
2007, 3, 3.299, 0.114, -2.663, 233.7, 262.7, 248.2
