# Created by WEAP: 5/10/2021 7:57:20 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CESM1-BGC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_E_Arkansas (5,256,214 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,487,915 ha),  2000 - 3000 m (690,944 ha),  3000 - 4000 m (76,675 ha),  4000 - 5000 m (680 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -1.159, -3.141, -8.742, -11.57, 13.11, 27.12, 62.51, 68.32
2006, 2, 3.642, -0.7302, -6.791, -9.616, 12.51, 49.24, 101.6, 100.2
2006, 3, 9.904, 5.622, 0.2312, -2.622, 2.186, 4.914, 8.942, 12.7
2006, 4, 14.09, 9.103, 3.801, 1.156, 31.13, 67.55, 104.9, 131
2006, 5, 18.6, 13.86, 8.421, 5.744, 49.03, 66.09, 106.8, 103.5
2006, 6, 22, 17.05, 11.61, 8.805, 36.67, 43.27, 56.7, 59.95
2006, 7, 25.48, 20.35, 14.95, 12.2, 158.9, 162.1, 211.7, 131.6
2006, 8, 24.66, 19.91, 14.48, 11.85, 31.23, 86.55, 128.8, 108.1
2006, 9, 18.84, 14.73, 9.437, 6.96, 25.79, 46.89, 59.8, 58.72
2006, 10, 13.77, 9.665, 4.31, 1.694, 15.19, 25.54, 45.68, 42.78
2006, 11, 3.052, 1.132, -3.949, -6.465, 73.87, 85.03, 133.9, 114.7
2006, 12, 2.284, 0.1204, -5.542, -7.877, 11.27, 27.85, 63.71, 72.3
2007, 1, -2.54, -2.939, -8.551, -11.47, 16.89, 38.55, 81.78, 86.88
2007, 2, 4.551, 2.315, -3.418, -6.26, 1.278, 2.967, 5.261, 4.647
2007, 3, 7.137, 3.493, -1.66, -4.038, 23.25, 44.49, 102.6, 105.3
2007, 4, 12.51, 8.45, 3.149, 0.3285, 10.99, 16.71, 21.77, 23.49
2007, 5, 19.27, 14.47, 8.964, 6.288, 51.09, 36.55, 52.63, 53.61
2007, 6, 21.98, 17.11, 11.69, 8.947, 36.13, 48.32, 56.45, 54.02
2007, 7, 26.79, 21.01, 15.61, 12.99, 51.57, 88.17, 109.1, 132.5
2007, 8, 25.89, 20.72, 15.35, 12.61, 33.36, 28.97, 36.41, 40.48
2007, 9, 21.48, 16.16, 10.67, 8.004, 27.95, 39.6, 58.26, 59.99
2007, 10, 11.88, 7.915, 2.42, 0.08844, 48.75, 67.88, 124.2, 136.1
2007, 11, 11.19, 7.541, 1.982, -0.8723, 3.456, 19.04, 56.51, 73.54
2007, 12, 2.443, 0.4793, -5.375, -8.216, 8.586, 19.74, 39.76, 36.85
2008, 1, 0.2749, -1.287, -6.654, -9.494, 16.53, 34.07, 69.46, 74.85
2008, 2, 8.275, 4.683, -0.9481, -3.756, 11.39, 40.96, 104.6, 109.7
2008, 3, 2.289, -1.515, -6.384, -8.736, 101.5, 131, 230.9, 226.6
2008, 4, 9.332, 6.29, 1.543, -1.123, 39.16, 66.05, 123.2, 120.5
2008, 5, 19.66, 15.1, 9.619, 6.901, 27.53, 18.79, 32.17, 29.85
2008, 6, 22.88, 17.82, 12.57, 9.712, 48.07, 48.42, 56.44, 61.29
2008, 7, 24.94, 19.95, 14.72, 11.92, 101.1, 177.8, 263.6, 271.9
2008, 8, 24.5, 19.07, 13.67, 10.94, 46.94, 91.66, 139, 136.5
2008, 9, 22.66, 17.44, 12, 9.367, 27.99, 48.15, 73.31, 86.77
2008, 10, 14.25, 10.42, 4.841, 2.202, 20.38, 34.32, 55.84, 75.94
2008, 11, 7.784, 5.52, -0.006953, -2.897, 4.829, 8.948, 13.97, 14.53
2008, 12, 3.58, 0.8925, -5.025, -7.517, 26.2, 47.23, 101.6, 98.16
2009, 1, 1.273, -1.545, -7.527, -10.45, 6.297, 16.12, 37.7, 41
2009, 2, 5.398, 2.127, -3.612, -6.536, 3.946, 12.11, 24.85, 24.17
2009, 3, 8.859, 4.913, -0.3476, -2.88, 17.61, 34.59, 57.23, 68.03
2009, 4, 11.33, 6.46, 0.9734, -1.689, 18.72, 34.75, 61.24, 64.57
2009, 5, 18.87, 14.31, 8.734, 5.988, 21.47, 16.1, 21.97, 22.39
2009, 6, 23.69, 19.09, 13.96, 11.31, 47.87, 63.59, 71.47, 68.85
2009, 7, 25.75, 20.94, 15.75, 12.99, 73.04, 114, 150.1, 150.7
2009, 8, 23.5, 19.84, 14.8, 12.03, 97.04, 83.96, 105.1, 100.8
2009, 9, 20.25, 16.5, 11.42, 8.857, 48.39, 59.54, 77.64, 82.13
2009, 10, 14.72, 10.22, 4.36, 1.707, 4.44, 11.03, 19.39, 20.52
2009, 11, 3.678, 0.7586, -4.743, -7.274, 15.92, 41.68, 80.8, 66.71
2009, 12, 4.996, 2.334, -3.69, -6.445, 4.612, 8.61, 17.55, 14.32
2010, 1, -5.354, -5.744, -10.94, -13.94, 9.145, 29.8, 76.84, 88.62
2010, 2, -0.4624, -2.774, -8.259, -11.03, 6.064, 18.22, 39.91, 44.01
2010, 3, 7.71, 3.176, -2.375, -4.91, 18.12, 48.13, 115.5, 115.8
2010, 4, 10.82, 6.026, 0.4821, -2.295, 64.54, 76.7, 114.9, 89.26
2010, 5, 17.21, 12.47, 7.018, 4.299, 28.75, 31.69, 47.02, 48.07
2010, 6, 24.8, 20.19, 14.76, 11.78, 26.24, 14.22, 12.98, 17.28
2010, 7, 27.11, 22.35, 17.12, 14.3, 58.79, 78.45, 110, 110.3
2010, 8, 25.87, 20.52, 15.09, 12.28, 34.47, 73.74, 116.2, 102
2010, 9, 19.95, 15.84, 10.51, 8.023, 82.93, 97.21, 143.8, 146.7
2010, 10, 14.7, 10.3, 4.564, 2.167, 26.76, 55.62, 113.1, 120.4
2010, 11, 5.215, 1.374, -3.961, -6.695, 53.9, 94.31, 159.8, 164.1
2010, 12, -0.9234, -3.638, -9.458, -12.07, 13.3, 29.96, 43.63, 40.78
2011, 1, 4.176, 1.87, -4.379, -7.399, 1.768, 2.524, 6.561, 11.06
2011, 2, 6.74, 3.405, -2.301, -5.249, 3.907, 15.34, 32.86, 40.18
2011, 3, 9.43, 5.87, 0.7187, -1.989, 13.51, 17.74, 31.6, 37.64
2011, 4, 12.9, 8.913, 3.641, 0.8335, 28.04, 37.3, 68.78, 67.27
2011, 5, 17.19, 11.71, 6.388, 3.893, 105.4, 169.7, 231.2, 211.7
2011, 6, 21.99, 17.13, 11.61, 8.767, 33.72, 24.45, 24.58, 21.31
2011, 7, 25.38, 19.8, 14.3, 11.49, 48.6, 78.96, 102.4, 98.64
2011, 8, 25.06, 19.49, 14.05, 11.4, 57.73, 103.3, 135.6, 125.2
2011, 9, 19.27, 14.95, 9.586, 7.063, 53.8, 65.07, 88.57, 84.55
2011, 10, 14.31, 9.864, 4.216, 1.684, 14.48, 28.51, 49.93, 51.26
2011, 11, 6.099, 3.383, -2.173, -5.02, 6.634, 11.09, 20.18, 13.77
2011, 12, 3.674, 1.394, -4.663, -7.41, 0.757, 4.041, 7.789, 8.144
2012, 1, -2.689, -4.221, -9.769, -12.58, 12.89, 28.94, 75.32, 88.17
2012, 2, 3.828, 0.0723, -5.841, -8.697, 4.831, 17.95, 42.12, 44.67
2012, 3, 9.794, 5.458, 0.00794, -2.85, 4.356, 7.477, 8.609, 10.86
2012, 4, 12.23, 7.417, 1.974, -0.7634, 30.85, 51.79, 95.35, 90.81
2012, 5, 17.22, 12.5, 7.114, 4.57, 39.87, 42.16, 54.17, 60.48
2012, 6, 24.16, 18.66, 13.2, 10.33, 59.69, 38.51, 38.41, 40.91
2012, 7, 25.46, 20.1, 14.67, 11.69, 41.59, 58.44, 84.16, 86.93
2012, 8, 24.74, 19.36, 13.76, 11.07, 79.05, 125, 175.7, 168.2
2012, 9, 23.88, 18.66, 13.08, 10.46, 11.84, 20.9, 36.48, 45.89
2012, 10, 15.74, 11.68, 6.102, 3.439, 10.94, 16.56, 24.25, 24.73
2012, 11, 3.44, 1.141, -4.169, -6.536, 74.32, 90.86, 136.5, 123.1
2012, 12, 1.139, -2.645, -8.646, -11.1, 25, 62.17, 124.8, 112.2
2013, 1, -2.865, -5.18, -10.89, -13.78, 5.347, 9.094, 19.02, 27.36
2013, 2, 2.661, -1.614, -7.673, -10.11, 3.726, 16.44, 40.65, 44.1
2013, 3, 6.702, 2.291, -3.13, -5.824, 21.49, 32.55, 62.44, 55.06
2013, 4, 13.3, 8.53, 2.784, -0.04752, 1.726, 2.558, 4.251, 5.02
2013, 5, 19.83, 14.45, 8.816, 6.079, 19.73, 36.83, 56.33, 51.48
2013, 6, 24.06, 19.76, 14.5, 11.7, 59.48, 47.91, 50.54, 53.38
2013, 7, 26.54, 22, 16.68, 13.98, 63.68, 84.73, 104.2, 103.3
2013, 8, 23.75, 18.92, 13.48, 10.71, 68.9, 112.8, 144.7, 151.2
2013, 9, 21.38, 16.67, 11.16, 8.646, 26.53, 39.73, 32.84, 27.78
2013, 10, 14.97, 10.96, 5.511, 2.99, 18.92, 33, 59.46, 67.54
2013, 11, 6.585, 4.029, -1.378, -3.89, 79.76, 134.8, 231.4, 220.9
2013, 12, 5.303, 1.956, -4.348, -7.311, 2.526, 6.235, 14.18, 18.67
2014, 1, 1.762, 0.2745, -5.451, -8.45, 0.9521, 1.98, 5.022, 7.258
2014, 2, 2.718, -0.284, -6, -8.728, 7.682, 36.49, 102.2, 96.31
2014, 3, 8.135, 4.803, -0.2213, -2.725, 27.94, 42.78, 85.04, 92.14
2014, 4, 14.11, 9.616, 4.186, 1.302, 11.27, 15.53, 24.09, 27.43
2014, 5, 18.66, 13.98, 8.474, 5.633, 31.92, 37.8, 59.15, 70.66
2014, 6, 22.4, 18.09, 12.83, 10.08, 47.07, 64.02, 73.35, 78.94
2014, 7, 26.91, 21.23, 15.61, 12.8, 63.49, 71.74, 80.52, 89.16
2014, 8, 25.19, 19.82, 14.27, 11.52, 92.87, 93.2, 119, 137
2014, 9, 19.1, 15.35, 9.981, 7.454, 68.24, 50.87, 74.49, 73.2
2014, 10, 16.42, 12.81, 7.13, 4.47, 2.983, 7.134, 21.77, 25.37
2014, 11, 5.678, 3.173, -2.459, -5.112, 22.3, 44.16, 79.88, 88.4
2014, 12, 2.282, -0.2725, -6.166, -8.892, 9.892, 19.44, 29.45, 23.7
2015, 1, -3.193, -4.099, -9.404, -11.98, 11.33, 30.81, 72.66, 79.9
2015, 2, -1.496, -4.755, -10.28, -12.69, 23.55, 43.46, 100.1, 109.8
2015, 3, 6.985, 2.539, -2.964, -5.393, 18.42, 38.03, 79.62, 91.31
2015, 4, 12.27, 7.671, 2.249, -0.5031, 23.31, 38.14, 71.74, 83.14
2015, 5, 17.85, 13.35, 7.988, 5.356, 75.12, 82.13, 119.3, 131.3
2015, 6, 23.8, 18.56, 13.09, 10.27, 60.38, 62, 62.35, 68.16
2015, 7, 26.34, 20.63, 15.1, 12.43, 52.15, 64.12, 71.86, 97.1
2015, 8, 24.52, 19.34, 13.84, 11.08, 75.38, 120.7, 161.5, 147.3
2015, 9, 22.07, 18.65, 13.43, 10.75, 26.36, 24.04, 31.01, 25.89
2015, 10, 15.11, 11.29, 5.732, 3.217, 10.55, 7.907, 7.972, 9.487
2015, 11, 6.16, 4.128, -1.511, -4.3, 16.55, 22.69, 38.69, 32.97
2015, 12, 6.052, 3.596, -2.529, -5.184, 0.5957, 1.323, 1.984, 3.011
2016, 1, 3.856, 1.201, -4.782, -7.799, 2.556, 10.47, 26.49, 28.15
2016, 2, 4.894, 1.907, -3.765, -6.508, 10.21, 11.88, 26.27, 29.4
2016, 3, 6.59, 3.251, -1.852, -4.505, 3.594, 15.4, 32.32, 27.15
2016, 4, 13.48, 8.349, 2.747, -0.09767, 20.28, 26.44, 43.01, 50.81
2016, 5, 18.28, 14.3, 8.984, 6.281, 49.8, 37.2, 34.43, 36.58
2016, 6, 21.68, 15.85, 10.54, 7.709, 58.56, 75.11, 98, 90.17
2016, 7, 25.24, 19.28, 13.87, 10.93, 32.45, 48.23, 64.23, 81.19
2016, 8, 24.86, 20.21, 14.77, 12.02, 79.49, 64.05, 68.64, 70.72
2016, 9, 20.27, 15.87, 10.4, 7.697, 39.49, 51.29, 79.6, 77.35
2016, 10, 13.85, 9.597, 3.868, 1.307, 6.894, 12.64, 25.3, 28.49
2016, 11, 12.13, 9.399, 3.811, 0.9783, 1.126, 6.843, 14.47, 12.12
2016, 12, 3.498, 0.5508, -5.585, -8.137, 18.32, 50.69, 106.3, 108.5
2017, 1, 3.194, 0.2275, -5.917, -8.894, 9.318, 24.69, 51.68, 61.31
2017, 2, -0.1822, -2.305, -7.438, -9.832, 22.53, 53.83, 127.9, 123.3
2017, 3, 4.269, 1.322, -4.038, -6.566, 30.91, 41.33, 76.7, 74.42
2017, 4, 12.59, 8.26, 3.069, 0.3908, 83.09, 155.6, 243.4, 256.6
2017, 5, 18.08, 13.29, 8.075, 5.493, 37.95, 65.67, 106.1, 133
2017, 6, 26.95, 21.36, 15.75, 12.89, 18.17, 10.06, 9.767, 9.074
2017, 7, 27.04, 21.46, 15.98, 13.23, 41.04, 75.99, 101.2, 95.9
2017, 8, 27.22, 21.4, 15.72, 12.93, 27.48, 61.44, 102, 88.24
2017, 9, 21.83, 17.38, 11.91, 9.31, 15.7, 23.06, 36.21, 35.87
2017, 10, 17.81, 13.5, 7.847, 5.225, 8.691, 14.19, 31.13, 39.37
2017, 11, 8.803, 6.153, 0.8994, -1.85, 5.68, 19.17, 37.14, 45.57
