# Created by WEAP: 5/10/2021 7:55:54 PM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CESM1-BGC_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_McKenzie (172,282 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (90,486 ha),  1000 - 2000 m (77,628 ha),  2000 - 3000 m (4,153 ha),  3000 - 4000 m (15 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 1.845, -1.928, -7.586, -7.778, 187.7, 202.2, 252, 273.1
2006, 2, 4.761, 0.6664, -5.27, -5.463, 256.7, 306.9, 373.2, 404.2
2006, 3, 8.654, 5.062, -0.172, -0.3149, 169.1, 185.7, 228.1, 241.4
2006, 4, 9.813, 6.213, 0.6037, 0.4139, 134.5, 151.5, 184.1, 203.7
2006, 5, 10.89, 7.913, 2.627, 2.499, 120.1, 126.9, 132.2, 147.1
2006, 6, 16.88, 14.07, 8.567, 8.486, 30.52, 34.64, 37.95, 47.11
2006, 7, 20.27, 17.89, 12.76, 12.58, 29.51, 48.01, 56.58, 64.35
2006, 8, 19.8, 17.23, 12.06, 11.89, 12.74, 10.84, 9.911, 10.36
2006, 9, 17.8, 15.05, 9.771, 9.558, 146, 164.6, 204.6, 228.1
2006, 10, 8.819, 5.483, -0.06542, -0.2709, 237.9, 289.3, 382.2, 407.5
2006, 11, 5.003, 1.157, -4.441, -4.597, 166.6, 186.4, 214, 234.5
2006, 12, 1.335, -2.404, -7.883, -8.081, 464.4, 560.1, 721.7, 807.7
2007, 1, -1.553, -5.69, -11.81, -12.14, 203.7, 228.8, 271.7, 300.6
2007, 2, 3.696, -0.405, -6.23, -6.471, 381.9, 460.5, 585.9, 643.3
2007, 3, 5.075, 1.361, -4.268, -4.44, 220.8, 266, 344.7, 387.3
2007, 4, 7.804, 4.237, -1.323, -1.54, 145.8, 173.1, 211.3, 239.4
2007, 5, 8.099, 4.872, -0.4997, -0.6321, 280.1, 352.5, 413.1, 452.7
2007, 6, 17.3, 14.45, 8.967, 8.934, 24.44, 27.61, 25.44, 21.78
2007, 7, 19.77, 17.56, 12.43, 12.18, 2.267, 4.919, 4.908, 5.885
2007, 8, 18.54, 15.81, 10.34, 10.09, 52.79, 52.88, 54.77, 55.79
2007, 9, 15.65, 12.59, 7.107, 6.896, 41.74, 53.47, 65.92, 74.19
2007, 10, 10.04, 6.724, 1.24, 1.027, 178.3, 208.7, 260.4, 288.9
2007, 11, 4.107, 0.4199, -5.111, -5.269, 159.6, 177.7, 207, 235
2007, 12, 4.05, 0.385, -5.076, -5.271, 119.5, 109.4, 125.8, 141
2008, 1, 2.52, -1.2, -6.613, -6.842, 42.69, 45.19, 52.52, 60.54
2008, 2, 6.152, 2.043, -3.734, -3.944, 121.3, 131.5, 146.8, 159.3
2008, 3, 7.17, 3.43, -2.239, -2.424, 53.17, 59.47, 73.61, 83.54
2008, 4, 11.39, 7.583, 1.764, 1.601, 166.8, 208, 253.3, 281.2
2008, 5, 11.83, 8.847, 3.488, 3.365, 176.5, 235.2, 292.1, 321.9
2008, 6, 16.43, 13.51, 8.139, 7.999, 82.08, 92.42, 122.4, 139.1
2008, 7, 20.24, 17.53, 12.4, 12.26, 26, 39.31, 52.68, 56.22
2008, 8, 20.59, 17.89, 12.61, 12.36, 3.772, 5.206, 5.083, 6.03
2008, 9, 15.76, 12.79, 7.48, 7.29, 17.79, 19.24, 16.26, 17.87
2008, 10, 11.86, 8.793, 3.577, 3.356, 106.7, 109.8, 112.7, 124.1
2008, 11, 6.528, 3.022, -2.371, -2.502, 611.7, 706.8, 861.5, 931.3
2008, 12, 2.578, -1.215, -6.612, -6.774, 320.5, 364.4, 435, 494.9
2009, 1, 3.18, -0.8088, -6.121, -6.243, 217, 217.8, 237.9, 265.7
2009, 2, 6.349, 2.309, -3.53, -3.692, 229.6, 254.7, 303.9, 335.5
2009, 3, 5.205, 1.336, -4.351, -4.543, 226.9, 283.1, 337.2, 374.5
2009, 4, 8.504, 5.183, -0.2199, -0.4877, 218.7, 274.3, 323.5, 370
2009, 5, 11.02, 7.613, 2.045, 1.828, 188.6, 232.1, 265, 294.5
