# Created by WEAP: 1/7/2021 1:48:30 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Middle Feather (301,243 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (4,777 ha),  1000 - 2000 m (268,708 ha),  2000 - 3000 m (27,758 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 1.931, -1.306, -3.363, 166.9, 143.5, 135
1950, 2, 3.726, 0.9735, -0.9749, 257.2, 211.6, 185.6
1950, 3, 7.299, 5.237, 3.585, 346.4, 279, 246.6
1950, 4, 9.088, 6.694, 4.9, 29.16, 21.65, 19.46
1950, 5, 16.78, 14.26, 12.36, 26.98, 20.35, 19.15
1950, 6, 22.19, 19.5, 17.59, 18.79, 21.88, 24.39
1950, 7, 20.22, 17.99, 16.3, 1.188, 1.99, 2.52
1950, 8, 20.46, 17.78, 15.89, 21.35, 26.09, 29.43
1950, 9, 19.11, 16.15, 14.09, 8.045, 7.114, 6.84
1950, 10, 12.15, 9.212, 7.209, 77.83, 68.31, 60.44
1950, 11, 5.017, 2.29, 0.4306, 76.36, 51.2, 46.96
1950, 12, 3.125, 0.8481, -0.915, 80.68, 59.82, 50.78
1951, 1, 1.368, -1.408, -3.346, 258.6, 242.5, 245.3
1951, 2, 4.258, 1.725, -0.03965, 101.6, 75.57, 65.89
1951, 3, 2.414, 0.06771, -1.686, 76.86, 63.71, 60.67
1951, 4, 8.696, 6.61, 4.978, 48.64, 37.7, 33.4
1951, 5, 11.77, 9.163, 7.297, 60.13, 57.9, 59
1951, 6, 18.53, 16.17, 14.33, 5.596, 7.641, 8.892
1951, 7, 21.2, 18.96, 17.24, 3.052, 3.693, 3.793
1951, 8, 19.2, 16.73, 14.95, 3.503, 4.542, 5.188
1951, 9, 18.62, 15.74, 13.78, 10.1, 6.56, 5.216
1951, 10, 12.37, 9.77, 7.93, 43.82, 33.31, 29.27
1951, 11, 5.022, 2.377, 0.4541, 263.9, 216.9, 202.9
1951, 12, 1.904, -1.185, -3.199, 63.31, 59.14, 56.34
1952, 1, 0.8136, -2.503, -4.594, 9.281, 9.117, 8.75
1952, 2, 5.995, 3.76, 2.047, 37.23, 31.47, 30.52
1952, 3, 7.947, 5.494, 3.678, 13.13, 12.69, 12.11
1952, 4, 8.654, 6.306, 4.545, 96.18, 80.31, 75.39
1952, 5, 13.31, 10.88, 8.992, 12.04, 7.623, 6.689
1952, 6, 18.49, 15.96, 14.1, 14.59, 20, 22.18
1952, 7, 20.19, 17.86, 16.13, 2.608, 5.18, 6.863
1952, 8, 21.71, 19.38, 17.61, 0, 0, 0
1952, 9, 18.4, 15.66, 13.77, 5.758, 6.092, 6.101
1952, 10, 10.79, 8.194, 6.411, 47.86, 40.49, 35.28
1952, 11, 3.495, 0.8328, -1.082, 297.9, 219.8, 193.8
1952, 12, -0.1333, -3.234, -5.257, 76.82, 65.2, 62.85
1953, 1, -0.9863, -4.302, -6.409, 402.8, 349.1, 340.7
1953, 2, 4.229, 1.278, -0.6943, 112.1, 82.75, 72.53
1953, 3, 9.784, 7.488, 5.774, 57.12, 51.91, 50.03
1953, 4, 6.457, 4.242, 2.497, 162.1, 125.7, 109.4
1953, 5, 14.88, 12.28, 10.38, 27.46, 28.1, 29.08
1953, 6, 19.71, 17.27, 15.48, 19.94, 21.19, 20.08
1953, 7, 22.17, 19.82, 18.07, 0, 0.08413, 0.1278
1953, 8, 21.98, 19.44, 17.62, 0.02586, 0.08702, 0.09304
1953, 9, 18.91, 16.31, 14.47, 1.512, 1.977, 2.081
1953, 10, 16.35, 13.53, 11.61, 3.219, 3.264, 3.086
1953, 11, 7.294, 4.445, 2.547, 47.34, 39.76, 38.21
1953, 12, 4.402, 1.749, -0.1427, 64.36, 49.15, 43.93
1954, 1, 2.109, -0.4436, -2.287, 113.9, 91.8, 86.27
1954, 2, 1.719, -1.178, -3.091, 119.9, 114.2, 109.5
1954, 3, 4.568, 2.188, 0.3218, 70.59, 55.35, 50.08
1954, 4, 9.555, 7.365, 5.596, 95.48, 75.16, 67.51
1954, 5, 12.08, 9.502, 7.591, 55.69, 53.07, 53.8
1954, 6, 14.99, 12.6, 10.79, 30.61, 35.03, 39.57
1954, 7, 22.81, 20.46, 18.71, 0.8506, 1.163, 1.584
1954, 8, 20.67, 18.2, 16.41, 0.4135, 0.9279, 0.938
1954, 9, 17.3, 14.57, 12.62, 3.965, 3.748, 3.737
1954, 10, 11.08, 8.587, 6.78, 120.4, 112.6, 106.1
1954, 11, 7.052, 4.514, 2.593, 86.8, 70.5, 63.68
1954, 12, 2.344, -0.3951, -2.296, 72.77, 60.62, 52.58
1955, 1, -1.571, -4.922, -7.096, 5.958, 5.559, 6.086
1955, 2, 3.223, 0.8107, -0.9939, 83.06, 67.95, 61.62
1955, 3, 3.192, 0.5991, -1.287, 133, 97.04, 85.12
1955, 4, 10.55, 8.197, 6.418, 53.43, 43.25, 39.91
1955, 5, 16.66, 14.17, 12.32, 11.53, 14.95, 16.82
1955, 6, 17.51, 15.2, 13.44, 26.05, 20.03, 17.73
1955, 7, 22.51, 19.99, 18.23, 0.5783, 2.677, 3.858
1955, 8, 18.66, 16.15, 14.36, 28.55, 36.15, 40.94
1955, 9, 18.34, 15.51, 13.6, 0, 0, 0
1955, 10, 10.49, 7.957, 6.144, 21.39, 22.88, 20.1
1955, 11, 6.295, 3.671, 1.822, 51.42, 36.32, 32.07
1955, 12, 3.864, 1.536, -0.1719, 366.8, 338.1, 321.1
1956, 1, 0.4078, -3.088, -5.319, 139, 116.9, 108.8
1956, 2, 0.2627, -2.979, -5.132, 109.8, 87.27, 77.39
1956, 3, 4.917, 2.163, 0.2474, 270.3, 225.5, 206.7
1956, 4, 11.95, 9.656, 7.862, 81.01, 72.68, 66.56
1956, 5, 13.11, 10.72, 8.865, 27.37, 24.58, 26.05
1956, 6, 16.45, 13.93, 12.04, 17.92, 25.06, 30.1
1956, 7, 22.57, 20.05, 18.2, 0.6477, 1.099, 1.277
1956, 8, 19.72, 17.16, 15.36, 0.01391, 0.002933, 0.002244
1956, 9, 21.4, 18.82, 16.96, 57.47, 59.25, 60.84
1956, 10, 11.02, 8.811, 7.099, 26.95, 20.35, 17.12
1956, 11, 8.335, 5.842, 4.102, 30.52, 23.83, 21.63
1956, 12, 3.786, 1.201, -0.7028, 194.2, 164.1, 155.9
1957, 1, 2.636, -0.04062, -1.829, 83.47, 53.29, 46.46
1957, 2, 5.976, 3.724, 2.072, 77.23, 63.68, 58.19
1957, 3, 7.073, 4.781, 3.024, 20.04, 16.11, 14.64
1957, 4, 7.32, 4.913, 3.13, 121.4, 109.4, 104.4
1957, 5, 16.23, 13.63, 11.74, 7.351, 10.59, 11.92
1957, 6, 16.65, 14.11, 12.2, 25.55, 29.31, 32.18
1957, 7, 20.18, 17.77, 15.96, 20.35, 26.05, 30.56
1957, 8, 20.94, 18.51, 16.69, 28.42, 33.71, 37.78
1957, 9, 17.78, 15.47, 13.69, 63.89, 62.14, 63.37
1957, 10, 9.532, 6.799, 4.847, 100.8, 95.39, 86.13
1957, 11, 4.788, 2.193, 0.4128, 34.62, 27.7, 26.32
1957, 12, 3.556, 0.6463, -1.294, 8.32, 7.369, 6.479
1958, 1, 3.572, 1.191, -0.4817, 422.4, 379.7, 374.9
1958, 2, 5.582, 3.241, 1.548, 135.4, 116.5, 107.5
1958, 3, 5.569, 3.553, 1.872, 266.9, 224.8, 203.7
1958, 4, 10.08, 7.472, 5.633, 40.32, 24.63, 20.49
1958, 5, 13.93, 11.72, 10.04, 29.91, 23.6, 22.5
1958, 6, 18.48, 15.79, 13.84, 53.1, 56.45, 59.77
1958, 7, 21.3, 18.9, 17.15, 0.2845, 2.566, 3.674
1958, 8, 18.95, 16.47, 14.7, 0.2445, 0.2646, 0.2212
1958, 9, 16.82, 14.25, 12.37, 144.3, 103.8, 86.69
1958, 10, 13.16, 10.64, 8.717, 21.31, 19.55, 17.46
1958, 11, 7.163, 4.486, 2.639, 25.06, 16.56, 13.35
1958, 12, 5.037, 2.18, 0.3609, 173.7, 157.8, 158.9
1959, 1, 5.57, 3.335, 1.789, 108.7, 100.3, 98.61
1959, 2, 6.455, 4.325, 2.697, 33.4, 25.8, 23.24
1959, 3, 6.479, 4.228, 2.484, 82.6, 71.4, 64.59
1959, 4, 7.888, 5.461, 3.626, 111.9, 91.17, 84.32
1959, 5, 14.42, 11.92, 10.01, 28.6, 30.12, 32.67
1959, 6, 17.93, 15.47, 13.64, 39.06, 32.91, 32.15
1959, 7, 20.51, 18.19, 16.38, 20.09, 16.11, 17.71
1959, 8, 17.38, 14.95, 13.1, 47.75, 53.31, 56.76
1959, 9, 13.93, 11.36, 9.513, 26.64, 22.22, 19.29
1959, 10, 11.84, 9.155, 7.268, 72.05, 56.73, 50.61
1959, 11, 7.173, 4.461, 2.599, 106.6, 79.54, 70.52
1959, 12, 2.847, 0.2387, -1.642, 508.2, 459.5, 451.6
1960, 1, 2.601, -0.2257, -2.065, 117.8, 103.3, 97.61
1960, 2, 3.341, 0.9315, -0.9349, 178.7, 163.4, 155.3
1960, 3, 6.186, 3.474, 1.508, 139.1, 115.6, 105.1
1960, 4, 11.02, 8.391, 6.466, 19.91, 20.2, 20.58
1960, 5, 14.24, 11.83, 9.977, 22.32, 27.74, 31.28
1960, 6, 19.11, 16.36, 14.43, 30.67, 29.84, 31.51
1960, 7, 22.26, 19.77, 17.97, 0.1345, 0.2027, 0.2525
1960, 8, 21.5, 18.85, 16.95, 0, 3.747E-5, 7.915E-5
1960, 9, 18.13, 15.56, 13.73, 19.69, 17.11, 15.96
1960, 10, 15.14, 12.5, 10.67, 11, 8.425, 7.46
1960, 11, 4.309, 1.742, -0.1195, 105.2, 81.2, 71.34
1960, 12, 2.2, -0.4876, -2.426, 235.2, 202.7, 205.8
1961, 1, 3.274, 0.7376, -1.039, 392.5, 326.6, 307.5
1961, 2, 0.1751, -2.88, -4.955, 67.93, 57.36, 50.49
1961, 3, 3.311, 0.3045, -1.729, 140.9, 119, 110.9
1961, 4, 7.311, 4.682, 2.784, 86.22, 59.52, 50.36
1961, 5, 14.69, 12.21, 10.4, 2.322, 3.623, 4.089
1961, 6, 18.34, 15.91, 14.08, 25.52, 25.55, 24.86
1961, 7, 21.17, 18.83, 17.11, 0, 0, 0
1961, 8, 22.56, 20.13, 18.36, 0.9511, 1.494, 1.777
1961, 9, 19.04, 16.46, 14.62, 31.78, 26.61, 25.86
1961, 10, 13.96, 11.45, 9.606, 103.9, 98.46, 92.76
1961, 11, 7.849, 4.888, 2.962, 18.81, 16.11, 15.96
1961, 12, 5.096, 2.624, 0.8487, 242.1, 202.6, 200.3
1962, 1, 0.6574, -2.16, -4.166, 111.9, 109.4, 115.2
1962, 2, -2.243, -5.629, -7.764, 158.3, 136.8, 127.3
1962, 3, 7.655, 5.336, 3.607, 110.6, 97.47, 91.8
1962, 4, 10.08, 7.456, 5.552, 89.75, 75.87, 68.96
1962, 5, 13.07, 10.73, 8.922, 28.27, 31.61, 34.73
1962, 6, 19.96, 17.94, 16.27, 4.93, 6.502, 7.139
1962, 7, 21.54, 19.03, 17.23, 0, 0.5053, 0.7538
1962, 8, 20.49, 18.35, 16.63, 28.04, 28.17, 29.78
1962, 9, 15.6, 13.26, 11.52, 36.61, 43.55, 47.39
1962, 10, 10.76, 8.097, 6.153, 88.3, 66.17, 54.02
1962, 11, 5.797, 3.191, 1.256, 108.3, 91.82, 86.49
1962, 12, 4.067, 1.572, -0.233, 108, 83.46, 75.37
1963, 1, 1.487, -0.9039, -2.561, 194.5, 162.5, 158.4
