# Created by WEAP: 1/7/2021 1:48:34 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_DEN_Clear Creek (144,069 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (29,139 ha),  2000 - 3000 m (64,980 ha),  3000 - 4000 m (49,321 ha),  4000 - 5000 m (630 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, 2.021, -2.549, -7.644, -9.449, 3.056, 8.45, 25.79, 26.25
1950, 2, 1.879, -2.637, -7.035, -9.04, 17.29, 25.9, 55.5, 58
1950, 3, 6.84, 1.514, -3.459, -5.513, 43.12, 50.05, 95.37, 118.1
1950, 4, 7.374, 2.015, -3.14, -5.291, 95.76, 91.52, 133.8, 144.6
1950, 5, 15.97, 10.08, 5.288, 3.182, 38.17, 40.81, 54.75, 62.41
1950, 6, 19.12, 13.37, 8.777, 6.682, 43.56, 51.66, 55.54, 59.13
1950, 7, 22.81, 16.35, 11.47, 9.197, 24.4, 26.41, 28.45, 25.17
1950, 8, 22.51, 15.91, 10.83, 8.598, 16.87, 23.52, 32.06, 39.59
1950, 9, 16.44, 10.98, 6.62, 4.55, 28.07, 43.16, 85, 109.4
1950, 10, 7.769, 2.72, -1.529, -3.556, 88.18, 82.33, 90.13, 111.8
1950, 11, 1.521, -1.75, -5.448, -7.427, 24.82, 28.94, 53.04, 56.3
1950, 12, 0.3038, -3.989, -8.284, -10.09, 15.46, 27.53, 61.11, 55.73
1951, 1, 1.585, -2.948, -7.819, -9.633, 7.795, 14.23, 43.36, 44.1
1951, 2, 2.464, -2.293, -7.142, -9.152, 10.07, 15.15, 43.33, 40.16
1951, 3, 3.008, -2.303, -7.344, -9.336, 8.685, 21.26, 57.9, 55.44
1951, 4, 11.37, 5.78, 0.4684, -1.567, 22.21, 26.69, 46.22, 46.13
1951, 5, 15.97, 10.15, 5.428, 3.223, 67.55, 62.91, 71.17, 79.17
1951, 6, 22.49, 16.36, 11.5, 9.408, 26.55, 17.94, 13.87, 13.27
1951, 7, 24.53, 18.37, 13.37, 11.18, 26.37, 43.41, 50.65, 52.01
1951, 8, 23.36, 17.21, 12.3, 10.14, 39.62, 51.84, 64.78, 67.28
1951, 9, 18.32, 13.2, 8.781, 6.672, 22.87, 23.62, 34.93, 35.02
1951, 10, 11.02, 5.902, 1.597, -0.3974, 48.46, 48.71, 62.64, 64.55
1951, 11, 7.435, 2.455, -2.326, -4.356, 16.79, 29.87, 57.53, 56.93
1951, 12, 2.163, -2.815, -7.893, -9.773, 18.19, 27.84, 60.49, 58.65
1952, 1, -1.127, -5.477, -10.14, -11.85, 12.02, 20.57, 44.73, 54.36
1952, 2, 4.363, -0.4931, -5.519, -7.484, 14.75, 19.37, 44.18, 39.44
1952, 3, 2.84, -2.571, -7.441, -9.598, 35.88, 53.52, 92.11, 98.34
1952, 4, 9.929, 4.504, -0.4961, -2.457, 70.39, 79.22, 105.1, 105.4
1952, 5, 16.38, 10.84, 6.318, 4.225, 67.9, 71.16, 74.66, 71.94
1952, 6, 19.35, 13.59, 8.958, 7.03, 27.25, 27.47, 29.69, 33.14
1952, 7, 23.15, 16.91, 12.14, 9.953, 44.96, 61.79, 84.52, 75.08
1952, 8, 23.71, 17.59, 12.81, 10.58, 47.99, 71.07, 92.03, 93.94
1952, 9, 18.42, 12.94, 8.81, 6.743, 16.84, 28.31, 55.14, 62.23
1952, 10, 14.53, 8.773, 4.039, 2.015, 16.75, 20.62, 31.5, 35.03
1952, 11, 8.465, 3.316, -1.479, -3.638, 17.05, 19.45, 37.63, 40.23
1952, 12, 3.016, -2.497, -7.825, -9.756, 4.577, 13.27, 37.52, 32.36
1953, 1, -2.394, -6.401, -11.12, -12.95, 20.43, 34.58, 100.2, 119.2
1953, 2, 6.464, 0.7623, -4.291, -6.147, 6.224, 14.25, 43.86, 48.79
1953, 3, 7.923, 2.045, -3.374, -5.286, 14.34, 21.67, 50.98, 45.59
1953, 4, 8.807, 3.594, -1.064, -3.173, 52.15, 58.33, 98.77, 96.85
1953, 5, 14.45, 8.591, 3.644, 1.402, 90.93, 107.1, 137.8, 154.2
1953, 6, 21.23, 15.28, 10.68, 8.566, 27.76, 37.03, 43.54, 52
1953, 7, 23.51, 17.03, 12.05, 9.824, 23.61, 53.21, 73.46, 62.81
1953, 8, 22.79, 16.88, 12.32, 10.19, 28.67, 36.41, 40.22, 41.94
1953, 9, 19.16, 13.85, 9.506, 7.351, 43.65, 53.37, 108.9, 152.6
1953, 10, 11.49, 6.505, 2.443, 0.5761, 31.42, 34.09, 56.13, 66.91
1953, 11, 5.193, 0.01657, -4.859, -6.913, 9.338, 14.18, 31.28, 31.77
1953, 12, 1.408, -2.75, -6.976, -8.782, 9.517, 10.95, 20.11, 25.23
1954, 1, -2.746, -6.943, -11, -12.96, 24.61, 32.56, 58.88, 70.07
1954, 2, 3.913, -1.121, -6.159, -7.902, 18.51, 26.29, 62.24, 63.56
1954, 3, -0.8687, -5.993, -10.61, -12.56, 45.97, 55.7, 74.76, 88.85
1954, 4, 10.34, 4.672, -0.123, -2.212, 37.18, 60.13, 93.23, 95.81
1954, 5, 16.76, 10.39, 5.498, 3.313, 88.21, 92.23, 99.25, 102.7
1954, 6, 20.6, 14.63, 9.601, 7.588, 45.43, 46.82, 39.62, 42.51
1954, 7, 24.97, 18.71, 14.1, 11.93, 57.09, 92.94, 107.2, 96.52
1954, 8, 23.84, 17.76, 12.74, 10.51, 65.48, 78.45, 60.18, 57.78
1954, 9, 16.29, 11.29, 7.53, 5.42, 20.86, 23.16, 42.77, 39.23
1954, 10, 11.51, 6.58, 2.474, 0.3489, 46.49, 54.25, 70.24, 63.16
1954, 11, 4.791, 0.172, -4.163, -6.069, 34.4, 50.79, 98.76, 106.5
1954, 12, -2.044, -6.397, -10.81, -12.71, 10.83, 20.94, 52.3, 50.55
1955, 1, -7.828, -11.48, -15.6, -17.17, 3.503, 7.975, 27.67, 23.53
1955, 2, 1.998, -2.578, -7.161, -9.028, 10.71, 14.4, 23.4, 25.57
1955, 3, 2.851, -2.471, -7.266, -9.337, 13.47, 20.82, 46.64, 42.78
1955, 4, 10.56, 5.06, 0.3483, -1.753, 46.64, 58.83, 79.77, 85.61
1955, 5, 13.81, 8.2, 3.689, 1.41, 100.8, 125.2, 141.2, 145.5
1955, 6, 22.22, 16.1, 11.16, 9.092, 39.06, 25.82, 18.36, 21.83
1955, 7, 23.49, 17.51, 12.97, 10.76, 82.29, 77.44, 72.3, 73.73
1955, 8, 22.33, 16.03, 11.18, 9.071, 42.1, 55.42, 63.18, 54.6
1955, 9, 18.52, 12.9, 8.179, 6.076, 21.73, 20.98, 28.74, 27.55
1955, 10, 11.83, 6.731, 2.174, 0.07349, 21.31, 23.49, 28.47, 30.65
1955, 11, 4.801, -0.2584, -4.999, -6.813, 8.041, 13.95, 30.57, 32.1
