# Created by WEAP: 1/7/2021 1:49:55 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Iron Canyon (2,903 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,882 ha),  1000 - 2000 m (1,022 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, 3.087, 2.335, 325, 320.5
1950, 2, 5.141, 4.233, 398.1, 409.2
1950, 3, 7.523, 6.661, 581.5, 557.1
1950, 4, 9.193, 8.348, 60.15, 59.2
1950, 5, 16.92, 16.12, 77.44, 71.37
1950, 6, 22.88, 22.02, 10.9, 12.08
1950, 7, 20.09, 19.24, 1.979, 1.492
1950, 8, 20.51, 19.65, 15.96, 16.5
1950, 9, 19.53, 18.69, 21.31, 21.57
1950, 10, 12.66, 11.8, 157.5, 143.3
1950, 11, 5.802, 5.041, 135.9, 134.5
1950, 12, 3.654, 2.89, 193.9, 187.8
1951, 1, 1.891, 1.043, 583.7, 563.7
1951, 2, 5.543, 4.749, 204.4, 201.1
1951, 3, 2.121, 1.31, 120, 118
1951, 4, 8.836, 7.923, 103.4, 103.4
1951, 5, 12.29, 11.44, 163.3, 151.4
1951, 6, 18.9, 18.04, 26.6, 32.23
1951, 7, 21.56, 20.67, 4.325, 3.725
1951, 8, 19.52, 18.7, 6.399, 8.864
1951, 9, 18.17, 17.37, 1.345, 1.1
1951, 10, 12.97, 12.17, 144.4, 136.2
1951, 11, 4.894, 4.048, 405.3, 404
1951, 12, 3.114, 2.384, 136.6, 134.2
1952, 1, 1.365, 0.6196, 37.39, 36.23
1952, 2, 6.997, 6.214, 32.75, 33.34
1952, 3, 8.667, 7.81, 42.7, 44.49
1952, 4, 9.038, 8.143, 212.3, 215.8
1952, 5, 12.87, 11.97, 25.43, 26.33
1952, 6, 18.59, 17.72, 6.799, 9.204
1952, 7, 20, 19.14, 4.489, 5.141
1952, 8, 22.08, 21.24, 0, 0
1952, 9, 18.66, 17.87, 47.06, 41.78
1952, 10, 10.99, 10.14, 199.5, 184
1952, 11, 3.307, 2.438, 545.1, 539.6
1952, 12, 0.8791, 0.1391, 148.7, 143.3
1953, 1, 0.01067, -0.8001, 642.1, 629.7
1953, 2, 5.507, 4.692, 224.6, 226.2
1953, 3, 10.36, 9.534, 103.3, 99.5
1953, 4, 7.363, 6.478, 402.9, 386.1
1953, 5, 15.2, 14.35, 42.67, 41.55
1953, 6, 19.53, 18.69, 4.068, 5.019
1953, 7, 22.73, 21.9, 1.081, 0.9999
1953, 8, 21.56, 20.75, 0, 0
1953, 9, 18.62, 17.84, 2.899, 3.012
1953, 10, 16.64, 15.89, 16.8, 17.93
1953, 11, 7.893, 7.09, 68.71, 68.46
1953, 12, 5.167, 4.425, 142.5, 146
1954, 1, 2.99, 2.234, 246.4, 243.7
1954, 2, 1.95, 1.098, 241.5, 248
1954, 3, 5.183, 4.335, 99.14, 93.91
1954, 4, 9.681, 8.781, 203, 199.4
1954, 5, 12.58, 11.71, 88.58, 84.38
1954, 6, 15.53, 14.66, 63.55, 61.55
1954, 7, 23, 22.2, 1.867, 2.442
1954, 8, 20.59, 19.78, 0.02259, 0.03086
1954, 9, 17.4, 16.58, 0.5252, 0.5641
1954, 10, 12.37, 11.55, 138.3, 125.1
1954, 11, 7.611, 6.814, 133.7, 136.6
1954, 12, 3.11, 2.314, 199.1, 198
1955, 1, -0.1531, -0.8594, 1.005, 0.6078
1955, 2, 3.765, 2.93, 136.3, 135.1
1955, 3, 2.165, 1.314, 240.1, 239.2
1955, 4, 10.87, 9.992, 64.55, 68.02
1955, 5, 17.4, 16.54, 10.22, 10.92
1955, 6, 17.33, 16.48, 75.04, 78.15
1955, 7, 22.29, 21.44, 0.5528, 0.9669
1955, 8, 18.86, 18.09, 14.54, 14.56
1955, 9, 18.09, 17.29, 0, 0
1955, 10, 10.58, 9.655, 114.1, 114.7
1955, 11, 6.821, 6.015, 126.6, 124.2
1955, 12, 5.018, 4.227, 538.7, 533
1956, 1, 1.469, 0.7535, 151.6, 156
1956, 2, 0.7067, -0.1348, 221.3, 221.7
1956, 3, 5.334, 4.453, 429.6, 424.4
1956, 4, 12.89, 12.03, 114.6, 114.1
1956, 5, 13.01, 12.13, 58.84, 53.66
1956, 6, 17.76, 16.92, 4.105, 4.679
1956, 7, 22.95, 22.12, 5.32, 4.962
1956, 8, 19.21, 18.36, 0.07075, 0.1153
1956, 9, 22.3, 21.47, 40.18, 34.87
1956, 10, 10.95, 10.06, 103.8, 101.7
1956, 11, 8.856, 8.074, 56.09, 56.77
1956, 12, 3.878, 3.088, 482.6, 486
1957, 1, 3.383, 2.644, 239.5, 239.7
1957, 2, 7.561, 6.716, 130.6, 131.9
1957, 3, 7.427, 6.582, 35.5, 37.45
1957, 4, 7.398, 6.531, 311.3, 295.3
1957, 5, 16.26, 15.42, 4.05, 3.854
1957, 6, 16.89, 16.03, 66.1, 64.99
1957, 7, 20.37, 19.54, 27.94, 32.66
1957, 8, 21.66, 20.83, 3.994, 4.365
1957, 9, 19.16, 18.35, 88.56, 81.73
1957, 10, 9.892, 9.049, 224.2, 224.1
1957, 11, 4.749, 4.031, 69.59, 66
1957, 12, 5.067, 4.375, 25.83, 25.65
1958, 1, 4.444, 3.643, 818.4, 815.7
1958, 2, 6.273, 5.429, 237, 235.8
1958, 3, 6.203, 5.286, 360.5, 351
1958, 4, 10.39, 9.526, 142.2, 134.2
1958, 5, 13.29, 12.44, 118.3, 113.6
1958, 6, 18.65, 17.77, 49.94, 47.38
1958, 7, 21.19, 20.32, 2.748, 2.354
1958, 8, 18.72, 17.93, 1.234, 1.385
1958, 9, 16.78, 15.92, 299.9, 275.1
1958, 10, 13.12, 12.28, 76, 70.8
1958, 11, 7.629, 6.88, 42.35, 44.51
1958, 12, 7.102, 6.435, 317.7, 306.5
1959, 1, 6.794, 6.106, 183.6, 180.6
1959, 2, 7.72, 6.967, 99.27, 100.2
1959, 3, 7.357, 6.507, 184.3, 172.1
1959, 4, 8.807, 7.981, 197.2, 194.3
1959, 5, 14.85, 14.06, 51.1, 50.92
1959, 6, 17.88, 17.04, 83.06, 88.83
1959, 7, 21.07, 20.26, 14.29, 16.43
1959, 8, 17.45, 16.65, 85.84, 75.51
1959, 9, 13.62, 12.78, 74.81, 71.94
1959, 10, 11.63, 10.79, 143.3, 139.8
1959, 11, 7.051, 6.267, 233.7, 239.5
1959, 12, 2.996, 2.135, 774.3, 765.4
1960, 1, 3.944, 3.207, 240.5, 239.6
1960, 2, 4.331, 3.488, 214.3, 216.6
1960, 3, 7.463, 6.649, 181.4, 173.5
1960, 4, 11.91, 11.07, 34.21, 32.16
1960, 5, 14.53, 13.68, 37.45, 38.5
1960, 6, 19.42, 18.51, 58.65, 58.05
1960, 7, 22.35, 21.55, 1.051, 1.34
1960, 8, 21.51, 20.72, 0, 0
1960, 9, 18.6, 17.77, 52.72, 48.49
1960, 10, 15.65, 14.84, 38.7, 40.59
1960, 11, 3.988, 3.215, 227.8, 219.9
1960, 12, 1.795, 1.012, 526.6, 515.8
1961, 1, 3.566, 2.701, 814.7, 795.4
1961, 2, 1.251, 0.4842, 105.3, 113
1961, 3, 3.677, 2.833, 187.5, 188.1
1961, 4, 6.87, 6.01, 162.8, 172
1961, 5, 14.64, 13.81, 8.482, 9.019
1961, 6, 18.35, 17.49, 41.2, 41.17
1961, 7, 20.78, 19.98, 0.4336, 0.345
1961, 8, 22.34, 21.5, 0.5039, 0.643
1961, 9, 19.32, 18.5, 54.75, 54.7
1961, 10, 14.1, 13.24, 145.6, 136.2
1961, 11, 8.979, 8.284, 36.55, 36.71
1961, 12, 5.867, 5.193, 586.8, 572.8
1962, 1, 1.086, 0.2651, 276, 262.9
1962, 2, -1.781, -2.615, 314.2, 307.2
1962, 3, 7.374, 6.48, 253.4, 238.6
1962, 4, 11.04, 10.19, 116.2, 111.1
1962, 5, 12.65, 11.78, 25.6, 26.18
1962, 6, 20.24, 19.37, 7.573, 8.516
1962, 7, 21.9, 21.12, 0.8119, 0.7341
1962, 8, 21.05, 20.22, 48.02, 46.12
1962, 9, 16.26, 15.44, 39.81, 40.16
1962, 10, 10.93, 10.09, 196.3, 197.7
1962, 11, 6.146, 5.343, 169.5, 169.2
1962, 12, 4.423, 3.665, 240.2, 239.5
1963, 1, 1.978, 1.167, 442.8, 434.7
1963, 2, 6.63, 5.794, 376.7, 380.7
1963, 3, 11.94, 11.09, 16.9, 18.08
1963, 4, 11.63, 10.72, 124.6, 122.4
1963, 5, 11.52, 10.62, 212.5, 203.4
1963, 6, 14.41, 13.52, 40.13, 43.35
1963, 7, 20.12, 19.26, 3.968, 4.054
1963, 8, 24.59, 23.7, 3.215, 4.578
1963, 9, 15.68, 14.82, 225.5, 210.9
1963, 10, 14.81, 14, 20.77, 20.91
1963, 11, 4.47, 3.673, 484.6, 476.5
1963, 12, 4.932, 4.16, 116.4, 115.9
1964, 1, 1.928, 1.118, 458.2, 461.4
1964, 2, 5.399, 4.535, 330.7, 329.6
1964, 3, 7.016, 6.17, 385.9, 379.1
1964, 4, 9.798, 8.947, 116, 120.2
1964, 5, 13.01, 12.13, 154.9, 148.6
1964, 6, 19.4, 18.54, 74.09, 78.5
1964, 7, 18.45, 17.54, 18.66, 19.6
1964, 8, 17.59, 16.76, 13.98, 20.09
1964, 9, 17.73, 16.86, 81.54, 74.05
1964, 10, 10.58, 9.753, 63.75, 63.39
1964, 11, 8.076, 7.256, 351.6, 349
1964, 12, 4.292, 3.512, 561.6, 565.8
1965, 1, 4.523, 3.785, 331.1, 336.1
1965, 2, 5.562, 4.748, 159, 152.4
1965, 3, 7.318, 6.482, 164.6, 162
1965, 4, 12.33, 11.44, 134.7, 129.9
1965, 5, 13.21, 12.36, 72.09, 71.99
1965, 6, 18.17, 17.29, 42.76, 44.5
1965, 7, 23.56, 22.77, 6.521, 6.929
1965, 8, 20.06, 19.28, 1.537, 2.294
