# Created by WEAP: 1/7/2021 1:50:33 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upr SF Feather (4,201 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,069 ha),  2000 - 3000 m (132 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -0.2378, -1.734, 294.2, 308.9
1950, 2, 1.453, 0.2719, 354.4, 331.9
1950, 3, 4.393, 3.459, 532.9, 483.1
1950, 4, 6.41, 5.467, 53.63, 46.27
1950, 5, 13.78, 12.67, 56.16, 47.39
1950, 6, 18.8, 17.73, 45.34, 42
1950, 7, 16.76, 15.73, 2.161, 2.565
1950, 8, 17.27, 16.13, 30.55, 29.66
1950, 9, 15.91, 14.74, 10.26, 6.605
1950, 10, 9.405, 8.21, 134.3, 102.3
1950, 11, 2.576, 1.379, 112.7, 104.4
1950, 12, 0.886, -0.3127, 149.8, 149.5
1951, 1, -1.045, -2.27, 465.8, 456.7
1951, 2, 2.604, 1.38, 174.7, 155.1
1951, 3, 0.2758, -0.8108, 118.4, 109.1
1951, 4, 5.865, 4.796, 91.33, 82.26
1951, 5, 8.213, 7.195, 141.3, 131.3
1951, 6, 14.98, 13.95, 10.02, 21.66
1951, 7, 17.6, 16.58, 5.63, 5.275
1951, 8, 15.77, 14.62, 4.451, 4.671
1951, 9, 15.47, 14.28, 15.5, 15.05
1951, 10, 9.96, 8.784, 78.56, 66.07
1951, 11, 1.831, 0.6827, 460, 462.2
1951, 12, 0.02956, -1.449, 116.2, 110.1
1952, 1, -0.44, -1.912, 9.589, 11.66
1952, 2, 4.093, 2.89, 85.4, 80.95
1952, 3, 5.428, 4.412, 27.67, 26.72
1952, 4, 5.737, 4.74, 148.8, 128.2
1952, 5, 9.96, 9.01, 23.91, 20.75
1952, 6, 15.32, 14.29, 15.75, 23.36
1952, 7, 16.69, 15.66, 7.165, 7.27
1952, 8, 18.37, 17.3, 0, 0
1952, 9, 15.43, 14.27, 4.776, 3.99
1952, 10, 8.187, 6.928, 86.93, 73.07
1952, 11, 0.6053, -0.5509, 511.3, 488.1
1952, 12, -1.446, -2.882, 144.9, 147.5
1953, 1, -3.222, -4.521, 706.6, 698
1953, 2, 1.879, 0.4822, 190, 164
1953, 3, 7.802, 6.718, 127.1, 125.5
1953, 4, 3.502, 2.566, 309.8, 265.7
1953, 5, 11.71, 10.68, 52, 49.32
1953, 6, 16.52, 15.51, 5.773, 8.832
1953, 7, 18.78, 17.6, 0, 0
1953, 8, 18.64, 17.46, 0, 0
1953, 9, 15.93, 14.73, 1.256, 0.9905
1953, 10, 14.18, 12.78, 8.734, 5.415
1953, 11, 5.344, 3.904, 109.8, 111
1953, 12, 2.302, 0.9421, 110.6, 109.5
1954, 1, 0.1409, -1.308, 223.3, 226
1954, 2, -0.1795, -1.472, 189, 178.4
1954, 3, 1.998, 0.9232, 126, 117.5
1954, 4, 6.766, 5.722, 176.8, 145.3
1954, 5, 8.514, 7.489, 122.2, 109.7
1954, 6, 11.57, 10.47, 44.7, 43.9
1954, 7, 19.19, 18.19, 1.628, 1.805
1954, 8, 17.22, 16.13, 0.006224, 0.01601
1954, 9, 14.13, 12.97, 11.24, 9.216
1954, 10, 7.948, 6.822, 227.1, 216.6
1954, 11, 4.562, 3.403, 166.1, 169.2
1954, 12, 0.2874, -1.095, 130.3, 144.5
1955, 1, -2.383, -3.767, 7.628, 8.476
1955, 2, 1.18, -0.01916, 160.5, 151
1955, 3, 0.8473, -0.2135, 181.8, 176.7
1955, 4, 7.656, 6.673, 70.48, 60.25
1955, 5, 13.35, 12.31, 15.92, 16.8
1955, 6, 14.22, 13.2, 24.21, 20.83
1955, 7, 19.06, 17.99, 0.4046, 0.3675
1955, 8, 15.43, 14.33, 70.79, 59.88
1955, 9, 15.46, 14.25, 0, 0
1955, 10, 7.674, 6.41, 40.22, 37.81
1955, 11, 4.271, 3.008, 84.64, 78.15
1955, 12, 1.735, 0.61, 747.6, 773.6
1956, 1, -0.8324, -2.468, 257.3, 244.4
1956, 2, -2.081, -3.447, 189.5, 161.8
1956, 3, 2.003, 0.8963, 493.1, 466.5
1956, 4, 8.984, 8.035, 150.9, 128.8
1956, 5, 10.03, 9.065, 59.96, 65.98
1956, 6, 12.87, 11.88, 27.81, 27.78
1956, 7, 18.83, 17.76, 0.8871, 0.9185
1956, 8, 16.2, 15.01, 0, 0
1956, 9, 18.51, 17.36, 68.11, 70.06
1956, 10, 8.483, 7.359, 32.33, 24.53
1956, 11, 6.528, 5.269, 62.62, 62.73
1956, 12, 1.417, 0.2975, 397.5, 382.2
1957, 1, 1.538, 0.1188, 125.4, 112.3
1957, 2, 3.645, 2.396, 117.9, 104
1957, 3, 4.675, 3.664, 46.61, 40.35
1957, 4, 4.186, 3.149, 260.7, 231.7
1957, 5, 13.04, 11.94, 17.83, 16.64
1957, 6, 13.25, 12.24, 44.42, 44.82
1957, 7, 16.71, 15.58, 40.59, 42.27
1957, 8, 17.66, 16.56, 57.79, 62.51
1957, 9, 14.84, 13.83, 80.98, 75.75
1957, 10, 6.438, 5.162, 200.9, 174.4
1957, 11, 2.739, 1.412, 66.81, 64.5
1957, 12, 2.325, 0.795, 17.4, 18.4
1958, 1, 1.208, -0.1148, 738.9, 731
1958, 2, 3.373, 2.195, 243.1, 230.3
1958, 3, 2.387, 1.487, 432, 403.8
1958, 4, 7.255, 6.054, 66.16, 51.43
1958, 5, 11.09, 10.06, 46.68, 41.74
1958, 6, 14.86, 13.81, 144.6, 144.2
1958, 7, 18.01, 16.85, 1.063, 1.305
1958, 8, 15.53, 14.32, 0.04223, 0
1958, 9, 13.84, 12.69, 190.6, 115.5
1958, 10, 10.44, 9.229, 38.47, 38.01
1958, 11, 5.253, 3.92, 32.74, 31.24
1958, 12, 3.65, 2.111, 331.9, 352.6
1959, 1, 3.879, 2.618, 204.9, 221.8
1959, 2, 4.41, 3.293, 57.36, 50.27
1959, 3, 4.027, 3.031, 156.4, 144.3
1959, 4, 4.673, 3.709, 191.4, 172.7
1959, 5, 11.46, 10.4, 50.29, 46.37
