# Created by WEAP: 1/7/2021 1:44:50 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_S Umpqua (1,079,484 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (949,693 ha),  1000 - 2000 m (129,776 ha),  2000 - 3000 m (16 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 5.24, 1.505, -1.8, 163.7, 179.9, 180.8
1950, 2, 6.718, 2.954, -0.6828, 99.59, 111.8, 138.1
1950, 3, 9.085, 5.421, 1.761, 217.9, 220.4, 239.4
1950, 4, 8.451, 5.466, 2.006, 65.46, 70.49, 68.12
1950, 5, 14.38, 12.21, 9.546, 112.7, 115.1, 103.4
1950, 6, 18.66, 17.63, 15.46, 7.079, 9.958, 4.864
1950, 7, 18.18, 16.36, 14.04, 18.6, 13.3, 14.43
1950, 8, 19.59, 17.16, 14.44, 29.33, 56.06, 75.21
1950, 9, 17.8, 15.2, 12.41, 57.95, 69.52, 64.32
1950, 10, 12.22, 9.08, 5.831, 137.1, 162.4, 150.5
1950, 11, 6.552, 3.146, 0.09711, 86.91, 89.43, 88.29
1950, 12, 4.757, 1.226, -2.045, 329.3, 347.3, 343.1
1951, 1, 3.552, -0.1493, -3.464, 293.8, 296.3, 309.8
1951, 2, 5.854, 2.481, -0.5117, 128.8, 131.8, 145.7
1951, 3, 4.957, 0.9103, -3.059, 169.5, 166.6, 169
1951, 4, 8.388, 5.709, 2.502, 176.6, 175.6, 164.5
1951, 5, 10.81, 8.125, 5.13, 79.54, 90.58, 89.42
1951, 6, 15.43, 13.67, 10.98, 19.65, 40.85, 42.51
1951, 7, 18.82, 17.05, 14.87, 29.93, 28.27, 22.55
1951, 8, 18.77, 16.85, 14.62, 13.18, 16.57, 16.22
1951, 9, 16.73, 13.69, 10.78, 15.85, 24.53, 24
1951, 10, 12.41, 9.509, 6.736, 157.7, 154.2, 154.7
1951, 11, 5.908, 2.018, -1.206, 332.6, 348.2, 338
1951, 12, 3.425, -0.2269, -3.329, 155.4, 169.5, 163.6
1952, 1, 2.377, -1.145, -4.528, 79.57, 83.43, 88.77
1952, 2, 7.206, 4.303, 1.123, 71.99, 74.59, 66.67
1952, 3, 8.485, 5.188, 1.856, 172.5, 169.7, 183
1952, 4, 8.744, 5.679, 2.524, 171.9, 198.9, 214.6
1952, 5, 11.72, 9.178, 6.187, 83.72, 100.4, 96.65
