# Created by WEAP: 1/7/2021 1:46:32 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Mdl Santiam (287,310 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (245,662 ha),  1000 - 2000 m (41,648 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

1950, 1, 4.367, 0.7432, 199.5, 292.7
1950, 2, 5.482, 2.138, 92.1, 139.2
1950, 3, 8.061, 4.339, 227.7, 306.8
1950, 4, 7.551, 4.123, 81.9, 118.6
1950, 5, 13.54, 10.57, 162.3, 214.6
1950, 6, 17.21, 15.05, 30.02, 37.76
1950, 7, 17.46, 14.98, 48.09, 49.82
1950, 8, 18.5, 15.61, 43.98, 57.69
1950, 9, 17.23, 14.27, 75.89, 94.87
1950, 10, 11.23, 8.02, 222, 329.9
1950, 11, 5.843, 2.85, 96.04, 124.3
1950, 12, 3.381, -0.129, 436.8, 622.8
1951, 1, 2.731, -0.994, 358.2, 497.5
1951, 2, 5.262, 1.957, 150.9, 205.7
1951, 3, 4.911, 1.16, 220, 314.5
1951, 4, 7.634, 4.404, 234.6, 314.2
1951, 5, 10.06, 6.873, 105.4, 130.8
1951, 6, 14.81, 12.1, 27.27, 43.31
1951, 7, 17.89, 15.25, 51.98, 63.55
1951, 8, 17.86, 15.12, 30.01, 39.26
1951, 9, 15.46, 12.4, 24.17, 38.2
1951, 10, 11.65, 8.84, 205.2, 271.5
1951, 11, 5.4, 1.959, 386.2, 531.1
1951, 12, 3.204, -0.2049, 191.4, 283.9
1952, 1, 1.268, -2.066, 119.1, 161.6
1952, 2, 6.086, 2.841, 100.5, 131.7
1952, 3, 7.05, 3.585, 192.3, 273.4
1952, 4, 7.643, 4.148, 198.1, 258.5
1952, 5, 11.14, 7.993, 140.1, 176.9
1952, 6, 15.39, 12.59, 27.46, 41.76
1952, 7, 16.99, 14.4, 35.01, 40
1952, 8, 20.21, 17.86, 7.944, 9.973
1952, 9, 15.73, 12.8, 58.3, 96.19
1952, 10, 10.09, 6.781, 288.1, 399.6
1952, 11, 4.657, 1.192, 400.5, 530.7
1952, 12, 3.314, -0.2407, 316.1, 444
1953, 1, -0.1839, -3.371, 395.9, 581.1
1953, 2, 5.468, 2.078, 201.7, 286.5
1953, 3, 9.593, 6.663, 49.27, 68.19
1953, 4, 9.055, 5.523, 189.1, 248.6
1953, 5, 13.06, 9.983, 74.53, 103.9
1953, 6, 16.36, 13.49, 70.28, 96.12
1953, 7, 18.73, 16.36, 4.963, 3.484
1953, 8, 18.16, 15.77, 27.22, 24.06
1953, 9, 16.06, 13.24, 62.82, 86.11
1953, 10, 12.72, 9.924, 61.33, 73.92
1953, 11, 7.297, 3.999, 78.19, 113.3
1953, 12, 5.647, 1.954, 48.09, 60.22
1954, 1, 3.881, 0.7248, 184.6, 266.7
1954, 2, 2.752, -0.7763, 184.9, 281.7
1954, 3, 5.322, 1.835, 124.3, 169.9
1954, 4, 9.286, 5.986, 135.4, 183.7
1954, 5, 11.52, 8.286, 107.6, 152.1
1954, 6, 13.71, 10.81, 69.56, 92.62
1954, 7, 18.86, 16.2, 23.1, 32.2
1954, 8, 17.5, 14.82, 41.52, 56.89
1954, 9, 15.88, 12.98, 28.53, 30.21
1954, 10, 11.54, 8.55, 73.23, 86.74
1954, 11, 7.401, 4.053, 214.5, 307.8
1954, 12, 3.948, 0.4876, 254.9, 376.1
