# Created by WEAP: 1/7/2021 1:46:52 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CESM1-CAM5.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Upper San Juan (835,043 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (84,215 ha),  2000 - 3000 m (606,184 ha),  3000 - 4000 m (144,507 ha),  4000 - 5000 m (136 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -0.4413, -3.299, -9.078, -12.3, 5.004, 8.134, 19.95, 16.6
1950, 2, 4.445, 0.802, -5.63, -8.348, 26.75, 40.42, 97.64, 56.9
1950, 3, 8.49, 4.782, -1.536, -3.744, 12.48, 22.62, 66.18, 54.59
1950, 4, 8.799, 5.465, -1.386, -4.266, 21.42, 36.56, 65.96, 88.6
1950, 5, 16.71, 13.08, 7.032, 4.63, 14.81, 24.43, 46.25, 51.26
1950, 6, 20.27, 16.38, 9.926, 7.277, 56.96, 59.99, 90.17, 83.73
1950, 7, 21.69, 17.65, 11.28, 8.587, 27.79, 31.99, 38.57, 40.14
1950, 8, 20.87, 16.76, 10.4, 7.202, 26.04, 32.27, 43.4, 51.72
1950, 9, 16.86, 13.49, 7.336, 4.548, 26.93, 32.34, 55.88, 66.04
1950, 10, 9.544, 6.303, 0.1832, -2.65, 15.62, 27, 59.26, 64.21
1950, 11, 2.436, -0.7919, -6.646, -9.164, 30.39, 50.59, 117.3, 101.5
1950, 12, -1.079, -3.676, -9.141, -11.58, 25, 52.75, 144.6, 109.4
1951, 1, -3.815, -5.599, -10.22, -12.3, 27.17, 47.05, 121.3, 142.7
1951, 2, 1.008, -2.714, -9.389, -12.03, 3.471, 7.606, 23.74, 14.6
1951, 3, 1.135, -2.312, -9.16, -12.22, 7.522, 13.59, 41.56, 48.08
