# Created by WEAP: 5/11/2021 10:26:31 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_DEN_Big Thompson (211,959 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (86,068 ha),  2000 - 3000 m (96,781 ha),  3000 - 4000 m (28,962 ha),  4000 - 5000 m (147 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -1.459, -4.404, -9.829, -10.86, 18.83, 49.03, 159.3, 214.6
2006, 2, 0.6619, -3.047, -8.277, -9.578, 41.7, 60.98, 132.6, 168.3
2006, 3, 5.847, 0.6009, -4.719, -6.436, 29.34, 42.48, 105.6, 116.8
2006, 4, 9.119, 3.993, -1.456, -3.159, 52.99, 44.41, 63.78, 61.92
2006, 5, 14.85, 9.884, 4.794, 3.057, 117.3, 116.9, 119.5, 134.4
2006, 6, 19.47, 14.14, 8.978, 7.311, 38.03, 46.98, 54.62, 66.7
2006, 7, 23.44, 18.05, 12.47, 10.66, 5.88, 7.989, 12.11, 12.73
2006, 8, 24.23, 18.91, 13.36, 11.75, 34.74, 34.08, 35.62, 36.05
2006, 9, 18.97, 13.94, 8.774, 7.135, 10.29, 14.15, 14, 12.75
2006, 10, 14.18, 9.808, 4.73, 3.097, 4.092, 8.957, 22.94, 33.11
2006, 11, 5.722, 1.753, -3.109, -4.516, 28.25, 39.89, 96.64, 118.2
2006, 12, 0.3037, -3.248, -8.89, -10.25, 6.755, 16.73, 75.18, 104.6
2007, 1, -1.331, -5.146, -11.13, -12.2, 9.356, 17.74, 54.91, 74.9
2007, 2, 1.422, -2.256, -7.895, -8.936, 15.13, 25.74, 69.8, 86.65
2007, 3, 1.744, -2.296, -7.119, -8.818, 29.1, 52.52, 125.1, 133.7
2007, 4, 9.607, 4.42, -0.8285, -2.668, 34.95, 52.94, 86, 107
2007, 5, 15.5, 10.61, 5.271, 3.531, 32, 42.74, 71.06, 82.38
2007, 6, 18.83, 13.52, 8.267, 6.521, 94.43, 111, 108.1, 118.4
2007, 7, 23.45, 18.43, 13, 11.39, 19.49, 25.14, 28.8, 31.74
2007, 8, 22.2, 17.24, 11.82, 10.05, 39.43, 56.93, 61.17, 58.65
2007, 9, 19.03, 14.02, 8.741, 7.024, 18.94, 26.39, 33.23, 36.16
2007, 10, 9.765, 5.334, 0.4546, -1.207, 34.99, 42.28, 97.22, 127.3
2007, 11, 6.072, 2.645, -2.651, -3.777, 11.51, 18.6, 56.8, 78.6
2007, 12, 2.05, -1.92, -7.923, -9.113, 3.822, 10.17, 37.67, 54.19
2008, 1, 2.632, -1.198, -7.139, -7.973, 2.877, 5.086, 27.17, 34.99
2008, 2, 3.688, -1.046, -6.525, -7.773, 4.335, 12.94, 40.43, 58.51
2008, 3, 5.248, 0.6087, -4.632, -6.528, 67.29, 91.16, 166.5, 208.1
2008, 4, 9.51, 4.412, -1.029, -2.891, 33.02, 44.39, 60.72, 70
2008, 5, 16.08, 10.63, 4.89, 3.173, 1.346, 2.653, 3.55, 3.769
2008, 6, 22.04, 16.85, 11.55, 9.975, 29.5, 31.11, 37.38, 40.8
2008, 7, 25.23, 20.19, 14.83, 13.32, 37, 45.52, 45.81, 49.21
2008, 8, 24.19, 18.65, 12.94, 11.31, 33.96, 64.06, 80.44, 84.63
2008, 9, 17.89, 12.96, 7.57, 5.836, 25.08, 32.43, 48.34, 55.66
2008, 10, 13.03, 8.395, 3.003, 1.249, 3.814, 4.726, 8.955, 7.861
2008, 11, 6.595, 3.143, -2.006, -3.195, 0.9913, 4.243, 30.37, 32.3
2008, 12, -4.865, -7.818, -12.62, -13.93, 18.59, 29.19, 94.51, 124.5
2009, 1, -7.45, -9.915, -14.59, -15.77, 14.19, 31.93, 92.66, 117.7
2009, 2, 3.991, -0.1042, -5.527, -6.844, 16.47, 26.67, 65.72, 73.5
2009, 3, 4.149, 0.195, -4.597, -6.359, 21.07, 33.36, 88.04, 88.56
2009, 4, 12.07, 6.906, 1.347, -0.2013, 88.77, 104, 141.6, 177.3
2009, 5, 15.19, 9.798, 4.478, 2.564, 75.77, 81.43, 114.1, 124
2009, 6, 21.2, 15.74, 10.28, 8.714, 27.72, 37.22, 44.03, 49.77
2009, 7, 23.61, 18.46, 13.02, 11.33, 12.05, 24.35, 29.61, 31.96
2009, 8, 26.82, 21.49, 15.69, 14.35, 21.63, 23.37, 43.49, 36.34
2009, 9, 16.96, 12.09, 7.122, 5.311, 24.85, 33.88, 39.22, 41.89
2009, 10, 13.08, 8.836, 3.784, 2.18, 38.66, 31.69, 51.01, 62
2009, 11, 6.48, 2.534, -2.758, -4.073, 15.53, 19.19, 50.16, 62.65
2009, 12, 1.721, -2.136, -7.701, -8.982, 8.815, 20.02, 73.39, 93.33
2010, 1, -0.1327, -4.089, -9.831, -11.01, 8.152, 12.44, 41.75, 50.92
2010, 2, 1.507, -2.764, -8.364, -9.625, 14.39, 17.03, 60.85, 74.13
2010, 3, 8.705, 3.744, -1.913, -3.529, 72.49, 74.33, 118.3, 135.2
2010, 4, 9.01, 4.041, -1.241, -2.896, 90.4, 113.3, 145, 173.3
2010, 5, 17.68, 12.38, 7.005, 5.228, 39.52, 36.63, 36.34, 35.87
2010, 6, 21.19, 16.26, 11, 9.479, 14.67, 13.76, 13.43, 16.04
2010, 7, 23.33, 18.04, 12.75, 11.06, 50.34, 71.33, 75.02, 78.26
2010, 8, 23.83, 18.34, 12.72, 11.12, 6.632, 12.83, 17.93, 19.37
2010, 9, 18.44, 13.87, 8.948, 7.321, 12.76, 13.79, 20.16, 19.39
2010, 10, 11.64, 7.026, 1.795, 0.1379, 4.149, 6.366, 15.6, 19.94
2010, 11, 6.396, 2.478, -2.928, -4.235, 4.989, 7.657, 19.21, 22.86
2010, 12, -3.341, -5.638, -10.22, -11.35, 13.08, 21.97, 67.28, 94.35
2011, 1, -0.0368, -3.649, -9.526, -10.7, 23.15, 41.69, 108.7, 159.4
2011, 2, 3.887, -0.2919, -5.771, -6.912, 13.41, 27.21, 74.88, 85.69
2011, 3, 7.236, 2.5, -3.006, -4.664, 26.48, 48.53, 112.6, 110.9
2011, 4, 7.377, 2.401, -2.807, -4.678, 159.7, 178.5, 269.7, 285.6
2011, 5, 14.82, 9.554, 4.453, 2.501, 35.97, 31.58, 50.42, 49.99
2011, 6, 19.3, 14.13, 8.924, 7.011, 72.03, 70.81, 63.42, 66.3
2011, 7, 22.64, 17.32, 11.97, 10.39, 43.38, 57.36, 73.11, 78.41
2011, 8, 24.81, 19.31, 13.58, 12.01, 21.55, 39.89, 44.86, 42.77
2011, 9, 19.57, 14.58, 9.504, 8.053, 65.98, 53.7, 71.39, 74.62
2011, 10, 13.39, 9.018, 4.136, 2.572, 1.802, 2.847, 8.386, 9.175
2011, 11, 2.813, -1.134, -6.065, -7.68, 48.13, 50.98, 105.2, 149.5
2011, 12, 1.947, -1.06, -6.458, -7.634, 4.993, 9.095, 33, 48.08
2012, 1, -1.157, -5.049, -10.74, -11.94, 9.552, 16.95, 58.13, 83.2
2012, 2, 5.239, 0.8776, -4.625, -5.909, 4.471, 12, 55.14, 63.12
2012, 3, 7.961, 2.901, -2.683, -4.569, 29.89, 37.47, 90.07, 121.6
2012, 4, 9.019, 4.021, -1.297, -3.122, 74.47, 80.94, 113.5, 126.8
2012, 5, 16.06, 10.91, 5.484, 3.66, 18.25, 21.52, 29.74, 31.82
2012, 6, 22.09, 16.56, 10.9, 9.16, 75.73, 84.44, 75.81, 82.99
2012, 7, 23.6, 18.68, 13.25, 11.61, 24.15, 49.19, 49.44, 48.18
2012, 8, 22.84, 17.47, 11.67, 9.884, 44.43, 59.76, 76.81, 76.06
2012, 9, 17.86, 12.67, 7.412, 5.701, 54.66, 56.54, 81.24, 85.6
2012, 10, 11.61, 6.918, 2.063, 0.3206, 64.05, 50.75, 82.21, 106.4
2012, 11, 3.989, -0.3243, -5.634, -7.177, 16.18, 17.45, 49.08, 58.16
2012, 12, 1.405, -2.666, -8.615, -9.779, 3.086, 6.936, 28.52, 40.75
2013, 1, -1.649, -5.125, -10.66, -11.85, 13.1, 31.04, 93.8, 125
2013, 2, 1.024, -3.609, -9.308, -10.68, 3.625, 10.73, 46.1, 49.66
2013, 3, 6.899, 1.352, -4.21, -6.073, 25.61, 24.12, 61.32, 67.87
2013, 4, 10.69, 5.217, -0.2731, -2.075, 59.98, 75.95, 120.9, 137
2013, 5, 15.08, 10.26, 5.239, 3.365, 33.67, 34.74, 53.53, 60.79
2013, 6, 22.06, 17.07, 12.24, 10.66, 44.12, 41.58, 31.05, 29.76
2013, 7, 24.33, 19.49, 14.36, 12.93, 103, 119.3, 108.2, 111.6
2013, 8, 24.83, 19.28, 13.46, 11.9, 13.04, 20.17, 31.63, 30.33
2013, 9, 21.7, 16.62, 11.44, 9.848, 3.396, 1.934, 2.613, 2.835
2013, 10, 11.66, 7.306, 2.369, 0.6001, 19.79, 22.11, 49.82, 67.73
2013, 11, 3.177, -0.4558, -5.995, -7.298, 9.38, 19.21, 58.72, 71.06
2013, 12, 0.3186, -3.881, -9.867, -11.1, 4.146, 8.364, 36.18, 42.81
2014, 1, 1.554, -2.701, -8.462, -9.374, 5.391, 13.28, 68.07, 94.26
2014, 2, -0.5982, -4.029, -9.263, -10.74, 4.178, 13.4, 74.15, 90.49
2014, 3, 1.004, -4.28, -9.906, -11.48, 8.254, 16.06, 53.03, 52.5
2014, 4, 9.047, 3.906, -1.679, -3.547, 37.25, 41.36, 45.66, 50.73
2014, 5, 15.95, 10.52, 4.976, 3.155, 83.59, 79.46, 87.43, 89.14
2014, 6, 18.66, 13.41, 8.055, 6.393, 56.87, 48.77, 43.67, 52.42
2014, 7, 25.87, 20.65, 15.24, 13.68, 25.09, 45.09, 53.58, 50.74
2014, 8, 24.31, 19.3, 13.91, 12.3, 27.83, 25.13, 21.91, 21.98
2014, 9, 21.89, 17.08, 11.97, 10.42, 2.634, 2.857, 4.587, 4.834
2014, 10, 14.15, 9.506, 4.345, 2.633, 7.919, 8.534, 21.49, 23.72
2014, 11, 5.378, 2.073, -2.961, -4.225, 13.58, 13.42, 35.09, 47.75
2014, 12, -1.072, -5.328, -11.23, -12.43, 6.591, 11.27, 39.35, 51.56
2015, 1, 5.072, 0.6322, -5.513, -6.661, 5.447, 11.87, 70.98, 88.02
2015, 2, 2.151, -1.257, -6.181, -7.522, 37.11, 36.72, 69.5, 84.5
2015, 3, 7.414, 2.175, -3.18, -4.97, 17.71, 31.75, 78.33, 81.26
2015, 4, 9.362, 4.307, -0.8927, -2.551, 191.4, 221.4, 305, 340.6
2015, 5, 14.42, 9.364, 4.204, 2.254, 123.9, 133.3, 169.8, 196
2015, 6, 20.42, 15.03, 9.53, 7.663, 65.14, 79.38, 69.13, 75.35
2015, 7, 23.21, 17.7, 12.14, 10.3, 50.07, 71.14, 81.18, 86.25
