# Created by WEAP: 5/11/2021 10:26:43 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Skokomish (25,235 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (16,205 ha),  1000 - 2000 m (9,030 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 2.457, -0.07235, 476, 557.7
2006, 2, 4.39, 1.859, 432, 489.6
2006, 3, 3.299, 0.9007, 506.3, 556.4
2006, 4, 8.365, 5.87, 169, 190.5
2006, 5, 9.032, 6.492, 62.85, 77.49
2006, 6, 13.34, 10.86, 30.51, 33.13
2006, 7, 15.43, 12.84, 7.052, 10.67
2006, 8, 14.79, 12.24, 92.13, 105.7
2006, 9, 11.68, 9.132, 132.1, 152.1
2006, 10, 8.155, 5.583, 387.4, 418
2006, 11, 3.382, 0.7883, 599.8, 682.3
2006, 12, 0.2361, -2.304, 801.7, 894.9
2007, 1, -1.206, -3.728, 267.6, 314.5
2007, 2, 2.114, -0.5205, 290.1, 329.2
2007, 3, 5.284, 2.74, 155.8, 181.1
2007, 4, 7.491, 4.906, 258, 282.5
2007, 5, 9.391, 6.894, 143.4, 168.5
2007, 6, 13.31, 10.82, 81.12, 93.05
2007, 7, 15.88, 13.27, 14.39, 18.78
2007, 8, 16.9, 14.28, 50.22, 50.1
2007, 9, 14.42, 11.94, 13.81, 19.33
2007, 10, 8.892, 6.232, 351, 374.7
2007, 11, 3.692, 1.029, 423, 460.1
2007, 12, 1.136, -1.421, 697, 788.1
2008, 1, 1.538, -1.055, 324.8, 368.7
2008, 2, -0.104, -2.61, 425.6, 483.4
2008, 3, 4.041, 1.669, 292.5, 330.3
2008, 4, 5.785, 3.417, 270, 306.2
2008, 5, 8.374, 5.862, 88.72, 107.4
2008, 6, 11.42, 8.903, 184.9, 216.9
2008, 7, 14.51, 12.01, 49.66, 66.44
2008, 8, 14.22, 11.57, 41.59, 48.91
2008, 9, 12.95, 10.43, 130.7, 154.9
2008, 10, 7.938, 5.302, 269.7, 291.9
2008, 11, 2.786, 0.1356, 369.3, 427.8
2008, 12, -0.8937, -3.418, 299.3, 348.5
2009, 1, -0.1285, -2.679, 590.1, 661.6
