# Created by WEAP: 5/11/2021 10:27:00 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Clear (52,092 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (32,289 ha),  1000 - 2000 m (19,803 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 5.689, 3.405, 142.1, 154.7
2006, 2, 8.65, 6.378, 168.1, 189.5
2006, 3, 7.945, 5.761, 259.1, 283.7
2006, 4, 12.48, 10.13, 218.3, 239.2
2006, 5, 16.53, 14.3, 27.28, 33.37
2006, 6, 22.38, 19.98, 15.71, 16.07
2006, 7, 25.57, 23.14, 0.6305, 0.8239
2006, 8, 24.94, 22.45, 0.002883, 0.006622
2006, 9, 18.12, 15.81, 7.071, 11.98
2006, 10, 17, 14.52, 14.37, 15.65
2006, 11, 9.033, 6.952, 139.5, 175
2006, 12, 4.918, 2.588, 419.4, 457.7
2007, 1, 3.13, 0.7851, 221.2, 229.8
2007, 2, 6.369, 4.148, 132.4, 148.7
2007, 3, 9.061, 6.769, 188.4, 218.1
2007, 4, 9.978, 7.681, 359.6, 374
2007, 5, 15.72, 13.42, 140.4, 139.6
2007, 6, 19.82, 17.42, 94.26, 98.75
2007, 7, 24.09, 21.84, 32.89, 35.46
2007, 8, 27.55, 25.1, 0.1881, 0.5892
2007, 9, 21.34, 18.95, 89.55, 103.6
2007, 10, 16.79, 14.49, 68.73, 72.51
2007, 11, 10.57, 8.184, 14.12, 17.2
2007, 12, 6.4, 4.085, 122.2, 148.7
2008, 1, 8.577, 6.308, 309.3, 344
2008, 2, 5.545, 3.429, 580.6, 635.4
2008, 3, 9.34, 7.083, 185.6, 191.4
2008, 4, 9.657, 7.472, 136.7, 176.3
2008, 5, 15.57, 13.29, 103.6, 113.2
2008, 6, 18.67, 16.36, 93.99, 108.1
2008, 7, 23.57, 21.4, 17.7, 19.66
2008, 8, 23, 20.59, 10.81, 13.19
2008, 9, 19.81, 17.41, 3.441, 4.324
2008, 10, 17.68, 15.36, 112.8, 117.8
2008, 11, 9.693, 7.556, 272, 318.2
2008, 12, 3.125, 0.9037, 50.49, 70.49
2009, 1, 4.418, 2.06, 67.99, 75.4
2009, 2, 7.704, 5.421, 331.9, 368.1
2009, 3, 9.482, 7.335, 364.9, 414.5
2009, 4, 13.1, 10.65, 22.3, 27.23
2009, 5, 15.93, 13.59, 34.5, 40.9
2009, 6, 22.12, 19.76, 26.07, 29.95
2009, 7, 25.25, 22.89, 27.45, 29.38
2009, 8, 24.03, 21.65, 6.942, 7.239
2009, 9, 22.15, 19.63, 1.021, 1.416
2009, 10, 16.08, 13.82, 11.88, 14.24
2009, 11, 11.65, 9.409, 189.9, 227.3
2009, 12, 4.832, 2.734, 280.9, 319.9
2010, 1, 4.4, 2.236, 578.3, 649.5
2010, 2, 7.247, 5.138, 201.3, 218.9
2010, 3, 7.09, 4.974, 851.1, 911.9
2010, 4, 13.81, 11.48, 84.57, 99.58
2010, 5, 14.84, 12.64, 112.9, 131.5
2010, 6, 22.24, 19.75, 0.1701, 0.5863
2010, 7, 26.69, 24.21, 2.01, 2.256
2010, 8, 24.66, 22.27, 0.1679, 0.3949
2010, 9, 21.12, 18.72, 6.577, 9.163
2010, 10, 14.93, 12.68, 23.07, 24.64
2010, 11, 8.883, 6.743, 70.56, 84.96
2010, 12, 5.175, 2.826, 70.88, 87.72
2011, 1, 5.369, 3.13, 158.1, 185.9
2011, 2, 9.867, 7.681, 135.5, 161.9
2011, 3, 11.77, 9.441, 207.9, 248.4
2011, 4, 11.69, 9.271, 15.29, 16.47
2011, 5, 17.86, 15.45, 13.52, 15
2011, 6, 22.53, 20.31, 25.49, 33.09
2011, 7, 23.33, 21.12, 13.04, 15.57
2011, 8, 26.36, 23.83, 0.1182, 0.3818
2011, 9, 21.19, 18.74, 7.86, 9.045
2011, 10, 18.15, 15.87, 75.01, 83.45
2011, 11, 9.152, 6.92, 24.61, 28.61
2011, 12, 3.096, 0.9613, 242.4, 283.7
