# Created by WEAP: 5/11/2021 10:22:49 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WY_NW_Middle Wind (2,564,132 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,911,725 ha),  2000 - 3000 m (551,847 ha),  3000 - 4000 m (100,560 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -3.828, -7.82, -11.09, 10.49, 26.32, 46.89
2006, 2, -2.297, -6.763, -10.35, 23.32, 60.53, 111.1
2006, 3, 2.515, -3.16, -7.463, 7.087, 18.29, 25.83
2006, 4, 6.243, 0.368, -4.166, 34.21, 78.44, 99.42
2006, 5, 14.79, 8.634, 4.021, 16.05, 28.91, 28.68
2006, 6, 16.63, 10.48, 5.669, 49.02, 73.07, 81.31
2006, 7, 22.96, 16.78, 11.68, 4.699, 5.658, 6.778
2006, 8, 22.46, 16.53, 11.61, 5.099, 9.384, 15.1
2006, 9, 15.49, 9.706, 4.848, 11.7, 22.55, 28.47
2006, 10, 11.07, 5.835, 1.698, 14.57, 32.09, 42.97
2006, 11, 0.7906, -4.011, -7.967, 16.14, 33.78, 40.71
2006, 12, -7.888, -11.87, -14.96, 18.92, 50.12, 90.83
2007, 1, -10.21, -13.92, -17.28, 9.876, 25.62, 50.02
2007, 2, -3.742, -8.366, -12.26, 10.25, 31.81, 60.38
2007, 3, -0.6243, -6.209, -10.29, 27.86, 70.75, 131.4
2007, 4, 9.44, 3.598, -1.043, 31.27, 60.48, 55.21
2007, 5, 14.43, 8.328, 3.68, 36.72, 59.99, 67.61
2007, 6, 16.11, 9.918, 4.901, 42.08, 69.96, 78.23
2007, 7, 22.63, 16.45, 11.36, 18.32, 28.55, 35.9
2007, 8, 22.96, 16.94, 12.17, 19.21, 32, 38.22
2007, 9, 16.03, 10.55, 6.181, 34.87, 54.33, 55.18
2007, 10, 6.433, 0.9943, -3.038, 14.73, 37.03, 50.77
2007, 11, 1.271, -3.254, -6.647, 3.97, 8.639, 10.83
2007, 12, -2.256, -6.302, -9.895, 5.757, 17.58, 33.78
2008, 1, -2.27, -5.831, -8.611, 7.365, 18.22, 30.85
2008, 2, -0.793, -5.671, -9.981, 10.03, 25.24, 38.86
2008, 3, 2.597, -3.086, -7.191, 17.16, 51.59, 76.67
2008, 4, 6.758, 0.8867, -3.794, 42.6, 83.97, 96.76
2008, 5, 12.9, 6.654, 1.695, 29.18, 44.39, 39.87
2008, 6, 18.77, 12.52, 7.346, 22.76, 32, 35.11
2008, 7, 23.13, 16.9, 11.67, 13.28, 23.72, 26.8
2008, 8, 21.27, 15.32, 10.31, 33.22, 51.78, 63.67
2008, 9, 14.99, 9.306, 4.66, 24.12, 42.92, 51.77
2008, 10, 9.147, 3.898, -0.2584, 7.101, 13.91, 16.94
2008, 11, -0.1701, -4.769, -8.005, 20.27, 42.56, 55.69
2008, 12, -8.927, -13.26, -17.14, 11.67, 24.54, 42.55
2009, 1, -12.8, -16.12, -19.14, 8.311, 21.77, 27.82
2009, 2, -0.7458, -5.592, -9.707, 6.759, 19.15, 31.97
2009, 3, -0.5929, -5.715, -8.955, 19.83, 48.24, 66.96
2009, 4, 11.23, 5.193, 0.4415, 23.96, 61.3, 80.62
2009, 5, 13.47, 7.316, 2.555, 69.91, 115, 140
2009, 6, 19.12, 12.88, 7.826, 59.4, 95.12, 122.9
2009, 7, 21.15, 15.1, 10.15, 18.99, 27.92, 40.98
2009, 8, 24.96, 18.87, 13.93, 7.097, 14.71, 21.45
2009, 9, 14.27, 8.695, 4.27, 27.29, 40.43, 57.85
2009, 10, 9.151, 3.864, -0.4182, 24.07, 46.99, 65.75
2009, 11, 3.187, -1.429, -4.978, 7.12, 18.75, 28.27
2009, 12, -2.438, -6.636, -10.2, 7.29, 17.7, 31.7
2010, 1, -5.501, -9.346, -12.52, 4.976, 10.66, 13.77
2010, 2, -0.153, -5.003, -8.997, 9.511, 25.67, 55.54
2010, 3, 6.228, 0.5042, -3.966, 4.817, 15.66, 21.35
2010, 4, 7.784, 2.07, -2.17, 2.775, 9.591, 13.34
2010, 5, 15.24, 8.985, 4.084, 59.4, 108.1, 150.1
2010, 6, 18.32, 12.24, 7.406, 30.39, 44.86, 46.55
2010, 7, 22.73, 16.55, 11.65, 35.82, 54.95, 70.2
2010, 8, 21.67, 15.77, 10.8, 17.13, 25.11, 25.46
2010, 9, 13.51, 7.804, 3.325, 78.05, 112.3, 141
2010, 10, 7.241, 1.804, -2.305, 30.38, 53.31, 65.04
2010, 11, 2.124, -2.79, -7.121, 16.57, 37.21, 60.16
2010, 12, -10.72, -14.54, -17.59, 10.02, 24.75, 53.1
2011, 1, -4.273, -8.24, -11.66, 12.55, 29.47, 44.71
2011, 2, 0.265, -4.534, -8.388, 8.724, 22.32, 32.43
2011, 3, 4.288, -1.267, -5.47, 24.6, 56.16, 73.04
2011, 4, 6.274, 0.2891, -4.223, 50.52, 98.79, 110.9
2011, 5, 11.59, 5.588, 0.9845, 25.26, 39.4, 42.31
2011, 6, 16.53, 10.43, 5.661, 61.49, 106.9, 134.5
2011, 7, 22.33, 16.19, 10.98, 25.57, 41.87, 53.23
2011, 8, 23.18, 17.17, 12.25, 21.92, 36.93, 50.38
2011, 9, 16.33, 10.61, 5.817, 33.41, 47.54, 43.39
2011, 10, 10.67, 5.532, 1.478, 7.239, 14.79, 16.58
2011, 11, -2.121, -6.965, -10.5, 25.44, 46.63, 62.09
2011, 12, -7.765, -11.27, -14.01, 16.2, 42.65, 94.49
2012, 1, -6.869, -11.09, -14.98, 10.74, 28.86, 63.24
2012, 2, 2.059, -2.565, -6.327, 7.08, 16.78, 20.53
2012, 3, 5.552, -0.3053, -4.661, 26.3, 60.96, 91.95
2012, 4, 5.381, -0.4704, -5.067, 24.3, 51.4, 79.58
2012, 5, 15.38, 9.146, 4.317, 31.82, 55.61, 65.19
2012, 6, 18.45, 12.22, 7.126, 48.59, 84.09, 104
2012, 7, 23.6, 17.5, 12.51, 26.57, 41.53, 52.07
2012, 8, 22.92, 16.8, 11.93, 30.83, 60.84, 78.09
2012, 9, 15.84, 10.04, 5.415, 32.07, 53.92, 62.88
2012, 10, 10.72, 5.469, 1.454, 5.086, 12.35, 15.28
2012, 11, 0.9734, -3.85, -7.629, 19.16, 39, 46.52
2012, 12, -2.836, -7.21, -11.1, 6.524, 15.21, 21.93
2013, 1, -6.692, -10.8, -14.44, 3.915, 10.85, 19.84
2013, 2, -1.929, -6.678, -10.7, 10.31, 29.22, 52.66
2013, 3, 2.764, -2.889, -7.229, 15.54, 43.77, 73.13
2013, 4, 8.77, 2.51, -2.344, 9.86, 22.33, 21.04
2013, 5, 14.32, 8.175, 3.404, 20.8, 37.34, 38.93
2013, 6, 20.2, 14.07, 9.279, 18.59, 29.96, 34.69
2013, 7, 23.71, 17.59, 12.61, 21.94, 38.6, 52.34
2013, 8, 23.48, 17.45, 12.42, 1.624, 3.12, 3.209
2013, 9, 17.63, 12.07, 7.717, 3.325, 6.72, 6.295
2013, 10, 9.206, 3.94, -0.07342, 7.463, 18.63, 22.07
2013, 11, -0.7064, -5.419, -8.93, 11.72, 24.94, 40.72
2013, 12, -3.48, -7.739, -11.29, 3.404, 9.099, 10.8
2014, 1, -3.59, -7.49, -11.02, 8.292, 21.67, 33.01
2014, 2, -6.12, -10.5, -14.13, 20.54, 44.42, 64.82
2014, 3, -2.335, -8.236, -13.14, 16.89, 53.21, 109.2
2014, 4, 5.147, -0.7272, -5.04, 29.05, 56.57, 62.1
2014, 5, 14.29, 8.084, 3.17, 48.4, 86.08, 93.21
2014, 6, 16.18, 10.23, 5.268, 43.4, 72.77, 89.71
2014, 7, 25.2, 19.09, 14.07, 5.534, 9.354, 14.6
2014, 8, 23.78, 17.73, 12.84, 9.206, 14.47, 17.15
2014, 9, 19.13, 13.56, 9.145, 0.7517, 2.53, 3.358
2014, 10, 9.771, 4.456, 0.2978, 9.906, 21.32, 23.65
2014, 11, 0.5202, -4.159, -8.19, 10.78, 18.27, 15.23
2014, 12, -4.166, -8.717, -12.59, 8.401, 17.9, 21.87
2015, 1, -0.8443, -4.917, -9.147, 20.8, 51.96, 115.9
2015, 2, -3.988, -8.289, -11.63, 13.26, 32.25, 59.16
2015, 3, 4.043, -1.639, -6.269, 19.8, 44.24, 60.24
2015, 4, 6.958, 1.239, -3.065, 44.12, 92.09, 104.2
2015, 5, 15.59, 9.273, 4.417, 58.67, 98.87, 132.9
2015, 6, 17.51, 11.38, 6.281, 36.58, 59.32, 72.53
2015, 7, 23.92, 17.71, 12.76, 23.52, 36.9, 43.17
2015, 8, 21.65, 15.6, 10.67, 5.238, 9.271, 10.59
2015, 9, 16.13, 10.6, 6.424, 11.73, 21.61, 20.37
2015, 10, 10, 4.683, 0.5458, 21.99, 51.12, 89.62
2015, 11, -1.588, -6.497, -10.45, 10.34, 23.76, 33.18
2015, 12, -0.1679, -4.235, -7.725, 8.191, 20.77, 33.08
2016, 1, -7.263, -10.63, -13.59, 12.97, 33.92, 70.45
2016, 2, -1.006, -5.637, -9.328, 7.812, 20.6, 30.93
2016, 3, 2.725, -3.089, -7.853, 16.16, 50.29, 64.8
2016, 4, 9.741, 3.953, -0.3941, 15.71, 36.11, 61.33
2016, 5, 13.11, 6.85, 1.856, 64.88, 114, 158
2016, 6, 16.67, 10.39, 5.308, 51.89, 82.17, 107.4
2016, 7, 23.27, 16.98, 11.92, 10.71, 17.03, 18.71
2016, 8, 23.4, 17.48, 12.76, 18.83, 33.04, 39.62
2016, 9, 13.19, 7.708, 3.57, 26.9, 49.29, 61.33
2016, 10, 11.58, 6.168, 1.947, 32.27, 50.24, 58.42
2016, 11, -0.8375, -5.903, -10.41, 8.3, 22.83, 36.78
2016, 12, -1.32, -5.313, -8.541, 11.28, 27.85, 56.69
2017, 1, -6.943, -11, -14.54, 13.02, 34.08, 64.08
2017, 2, -4.346, -8.853, -12.62, 12.76, 35.05, 64.45
2017, 3, 1.726, -3.92, -8.073, 12.16, 23.64, 31.95
2017, 4, 7.56, 1.755, -2.584, 22.32, 43.59, 64
2017, 5, 17.2, 11.03, 6.248, 40.81, 89.66, 130.3
2017, 6, 19.21, 13.21, 8.451, 50.26, 73.94, 88.07
2017, 7, 22.18, 16.15, 11.13, 18.98, 37.1, 48.09
2017, 8, 20.76, 14.87, 10.12, 37.58, 56.75, 77.61
2017, 9, 16.21, 10.45, 5.895, 12.29, 17.85, 25.01
2017, 10, 10.87, 5.559, 1.473, 28.44, 60.56, 97.47
2017, 11, 0.2845, -4.929, -9.221, 15.45, 36.78, 62.82
2017, 12, -12.41, -15.9, -18.46, 8.997, 23.09, 40
2018, 1, -5.105, -8.702, -11.48, 12.36, 28.69, 52.67
2018, 2, -1.788, -6.479, -10.16, 11.72, 28.96, 59.11
2018, 3, -0.3545, -6.093, -10.97, 29.69, 62.89, 67.23
2018, 4, 5.557, -0.4225, -5.446, 15.62, 27.7, 23.69
2018, 5, 11.81, 5.917, 1.693, 33.74, 62.33, 78.82
2018, 6, 19.27, 13.01, 8.073, 38.28, 62.64, 74.7
2018, 7, 23.87, 17.7, 12.53, 16.3, 24.4, 33.22
2018, 8, 23.06, 17.03, 12.17, 20.98, 41.78, 59.01
2018, 9, 14.63, 8.946, 4.451, 51.77, 80.68, 87.67
2018, 10, 9.213, 3.996, -0.06493, 5.214, 14.06, 19.46
2018, 11, 3.917, -1.037, -5.049, 18.97, 38.61, 58.22
2018, 12, -0.8334, -5.008, -8.472, 8.953, 21.15, 25.68
2019, 1, -2.799, -6.844, -10.5, 6.584, 15.56, 26.45
