# Created by WEAP: 5/11/2021 10:23:48 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_NW_Upr S Fork Flathead (498,547 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (198,266 ha),  1000 - 2000 m (273,905 ha),  2000 - 3000 m (26,376 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -0.7008, -3.371, -7.419, 32.59, 67.46, 161
2006, 2, 1.286, -1.266, -5.099, 14.84, 32.53, 70.94
2006, 3, 4.045, 1.324, -2.799, 54.69, 105, 252.6
2006, 4, 9.315, 6.668, 2.429, 22.27, 42.3, 106.1
2006, 5, 13.43, 10.89, 7.118, 28.05, 36.33, 65.42
2006, 6, 16.9, 14.42, 10.43, 42.79, 58.5, 92.3
2006, 7, 21.2, 18.43, 14.59, 54.25, 61.64, 68.03
2006, 8, 20.38, 17.72, 14.07, 20.34, 24.62, 31.32
2006, 9, 13.13, 10.44, 6.701, 46.03, 62.98, 101.6
2006, 10, 9.836, 7.299, 3.538, 11.2, 21.03, 30.09
2006, 11, 3.404, 0.5906, -3.236, 20.99, 34.49, 74.27
2006, 12, -3.679, -6.44, -10.82, 49.4, 106.2, 265
2007, 1, -6.158, -8.76, -12.36, 30.36, 67.01, 177
2007, 2, -0.8102, -3.418, -7.637, 14.05, 32.6, 81.43
2007, 3, 3.293, 0.6774, -3.486, 17.22, 32.14, 92.1
2007, 4, 10.37, 7.707, 3.71, 36.23, 57.32, 145.6
2007, 5, 13.73, 11.18, 7.17, 46.59, 63.05, 126.8
