# Created by WEAP: 5/11/2021 10:24:50 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: AZ_NM_N_San Juan (5,463,564 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,589,718 ha),  2000 - 3000 m (1,735,338 ha),  3000 - 4000 m (137,676 ha),  4000 - 5000 m (833 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, 1.361, -1.157, -9.817, -12.56, 2.989, 5.852, 20.41, 28.42
2006, 2, 4.636, 1.176, -7.901, -10.56, 10.5, 17.38, 59.2, 67.68
2006, 3, 9.085, 5.412, -3.311, -5.642, 24.52, 42.22, 106.8, 128.5
2006, 4, 11.19, 7.768, -1.528, -3.871, 24.43, 46.19, 127.1, 146.4
2006, 5, 19.01, 15.28, 5.49, 2.892, 2.72, 7.954, 31.62, 40.36
2006, 6, 23.4, 19.71, 9.463, 6.977, 4.691, 8.069, 23.61, 28.83
2006, 7, 26.91, 23.22, 13.6, 11.21, 8.297, 18, 31.84, 32.53
2006, 8, 26.82, 22.89, 14.19, 11.67, 14.44, 28.25, 42.47, 44.57
2006, 9, 20.8, 17.79, 8.879, 6.547, 28.43, 38.36, 88.61, 81.92
2006, 10, 16.71, 13.74, 5.713, 3.504, 3.196, 4.286, 14.05, 19.2
2006, 11, 8.925, 6.307, -1.356, -3.445, 76.25, 101.3, 219.1, 253.4
2006, 12, 1.139, -1.491, -9.875, -12.3, 25.17, 44.51, 180.6, 213.2
2007, 1, 0.5048, -2.117, -10.97, -13.64, 8.964, 22.06, 94.75, 106.2
2007, 2, 4.39, 1.372, -7.757, -10.47, 10.83, 16.81, 53.95, 61.42
2007, 3, 7.314, 3.738, -5.4, -7.983, 4.269, 9.665, 50.15, 66.62
2007, 4, 11.79, 8.28, -0.5171, -3.075, 3.393, 7.195, 26.23, 34.8
2007, 5, 18.59, 15.17, 5.639, 3.261, 2.152, 3.533, 19.23, 25.59
2007, 6, 22.2, 18.58, 8.677, 6.322, 6.547, 8.792, 18.09, 23.74
2007, 7, 26.6, 23.17, 13.82, 11.45, 4.402, 8.382, 22.65, 28.52
2007, 8, 25.46, 21.77, 12.81, 10.3, 11.32, 25.86, 41.23, 39.24
2007, 9, 21, 17.97, 9.58, 7.258, 0.35, 0.9417, 6.184, 7.986
2007, 10, 12.32, 9.626, 0.9103, -1.514, 18.2, 28.34, 46.45, 58.12
2007, 11, 7.199, 5.16, -1.525, -3.889, 15.63, 21.8, 51.02, 56.53
