# Created by WEAP: 5/11/2021 10:26:16 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CM_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_SDGE_San Dieguito (88,565 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (78,697 ha),  1000 - 2000 m (9,869 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 13.77, 9.974, 2.591, 2.561
2006, 2, 15, 11.31, 25.98, 36.27
2006, 3, 13.81, 10.25, 82.95, 92.26
2006, 4, 14.56, 10.55, 103.7, 147.8
2006, 5, 19.14, 17.19, 3.067, 4.362
2006, 6, 20.34, 18.83, 0.6496, 1.376
2006, 7, 25.85, 25.11, 0.01623, 0.2075
2006, 8, 26.06, 24.9, 2.48, 1.61
2006, 9, 22.91, 20.44, 4.912, 6.744
2006, 10, 20.3, 18.44, 1.63, 3.666
2006, 11, 15.21, 11.35, 123.4, 193.8
2006, 12, 13.16, 8.957, 41.89, 59.47
2007, 1, 11.49, 7.476, 27.48, 36.32
2007, 2, 12.23, 8.339, 20.42, 26.33
2007, 3, 13.13, 9.542, 15.81, 18.14
2007, 4, 14.27, 10.47, 29.96, 43.67
2007, 5, 19.83, 17.21, 0.1081, 0.1141
2007, 6, 18.59, 16.23, 4.323, 7.337
2007, 7, 23.29, 22.34, 0.8049, 3.173
2007, 8, 24.91, 24.86, 0.07213, 0.01703
2007, 9, 23.91, 22.26, 1.803, 2.702
2007, 10, 22.11, 19.3, 1.49, 2.894
2007, 11, 16.53, 12.85, 123.7, 186.8
2007, 12, 14.36, 10.27, 0, 0
2008, 1, 14.85, 10.51, 75.66, 75.77
2008, 2, 11.62, 7.281, 123.6, 155.2
2008, 3, 13.29, 9.465, 128.3, 148.9
2008, 4, 15.05, 11.33, 5.594, 6.559
2008, 5, 19.48, 16.4, 2.21, 3.401
2008, 6, 21.58, 19.54, 0.9876, 2.095
2008, 7, 26.54, 25.96, 10.01, 32.76
2008, 8, 25.34, 24.24, 10.14, 36.86
2008, 9, 22.92, 21.05, 3.617, 1.63
2008, 10, 22.13, 19.12, 2.488, 4.682
2008, 11, 15.7, 12.07, 76.34, 103.6
2008, 12, 10.91, 6.274, 2.005, 0.9648
2009, 1, 11.12, 7.071, 34.02, 35.41
2009, 2, 13.99, 10.13, 195, 250.9
2009, 3, 15.15, 11.59, 72.92, 82.97
2009, 4, 15.88, 12.56, 18.65, 30.83
2009, 5, 17.18, 14, 18.6, 26.09
2009, 6, 21.18, 19.59, 0.7835, 0.8038
2009, 7, 23.75, 22.64, 3.007, 3.507
2009, 8, 27.74, 26.96, 2.405, 11.74
2009, 9, 22.34, 20.37, 3.75, 2.047
2009, 10, 19.83, 16.94, 3.214, 4.871
2009, 11, 17.77, 14.7, 0.6887, 1.104
2009, 12, 13.02, 8.864, 30.3, 30.61
2010, 1, 12.46, 8.031, 173.4, 230.7
2010, 2, 13.26, 9.678, 81.91, 107.9
2010, 3, 13.07, 9.561, 261.1, 333
2010, 4, 17.56, 14.6, 11.17, 17.48
2010, 5, 20.13, 17.88, 5.716, 8.521
2010, 6, 21.41, 20.04, 2.419, 3.753
2010, 7, 24.93, 24.23, 0.05435, 0.5136
