# Created by WEAP: 5/11/2021 9:17:47 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Cabin (3,496 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 3000 - 4000 m (3,430 ha),  4000 - 5000 m (66 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

2006, 1, -4.273, -5.699, 21.4, 26.28
2006, 2, -6.33, -7.642, 23.59, 28.86
2006, 3, -4.913, -5.872, 121, 124.6
2006, 4, -0.275, -1.377, 58.64, 62.19
2006, 5, 4.074, 3.096, 12.91, 13.44
2006, 6, 10.32, 9.053, 33.91, 35.51
2006, 7, 15.67, 14.44, 39.48, 37.54
2006, 8, 11.49, 10.4, 59.31, 58.19
2006, 9, 7.414, 6.284, 46, 45.21
2006, 10, -0.03554, -1.283, 33.72, 37.02
2006, 11, -4.394, -5.86, 66.26, 63.24
2006, 12, -5.302, -6.894, 41.06, 46.48
2007, 1, -7.719, -9.318, 13.8, 21.53
2007, 2, -8.064, -9.468, 24.28, 32.63
2007, 3, -1.649, -2.862, 6.188, 7.475
2007, 4, 2.28, 1.122, 19.04, 20.75
2007, 5, 5.13, 4.202, 56.63, 53.58
2007, 6, 11.7, 10.56, 14.52, 14.89
2007, 7, 13.02, 11.84, 41.11, 38.61
2007, 8, 11.65, 10.5, 42.57, 43.15
2007, 9, 7.69, 6.525, 82.96, 74.69
2007, 10, 0.8285, -0.5902, 7.466, 6.924
2007, 11, -1.395, -3.033, 38.4, 40.27
2007, 12, -9.251, -10.86, 29.14, 34.11
2008, 1, -7.279, -8.947, 27.34, 34.7
2008, 2, -5.973, -7.351, 12.35, 15.96
2008, 3, -7.727, -8.901, 31.58, 32.63
2008, 4, 2.412, 1.318, 21.56, 23.38
2008, 5, 4.183, 3.235, 53.21, 50.7
2008, 6, 10.03, 8.878, 44.09, 38.45
2008, 7, 14.22, 12.98, 20.1, 26.44
2008, 8, 14.73, 13.62, 39.03, 37.98
2008, 9, 8.319, 7.322, 78.37, 75.87
2008, 10, 2.676, 1.467, 47.66, 51.19
2008, 11, -2.903, -4.389, 13.86, 15.24
2008, 12, -7.941, -9.371, 29.26, 35.84
2009, 1, -5.82, -7.526, 24.17, 30.4
2009, 2, -7.634, -8.939, 18.53, 22.58
2009, 3, -7.61, -8.645, 43.37, 46.51
2009, 4, 0.7326, -0.2006, 113.7, 123.8
2009, 5, 3.554, 2.42, 105.2, 95.59
2009, 6, 9.462, 8.32, 29.6, 31.91
2009, 7, 11.46, 10.34, 50.14, 46.97
2009, 8, 12.49, 11.42, 73.09, 64.83
2009, 9, 7.473, 6.308, 14.12, 13.55
2009, 10, 5.889, 4.739, 28.6, 27.75
2009, 11, -4.497, -5.867, 60.33, 67.85
2009, 12, -8.13, -9.685, 56.87, 66.64
2010, 1, -9.523, -11.29, 11.36, 15.4
2010, 2, -8.186, -9.524, 36.85, 40.47
2010, 3, -7.251, -8.227, 75.2, 88.3
2010, 4, -1.508, -2.488, 48.93, 55.4
2010, 5, 3.367, 2.435, 165.5, 147.4
2010, 6, 8.354, 7.137, 19.85, 18.95
2010, 7, 14.91, 13.7, 23.91, 23.44
2010, 8, 11.43, 10.27, 43.61, 48.07
2010, 9, 8.544, 7.369, 50.29, 50.23
2010, 10, 6.164, 4.952, 28.69, 28.08
2010, 11, -2.675, -4.051, 10.38, 10.11
2010, 12, -5.795, -7.279, 33.41, 39.87
2011, 1, -5.271, -6.765, 21.25, 27.26
2011, 2, -6.276, -7.659, 30.79, 34.77
2011, 3, -6.31, -7.513, 28.05, 31.71
2011, 4, -0.9776, -2.08, 49.85, 46.66
2011, 5, 3.776, 2.82, 77.59, 70.34
2011, 6, 9.467, 8.292, 68.28, 61.61
2011, 7, 12.09, 11.02, 77.64, 73.47
2011, 8, 10.83, 9.622, 62.2, 62.28
2011, 9, 9.013, 7.875, 19.78, 21.5
2011, 10, 4.239, 2.807, 28, 30.22
2011, 11, -2.449, -3.887, 47.57, 50.54
2011, 12, -5.041, -6.662, 20.72, 24.02
2012, 1, -10.15, -11.45, 70.78, 84.58
2012, 2, -5.097, -6.268, 50.13, 65.59
2012, 3, -3.119, -4.067, 31.47, 35.64
2012, 4, -2.077, -2.98, 97.55, 98.49
2012, 5, 6.419, 5.517, 50.68, 51
2012, 6, 10.77, 9.66, 10.2, 11.4
2012, 7, 12.75, 11.67, 62.1, 59.52
2012, 8, 13.28, 12.16, 54.6, 55.11
2012, 9, 8.437, 7.25, 26.51, 27.75
2012, 10, 5.304, 3.989, 27.13, 30.25
2012, 11, -5.45, -6.864, 61.45, 65.08
2012, 12, -9.193, -10.64, 21.84, 27.07
2013, 1, -5.242, -6.829, 30.55, 38.39
2013, 2, -8.463, -9.607, 37.04, 42.55
2013, 3, -0.6768, -2.037, 17.07, 19.62
2013, 4, -1.003, -2.064, 17.25, 19.08
2013, 5, 4.873, 3.719, 74.23, 59.81
2013, 6, 10.5, 9.344, 30.24, 33.8
2013, 7, 14.67, 13.66, 58.48, 60.18
2013, 8, 11.85, 10.67, 34.11, 42.39
2013, 9, 7.086, 5.936, 35.33, 39.6
2013, 10, 0.7326, -0.4581, 33.01, 30.37
2013, 11, -2.436, -3.544, 75.91, 81.08
2013, 12, -10.24, -11.8, 31.67, 36.93
2014, 1, -7.082, -8.536, 44.4, 54.91
2014, 2, -13.25, -14.47, 65.65, 71.38
2014, 3, -3.688, -4.892, 56, 56.06
2014, 4, -1.575, -2.535, 116.7, 121.2
2014, 5, 4.097, 3.288, 47.52, 51.83
2014, 6, 10.27, 9.229, 92.61, 89.8
2014, 7, 11.88, 11.04, 112.7, 110.1
2014, 8, 10, 9.161, 81.51, 81.37
2014, 9, 7.395, 6.205, 56.45, 58.69
2014, 10, 5.136, 3.984, 23.23, 24.47
2014, 11, -6.154, -7.385, 74.2, 83.22
2014, 12, -9.274, -10.48, 67.45, 72.9
2015, 1, -9.276, -10.78, 40.65, 43.36
2015, 2, -8.332, -9.667, 14.84, 20.14
2015, 3, -6.313, -7.397, 54.46, 60.13
2015, 4, -1.933, -2.863, 115.1, 116.6
2015, 5, 3.633, 2.667, 65.78, 69.7
2015, 6, 11.37, 10.15, 4.982, 5.614
2015, 7, 12.69, 11.5, 27.54, 28.16
2015, 8, 11.22, 10.25, 130, 118.5
2015, 9, 9.644, 8.297, 19.44, 19.31
2015, 10, 2.81, 1.576, 9.434, 11
2015, 11, 0.7699, -0.5798, 21.3, 26.53
2015, 12, -7.975, -9.464, 48.01, 57.87
2016, 1, -7.243, -8.627, 38.12, 40.33
2016, 2, -10.2, -11.51, 85.96, 95.96
2016, 3, -4.129, -5.28, 66.9, 74.73
2016, 4, -2.436, -3.357, 43.37, 48.14
2016, 5, 4.044, 3.038, 50.46, 54.32
2016, 6, 7.006, 6.046, 131.2, 114.3
2016, 7, 11.53, 10.68, 79.82, 72.99
2016, 8, 12.02, 10.99, 64.39, 67.74
2016, 9, 7.373, 6.169, 21.25, 20.37
2016, 10, 3.404, 2.139, 11.44, 12.74
2016, 11, -5.094, -6.578, 15.24, 17.66
2016, 12, -5.716, -7.089, 52.09, 54.47
2017, 1, -3.594, -5.02, 15.81, 23.09
2017, 2, -10.06, -11.07, 27.51, 30.06
2017, 3, -3.459, -4.601, 64.53, 66.22
2017, 4, -1.68, -2.543, 95.5, 96.02
2017, 5, 2.394, 1.462, 125, 113.5
2017, 6, 8.795, 7.678, 54.35, 53.11
2017, 7, 11.21, 10.09, 114.8, 109.7
2017, 8, 12.32, 11, 30.54, 35.63
2017, 9, 8.181, 7.105, 62.07, 56.68
2017, 10, 0.6269, -0.5659, 18.2, 20.05
2017, 11, -1.535, -2.905, 35.16, 38.31
2017, 12, -9.908, -11.41, 39, 44.95
2018, 1, -6.574, -8.156, 41.51, 49.83
2018, 2, -4.536, -6.114, 15.72, 17.11
2018, 3, -4.125, -5.259, 71.72, 78.76
2018, 4, -3.15, -4.143, 129.4, 140.9
2018, 5, 4.97, 3.999, 35.13, 35.62
2018, 6, 9.104, 8.062, 57.63, 58.02
2018, 7, 12.52, 11.54, 113.1, 104.8
2018, 8, 10.5, 9.28, 47.27, 48.65
2018, 9, 5.873, 4.77, 122.6, 112.2
2018, 10, 3.402, 2.041, 20.87, 23.55
2018, 11, -3.147, -4.195, 124.5, 129.9
2018, 12, -2.872, -4.791, 1.465, 1.798
2019, 1, -8.517, -9.967, 66.85, 72.26
2019, 2, -7.47, -8.802, 54.08, 61.79
2019, 3, -5.892, -7.008, 18.98, 22.84
2019, 4, 0.147, -0.9845, 71.97, 76.52
2019, 5, 3.873, 2.884, 52.29, 55.02
2019, 6, 8.963, 7.701, 14.59, 15.31
2019, 7, 14.01, 12.92, 27.09, 26.03
2019, 8, 13.67, 12.65, 87.25, 82.69
2019, 9, 6.953, 5.871, 30.22, 31.13
2019, 10, 2.994, 1.864, 23.99, 28.4
2019, 11, -5.999, -7.347, 20.25, 24.86
2019, 12, -7.233, -8.805, 31.37, 35.02
2020, 1, -6.66, -8.101, 70.45, 88.61
2020, 2, -8.202, -9.459, 15.36, 20
2020, 3, -3.524, -4.712, 36.05, 33.35
2020, 4, -1.271, -2.357, 17.38, 20.58
2020, 5, 7.758, 6.766, 83.17, 80.12
2020, 6, 9.522, 8.365, 15.19, 17.8
2020, 7, 11.62, 10.52, 86.88, 79.05
2020, 8, 12.09, 11.06, 88.53, 86.13
2020, 9, 10.43, 9.361, 12.37, 10.29
2020, 10, 3.69, 2.54, 38.3, 43.02
2020, 11, -1.044, -2.524, 49.89, 55.2
2020, 12, -4.911, -6.208, 52.85, 53.97
2021, 1, -7.344, -8.808, 36.98, 38.48
2021, 2, -5.114, -6.51, 66.33, 70.4
2021, 3, -8.057, -9.039, 94.32, 97.92
2021, 4, -2.728, -3.816, 163.7, 162.7
2021, 5, 3.782, 2.933, 66.41, 73.62
2021, 6, 10.18, 9.154, 70.01, 70.06
2021, 7, 11.54, 10.48, 67.5, 63.85
2021, 8, 12.11, 10.9, 36.2, 34.8
2021, 9, 8.217, 7.126, 41.89, 40.18
2021, 10, 0.9995, -0.1573, 29.93, 31.31
2021, 11, -4.016, -5.261, 34.59, 35.04
2021, 12, -11.38, -12.67, 89.65, 106.7
2022, 1, -9.721, -11.28, 37.38, 49.59
2022, 2, -6.278, -7.63, 38.01, 42.82
2022, 3, -8.317, -9.424, 69.73, 78.71
2022, 4, -0.2439, -1.336, 48.53, 49.06
2022, 5, 4.5, 3.602, 90.61, 88.15
2022, 6, 10.61, 9.323, 11.39, 12.49
2022, 7, 11.8, 10.78, 54.09, 55.35
2022, 8, 10.14, 8.994, 67.42, 71.41
2022, 9, 9.502, 8.391, 22, 22.53
2022, 10, 1.619, 0.7094, 36.25, 36.34
2022, 11, -5.243, -6.718, 61.58, 64.15
2022, 12, -6.583, -8.267, 34.06, 38.1
2023, 1, -7.046, -8.671, 57.74, 72.75
2023, 2, -5.361, -6.557, 38.83, 44.19
2023, 3, -2.247, -3.408, 31.72, 35.29
2023, 4, 1.313, 0.1268, 100.8, 99.59
2023, 5, 4.149, 3.304, 54.47, 52.86
2023, 6, 9.68, 8.496, 20.33, 22.45
2023, 7, 12.1, 10.91, 23.88, 23.86
2023, 8, 10.74, 9.661, 105.5, 95.24
2023, 9, 7.154, 6.259, 43.31, 49.82
2023, 10, 0.9016, -0.271, 74.89, 66.6
2023, 11, -5.712, -7.112, 54.94, 59.18
2023, 12, -8.81, -10.53, 38.11, 45.73
2024, 1, -5.907, -7.653, 17.07, 22.47
2024, 2, -4.096, -5.412, 44.76, 58.27
2024, 3, -4.37, -5.475, 59.85, 66.07
2024, 4, -0.8221, -1.822, 79.35, 77.35
2024, 5, 5.15, 4.115, 57.17, 55.77
2024, 6, 9.55, 8.489, 59.42, 56.42
2024, 7, 12.35, 11.38, 87.23, 81.58
2024, 8, 10.94, 9.875, 138.9, 142.3
2024, 9, 8.846, 7.915, 37.56, 39.56
2024, 10, 2.822, 1.697, 54.3, 46.47
2024, 11, -3.434, -4.985, 49.88, 47.39
2024, 12, -8.173, -9.809, 41.75, 47.75
2025, 1, -6.825, -8.213, 31.74, 42.35
2025, 2, -9.212, -10.58, 31.93, 36.74
2025, 3, -2.465, -3.49, 52.34, 51.97
2025, 4, 0.02732, -0.9082, 84.99, 84.84
2025, 5, 3.88, 2.903, 32.98, 30.21
2025, 6, 12.74, 11.56, 9.759, 9.911
2025, 7, 12.5, 11.59, 63.35, 68.36
2025, 8, 11.86, 10.82, 70.26, 79.87
2025, 9, 8.343, 7.24, 33.1, 31.86
2025, 10, 4.765, 3.57, 9.694, 7.515
2025, 11, 0.8675, -0.4532, 18.31, 19.99
2025, 12, -9.863, -11.3, 29.83, 38.1
2026, 1, -6.108, -7.87, 39.82, 55.41
2026, 2, -7.357, -8.847, 17.68, 18.55
2026, 3, -7.307, -8.452, 70.07, 74.82
2026, 4, -2.881, -3.824, 88.82, 90.22
2026, 5, 3.332, 2.354, 39.49, 42.28
2026, 6, 8.435, 7.481, 81.54, 73.85
2026, 7, 13.58, 12.28, 29.85, 28.32
2026, 8, 11.3, 10.15, 49.95, 51.45
2026, 9, 9.329, 8.332, 62.34, 60.98
2026, 10, 3.71, 2.497, 13.06, 15.77
2026, 11, 0.2764, -1.249, 38.5, 44.24
2026, 12, -6.895, -8.352, 50.05, 62.08
2027, 1, -4.695, -6.039, 24.14, 31.99
2027, 2, -6.409, -7.682, 67.72, 80.89
2027, 3, -7.032, -7.933, 40.9, 48.95
2027, 4, 2.883, 1.816, 33.79, 37.99
2027, 5, 4.385, 3.5, 115.9, 119.8
2027, 6, 11.51, 10.39, 25.92, 26.16
2027, 7, 12.55, 11.42, 43.33, 41.65
2027, 8, 11.5, 10.51, 58.04, 61.42
2027, 9, 8.289, 7.045, 33.35, 34.39
2027, 10, 3.678, 2.391, 13.5, 13.36
2027, 11, -4.892, -6.314, 70.81, 71.89
2027, 12, -7.626, -9.224, 50.26, 58.68
2028, 1, -8.119, -9.594, 34.77, 45.31
2028, 2, -5.409, -6.592, 59.45, 68.28
2028, 3, -6.548, -7.4, 107.9, 124.1
2028, 4, -3.489, -4.357, 144.8, 140.2
2028, 5, 5.381, 4.445, 51.6, 52.71
2028, 6, 7.98, 6.983, 99.55, 94.99
2028, 7, 12.86, 11.95, 108.3, 102.5
2028, 8, 10.92, 9.806, 92.21, 94.27
2028, 9, 10.42, 9.422, 37.51, 37.64
2028, 10, 2.982, 2.054, 50.58, 50.78
2028, 11, -5.485, -6.616, 70.46, 78.79
2028, 12, -5.219, -6.723, 68.17, 78.15
2029, 1, -7.499, -8.897, 42.89, 54.03
2029, 2, -9.047, -10.51, 32.88, 38.35
2029, 3, -5.427, -6.489, 65.56, 68.44
2029, 4, -0.04759, -0.9661, 115.6, 121.7
2029, 5, 5.579, 4.745, 16.18, 17.71
2029, 6, 9.654, 8.658, 53.96, 57.51
2029, 7, 15.52, 14.39, 62.7, 58.48
2029, 8, 12.01, 10.91, 74.2, 79.84
2029, 9, 8.491, 7.361, 56.6, 52.68
2029, 10, 1.836, 0.4983, 15.25, 19.35
2029, 11, -3.352, -4.626, 42.12, 44.55
2029, 12, -3.522, -4.91, 36.12, 45.09
2030, 1, -4.989, -6.702, 14.18, 19.35
2030, 2, -5.185, -6.509, 20.15, 26.59
2030, 3, -4.842, -5.852, 37.55, 40.7
2030, 4, -0.3369, -1.298, 117.3, 110.5
2030, 5, 6.781, 5.805, 40.79, 39.64
2030, 6, 10.13, 9.012, 73.5, 63.53
2030, 7, 12.76, 11.79, 96.56, 85.35
2030, 8, 12.46, 11.32, 50.71, 56.58
2030, 9, 10.69, 9.729, 68.23, 69.18
2030, 10, 2.43, 1.5, 49.44, 51.04
2030, 11, -3.727, -5.19, 35.06, 39.57
2030, 12, -3.666, -5.357, 45.4, 53.62
2031, 1, -8.143, -9.579, 25.92, 35.11
2031, 2, -5.781, -7.085, 21.52, 22.29
2031, 3, -5.482, -6.555, 62.17, 69.44
2031, 4, 0.1649, -0.9073, 50.17, 64.01
2031, 5, 3.797, 2.968, 73.75, 79.46
2031, 6, 12.32, 11.18, 6.492, 7.086
2031, 7, 11.96, 11.02, 90.7, 81.89
2031, 8, 11.6, 10.42, 73.31, 80.94
2031, 9, 7.554, 6.244, 29.07, 30.25
2031, 10, 1.149, -0.2784, 52.29, 45.88
2031, 11, -5.112, -6.276, 107.3, 108.3
2031, 12, -6.006, -7.356, 55.46, 64.85
2032, 1, -6.062, -7.654, 24.28, 29.43
2032, 2, -8.02, -9.412, 30.18, 42.53
2032, 3, -3.116, -4.185, 52.21, 56.84
2032, 4, -0.3646, -1.41, 83.61, 83.46
2032, 5, 3.609, 2.732, 149.5, 131.1
2032, 6, 12.17, 11.03, 8.917, 9.713
2032, 7, 14.24, 13.33, 63.37, 63
2032, 8, 11.89, 10.88, 102.5, 104
2032, 9, 7.796, 6.673, 12.27, 11.82
2032, 10, 3.803, 2.55, 14.69, 14.82
2032, 11, -1.498, -2.948, 12.33, 11.67
2032, 12, -9.679, -10.99, 54.14, 58.18
2033, 1, -4.712, -6.362, 20.12, 20.82
2033, 2, -10.05, -11.3, 33.6, 41.95
2033, 3, -4.41, -5.33, 23.97, 26.82
2033, 4, 0.03016, -1.061, 40.84, 43.81
2033, 5, 7.509, 6.532, 49.76, 44.34
2033, 6, 14.13, 13.03, 16.31, 15.55
2033, 7, 17.33, 16.34, 42, 39.01
2033, 8, 14.05, 12.9, 54.03, 61.15
2033, 9, 13.26, 12.08, 33.15, 32.15
2033, 10, 2.503, 1.336, 63.16, 62.77
2033, 11, -5.522, -6.808, 76.97, 88.64
2033, 12, -5.528, -7.11, 19.91, 27.99
2034, 1, -6.3, -7.695, 32.79, 35.12
2034, 2, -7.509, -8.74, 42.3, 44.97
2034, 3, -6.663, -7.69, 54.41, 60.32
2034, 4, 0.2344, -0.9389, 77.2, 80.72
2034, 5, 8.088, 7.222, 7.94, 8.529
2034, 6, 10.31, 9.139, 68.41, 62.74
2034, 7, 11.92, 10.81, 60.54, 59.05
2034, 8, 12.39, 11.35, 46.33, 50.29
2034, 9, 10.84, 9.666, 16.46, 15.04
2034, 10, 3.542, 2.3, 43.17, 46.13
2034, 11, -5.759, -7.081, 42.28, 50.12
2034, 12, -6.246, -7.953, 47.67, 50.72
2035, 1, -8.007, -9.644, 63.11, 69.64
2035, 2, -6.436, -7.893, 16.7, 22.15
2035, 3, -3.417, -4.586, 44.53, 49.9
2035, 4, -2.327, -3.501, 59.73, 56.61
2035, 5, 5.786, 4.873, 36.31, 33.29
2035, 6, 11.8, 10.62, 9.167, 11.95
2035, 7, 13.22, 12.31, 91.49, 99.44
2035, 8, 14.34, 13.26, 56, 53.96
2035, 9, 6.553, 5.434, 69.46, 64.41
2035, 10, 2.807, 1.736, 50.72, 52.78
2035, 11, -3.499, -4.887, 19.24, 23.78
2035, 12, -7.74, -9.202, 87.33, 97.78
2036, 1, -6.716, -8.386, 13.21, 16.23
2036, 2, -8.064, -9.372, 37.98, 47.04
2036, 3, -5.134, -6.225, 50.17, 51.49
2036, 4, 1.856, 0.913, 96.05, 93.48
2036, 5, 7.54, 6.648, 39.01, 35.89
2036, 6, 10.24, 9.126, 42.85, 39.29
2036, 7, 13.58, 12.58, 60.77, 63.02
2036, 8, 12.22, 11.24, 58.86, 65.16
2036, 9, 7.937, 6.911, 82.63, 90.8
2036, 10, 3.751, 2.588, 34.33, 37.06
2036, 11, -3.896, -5.131, 22.28, 28.54
2036, 12, -7.539, -8.981, 34.54, 43.52
2037, 1, -8.067, -9.641, 19.41, 24.9
2037, 2, -8.132, -9.647, 24.4, 29.08
2037, 3, -4.954, -5.882, 82.71, 84.46
2037, 4, 2.708, 1.528, 7.054, 10.04
2037, 5, 4.732, 3.861, 60, 58.44
2037, 6, 8.679, 7.548, 29.45, 31.36
2037, 7, 14.55, 13.39, 61.66, 52.17
2037, 8, 12.35, 11.18, 57.75, 56.92
2037, 9, 11.51, 10.37, 63.84, 50.41
2037, 10, 4.996, 3.77, 3.583, 5.111
2037, 11, -0.808, -2.4, 20.99, 22.96
2037, 12, -5.888, -7.566, 76.03, 101.6
2038, 1, -7.027, -8.715, 31.3, 34.78
2038, 2, -6.689, -8.072, 9.823, 13.84
2038, 3, -4.32, -5.378, 40.87, 47.95
2038, 4, -0.8963, -1.764, 104.6, 114.5
2038, 5, 6.421, 5.376, 25.63, 27.81
2038, 6, 13.21, 12.03, 33.63, 34.21
2038, 7, 14.35, 13.13, 36.99, 27.26
2038, 8, 12.72, 11.53, 47.36, 51.04
2038, 9, 9.171, 8.01, 15.82, 19.03
2038, 10, 2.248, 0.8925, 14.11, 15.85
