# Created by WEAP: 5/11/2021 9:17:56 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_ID_AVA_Smith Creek (19,165 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (1,172 ha),  1000 - 2000 m (17,596 ha),  2000 - 3000 m (396 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -1.722, -5.883, -6.89, 101.4, 244.1, 292.3
2006, 2, -4.841, -8.968, -9.975, 50.8, 131.6, 157.3
2006, 3, 4.136, -0.1464, -1.149, 41.5, 101.3, 120.5
2006, 4, 6.813, 2.462, 1.452, 42.45, 89.85, 100.3
2006, 5, 9.951, 5.584, 4.578, 80.94, 152.2, 170.3
2006, 6, 14.36, 10.25, 9.251, 29.23, 54.17, 58.06
2006, 7, 19.95, 15.81, 14.79, 17.99, 30.67, 32.34
2006, 8, 20.3, 16.12, 15.08, 21.98, 30.4, 30.48
2006, 9, 14.32, 10.01, 8.945, 38.38, 72.2, 73.2
2006, 10, 5.929, 1.697, 0.6159, 86.45, 177.6, 195.5
2006, 11, 2.135, -2.038, -3.071, 67.12, 157.4, 184.2
2006, 12, -4.472, -8.715, -9.727, 93.35, 239.5, 281.3
2007, 1, -4.525, -8.742, -9.745, 74.5, 178.2, 212.2
2007, 2, -3.409, -7.729, -8.722, 58.45, 144.3, 176.9
2007, 3, 5.198, 1.01, 0.0476, 68.61, 165.2, 195.6
2007, 4, 7.499, 3.197, 2.16, 36.63, 79.79, 92.96
2007, 5, 13.54, 9.064, 8.043, 27.12, 57.61, 65.29
2007, 6, 16.41, 12.07, 11.06, 37.13, 68.02, 74.38
2007, 7, 19.68, 15.49, 14.47, 33.78, 48.94, 49.23
2007, 8, 19.14, 14.93, 13.93, 33.19, 56.51, 61.97
2007, 9, 13.78, 9.313, 8.297, 45.24, 83.92, 92.58
2007, 10, 4.724, 0.617, -0.4073, 114.5, 227.8, 252.9
2007, 11, 4.554, 0.3928, -0.6499, 109.4, 251.7, 297.9
2007, 12, -4.909, -9.235, -10.27, 93.38, 211.4, 253.4
2008, 1, -4.126, -8.172, -9.177, 57.93, 146.5, 175.3
2008, 2, 1.344, -2.925, -3.866, 117.1, 311.2, 378.4
2008, 3, 0.4704, -3.783, -4.793, 66.6, 182.2, 217.1
2008, 4, 7.891, 3.552, 2.533, 26.73, 65.44, 75.02
2008, 5, 14.77, 10.34, 9.305, 40.59, 70.7, 75.05
2008, 6, 17.5, 13.23, 12.2, 53.95, 86.14, 90.06
2008, 7, 18.81, 14.62, 13.57, 52.04, 77.27, 79.35
2008, 8, 19.26, 14.95, 13.92, 25.88, 46.25, 46.98
2008, 9, 15.4, 11.32, 10.31, 21.16, 43.64, 47.56
2008, 10, 7.575, 3.386, 2.335, 30.75, 68.55, 78.71
