# Created by WEAP: 5/11/2021 9:18:03 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_E_Middle Bear (78,864 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (52,730 ha),  2000 - 3000 m (26,134 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -2.802, -5.433, 68.47, 129.9
2006, 2, -4.599, -7.264, 53.34, 96.85
2006, 3, 2.54, -0.07162, 42.58, 68.33
2006, 4, 7.762, 5.098, 67.19, 92.75
2006, 5, 9.943, 7.39, 46.27, 60.92
2006, 6, 15.66, 13.05, 19.49, 23.48
2006, 7, 22.31, 19.73, 53.1, 54.54
2006, 8, 21.09, 18.48, 11.45, 11.61
2006, 9, 15.58, 12.92, 67.15, 73.86
2006, 10, 6.98, 4.364, 8.582, 10.63
2006, 11, 0.4876, -2.099, 28.43, 43.77
2006, 12, -2.448, -4.986, 83.33, 148.4
2007, 1, -7.328, -9.934, 29.98, 58.82
2007, 2, -5.354, -7.946, 37.3, 65.98
2007, 3, 4.126, 1.543, 4.069, 7.259
2007, 4, 9.129, 6.459, 12.22, 17.4
2007, 5, 13.76, 11.18, 40.17, 53.75
2007, 6, 17.25, 14.64, 25.37, 29.84
2007, 7, 21.45, 18.9, 12.61, 14.23
2007, 8, 20.18, 17.57, 14.83, 15.51
2007, 9, 14.86, 12.22, 3.972, 4.562
2007, 10, 6.994, 4.376, 13.15, 16.65
2007, 11, 4.244, 1.662, 17.95, 31.22
2007, 12, -6.215, -8.791, 38.4, 72.37
2008, 1, -4.854, -7.539, 18.8, 33.64
2008, 2, -0.5461, -3.149, 26.68, 46.43
2008, 3, -0.07792, -2.731, 9.048, 14.47
2008, 4, 7.106, 4.49, 47.85, 68.68
2008, 5, 12.85, 10.32, 18.56, 20.27
2008, 6, 17.35, 14.76, 23.06, 28.24
2008, 7, 21.74, 19.11, 0.671, 1.127
2008, 8, 23.44, 20.85, 12.91, 13.25
2008, 9, 17.72, 15.13, 22.85, 25.03
2008, 10, 9.262, 6.675, 27.35, 31.85
2008, 11, 3.519, 0.9225, 34.61, 55.88
2008, 12, -4.539, -7.125, 70.95, 137.6
2009, 1, -1.67, -4.222, 64.37, 122.6
2009, 2, -1.581, -4.233, 23.45, 43.69
2009, 3, 3.894, 1.227, 25.47, 41.63
2009, 4, 11.08, 8.396, 39.92, 61.23
2009, 5, 11.14, 8.58, 71.05, 95.71
2009, 6, 17.11, 14.49, 44.55, 52.71
2009, 7, 20.6, 18.02, 32.65, 37.47
2009, 8, 22.44, 19.85, 34.44, 36.16
2009, 9, 14.83, 12.22, 26.7, 28.58
2009, 10, 11.67, 9.078, 33.21, 46.67
2009, 11, 0.6826, -1.977, 34.93, 57.81
