# Created by WEAP: 5/11/2021 9:18:47 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_ID_AVA_Upper Spokane (979,800 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (349,277 ha),  1000 - 2000 m (629,498 ha),  2000 - 3000 m (1,025 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -0.07324, -2.611, -6.115, 134, 196.2, 405
2006, 2, -1.955, -4.915, -9.073, 64.53, 104.7, 154.4
2006, 3, 6.026, 3.244, 0.776, 40.28, 51.63, 74.95
2006, 4, 7.029, 4.298, 1.91, 88.56, 133.1, 197.3
2006, 5, 9.333, 6.841, 4.259, 73.41, 102.1, 162
2006, 6, 14.72, 12.09, 9.01, 46.63, 67.34, 89.32
2006, 7, 21.3, 18.67, 16.38, 19.2, 30.44, 35.28
2006, 8, 20.9, 18.21, 15.69, 26.62, 39.34, 49.62
2006, 9, 15.28, 12.65, 10.17, 7.132, 10.65, 19.36
2006, 10, 7.355, 4.66, 1.456, 94.84, 127.7, 148.7
2006, 11, 3.949, 1.302, -1.809, 84.96, 128.3, 241.1
2006, 12, -2.478, -5.061, -8.723, 176.8, 265.3, 446
2007, 1, -3.077, -5.57, -9.423, 138, 185, 265.7
2007, 2, -1.525, -4.147, -7.914, 98.21, 137.4, 243.5
2007, 3, 6.654, 3.79, 1.482, 88.29, 124.5, 184.5
2007, 4, 8.005, 5.264, 2.78, 45.94, 66.79, 112.5
2007, 5, 13.11, 10.69, 8.178, 28.57, 40.16, 48.18
2007, 6, 16.54, 13.87, 10.92, 21.85, 36.03, 64.76
2007, 7, 21.31, 18.72, 16.12, 16.44, 20.7, 20.34
2007, 8, 20.13, 17.52, 15.11, 46.01, 65.75, 82.23
2007, 9, 15.53, 12.95, 10.67, 31.75, 44.21, 59.9
2007, 10, 6.441, 3.751, 0.9913, 119.5, 159.6, 181.7
2007, 11, 5.686, 2.825, -0.2339, 137.8, 186.4, 266.5
2007, 12, -3.464, -6.012, -9.428, 124, 174, 229.3
2008, 1, -1.959, -4.536, -8.634, 103.6, 160.7, 294.3
2008, 2, 2.572, -0.1854, -3.305, 159.3, 219.5, 321.8
2008, 3, 1.821, -1.199, -4.252, 103.7, 153.9, 238.3
2008, 4, 7.412, 4.672, 2.105, 50.76, 74.78, 106.7
2008, 5, 14.38, 11.66, 8.539, 65.31, 79.8, 90.52
2008, 6, 17.75, 15.34, 12.85, 92.31, 98.31, 81.82
2008, 7, 18.75, 16.28, 14.24, 60.87, 82.75, 86.78
2008, 8, 20.13, 17.48, 15.33, 12.35, 17.32, 18.33
2008, 9, 16.81, 14.15, 12.04, 22.63, 33.43, 48.8
2008, 10, 9.063, 6.41, 3.566, 42.5, 62.28, 87.4
2008, 11, 3.115, 0.4517, -2.621, 180.7, 241.2, 351.6
2008, 12, -1.745, -4.377, -8.508, 114.4, 162, 255
2009, 1, 1.006, -1.346, -4.131, 125, 181.1, 244.1
2009, 2, -2.127, -4.813, -7.947, 89.78, 127.6, 198
2009, 3, 5.785, 3.056, 0.4361, 70.51, 100.6, 125
2009, 4, 9.929, 7.293, 4.85, 116.9, 150.3, 197.7
2009, 5, 12.49, 9.913, 6.89, 59.3, 62.76, 75.05
2009, 6, 16.83, 14.18, 11.68, 55.7, 74.04, 78.9
2009, 7, 20.28, 17.65, 15.18, 24.91, 35.57, 33.64
2009, 8, 20.76, 17.93, 15.54, 3.296, 4.192, 5.846
2009, 9, 17.03, 14.33, 11.7, 28.4, 40.09, 50.77
2009, 10, 9.084, 6.523, 3.763, 80.12, 109.3, 123.5
2009, 11, 1.647, -0.9953, -4.576, 147.5, 193.9, 237
2009, 12, 0.3138, -2.287, -5.913, 59.15, 73.51, 88.8
2010, 1, 0.8517, -1.812, -5.05, 22.99, 30.86, 37.76
2010, 2, 4.225, 1.66, -1.651, 45.16, 62.15, 102.4
2010, 3, 5.292, 2.775, 0.3711, 39.84, 60.82, 120
2010, 4, 7.892, 5.112, 2.211, 95.46, 128.2, 226.8
2010, 5, 12.41, 9.939, 7.058, 113.9, 137.7, 239.6
2010, 6, 16.99, 14.46, 11.97, 55.85, 66.63, 72.66
2010, 7, 20.12, 17.47, 14.96, 21.96, 31.16, 35.48
2010, 8, 19.17, 16.45, 13.59, 43.06, 57.56, 67.93
2010, 9, 17.42, 14.5, 11.87, 22.38, 24.05, 26.56
2010, 10, 12.4, 9.772, 7.251, 49.8, 67.63, 70.8
2010, 11, 1.36, -1.215, -4.552, 188.5, 263.7, 394.1
2010, 12, -2.36, -5.072, -8.814, 114.4, 181.2, 277.8
2011, 1, -4.582, -7.244, -11.24, 140.4, 207.5, 397
2011, 2, -2.377, -5.126, -8.395, 48.91, 71.81, 112.3
2011, 3, 0.7724, -2.221, -5.335, 118.2, 190.1, 299
2011, 4, 6.581, 3.89, 1.28, 44.76, 65.3, 92.19
2011, 5, 10.38, 7.722, 4.784, 54.52, 62.54, 81.96
2011, 6, 19.11, 16.53, 14.07, 32.25, 40.12, 52.6
2011, 7, 23.54, 20.92, 18.6, 2.984, 4.744, 6.275
2011, 8, 22.18, 19.36, 16.89, 23.75, 31.58, 21.58
2011, 9, 15.3, 12.78, 10.67, 54.03, 70.02, 92.28
2011, 10, 9.603, 7.042, 4.384, 71.81, 102, 122.5
2011, 11, 2.236, -0.1254, -3.036, 74.08, 98.98, 144.7
2011, 12, 0.6123, -2.094, -5.6, 277.1, 394.2, 609.6
2012, 1, -1.996, -4.491, -8.152, 191.6, 307.1, 596.5
2012, 2, 0.2787, -2.26, -5.417, 56.46, 79.55, 109.5
2012, 3, 5.138, 2.521, 0.4525, 110.7, 169.5, 262.1
2012, 4, 6.865, 4.175, 1.549, 18.88, 32.79, 62.84
2012, 5, 12.88, 10.44, 8.011, 87.17, 110.8, 154.3
2012, 6, 14.71, 12.29, 10.1, 34.4, 45.13, 47.17
2012, 7, 20.99, 18.35, 16.11, 47.99, 64.15, 73.99
2012, 8, 21.1, 18.4, 16, 25.15, 36.13, 57.15
2012, 9, 11.16, 8.885, 7.031, 128.8, 171.5, 202.2
2012, 10, 11.22, 8.672, 6.339, 64.56, 90.95, 109.6
2012, 11, -0.01908, -2.612, -6.041, 145.6, 197.4, 258.8
2012, 12, -3.904, -6.526, -10.12, 195.8, 276.3, 429.7
2013, 1, -0.3692, -2.914, -6.17, 265.9, 383.7, 635.1
2013, 2, -3.531, -6.292, -9.811, 55.8, 88.79, 168.2
2013, 3, 5.61, 2.733, 0.2085, 128.8, 187.1, 271.5
2013, 4, 9.42, 6.698, 4.455, 51.43, 70.74, 112.5
2013, 5, 10.92, 8.387, 5.572, 51.03, 64.31, 89.45
2013, 6, 17.02, 14.44, 11.71, 25.22, 32.98, 45.73
2013, 7, 21.94, 19.5, 17.36, 16.09, 19.23, 14.54
2013, 8, 21.67, 18.92, 16.48, 12.3, 19.73, 38.86
2013, 9, 15.83, 13.12, 10.66, 29.08, 42.31, 47.11
2013, 10, 10.01, 7.447, 4.593, 30.02, 52.3, 94.16
2013, 11, 1.395, -1.245, -4.394, 93.21, 130.9, 223.8
2013, 12, -2.339, -4.895, -8.901, 124.1, 181.4, 289.2
2014, 1, -1.231, -3.638, -6.829, 60.53, 78.36, 120.1
2014, 2, -5.259, -8.376, -13.41, 49.59, 73.45, 116
2014, 3, 7.199, 4.554, 1.821, 31.19, 42.69, 49.72
2014, 4, 10.39, 7.733, 4.958, 61.19, 73.83, 90.63
2014, 5, 15.49, 13.13, 10.96, 39.41, 47.07, 54.67
2014, 6, 19.78, 17.6, 15.73, 6.833, 8.751, 13.03
2014, 7, 22.6, 20.06, 17.75, 19.3, 25.89, 27.99
2014, 8, 21.85, 19.15, 16.98, 35.11, 53.5, 69.05
2014, 9, 15.21, 12.74, 10.62, 80.12, 104.5, 115.9
2014, 10, 8.557, 6.012, 3.47, 151.9, 209.3, 251.2
2014, 11, 0.3155, -2.205, -5.496, 125.4, 172.5, 265.3
2014, 12, -1.605, -4.264, -8.026, 188.2, 240.6, 330.7
2015, 1, -2.516, -5.272, -8.991, 142, 210.5, 331.9
2015, 2, 0.2673, -2.613, -6.222, 107.2, 161.1, 245.5
2015, 3, 2.539, -0.5143, -3.282, 77.33, 115.4, 205
2015, 4, 6.292, 3.496, 0.8299, 107.8, 131, 163
2015, 5, 12.01, 9.58, 6.721, 32.03, 48.1, 81.65
2015, 6, 13.38, 10.91, 8.656, 68.24, 89.53, 87.94
2015, 7, 19.95, 17.54, 14.81, 22.61, 28.74, 39.08
2015, 8, 22.04, 19.32, 16.75, 5.457, 7.981, 11.87
2015, 9, 15.68, 13.09, 10.86, 26.67, 35.52, 48.94
2015, 10, 10.5, 7.808, 5.205, 102.2, 134.4, 168.3
2015, 11, 2.532, -0.03224, -2.799, 166.8, 238.2, 387.2
2015, 12, -1.218, -3.843, -7.219, 91.17, 132.4, 182.1
2016, 1, -1.011, -3.551, -6.959, 88.45, 128.4, 162.6
2016, 2, -3.266, -5.796, -9.387, 100.7, 152.4, 217
2016, 3, 3.852, 1.232, -1.196, 68.72, 97.28, 141.3
2016, 4, 7.077, 4.502, 1.992, 100.2, 128.2, 167.7
2016, 5, 13.8, 11.11, 8.27, 45.03, 56.51, 64.8
2016, 6, 18.02, 15.48, 12.63, 90.42, 119.7, 113.7
2016, 7, 22.51, 19.99, 17.85, 19.71, 23.09, 26.98
2016, 8, 22.62, 19.82, 17.36, 13.08, 13.51, 18.38
2016, 9, 14.13, 11.35, 9.063, 53.36, 71.61, 108.2
2016, 10, 8.355, 5.642, 2.908, 113.3, 162, 209.3
2016, 11, 1.543, -1.169, -4.47, 196.9, 277, 365.1
2016, 12, -0.3836, -2.849, -6.4, 43.85, 58.64, 90.21
2017, 1, 1.785, -0.866, -4.062, 339, 561.2, 1231
2017, 2, -0.3971, -3.128, -6.876, 80.12, 121.9, 231.4
2017, 3, 6.423, 3.619, 1.129, 22.75, 34.57, 50.58
2017, 4, 7.692, 4.899, 1.97, 64.54, 79.35, 104.2
2017, 5, 15.08, 12.39, 9.19, 60.31, 69.2, 73.44
2017, 6, 17.77, 15.33, 12.64, 140.4, 177.7, 198.4
2017, 7, 21.46, 18.92, 16.58, 31.93, 33.26, 42.96
2017, 8, 18.58, 15.88, 13.17, 34.52, 46.1, 40.13
2017, 9, 18.68, 15.81, 13.34, 41.75, 58.99, 72.48
2017, 10, 7.957, 5.147, 2.127, 74.03, 106.3, 135.1
2017, 11, 4.557, 1.915, -1.013, 141.9, 188, 195.5
2017, 12, -1.744, -4.387, -8.086, 96.81, 142.3, 210.9
2018, 1, 0.5178, -2.302, -5.889, 105.9, 163.8, 251.8
2018, 2, 5.064, 2.454, -0.5023, 15.69, 22.98, 47.51
2018, 3, 8.097, 5.484, 3.436, 43.89, 59.43, 72.96
2018, 4, 9.244, 6.522, 3.923, 71.97, 89.38, 137.4
2018, 5, 12.67, 10.19, 7.587, 60.49, 84.8, 127.6
2018, 6, 20.87, 18.45, 16.04, 41.49, 54.07, 58.1
2018, 7, 21.95, 19.31, 16.97, 10.78, 16.02, 22.46
2018, 8, 20.65, 17.93, 15.54, 30.47, 41.85, 45.24
2018, 9, 18.05, 15.14, 12.46, 30.32, 39.43, 55.26
2018, 10, 12.19, 9.635, 7.01, 67.7, 86.86, 79.53
2018, 11, 1.393, -1.269, -4.671, 134.9, 180.1, 256.2
2018, 12, 1.068, -1.325, -4.176, 165.4, 223.7, 297.3
2019, 1, -3.56, -6.027, -9.62, 220.5, 311.5, 443.2
2019, 2, -1.673, -4.47, -8.03, 97.11, 135.3, 173
2019, 3, 5.11, 2.195, -0.3334, 47.96, 74.5, 120.3
2019, 4, 7.66, 4.855, 1.763, 98.03, 132.2, 232.7
2019, 5, 12.47, 9.82, 6.704, 69.94, 81.22, 108.2
2019, 6, 14.02, 11.53, 8.931, 144.9, 202.6, 244.8
2019, 7, 20.35, 17.86, 15.7, 27.1, 36.86, 34.03
2019, 8, 21.03, 18.31, 15.94, 10.62, 13.27, 19.54
