# Created by WEAP: 5/11/2021 9:18:56 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_E_Lwr South Platte (2,104,250 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,036,731 ha),  2000 - 3000 m (67,519 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 3.81, 4.34, 9.189, 9.522
2006, 2, 1.234, 1.811, 3.467, 8.538
2006, 3, 6.018, 3.466, 44.31, 66.2
2006, 4, 11.29, 8.88, 22.38, 28.74
2006, 5, 16.16, 13.5, 37.33, 19.37
2006, 6, 21.67, 19.15, 33.88, 35.65
2006, 7, 28.79, 25.55, 70.78, 53.93
2006, 8, 23.5, 20.5, 30.93, 55.75
2006, 9, 18.02, 15.96, 24.28, 20.64
2006, 10, 10.34, 8.525, 24.48, 24.12
2006, 11, 4.61, 3.097, 37.96, 43.54
2006, 12, 3.123, 2.051, 2.339, 3.352
2007, 1, 0.6927, 0.1117, 2.875, 3.491
2007, 2, -1.294, -0.8308, 2.635, 2.468
2007, 3, 10.38, 7.892, 5.052, 3.663
2007, 4, 13.53, 11.71, 10.06, 7.485
2007, 5, 16.02, 13.62, 84.49, 79.37
2007, 6, 23.51, 21.16, 28.2, 15.18
2007, 7, 25.4, 22.7, 50.02, 46.82
2007, 8, 23.91, 21.07, 36.15, 61.1
2007, 9, 18.62, 16.71, 42.79, 48.93
2007, 10, 11.25, 9.524, 3.061, 1.072
2007, 11, 7.08, 5.594, 7.625, 8.368
2007, 12, -1.722, -3.021, 3.675, 12.93
2008, 1, -0.3563, -0.0448, 5.35, 6.327
2008, 2, 4.848, 2.99, 5.025, 8.927
2008, 3, 2.818, 1.031, 15.27, 24.16
2008, 4, 14.86, 12.7, 15.55, 5.21
2008, 5, 14.86, 12.66, 48.07, 49.35
2008, 6, 20.95, 18.74, 39.51, 59.24
2008, 7, 26.98, 24.28, 26.12, 34.84
2008, 8, 28.04, 25.08, 17.42, 31.04
2008, 9, 19.6, 17.29, 41.8, 67.44
2008, 10, 12.65, 10.67, 37.56, 64.99
2008, 11, 6.818, 5.414, 10.34, 5.565
2008, 12, -0.8404, -1.858, 4.736, 7.642
2009, 1, 2.352, 2.232, 6.269, 7.141
2009, 2, 2.944, 1.489, 2.302, 2.171
2009, 3, 2.399, 0.7385, 18.62, 29
2009, 4, 13.12, 10.62, 77.52, 123.9
2009, 5, 16.07, 13.06, 105.2, 62.15
2009, 6, 21.18, 18.61, 47.23, 28.37
2009, 7, 24.5, 21.36, 69.67, 82.03
2009, 8, 26.06, 22.63, 34.75, 52.93
2009, 9, 19.26, 16.9, 12.05, 27.63
2009, 10, 16.4, 14.83, 13.67, 15.83
2009, 11, 3.679, 3.131, 23.2, 32.04
2009, 12, 0.05904, -0.9042, 12.41, 10.53
2010, 1, -1.526, -1.732, 2.422, 1.81
2010, 2, 1.443, -0.4283, 13.18, 21.61
2010, 3, 3.792, 1.271, 51.31, 50.28
2010, 4, 9.849, 8.197, 27.05, 30.41
2010, 5, 15.82, 12.93, 130.8, 110.1
2010, 6, 20.95, 18.04, 39.35, 31.65
2010, 7, 27.51, 24.66, 29.9, 39.33
2010, 8, 23.27, 20.61, 52.97, 90.25
2010, 9, 19.95, 17.72, 32.04, 28.27
2010, 10, 17.14, 14.89, 12.92, 12.88
2010, 11, 6.506, 5.474, 2.58, 0.7586
2010, 12, 0.9552, 0.714, 10.64, 20.65
2011, 1, 3.88, 3.834, 4.25, 3.817
2011, 2, 3.516, 1.905, 5.787, 15.75
2011, 3, 5.782, 2.979, 6.581, 6.647
2011, 4, 10.85, 8.866, 29.51, 41.93
2011, 5, 15.84, 13.43, 61.69, 71.77
2011, 6, 20.5, 17.99, 59.57, 63.4
2011, 7, 24.8, 21.52, 33.02, 52.12
2011, 8, 23.05, 20.06, 51.31, 69.02
2011, 9, 21.2, 18.08, 12, 2.438
2011, 10, 13.92, 12.34, 11.88, 21.53
2011, 11, 5.861, 4.646, 11.27, 17.92
2011, 12, 3.488, 3.242, 5.294, 7.041
2012, 1, -1.505, -2.375, 13.24, 24.95
2012, 2, 4.394, 3.503, 13.81, 18.81
2012, 3, 9.483, 6.675, 67.15, 53.55
2012, 4, 10.21, 7.569, 29.94, 46.55
2012, 5, 18.43, 15.97, 54.04, 44.92
2012, 6, 21.89, 19.71, 14.28, 10.67
2012, 7, 24.84, 21.9, 58.93, 72.17
2012, 8, 25.79, 22.62, 33.21, 63.81
2012, 9, 20.28, 17.87, 15.42, 14.38
2012, 10, 15.9, 13.67, 24.02, 22.85
2012, 11, 3.767, 2.082, 11.92, 10.52
2012, 12, -1.188, -1.313, 6.628, 5.477
2013, 1, 2.186, 2.62, 14.98, 11.3
2013, 2, 0.3143, -1.011, 11.63, 14.22
2013, 3, 10.51, 8.816, 7.82, 13.02
2013, 4, 10.98, 8.403, 6.665, 8.04
2013, 5, 15.8, 13.54, 53.74, 46.7
2013, 6, 23.06, 20.19, 26.99, 21.36
2013, 7, 27.08, 24.21, 67.23, 60.13
2013, 8, 24.37, 21.68, 83.89, 99.64
2013, 9, 18.3, 15.86, 33.81, 56.87
2013, 10, 11.32, 9.234, 22.37, 27.32
2013, 11, 6.103, 5.211, 18.18, 28.52
2013, 12, -2.209, -3.219, 4.911, 5.356
2014, 1, -0.8997, -0.05285, 18.06, 26.27
2014, 2, -8.293, -8.479, 9.994, 17.68
2014, 3, 6.838, 5.041, 26, 32.72
2014, 4, 10.24, 7.594, 70.94, 83.78
2014, 5, 15.18, 13.11, 50.53, 51.44
2014, 6, 23.57, 20.21, 84.99, 96.82
2014, 7, 24.15, 21.62, 77.91, 134.2
2014, 8, 23.32, 20, 89.7, 115.5
2014, 9, 20.16, 16.79, 38.41, 55.33
2014, 10, 16.36, 14.29, 12.41, 8.561
2014, 11, 2.651, 1.103, 22.47, 26.17
2014, 12, -1.219, -1.584, 23.4, 21.48
2015, 1, -2.228, -1.831, 9.427, 13.84
2015, 2, 1.54, 0.2264, 2.164, 1.32
2015, 3, 3.162, 2.167, 28.41, 31.06
2015, 4, 8.918, 7.171, 92.75, 110.3
2015, 5, 14.9, 13.01, 68.31, 48.68
2015, 6, 24.54, 21.63, 18.9, 8.562
2015, 7, 25.61, 22.59, 46.02, 44.72
2015, 8, 23.14, 19.98, 96.34, 134.6
2015, 9, 21.54, 19.11, 19.95, 13.41
2015, 10, 13.19, 11.41, 7.679, 6.334
2015, 11, 11.49, 9.832, 11.18, 4.885
