# Created by WEAP: 5/11/2021 9:16:41 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: ID_S_OR_E_Middle Frk Snake (803,800 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (720,976 ha),  2000 - 3000 m (82,713 ha),  3000 - 4000 m (112 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, -1.102, -3.719, -5.151, 44.55, 118.6, 206.4
2006, 2, -2.425, -4.94, -6.792, 23.38, 51.42, 65.26
2006, 3, 5.733, 2.858, 1.209, 28.17, 44.73, 49.13
2006, 4, 9.175, 5.792, 3.746, 45.47, 81.86, 126
2006, 5, 10.7, 7.379, 5.38, 65.16, 90.9, 113
2006, 6, 16.46, 13.46, 11.23, 28.81, 36.41, 29.97
2006, 7, 23.91, 20.9, 18.69, 47.78, 66.68, 71.16
2006, 8, 22.55, 19.56, 17.49, 6.47, 8.922, 10.08
2006, 9, 16.9, 14.05, 11.95, 17.49, 42.95, 45.67
2006, 10, 8.029, 4.853, 2.844, 4.076, 6.239, 7.828
2006, 11, 2.266, -0.5022, -2.255, 19.71, 37.68, 59.86
2006, 12, -1.274, -3.232, -4.993, 47.56, 93.17, 166.3
2007, 1, -5.594, -7.77, -9.426, 17.28, 42.18, 74.04
2007, 2, -2.441, -4.727, -6.266, 12.52, 30.17, 51.66
2007, 3, 7.125, 4.445, 2.903, 2.789, 3.65, 3.759
2007, 4, 10.22, 6.91, 5.013, 28.52, 37.57, 66.18
2007, 5, 14.87, 11.75, 9.696, 21.5, 41.57, 52.43
2007, 6, 18.41, 15.41, 13.21, 23.78, 31.96, 37.15
2007, 7, 23.07, 20.06, 17.69, 9.842, 12.35, 13.09
2007, 8, 21.36, 18.49, 16.23, 5.614, 9.685, 9.214
2007, 9, 16.01, 12.92, 10.79, 0.6445, 0.9832, 0.6225
2007, 10, 8.11, 5.176, 3.171, 6.43, 11.12, 18.2
2007, 11, 5.518, 2.71, 0.8402, 21.62, 50.09, 83.81
2007, 12, -5.189, -7.697, -9.606, 27.15, 48.52, 85.78
2008, 1, -2.875, -5.02, -6.562, 11.47, 27.22, 46.31
2008, 2, 2.266, -0.2117, -1.815, 19.7, 37.8, 54.71
2008, 3, 2.414, -1.028, -2.613, 6.737, 10.41, 17.72
2008, 4, 8.118, 4.638, 2.694, 33.65, 67.23, 99.54
2008, 5, 14.31, 10.95, 8.87, 40.24, 60.23, 93.68
2008, 6, 19.05, 15.89, 13.89, 11.13, 16.97, 18.58
2008, 7, 22.3, 19.2, 16.71, 2.988, 2.778, 3.699
2008, 8, 24.19, 21.59, 19.29, 5.237, 5.902, 4.847
2008, 9, 19.09, 16.06, 14, 16.54, 28.53, 33.08
2008, 10, 10.19, 7.153, 5.294, 8.532, 15.54, 22.57
2008, 11, 4.813, 2.019, 0.1713, 27.54, 43.52, 71.81
2008, 12, -3.036, -5.662, -7.46, 61.84, 137.9, 253.5
2009, 1, 0.908, -2.156, -3.645, 41.27, 86.14, 163.7
2009, 2, 0.3903, -2.623, -4.329, 16.18, 33.25, 52.1
2009, 3, 6.95, 3.532, 1.918, 19.35, 43.67, 68.48
2009, 4, 12.11, 8.454, 6.541, 20.8, 45.6, 69.71
2009, 5, 12.26, 8.867, 6.891, 69.75, 101, 133.1
2009, 6, 18.38, 15.36, 13.17, 26.32, 37.41, 42.81
2009, 7, 22.01, 18.84, 16.49, 19.88, 32.02, 34.35
2009, 8, 23.78, 21.08, 19.04, 21.6, 41.3, 48.02
2009, 9, 17.09, 14.12, 12.11, 7.353, 12.39, 12.58
2009, 10, 12.35, 9.697, 7.56, 22.51, 27.03, 34.83
2009, 11, 2.595, -0.2963, -2.235, 20.08, 36.61, 54.42
2009, 12, -1.666, -4.329, -5.891, 19.25, 49.76, 98.89
2010, 1, -2.602, -5.209, -6.575, 9.469, 26.33, 59.45
2010, 2, 1.647, -1.028, -2.413, 15.21, 33.33, 58.75
2010, 3, 5.857, 2.061, 0.3757, 16.14, 34.88, 43.65
2010, 4, 7.089, 3.546, 1.462, 67.8, 102.6, 134.7
2010, 5, 11.26, 8.098, 6.108, 88.15, 142.7, 180.4
2010, 6, 18.07, 15, 12.84, 33.9, 54.78, 68.49
2010, 7, 23.12, 20.27, 18.04, 3.904, 4.64, 4.003
2010, 8, 21.63, 18.81, 16.6, 9.467, 20.19, 26.32
2010, 9, 18.21, 15.28, 13.37, 5.2, 11.49, 14.83
2010, 10, 14.7, 12, 9.988, 10.38, 22.66, 29
2010, 11, 3.317, 0.9041, -0.954, 40.97, 63.08, 94.65
2010, 12, -2.759, -5.101, -6.915, 15.26, 37.54, 78.6
2011, 1, -2.736, -5.198, -6.736, 43.5, 96.01, 154.2
2011, 2, -3.587, -5.55, -7.153, 9.931, 22.06, 39.27
2011, 3, 0.7239, -1.944, -3.48, 43.75, 82.85, 120.8
2011, 4, 7.054, 3.984, 1.91, 32.4, 51.09, 72.72
2011, 5, 10.86, 7.714, 5.727, 42.83, 66.73, 93.26
2011, 6, 19.34, 16.23, 14.18, 23.61, 43.03, 52.88
2011, 7, 24.77, 21.83, 19.61, 21.67, 28.5, 24.75
2011, 8, 22.96, 20.07, 17.92, 7.87, 18.52, 26.68
2011, 9, 17.2, 14.29, 12.06, 56.02, 84.01, 111.7
2011, 10, 12.38, 9.483, 7.383, 37.23, 37.56, 51.44
2011, 11, 3.697, 1.082, -0.731, 16.13, 36.19, 68.44
2011, 12, 1.098, -1.79, -3.332, 77.15, 153.7, 277.4
2012, 1, -3.249, -5.804, -7.267, 70.95, 146.2, 239.9
2012, 2, 2.582, 0.1257, -1.465, 31.6, 60.76, 109.2
2012, 3, 7.124, 4.144, 2.523, 11.75, 20.64, 30.83
2012, 4, 8.823, 5.254, 3.225, 35.42, 57.37, 79.09
2012, 5, 14.64, 11.49, 9.389, 19.97, 30.18, 45.78
2012, 6, 18.47, 15.35, 13.2, 7.763, 10.85, 13.07
2012, 7, 23.34, 20.46, 18.22, 21.04, 33.93, 34.33
2012, 8, 23.41, 20.44, 18.42, 36.27, 66.24, 67.41
2012, 9, 14.61, 11.73, 9.518, 28.3, 34.66, 46.12
2012, 10, 14.44, 11.57, 9.62, 3.902, 7.129, 8.864
2012, 11, -0.04523, -3.028, -5.03, 17.97, 32.37, 57.18
2012, 12, -4.675, -7.328, -9.073, 20.82, 49.09, 87
2013, 1, -1.234, -3.933, -5.324, 61.24, 125.4, 219.3
2013, 2, -3.897, -6.665, -8.142, 52.53, 103.9, 161.3
2013, 3, 7.064, 4.509, 2.769, 25.16, 45.11, 84.16
2013, 4, 8.119, 4.52, 2.455, 38.51, 58.96, 92.01
2013, 5, 10.68, 7.445, 5.469, 62.31, 101.3, 130.8
2013, 6, 18.51, 15.35, 13.3, 61.17, 97.58, 124.6
2013, 7, 24.69, 21.66, 19.39, 13.84, 17.71, 20.85
2013, 8, 22.36, 19.67, 17.75, 3.613, 3.642, 2.878
2013, 9, 17.45, 14.38, 12.3, 1.441, 1.178, 0.4854
2013, 10, 10.24, 7.138, 5.077, 12.43, 20.48, 27.75
2013, 11, 3.311, 0.488, -1.631, 54.75, 108.4, 171.2
2013, 12, -3.672, -5.904, -7.464, 40.83, 86.26, 147.1
2014, 1, -0.9762, -3.261, -4.582, 16.61, 37.42, 54.98
2014, 2, -6.775, -8.608, -10.24, 2.547, 4.836, 5.528
2014, 3, 6.594, 3.467, 2.036, 26.36, 63.78, 96.54
2014, 4, 9.564, 6.08, 4.085, 73.7, 136.5, 200.6
2014, 5, 16.26, 12.83, 10.69, 19.85, 33.21, 42.74
2014, 6, 21.8, 18.33, 16.42, 11.14, 19.53, 26.54
2014, 7, 24.49, 21.43, 19.19, 20.22, 27.41, 28.94
2014, 8, 22.95, 19.81, 17.69, 40.74, 76.4, 89.78
2014, 9, 17.13, 13.98, 11.96, 5.341, 5.195, 6.725
2014, 10, 12.87, 9.933, 7.602, 58.99, 105.4, 168.3
2014, 11, 0.356, -2.432, -4.454, 24.25, 51.58, 77.99
2014, 12, -3.588, -5.881, -7.451, 46.83, 95.49, 165.9
2015, 1, -3.267, -5.684, -7.053, 24.77, 63.81, 117.4
2015, 2, 0.03366, -2.414, -4.094, 28.78, 65.2, 117.1
2015, 3, 2.409, -0.1105, -1.616, 29.5, 46.89, 61.14
2015, 4, 6.285, 2.985, 1.159, 31.85, 43.51, 68.37
2015, 5, 12.42, 9.118, 7.035, 28.27, 47.1, 70.28
2015, 6, 16.37, 13.27, 11.01, 30.19, 39.24, 50.57
2015, 7, 21.94, 18.7, 16.44, 27.07, 35.09, 33.64
2015, 8, 23.39, 20.36, 18.24, 23.65, 37.6, 42.01
