# Created by WEAP: 5/11/2021 9:17:06 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Mid Fork American (36,581 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (22,613 ha),  2000 - 3000 m (13,967 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 5.008, 1.755, 374, 392.6
2006, 2, 0.6628, -2.922, 189.7, 173.3
2006, 3, 4.897, 1.278, 161.9, 140.1
2006, 4, 9.087, 5.739, 90.78, 91.94
2006, 5, 10.47, 7.009, 65.79, 69.32
2006, 6, 16.83, 13.32, 5.303, 17.34
2006, 7, 19.85, 16.58, 3.532, 14.37
2006, 8, 20.51, 17, 1.302, 6.196
2006, 9, 17.58, 13.66, 11.05, 17.72
2006, 10, 11.42, 7.693, 1.567, 2.631
2006, 11, 7.136, 3.681, 102.6, 98.33
2006, 12, 2.876, -0.42, 186.6, 156.5
2007, 1, 0.1669, -3.439, 145.3, 130.5
2007, 2, 2.284, -1.186, 211.8, 188.9
2007, 3, 9.267, 5.539, 3.986, 5.342
2007, 4, 10.11, 6.536, 33.37, 37.13
2007, 5, 13.92, 10.59, 6.936, 8.703
2007, 6, 19.41, 15.47, 6.247, 10.01
2007, 7, 22.86, 19.15, 1.745, 4.764
2007, 8, 20.62, 16.92, 0.2527, 0.8121
2007, 9, 18.31, 14.35, 0.9565, 2.448
2007, 10, 11.63, 8.256, 10.57, 13.42
2007, 11, 6.489, 3.184, 169.1, 145.4
2007, 12, 1.79, -1.366, 169.8, 176.6
2008, 1, 4.163, 0.9912, 70.51, 51.22
2008, 2, 5.715, 2.019, 164.7, 144
2008, 3, 5.579, 1.834, 57.44, 57.03
2008, 4, 7.799, 4.432, 93.76, 98.91
2008, 5, 13.05, 9.966, 17.65, 22.6
2008, 6, 17.16, 13.63, 40.63, 23.93
2008, 7, 18.24, 15.25, 2.868, 11.35
2008, 8, 22.18, 18.41, 0.239, 0.4398
2008, 9, 18.51, 14.81, 0.4669, 1.075
2008, 10, 12.44, 8.69, 0.0665, 0.1221
2008, 11, 7.866, 4.596, 60.08, 54.62
2008, 12, 2.86, -0.4545, 379.4, 399.6
2009, 1, 4.331, 0.995, 264.8, 249.9
2009, 2, 3.46, -0.05348, 101.6, 85.41
2009, 3, 5.685, 2.427, 204, 193.1
2009, 4, 9.386, 6.273, 131.3, 121.2
2009, 5, 10.43, 7.326, 108.9, 133.7
2009, 6, 17.55, 14.09, 10.49, 25.16
2009, 7, 19.98, 16.62, 12.85, 11.95
2009, 8, 20.98, 17.56, 0.2949, 1.569
2009, 9, 19.14, 15.28, 1.234, 3.346
2009, 10, 14.31, 10.72, 135, 134.9
