# Created by WEAP: 5/11/2021 9:17:36 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CMCC-CMS_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: MT_SE_Middle Yellowstone (3,408,162 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (211,264 ha),  1000 - 2000 m (2,050,385 ha),  2000 - 3000 m (1,032,106 ha),  3000 - 4000 m (114,407 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 0.1618, -0.04931, -6.851, -8.319, 18.29, 28.62, 129.3, 181.4
2006, 2, -6.45, -5.502, -9.64, -12.13, 23.63, 28.11, 100.5, 159
2006, 3, 5.457, 4.523, -2.065, -4.699, 26.84, 30.37, 67.08, 116.4
2006, 4, 9.357, 7.321, 0.9239, -2.073, 24.65, 39.95, 75.36, 115.8
2006, 5, 15.24, 12.06, 5.279, 2.42, 55.43, 71.82, 97.7, 94.03
2006, 6, 18.95, 16.15, 9.181, 6.536, 37.42, 42.86, 68.33, 55.36
2006, 7, 26.69, 23.76, 16.5, 13.71, 21.54, 27.15, 49.63, 46.92
2006, 8, 24.36, 21.75, 14.83, 12.09, 24.17, 34.63, 48.25, 56.95
2006, 9, 16.14, 14.46, 8.551, 5.674, 51.98, 55.43, 54.96, 70.37
2006, 10, 9.678, 7.858, 1.594, -0.8674, 6.896, 13.07, 24.54, 30.56
2006, 11, 5.529, 4.328, -2.628, -4.783, 16.05, 13.48, 42.83, 63.16
2006, 12, -3.152, -2.763, -8.656, -10.52, 29.11, 38.75, 153.6, 232.3
2007, 1, -4.99, -5.674, -11.49, -13.36, 14.89, 16.23, 52.39, 93.02
2007, 2, -6.525, -6.09, -10.54, -12.8, 24.94, 32.71, 97.14, 149.9
2007, 3, 9.107, 7.708, 0.1883, -2.129, 9.319, 7.149, 16.82, 23.92
2007, 4, 12.65, 10.31, 2.893, 0.4347, 18.29, 27.07, 52.73, 69.18
2007, 5, 17.41, 14.96, 7.822, 5.118, 26.91, 38, 52.44, 78.79
2007, 6, 19.1, 16.61, 10.18, 7.261, 78.09, 72.96, 84.61, 88.04
2007, 7, 25.1, 22.61, 15.69, 12.72, 18.99, 17.47, 32.06, 39.17
2007, 8, 23.48, 21.24, 14.52, 11.7, 25.08, 21.2, 25.78, 35.57
2007, 9, 17.62, 15.79, 9.373, 6.848, 23.81, 25.42, 40.21, 44.42
2007, 10, 9.733, 8.188, 2.109, -0.4835, 4.801, 11.3, 29.98, 36.16
2007, 11, 7.379, 6.562, 0.01652, -2.351, 4.356, 8.855, 30.68, 47.6
2007, 12, -3.576, -4.19, -10.29, -12.08, 5.592, 10.03, 46.13, 81.84
