# Created by WEAP: 4/12/2021 7:01:56 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CNRM-CM5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: WA_W_Upper Skagit (33,688 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (7,674 ha),  1000 - 2000 m (19,721 ha),  2000 - 3000 m (6,293 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, -1.52, -4.36, -5.898, 483.6, 490.9, 510.2
2006, 2, -0.02277, -2.794, -4.305, 95.15, 98.29, 103.2
2006, 3, 2.914, 0.2079, -1.245, 270.2, 280.3, 295.3
2006, 4, 8.645, 5.913, 4.438, 115, 124.3, 133.1
2006, 5, 9.884, 7.377, 6.012, 110.2, 120.7, 129.7
2006, 6, 11.06, 8.439, 7.048, 107, 122.6, 135
2006, 7, 13.05, 10.46, 9.062, 119.8, 135.3, 145.9
2006, 8, 12.69, 9.97, 8.519, 65.81, 68.92, 72.39
2006, 9, 12.24, 9.485, 7.992, 94.53, 100.4, 107
2006, 10, 5.787, 2.98, 1.473, 200.8, 215.4, 229.1
2006, 11, -1.502, -4.321, -5.845, 415, 412.2, 424.6
2006, 12, -4.452, -7.332, -8.874, 353.8, 366.5, 384.5
2007, 1, -2.873, -5.661, -7.18, 355.6, 374.4, 394.1
2007, 2, -1.274, -4.059, -5.566, 229.9, 240.1, 253.2
2007, 3, -0.6381, -3.377, -4.858, 139.6, 151.3, 161.7
2007, 4, 5.256, 2.633, 1.22, 68.74, 73.05, 77.84
2007, 5, 9.926, 7.312, 5.897, 57.27, 64.87, 71.05
2007, 6, 13.89, 11.27, 9.888, 48.59, 57.05, 62.89
2007, 7, 13.75, 11.2, 9.81, 67.13, 69.87, 73.95
2007, 8, 16.94, 14.23, 12.79, 43.82, 46.67, 49.75
2007, 9, 16.58, 13.73, 12.19, 11.49, 13.15, 14.51
2007, 10, 7.722, 4.935, 3.439, 122.9, 123.4, 127.6
2007, 11, 3.024, 0.08456, -1.503, 226.8, 231.5, 242.2
2007, 12, -1.931, -4.897, -6.485, 230.4, 240.1, 253.4
2008, 1, 0.2133, -2.566, -4.078, 231.2, 234.8, 245.2
2008, 2, -1.088, -3.857, -5.355, 335.8, 348, 366.2
2008, 3, 1.014, -1.736, -3.233, 111.1, 118.6, 127.6
2008, 4, 4.986, 2.272, 0.8014, 133.9, 152.8, 167.1
2008, 5, 7.89, 5.338, 3.946, 124.4, 146.3, 162.2
2008, 6, 12.32, 9.732, 8.343, 45.21, 49.59, 53.23
2008, 7, 14.57, 12, 10.62, 73.15, 81.87, 88.55
2008, 8, 15.52, 12.86, 11.43, 64.81, 68.56, 73.37
2008, 9, 13.07, 10.33, 8.859, 58.34, 59.74, 62.44
2008, 10, 7.374, 4.492, 2.941, 66.65, 70.44, 74.65
2008, 11, -2.464, -5.217, -6.7, 384.7, 402.4, 425.6
2008, 12, -1.923, -4.811, -6.365, 144.8, 146.5, 152.8
2009, 1, -2.117, -4.956, -6.498, 276.5, 285, 298.8
2009, 2, -1.532, -4.322, -5.847, 260.3, 271.8, 287.2
2009, 3, 3.37, 0.5594, -0.9541, 157.5, 159.7, 166.1
2009, 4, 7.534, 4.806, 3.345, 128.5, 144.3, 157.2
2009, 5, 11.21, 8.557, 7.119, 98.38, 111.5, 121.5
2009, 6, 11.99, 9.404, 8.02, 65.9, 75.37, 83.08
2009, 7, 17.52, 14.85, 13.42, 4.683, 4.897, 5.265
2009, 8, 14.26, 11.56, 10.1, 66.26, 74.54, 80.78
2009, 9, 10.19, 7.487, 6.018, 74.7, 77.48, 81.88
