# Created by WEAP: 4/12/2021 7:30:09 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CNRM-CM5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Upr Willamette (79,884 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (23,618 ha),  1000 - 2000 m (54,831 ha),  2000 - 3000 m (1,436 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

2006, 1, 3.989, 1.819, -2.095, 209.3, 240.4, 301.2
2006, 2, 5.434, 2.808, -1.671, 102, 110, 138.4
2006, 3, 8.049, 5.608, 1.4, 221.2, 228.6, 268.9
2006, 4, 10.91, 8.74, 4.679, 78.81, 74.05, 78.35
2006, 5, 13.73, 11.75, 7.692, 58.99, 61.6, 77.49
2006, 6, 13.99, 11.87, 7.713, 128.6, 130.4, 162.6
2006, 7, 16.29, 14.42, 10.32, 140.1, 145.1, 158.8
2006, 8, 15.83, 13.95, 9.893, 16.41, 14.79, 15.43
2006, 9, 15.17, 12.95, 8.657, 70.25, 69.39, 90.01
2006, 10, 10.6, 8.381, 4.393, 143.2, 149.2, 171.7
2006, 11, 2.761, 0.459, -3.774, 291.8, 312.9, 349
2006, 12, 0.3939, -2.191, -6.517, 249.8, 255.9, 293.4
2007, 1, 2.944, 0.5622, -3.687, 324, 346.2, 424.4
2007, 2, 3.858, 1.297, -3.127, 267.3, 279.5, 332.1
2007, 3, 3.873, 1.094, -3.588, 192.6, 213.1, 284.8
2007, 4, 8.205, 5.635, 1.162, 99.27, 97.21, 116.9
2007, 5, 12.99, 10.78, 6.514, 40.51, 42.81, 59.45
2007, 6, 16.3, 14.45, 10.48, 90.3, 87.29, 113.8
2007, 7, 18.82, 17.1, 13.3, 17.93, 18.38, 21.75
2007, 8, 21, 19.48, 15.59, 2.214, 2.293, 3.574
2007, 9, 18.48, 16.38, 12.17, 18.32, 20.84, 26.07
2007, 10, 11.06, 8.796, 4.86, 118.1, 118.6, 135.1
2007, 11, 6.22, 4.043, 0.1027, 79, 77.72, 89.43
2007, 12, 1.425, -0.8403, -4.9, 197.5, 205.3, 229.5
2008, 1, 4.982, 3.006, -0.6199, 101.9, 110.4, 125
2008, 2, 4.525, 1.917, -2.561, 275, 288.8, 373.1
2008, 3, 5.199, 2.688, -1.767, 211.1, 232.9, 281
2008, 4, 9.421, 7.086, 2.877, 106.1, 104.8, 129.8
2008, 5, 9.35, 7.072, 2.984, 127.7, 128.2, 143.1
2008, 6, 16.25, 14.35, 10.34, 74.36, 72.09, 88.96
2008, 7, 18.35, 16.61, 12.7, 31.97, 27.04, 28.5
2008, 8, 16.43, 14.4, 10.17, 71.3, 65.03, 66.5
2008, 9, 17.5, 15.33, 10.94, 23.26, 29.08, 36.77
2008, 10, 12.07, 10.01, 6.106, 77.29, 73.26, 85.98
2008, 11, 1.903, -0.4888, -4.68, 452.8, 490.5, 572.4
2008, 12, 2.14, -0.2077, -4.114, 100.6, 107.6, 123.2
2009, 1, 3.441, 1.221, -2.994, 240.6, 260.1, 317.8
2009, 2, 3.852, 1.348, -3.007, 284, 296.7, 372.4
2009, 3, 7.741, 4.987, 0.4432, 159, 166.8, 210.6
2009, 4, 9.739, 7.121, 2.619, 203.3, 213.2, 253.1
2009, 5, 11.37, 9.087, 4.84, 121.3, 130.2, 164.5
2009, 6, 14.36, 12.54, 8.388, 55.29, 54.36, 63.73
2009, 7, 20.22, 18.6, 14.68, 14.6, 11.77, 8.328
2009, 8, 17.49, 15.61, 11.27, 23.48, 27.16, 33.48
2009, 9, 15.67, 13.5, 9.184, 24.31, 21.34, 22.85
2009, 10, 13.11, 11.2, 7.613, 123.3, 129.3, 146.4
2009, 11, 3.124, 0.7478, -3.277, 328.3, 341.3, 396.7
2009, 12, 2.673, 0.6481, -3.234, 237.7, 243, 275.6
2010, 1, 2.345, 0.0353, -4.18, 181.9, 197.6, 222.4
2010, 2, 4.053, 1.259, -3.325, 119.4, 131.3, 162.9
2010, 3, 6.887, 4.292, -0.16, 87.86, 94.78, 107.9
2010, 4, 9.697, 7.435, 3.197, 110.6, 110.7, 123.6
2010, 5, 12.48, 10.38, 6.063, 143.3, 140.2, 168.3
2010, 6, 16.08, 14.27, 10.06, 16.96, 20.39, 23.07
2010, 7, 21.95, 20.34, 16.33, 0.6538, 0.963, 1.548
2010, 8, 20.34, 18.7, 14.72, 0.07694, 0.295, 1.235
2010, 9, 17, 14.85, 10.44, 28.43, 25.26, 27.52
2010, 10, 9.302, 7.122, 3.26, 179.8, 185.9, 207.7
2010, 11, 3.438, 1.152, -2.996, 191.8, 209, 241.8
2010, 12, -0.4171, -2.972, -7.485, 278.4, 301.8, 365
2011, 1, 3.559, 1.263, -3.02, 143.4, 159.3, 190.7
2011, 2, 4.772, 2.098, -2.379, 108.3, 123.5, 159.2
