# Created by WEAP: 4/12/2021 7:32:18 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CNRM-CM5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Lwr Salinas (458,895 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (437,658 ha),  1000 - 2000 m (21,237 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m

2006, 1, 12.74, 9.262, 40.26, 71.87
2006, 2, 12.44, 9.085, 200.5, 354.6
2006, 3, 14.45, 10.81, 10.91, 21.13
2006, 4, 15.22, 11.26, 18.65, 38.3
2006, 5, 17.76, 13.61, 1.666, 3.087
2006, 6, 19.37, 15.17, 1.541, 3.401
2006, 7, 19.97, 15.51, 1.173, 1.437
2006, 8, 21.15, 16.67, 0.04796, 0.1603
2006, 9, 19.88, 15.63, 0.09635, 0.1531
2006, 10, 18.48, 14.52, 7.728, 12.44
2006, 11, 10.86, 7.191, 18.05, 36.25
2006, 12, 8.982, 5.367, 39.47, 72.34
2007, 1, 10.59, 6.754, 155.4, 315.7
2007, 2, 10.9, 7.259, 70.87, 125.9
2007, 3, 11.41, 7.662, 96.38, 168.3
2007, 4, 13.1, 9.257, 55.57, 85.04
2007, 5, 17.28, 13.13, 1.432, 2.46
2007, 6, 19.62, 15.45, 0.7295, 1.478
2007, 7, 23.19, 18.5, 0.06973, 0.1518
2007, 8, 23.26, 18.66, 0.01288, 0.04873
2007, 9, 23.25, 19.1, 30.94, 41.17
2007, 10, 19.71, 15.85, 55.66, 81.01
2007, 11, 15.53, 11.98, 8.12, 12.85
2007, 12, 10.26, 6.78, 2.523, 7.139
2008, 1, 13.07, 9.7, 6.837, 17.78
2008, 2, 12.4, 8.874, 24.56, 44.19
2008, 3, 14.07, 10.27, 32.3, 55.07
2008, 4, 16.47, 12.49, 25.1, 40.08
2008, 5, 15.58, 11.43, 5.225, 9.334
2008, 6, 21.95, 17.67, 0.0441, 0.002265
2008, 7, 21.47, 16.91, 0.001272, 6.767E-6
2008, 8, 21.01, 16.84, 0.03341, 0.002798
2008, 9, 23.32, 19.2, 0.4946, 0.8117
2008, 10, 19.63, 16, 54.2, 72.14
2008, 11, 10.41, 6.973, 99.69, 173.3
2008, 12, 9.974, 6.497, 73.36, 128.2
2009, 1, 11.36, 7.814, 132.9, 254.4
2009, 2, 11.53, 8.155, 7.948, 10.22
2009, 3, 13.08, 9.496, 36.97, 58.94
2009, 4, 14.94, 11.22, 32.12, 59.66
2009, 5, 16.97, 13.08, 2.716, 6.557
2009, 6, 20.32, 16.11, 0.0003197, 0
2009, 7, 22.47, 17.82, 0.01913, 0.004813
2009, 8, 21.42, 17.19, 4.475, 3.693
2009, 9, 22.4, 18.12, 5.666, 6.485
2009, 10, 21.57, 17.67, 6.505, 12.21
2009, 11, 13.18, 9.813, 26.78, 37.28
2009, 12, 11.88, 8.513, 53.4, 102.8
2010, 1, 11.58, 8.286, 13.89, 27.15
