# Created by WEAP: 4/12/2021 7:35:57 AM

# Climate time series data extracted from NetCDF file: \\VIRACOCHA\users\David\Downloads\monthly_CNRM-CM5_rcp85.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 2006 - December 2099 (1,128 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_E_Upper Deschutes (1,990,683 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (216,573 ha),  1000 - 2000 m (1,742,876 ha),  2000 - 3000 m (31,219 ha),  3000 - 4000 m (15 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

2006, 1, 6.048, 2.716, -1.391, -4.024, 47.93, 80.86, 240.9, 444.2
2006, 2, 5.154, 2.489, -1.776, -4.456, 25.16, 44.39, 105.6, 166.3
2006, 3, 10.5, 8.154, 3.045, 0.3433, 42.57, 75.84, 220.6, 477.5
2006, 4, 13.15, 11.18, 6.187, 3.45, 15.07, 31.86, 60.17, 134.3
2006, 5, 14.99, 13.31, 8.536, 5.69, 23.94, 71.06, 102.6, 136.9
2006, 6, 15.89, 13.68, 8.84, 6.119, 32.7, 52.1, 99.02, 163.1
2006, 7, 18.43, 16.27, 11.19, 8.329, 43.29, 45.85, 91.36, 193.6
2006, 8, 17.82, 15.63, 10.67, 7.956, 3.865, 5.185, 12.91, 30.69
2006, 9, 15.94, 13.21, 8.879, 6.4, 17.34, 30.07, 74.62, 166.9
2006, 10, 11.32, 9.167, 4.906, 2.042, 20.3, 46.14, 114.1, 230.1
2006, 11, 3.299, 0.09382, -3.648, -5.874, 55.25, 94.99, 277.4, 615.5
2006, 12, -0.07585, -2.905, -6.513, -8.676, 53.57, 93.29, 288.2, 614.4
2007, 1, 3.693, 0.5014, -3.518, -6.3, 76.74, 134.6, 396.3, 687.1
2007, 2, 4.276, 1.171, -3.141, -5.833, 38.33, 85.99, 289.4, 654.1
2007, 3, 3.744, 0.5843, -3.404, -5.542, 34.26, 72.07, 198.9, 344.9
2007, 4, 8.593, 6.016, 1.897, -0.2514, 11.03, 23, 80.66, 178.7
2007, 5, 13.48, 10.75, 6.688, 4.608, 5.868, 12.78, 36.14, 100.6
2007, 6, 18.33, 16.14, 11.42, 8.613, 36.35, 43.83, 84.51, 156.1
2007, 7, 20.98, 18.8, 13.92, 11.2, 1.209, 2.842, 9.642, 28.16
2007, 8, 22.96, 20.86, 16.02, 13.12, 0.7265, 0.7331, 2.885, 8.845
2007, 9, 19.74, 17.01, 12.47, 10.1, 2.814, 11.59, 13.1, 14.39
2007, 10, 11.68, 9.097, 5.023, 2.292, 21.84, 47.69, 91.2, 166.3
2007, 11, 6.163, 3.8, -0.193, -2.795, 10.57, 26.31, 70.63, 151.6
2007, 12, 2.448, -0.6609, -4.588, -6.983, 35.15, 70.74, 219.9, 457.3
2008, 1, 7.278, 3.786, -0.347, -3.482, 19.55, 35.46, 97.87, 193.9
2008, 2, 5.56, 2.435, -1.905, -4.556, 41.48, 100.3, 331.1, 692.4
