# Created by WEAP: 1/4/2021 11:51:22 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Stevenson Creek (9,038 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (69 ha),  1000 - 2000 m (6,775 ha),  2000 - 3000 m (2,195 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 6.677, 4.859, 3.093, 64.18, 70.79, 78.34
1950, 2, 7.753, 5.701, 3.554, 18.4, 18.46, 18.9
1950, 3, 8.792, 6.706, 4.392, 52.73, 56.19, 62.35
1950, 4, 10.42, 8.177, 5.604, 84.74, 91.38, 96.81
1950, 5, 16.3, 13.89, 11.19, 0.4744, 0.3221, 0.3324
1950, 6, 18.63, 16.21, 13.45, 0.1888, 0.3291, 0.3899
1950, 7, 21.05, 18.5, 15.63, 0.4681, 0.7889, 0.8344
1950, 8, 24.3, 21.83, 19.04, 1.371, 2.294, 3.041
1950, 9, 19.5, 17.13, 14.37, 0, 0.2428, 0.5903
1950, 10, 16.51, 14.36, 11.95, 13.17, 13.87, 14.98
1950, 11, 7.832, 5.75, 3.535, 67.54, 67.28, 67.67
1950, 12, 6.52, 4.626, 2.664, 52.52, 52.81, 55.15
1951, 1, 7.622, 5.622, 3.565, 368.3, 398.4, 449.9
1951, 2, 6.916, 4.623, 2.113, 202.6, 217.3, 245.9
1951, 3, 7.909, 5.808, 3.537, 211.7, 215.2, 225.4
1951, 4, 5.737, 3.456, 0.8176, 155.3, 172.5, 194.5
1951, 5, 14.06, 11.55, 8.675, 15.42, 21.82, 29.11
1951, 6, 19.16, 16.66, 13.8, 17.28, 27.21, 33.32
1951, 7, 22.94, 20.47, 17.7, 16.95, 19.24, 16.36
1951, 8, 24.38, 21.93, 19.11, 0.2605, 0.4158, 0.4444
1951, 9, 19.31, 17, 14.34, 1.369, 3.111, 5.229
1951, 10, 14.42, 12.07, 9.388, 105.8, 115.3, 124.7
1951, 11, 6.969, 4.932, 2.848, 50.87, 51.24, 49.96
1951, 12, 4.621, 2.652, 0.6793, 31.28, 33.74, 37.27
1952, 1, 4.929, 2.968, 1.039, 100.1, 105.4, 113
1952, 2, 6.525, 4.424, 2.181, 57.73, 55.01, 57.48
1952, 3, 6.668, 4.343, 1.793, 292.7, 310.8, 337.8
1952, 4, 9.134, 6.677, 3.972, 225.4, 241.4, 266.9
1952, 5, 13.73, 11.31, 8.567, 33.11, 40.22, 47.77
1952, 6, 18.37, 15.96, 13.2, 2.068, 2.996, 3.866
