# Created by WEAP: 1/4/2021 11:51:45 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_DEN_Big Thompson (211,959 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (86,068 ha),  2000 - 3000 m (96,781 ha),  3000 - 4000 m (28,962 ha),  4000 - 5000 m (147 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, 0.1357, -3.151, -8.683, -9.952, 20.73, 36.63, 131.3, 182.9
1950, 2, 2.221, -1.973, -7.462, -8.742, 15.31, 22.48, 68.74, 81.4
1950, 3, 7.545, 2.709, -3.201, -4.45, 5.561, 14.09, 41.13, 45.79
1950, 4, 9.299, 4.143, -1.473, -3.093, 30.12, 42.19, 88.39, 91.59
1950, 5, 18.12, 12.94, 7.664, 5.956, 23.06, 21.98, 29.85, 34.04
1950, 6, 20.81, 15.57, 10.19, 8.656, 4.998, 5.436, 7.607, 8.927
1950, 7, 23.15, 17.71, 12.23, 10.63, 25.31, 38.57, 41.18, 42.42
1950, 8, 20.03, 15.28, 10.01, 8.151, 63.67, 67.8, 65.83, 59.55
1950, 9, 17.65, 12.65, 7.615, 5.99, 29.31, 32.16, 54.11, 57.27
1950, 10, 10.76, 6.423, 1.713, -0.02702, 35.09, 50.13, 121.1, 158.2
1950, 11, 0.5371, -3.3, -8.17, -9.603, 30.26, 38.89, 95.41, 119
1950, 12, -0.0166, -3.998, -9.613, -10.7, 3.356, 7.067, 23.72, 36.71
1951, 1, 2.3, -1.376, -7.221, -8.252, 4.024, 13.08, 61.6, 69.33
1951, 2, -0.01368, -3.928, -9.358, -10.48, 5.504, 9.827, 39.07, 45.99
1951, 3, 11.64, 6.214, 0.1503, -1.093, 9.184, 22.94, 62.36, 75.17
1951, 4, 9.154, 4.107, -1.426, -3.128, 74.22, 107.8, 189, 196.6
1951, 5, 16.41, 11.3, 6.028, 4.443, 49.66, 60.59, 76.83, 86.58
1951, 6, 19.68, 14.61, 9.001, 7.413, 106.4, 141.9, 191.7, 214.7
1951, 7, 22, 16.48, 11.24, 9.569, 62.83, 80.54, 88.99, 90.81
1951, 8, 22.63, 17.08, 11.65, 10.1, 42.51, 54.76, 59.76, 55.84
1951, 9, 18.54, 13.66, 8.553, 6.855, 49.74, 51.45, 73.44, 86.7
1951, 10, 9.187, 4.898, 0.3213, -1.328, 43.9, 54.65, 108.2, 124.6
1951, 11, -0.8215, -4.706, -9.84, -11.46, 27.81, 42.15, 125.6, 157.9
1951, 12, -3.495, -6.646, -11.98, -13.18, 9.21, 22.74, 110.1, 131.7
1952, 1, -5.413, -7.811, -12.61, -13.82, 19.23, 27.99, 86.59, 98.94
1952, 2, -3.893, -6.698, -11.88, -12.78, 4.165, 9.387, 48.26, 55.83
1952, 3, 4.592, 0.3566, -4.843, -6.146, 58.37, 80.59, 154.8, 195.8
1952, 4, 10.58, 5.318, -0.2305, -1.881, 30.82, 45.09, 81.59, 92.41
1952, 5, 15.38, 10.07, 4.539, 2.688, 62.88, 64.79, 101.5, 102.5
1952, 6, 23.38, 18.1, 12.46, 11, 21.3, 26.92, 28.57, 29.47
1952, 7, 24.38, 19.08, 13.41, 12.02, 57.1, 77.32, 59.2, 55.62
1952, 8, 22.27, 17.16, 11.63, 10.01, 24.86, 29.75, 34.86, 35.97
1952, 9, 17.45, 12.92, 7.763, 6.299, 9.613, 13.82, 20.34, 20.64
1952, 10, 11.99, 7.836, 2.972, 1.444, 12, 12.85, 32.85, 37.32
1952, 11, 5.344, 1.793, -3.185, -4.645, 22.15, 31.58, 85.31, 108.1
1952, 12, 2.572, -1.167, -6.681, -7.935, 18.99, 37.99, 147.6, 196.6
1953, 1, -1.505, -4.397, -9.829, -10.86, 4.758, 12.46, 46.95, 59.84
1953, 2, -1.78, -4.661, -9.835, -10.94, 11.51, 22.94, 69.57, 77.09
1953, 3, 3.077, -1.406, -6.877, -8.271, 9.469, 22.98, 74.14, 85.58
1953, 4, 7.593, 2.458, -3.256, -5.017, 20.55, 40.58, 92.13, 101.3
1953, 5, 12.85, 7.221, 1.963, -0.06902, 66.98, 79.39, 98.47, 112.7
1953, 6, 19.71, 14.2, 8.718, 7.067, 14.24, 18.85, 25.19, 31.45
1953, 7, 22.02, 16.63, 11.02, 9.228, 71.74, 110.4, 115.4, 116.1
1953, 8, 20.26, 15.07, 9.829, 8.137, 78.77, 82.93, 77.26, 77.87
1953, 9, 17.13, 12.69, 7.847, 6.36, 13.54, 9.047, 17.55, 18.27
1953, 10, 14.1, 9.44, 4.203, 2.688, 11.84, 14.88, 39.66, 50.65
1953, 11, 6.613, 3.257, -2.084, -3.361, 2.084, 8.724, 41.45, 49.98
1953, 12, 4.12, 0.1846, -5.649, -6.904, 2.64, 8.882, 40.17, 50.43
1954, 1, 6.014, 2.208, -4.105, -4.998, 19.67, 29.55, 83.71, 107.8
1954, 2, 2.888, -1.207, -6.686, -7.982, 15.87, 31.67, 99.52, 122.2
1954, 3, 2.092, -2.663, -7.986, -9.472, 27.68, 44.99, 100.9, 126
1954, 4, 5.546, 0.3824, -5.255, -6.896, 45.26, 58.06, 120.1, 120.3
1954, 5, 15.82, 10.45, 5.233, 3.422, 43.47, 55.08, 72.17, 84.7
1954, 6, 19.26, 13.89, 8.449, 7.047, 63.9, 66.34, 52.22, 55.79
1954, 7, 21.42, 16.43, 11.17, 9.484, 40.65, 57.73, 81.32, 76.64
1954, 8, 22.12, 16.79, 11.26, 9.814, 10.63, 16.97, 27.57, 32.22
1954, 9, 18.78, 13.99, 8.766, 7.328, 18.39, 26.2, 47.44, 58.44
1954, 10, 12.84, 8.305, 3.275, 1.778, 19.83, 24.47, 52.05, 58.16
1954, 11, 4.438, 0.6624, -4.919, -6.261, 18.29, 28.72, 76.08, 93.09
1954, 12, -0.7855, -4.586, -10.14, -11.6, 6.541, 17.47, 83.44, 104.8
1955, 1, 2.774, -0.9527, -6.489, -7.665, 7.046, 18.05, 65.52, 75.65
1955, 2, 1.312, -2.997, -8.006, -9.553, 7.388, 12.01, 56.77, 69.05
1955, 3, 5.658, 0.7238, -4.71, -6.231, 19.11, 42.12, 103.6, 131.2
1955, 4, 8.726, 3.709, -1.702, -3.427, 66.43, 67.37, 108.5, 122.7
