# Created by WEAP: 1/4/2021 11:51:55 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upr Middle American (8,722 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (3,969 ha),  2000 - 3000 m (4,753 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -0.5314, -1.786, 197.2, 200.8
1950, 2, 0.8819, -0.433, 67.86, 64.56
1950, 3, 2.144, 0.8785, 102.9, 92.55
1950, 4, 5.01, 3.741, 107.9, 106.3
1950, 5, 9.846, 8.632, 0.3921, 0.4981
1950, 6, 12.71, 11.51, 0.4653, 0.5764
1950, 7, 16.52, 15.32, 11.8, 13.96
1950, 8, 18.39, 17.19, 11.55, 12.08
1950, 9, 12.74, 11.5, 1.078, 0.7302
1950, 10, 9.957, 8.644, 27.96, 26.32
1950, 11, 0.2372, -1.061, 66.6, 66.67
1950, 12, -0.3911, -1.572, 230.5, 217.3
1951, 1, -0.06369, -1.229, 927.8, 953.7
1951, 2, 0.195, -1.098, 370.7, 369.7
1951, 3, 1.702, 0.5202, 353.5, 364.8
1951, 4, 0.2884, -0.8403, 321.3, 319.9
1951, 5, 9.295, 8.146, 123.3, 121.6
1951, 6, 13.37, 12.18, 61.74, 61.02
1951, 7, 17.16, 16.01, 11.21, 10.72
1951, 8, 17.44, 16.28, 5.253, 6.073
1951, 9, 12.68, 11.42, 1.654, 1.214
1951, 10, 8.068, 6.858, 282.5, 284.8
1951, 11, 0.502, -0.7566, 95.11, 93.12
1951, 12, -2.574, -3.848, 74.56, 68.71
1952, 1, -3.558, -4.872, 211.4, 211
1952, 2, -0.5515, -1.92, 91.42, 89.89
1952, 3, 0.9565, -0.1546, 403.2, 407.9
1952, 4, 5.002, 3.956, 281.3, 281.3
1952, 5, 8.638, 7.544, 56.63, 52.94
1952, 6, 12.14, 10.99, 0.01719, 0.03168
1952, 7, 18.29, 17.17, 0, 0
1952, 8, 15.51, 14.36, 0, 0
1952, 9, 11.59, 10.37, 6.544, 5.775
1952, 10, 10.77, 9.472, 25.25, 27.2
1952, 11, 3.906, 2.813, 689.1, 696.6
1952, 12, 0.288, -0.8952, 439.9, 432.4
1953, 1, -2.6, -3.849, 154.5, 149.2
1953, 2, -2.687, -3.989, 260.3, 253.1
1953, 3, 3.031, 1.794, 260, 250.6
1953, 4, 1.205, 0.1971, 263.3, 253.1
1953, 5, 10.08, 8.875, 15.6, 15.41
1953, 6, 11.51, 10.3, 2.757, 4.582
1953, 7, 18.78, 17.61, 82.75, 94.1
1953, 8, 16.85, 15.7, 0.08931, 0.2078
1953, 9, 13.19, 11.88, 0, 0
1953, 10, 7.931, 6.836, 89.75, 87.73
1953, 11, 1.27, 0.1416, 394.6, 387.8
1953, 12, 0.6826, -0.5253, 510.3, 495.6
1954, 1, -0.8496, -2.129, 429.7, 419.1
1954, 2, -1.461, -2.613, 219, 212.4
1954, 3, -2.201, -3.492, 299.4, 297.2
1954, 4, 0.1446, -0.9804, 223.7, 226.3
1954, 5, 9.832, 8.689, 16.02, 12.78
1954, 6, 11.6, 10.34, 40.84, 47.11
1954, 7, 18.35, 17.19, 9.267, 10.15
1954, 8, 13.98, 12.87, 46.28, 56.11
1954, 9, 11.98, 10.69, 0, 0
1954, 10, 9.279, 8.083, 108, 108.9
1954, 11, 2.154, 0.8848, 138.8, 131.3
1954, 12, -0.6347, -2.043, 40.22, 41.09
1955, 1, -1.594, -2.746, 251.6, 246.1
1955, 2, -4.319, -5.514, 454.3, 458.5
1955, 3, -1.95, -3.182, 136.6, 133.1
