# Created by WEAP: 1/4/2021 11:52:14 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: UT_N_Upr Bear (1,073,997 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (328,385 ha),  2000 - 3000 m (721,549 ha),  3000 - 4000 m (24,063 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -6.221, -7.549, -10.37, 38.6, 61.84, 87.57
1950, 2, -5.047, -6.524, -9.133, 31.17, 49.22, 84.34
1950, 3, -0.7704, -2.506, -6.571, 29.24, 47.5, 90.1
1950, 4, 4.261, 2.286, -2.479, 32.35, 49.24, 104.6
1950, 5, 11.75, 10.02, 5.822, 8.305, 9.621, 15.63
1950, 6, 15.92, 14, 9.098, 8.087, 8.04, 11.82
1950, 7, 18.81, 16.98, 12.42, 4.962, 5.534, 13.12
1950, 8, 17.58, 15.66, 10.79, 60.81, 63.96, 125.5
1950, 9, 15.58, 13.74, 9.271, 14.51, 16.72, 46.38
1950, 10, 8.423, 6.577, 2.286, 27.84, 39.39, 55.61
1950, 11, -3.299, -5.038, -8.586, 16.83, 23.1, 31.87
1950, 12, -4.849, -6.394, -9.437, 63.21, 80.92, 90.2
1951, 1, -4.353, -5.764, -8.511, 52.27, 82.87, 174.6
1951, 2, -6.14, -7.543, -9.851, 38.45, 56.53, 117.5
1951, 3, 0.8597, -0.4261, -3.123, 22.84, 33.13, 44.22
1951, 4, 2.443, 0.5945, -3.892, 43.27, 65.18, 111.9
1951, 5, 13.42, 11.37, 6.323, 33.01, 49.6, 101.9
1951, 6, 16.61, 14.8, 10.16, 66.51, 80.04, 139.5
1951, 7, 19.26, 17.36, 12.63, 44.11, 44.67, 81.33
1951, 8, 19.33, 17.35, 12.62, 29.38, 35.61, 76.29
1951, 9, 14.01, 12.39, 8.617, 50.88, 57.15, 85.25
1951, 10, 6.907, 5.023, 0.6971, 31.87, 48.51, 95.74
1951, 11, -4.899, -6.727, -10.7, 29.62, 46.05, 70.19
1951, 12, -10.08, -11.75, -15.03, 21.81, 33.46, 49.43
1952, 1, -9.931, -11.34, -13.9, 19.98, 32.75, 47.33
1952, 2, -7.78, -8.893, -10.99, 8.648, 13.79, 23.09
1952, 3, 1.781, 0.5506, -2.192, 36.95, 63.93, 140.9
1952, 4, 8.104, 6.445, 2.028, 17.01, 29.92, 94.09
1952, 5, 11.03, 9.278, 4.73, 50.19, 63.53, 98.17
1952, 6, 16.84, 15.04, 10.59, 5.991, 5.812, 9.422
1952, 7, 19.39, 17.49, 12.54, 18.5, 22.21, 39.85
1952, 8, 18.51, 16.65, 12.13, 9.339, 12.17, 12.48
1952, 9, 10.02, 8.433, 4.417, 15.73, 21.64, 55.45
1952, 10, 8.259, 6.463, 2.321, 1.59, 2.08, 5.409
1952, 11, 1.907, 0.05569, -3.871, 46.77, 78.11, 155.9
1952, 12, -2.469, -4.131, -7.682, 77.49, 114.5, 136.3
1953, 1, -7.199, -8.853, -11.8, 31.33, 46.5, 96.53
1953, 2, -8.347, -9.73, -12.07, 53.11, 78.7, 134.5
1953, 3, -2.258, -3.754, -6.939, 38.24, 54.61, 78.2
1953, 4, 2.387, 0.3286, -4.878, 38, 63.03, 123.6
1953, 5, 6.933, 5.29, 1.781, 24.75, 31.99, 54.2
1953, 6, 15.05, 13.27, 8.735, 11.45, 10.97, 13.09
1953, 7, 18.94, 16.64, 11.05, 73.28, 96.15, 192
1953, 8, 17.51, 15.68, 11.28, 6.928, 9.847, 34.34
1953, 9, 12.98, 11.26, 7.132, 10.89, 12.17, 16.93
1953, 10, 9.887, 8.167, 4.082, 20.17, 28.16, 56.42
1953, 11, -0.07476, -1.62, -5.164, 22.96, 39.11, 82.26
1953, 12, -3.741, -5.417, -8.6, 56.55, 86.8, 107.3
1954, 1, -4.992, -6.432, -8.761, 51.79, 74.08, 92.74
1954, 2, -7.491, -8.831, -10.84, 27.63, 42.92, 88.18
1954, 3, -4, -5.565, -9.41, 28.9, 47.27, 129.8
1954, 4, 2.601, 0.5303, -4.81, 35.79, 47.46, 85.71
1954, 5, 13.13, 11.42, 7.109, 13.39, 17.18, 53.49
1954, 6, 12.58, 10.73, 6.114, 83.8, 93.78, 100.3
1954, 7, 19.98, 18.08, 12.99, 20.8, 25.53, 73.72
1954, 8, 17.78, 16.08, 11.87, 0.4746, 0.8479, 2.4
1954, 9, 12.59, 11.03, 7.193, 4.589, 6.327, 14.39
1954, 10, 8.139, 6.264, 1.865, 28.99, 44.45, 122.6
1954, 11, -1.082, -2.778, -6.456, 30.65, 45, 91.48
1954, 12, -7.269, -9.016, -12.56, 25.13, 41.05, 54.51
1955, 1, -5.75, -7.429, -10.77, 57.2, 89.66, 137.3
1955, 2, -8.985, -10.26, -12.57, 44.58, 81.89, 241.5
1955, 3, -2.798, -4.317, -7.405, 28.42, 44.91, 79.7
1955, 4, 4.906, 3.085, -1.184, 32.67, 48.13, 75.01
1955, 5, 12.62, 10.43, 5.031, 36.46, 42.65, 67.1
1955, 6, 14.35, 12.45, 7.613, 41.46, 51.17, 70.85
1955, 7, 20.33, 18.31, 13.35, 32.9, 35.99, 67.56
1955, 8, 19.36, 17.41, 12.61, 18.89, 25.59, 49.1
1955, 9, 14, 12.12, 7.714, 12.69, 15.83, 28.38
1955, 10, 9.933, 8.104, 3.852, 33.03, 47.33, 94.2
1955, 11, -1.7, -3.523, -7.483, 32, 55.75, 106.1
1955, 12, -4.562, -6.392, -10.02, 36.87, 61.64, 129
