# Created by WEAP: 1/4/2021 11:52:24 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_CEN_Cherry (27,831 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (1,897 ha),  2000 - 3000 m (24,818 ha),  3000 - 4000 m (1,116 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, 0.4393, -3.164, -5.493, 111.9, 128.4, 128.5
1950, 2, 2.266, -1.28, -3.466, 36.97, 43.36, 48.01
1950, 3, 3.482, 0.303, -1.593, 59.62, 72.3, 74.45
1950, 4, 5.774, 2.527, 0.7734, 115.1, 142.1, 163.8
1950, 5, 11.43, 8.147, 6.347, 2.352, 2.111, 2.136
1950, 6, 13.72, 10.29, 8.417, 0.4578, 1.238, 2.264
1950, 7, 16.59, 13.27, 11.53, 0.5094, 0.6071, 0.763
1950, 8, 19.85, 16.22, 14.1, 6.645, 12.37, 15.67
1950, 9, 13.99, 10.57, 8.487, 0, 0.9355, 3.127
1950, 10, 11.56, 8.174, 6.019, 30.09, 31.39, 32.42
1950, 11, 2.022, -1.658, -3.916, 58.31, 72.84, 78.67
1950, 12, 0.8417, -2.853, -5.072, 109, 113.8, 117.5
1951, 1, 1.301, -2.387, -4.542, 567.8, 669.6, 693.9
1951, 2, 2.135, -1.468, -4.028, 238.3, 296.9, 330.7
1951, 3, 2.516, -0.6395, -2.515, 267.8, 306.4, 327.1
1951, 4, 1.158, -2.036, -3.751, 194.4, 240.8, 257.2
1951, 5, 9.971, 6.67, 4.794, 45.4, 58.07, 66.15
1951, 6, 14.5, 10.99, 9.049, 22.1, 26.71, 34.33
