# Created by WEAP: 1/4/2021 11:53:02 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: OR_W_Upr Umpqua (47,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (42,629 ha),  2000 - 3000 m (4,627 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -2.33, -4.528, 131.3, 137.6
1950, 2, -0.3753, -2.446, 85.05, 85.66
1950, 3, 0.4154, -1.621, 135, 137.7
1950, 4, 4.893, 2.892, 90.51, 87.84
1950, 5, 5.927, 3.87, 77.11, 75.65
1950, 6, 10.96, 8.88, 20.05, 18.27
1950, 7, 15.95, 13.97, 5.939, 7.807
1950, 8, 17.37, 15.32, 34.96, 31.95
1950, 9, 12.84, 10.77, 16.65, 16.07
1950, 10, 7.475, 5.412, 52.52, 52.6
1950, 11, -1.354, -3.398, 90.13, 89.25
1950, 12, -0.6613, -2.658, 552.5, 578.2
1951, 1, -2.225, -4.415, 232.4, 237.8
1951, 2, 0.1664, -1.923, 138.6, 144.2
1951, 3, 1.604, -0.4338, 141.5, 142.9
1951, 4, 0.3087, -1.719, 147.2, 151.2
1951, 5, 10.34, 8.227, 61.05, 58.37
1951, 6, 13.4, 11.24, 21.55, 22.4
1951, 7, 16.16, 14.16, 6.017, 8.745
1951, 8, 15.1, 13.03, 2.496, 2.071
1951, 9, 10.75, 8.845, 19.9, 18.45
1951, 10, 7.081, 4.984, 102, 101.1
1951, 11, -1.624, -3.74, 209.1, 205.8
1951, 12, -3.551, -5.68, 152.8, 155
1952, 1, -3.482, -5.812, 156.4, 166.8
1952, 2, -0.4543, -2.669, 97.26, 94.02
1952, 3, 1.252, -0.8975, 131.9, 136.8
1952, 4, 5.756, 3.765, 103.5, 106.1
1952, 5, 7.404, 5.344, 78.83, 75.57
1952, 6, 10.54, 8.481, 47.77, 51.19
1952, 7, 15.84, 13.89, 1.037, 1.073
1952, 8, 12.83, 10.73, 53.78, 48.96
1952, 9, 7.982, 5.979, 28.17, 25.85
1952, 10, 8.67, 6.637, 28.31, 28.13
1952, 11, 2.009, -0.1197, 95.88, 107
1952, 12, -1.857, -4.007, 399.9, 425.5
1953, 1, -2.434, -4.538, 259.6, 256.2
1953, 2, -2.932, -5.09, 212.2, 222.2
1953, 3, 0.719, -1.379, 79.89, 86.07
1953, 4, 2.612, 0.5182, 88.46, 89.45
1953, 5, 8.799, 6.854, 30.17, 27.26
1953, 6, 11.32, 9.204, 85.75, 80.25
1953, 7, 18.04, 15.96, 31.9, 34.02
1953, 8, 14.73, 12.76, 1.348, 1.324
1953, 9, 12.01, 9.93, 9.586, 9.276
1953, 10, 6.781, 4.811, 214.6, 204.2
1953, 11, 0.1151, -1.894, 502.7, 497.1
1953, 12, -1.152, -3.249, 208.4, 213.6
