# Created by WEAP: 1/4/2021 11:53:20 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_PGE_N_Upr SF Feather (4,201 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (4,069 ha),  2000 - 3000 m (132 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, 0.9026, -0.5191, 280, 302
1950, 2, 2.501, 1.06, 91.61, 76.6
1950, 3, 4.09, 3.037, 122.9, 117.6
1950, 4, 6.799, 5.806, 70.92, 59.39
1950, 5, 11.19, 10.04, 0.7653, 0.4401
1950, 6, 13.7, 12.67, 0.6424, 0.9411
1950, 7, 17.55, 16.5, 2.608, 2.846
1950, 8, 19.67, 18.56, 3.438, 2.422
1950, 9, 13.84, 12.64, 0.4544, 0.1585
1950, 10, 10.98, 9.686, 35.46, 21.41
1950, 11, 1.95, 0.6111, 65.24, 56.9
1950, 12, 1.279, 0.02646, 386.6, 427.7
1951, 1, 0.6065, -0.7827, 880.6, 873.2
1951, 2, 2.664, 1.472, 393.5, 366
1951, 3, 3.927, 2.801, 297.9, 302.5
1951, 4, 1.64, 0.5945, 266, 228.8
1951, 5, 11.1, 10.2, 115.6, 97.77
1951, 6, 14.53, 13.5, 60.39, 61.21
1951, 7, 18.02, 16.92, 2.233, 2.177
1951, 8, 17.78, 16.55, 0.5497, 0.5379
1951, 9, 13.99, 12.78, 2.743, 2.836
1951, 10, 9.401, 8.2, 263.9, 255.3
1951, 11, 2.218, 1.074, 90.86, 79.04
1951, 12, -0.8778, -2.32, 95.98, 98.87
1952, 1, -1.42, -2.768, 245.1, 247.8
1952, 2, 1.843, 0.5277, 107.1, 105.8
1952, 3, 2.751, 1.798, 452.7, 405.7
1952, 4, 6.535, 5.561, 315, 271
1952, 5, 10.63, 9.533, 43.55, 44.2
1952, 6, 13.23, 12.19, 0.2883, 0.01087
1952, 7, 19.06, 17.97, 0, 0
1952, 8, 16.07, 14.98, 0, 0
1952, 9, 13.17, 11.92, 0.1391, 0.07426
1952, 10, 12.33, 11.01, 23.61, 20.45
1952, 11, 4.45, 3.245, 515.2, 537.6
1952, 12, 1.137, -0.2655, 491.2, 506.6
1953, 1, -0.9708, -2.372, 182.6, 162.2
1953, 2, -0.9173, -2.108, 346.3, 330.9
1953, 3, 5.405, 4.261, 321.3, 330.4
1953, 4, 3.092, 2.149, 255.3, 214.1
1953, 5, 12.07, 10.93, 9.51, 12.73
1953, 6, 13.08, 12.04, 10.46, 9.107
1953, 7, 20.02, 18.99, 70.66, 62.95
1953, 8, 17.65, 16.46, 0, 0
1953, 9, 14.98, 13.81, 0, 0
1953, 10, 8.64, 7.5, 118.9, 110.6
1953, 11, 2.002, 0.8204, 451.5, 449.7
1953, 12, 1.316, -0.1117, 502.1, 486.2
1954, 1, 0.6509, -0.8461, 565.8, 565.8
1954, 2, -0.02697, -1.377, 303.1, 283.2
1954, 3, 0.7611, -0.3557, 297.3, 286.2
1954, 4, 2.422, 1.433, 196, 182.6
1954, 5, 11.96, 10.9, 20.06, 15.93
1954, 6, 13.05, 12.04, 41.05, 54.06
1954, 7, 19.82, 18.79, 16.58, 19.05
1954, 8, 14.2, 13.09, 79.96, 77.09
1954, 9, 13.38, 12.18, 0.2191, 0.1291
1954, 10, 10, 8.75, 120, 102.8
1954, 11, 3.705, 2.362, 132.4, 120
1954, 12, 0.7651, -0.6608, 44.57, 42.87
1955, 1, -0.5659, -1.902, 265.8, 279.1
1955, 2, -2.438, -3.615, 510.1, 495.8
1955, 3, 0.062, -1.044, 146, 129.6
1955, 4, 7.153, 6.021, 148.7, 120
1955, 5, 10.11, 9.084, 72.36, 66.39
1955, 6, 13.7, 12.71, 45.11, 52.49
1955, 7, 17.75, 16.65, 1.092, 1.459
1955, 8, 18.12, 17.02, 0.3908, 0.4581
1955, 9, 13.55, 12.41, 24.34, 24.2
1955, 10, 11.5, 10.26, 142.8, 121.4
1955, 11, 4.121, 2.945, 197.3, 193.1
1955, 12, 0.8871, -0.4657, 506.9, 525.7
1956, 1, 0.43, -0.7997, 312.6, 309.5
1956, 2, 1.12, -0.03034, 398.6, 372.6
1956, 3, 2.004, 1.156, 234.7, 219.3
1956, 4, 6.611, 5.58, 119.6, 102.9
1956, 5, 11.06, 9.991, 90.15, 82.39
1956, 6, 12.48, 11.41, 133.3, 141.7
1956, 7, 17.3, 16.22, 0.6481, 0.4767
1956, 8, 18.26, 17.1, 19.83, 19.85
1956, 9, 16.51, 15.34, 10.66, 8.785
1956, 10, 8.869, 7.771, 312.4, 317.2
1956, 11, 2.273, 1.14, 324.2, 304.5
1956, 12, 1.728, 0.341, 24.89, 27.76
1957, 1, -1.098, -2.441, 558.9, 530.8
1957, 2, 0.1635, -1.096, 306.3, 269.1
1957, 3, 4.519, 3.419, 183.5, 178.8
1957, 4, 5.817, 4.825, 74.45, 72.05
1957, 5, 10.64, 9.794, 214.2, 199.9
1957, 6, 12.73, 11.71, 134, 117.1
1957, 7, 18.41, 17.25, 0.02102, 0
1957, 8, 17.74, 16.56, 8.978, 7.341
1957, 9, 14.15, 13.07, 91.85, 62.53
1957, 10, 10.73, 9.599, 179.3, 177.6
1957, 11, 2.509, 1.438, 584.2, 576.3
1957, 12, -0.1933, -1.515, 485.3, 466.1
1958, 1, 0.6738, -0.587, 601.2, 621.6
1958, 2, -0.6414, -1.658, 365.5, 334.4
1958, 3, 0.09847, -0.8995, 381.5, 356.6
1958, 4, 3.259, 2.354, 230.7, 205.4
1958, 5, 11.84, 10.81, 103.1, 98.58
1958, 6, 14.34, 13.3, 11.5, 12.49
1958, 7, 15.05, 13.91, 1.124, 1.486
1958, 8, 17.14, 16.03, 19.2, 15.67
