# Created by WEAP: 1/4/2021 11:53:25 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_NW_Middle Frk South Platte (114,137 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (73,533 ha),  3000 - 4000 m (40,488 ha),  4000 - 5000 m (116 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -5.424, -7.554, -9.747, 28.2, 52.28, 61.59
1950, 2, -3.771, -6.045, -8.638, 32.71, 56.38, 74.49
1950, 3, 0.7425, -1.772, -5.045, 8.837, 18.3, 35.72
1950, 4, 2.353, -0.05056, -2.886, 29.98, 50.36, 95.26
1950, 5, 11.13, 8.872, 6.251, 20.19, 22.9, 28.12
1950, 6, 13.46, 11.18, 8.838, 12.1, 10.72, 5.335
1950, 7, 16.01, 13.68, 11.31, 37.98, 34.99, 27.16
1950, 8, 13.29, 11.11, 9.057, 112.4, 114.8, 106.7
1950, 9, 10.65, 8.404, 6.359, 38.42, 58.43, 90.48
1950, 10, 3.758, 1.709, -0.06025, 65.97, 86.16, 68.71
1950, 11, -5.109, -7.098, -8.896, 36.55, 62.13, 80.04
1950, 12, -5.819, -7.594, -9.243, 8.671, 14.01, 14.64
1951, 1, -3.069, -5.292, -7.736, 15.52, 38.65, 81.13
1951, 2, -5.647, -7.728, -10.16, 11.43, 22.38, 41.82
1951, 3, 1.774, -0.4476, -3.146, 40.58, 61.36, 62.71
1951, 4, 1.59, -0.7652, -3.705, 47.42, 73.19, 111.8
1951, 5, 8.684, 6.434, 3.983, 52.19, 64.45, 76.93
1951, 6, 12.57, 10.27, 8.03, 92.88, 95.11, 115.1
1951, 7, 14.76, 12.58, 10.74, 90.87, 94.87, 102.4
1951, 8, 14.79, 12.67, 10.66, 99.08, 107.6, 96.64
1951, 9, 12.07, 9.887, 7.865, 39.01, 54.14, 81.4
