# Created by WEAP: 1/4/2021 11:53:40 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Headwater Rio Grande (388,168 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (117,933 ha),  3000 - 4000 m (269,437 ha),  4000 - 5000 m (798 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, tavg[C]:Elevation 4000 to 5000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 4000 to 5000 m

1950, 1, -7.03, -10.34, -12.51, 45.63, 95.66, 87.39
1950, 2, -4.349, -7.819, -10.06, 17.09, 43.45, 60.61
1950, 3, -0.1534, -4.356, -6.773, 16.12, 36.09, 45.66
1950, 4, 2.139, -1.897, -4.149, 46.83, 97.39, 99.29
1950, 5, 11.11, 7.363, 5.316, 19.17, 29.29, 38.59
1950, 6, 13.84, 10.22, 8.101, 5.133, 6.432, 6.212
1950, 7, 16.24, 12.84, 10.73, 23.12, 26.33, 26.96
1950, 8, 13.94, 10.4, 8.1, 130.3, 151.5, 128.5
1950, 9, 11.01, 7.536, 5.536, 53.48, 78.69, 85.09
1950, 10, 4.704, 1.553, -0.146, 112.7, 212.4, 228
1950, 11, -2.692, -6.101, -8.493, 35.53, 58.16, 53.87
1950, 12, -6.346, -9.512, -11.93, 57.17, 112.9, 129.7
1951, 1, -5.431, -8.8, -11.12, 21.67, 53.84, 57.62
1951, 2, -6.687, -9.942, -12.12, 39.22, 88.8, 88.69
1951, 3, -0.2255, -3.711, -5.825, 56.65, 99.27, 90.9
1951, 4, 1.492, -2.516, -4.723, 26.35, 51.84, 67.46
1951, 5, 9.134, 5.424, 3.349, 60.02, 84.41, 83.29
1951, 6, 13.67, 10.14, 8.087, 50.7, 59.67, 66.89
1951, 7, 15.66, 12.24, 10.12, 91.66, 97.42, 100.7
1951, 8, 15.25, 11.72, 9.511, 81.38, 95.21, 93.31
1951, 9, 12.66, 9.208, 7.206, 39.29, 56.44, 55.49
1951, 10, 4.311, 0.8317, -1.337, 44.26, 85.75, 93.59
1951, 11, -3.784, -7.215, -9.849, 17.32, 36.61, 45.01
1951, 12, -10.18, -13.1, -15.05, 69.98, 129, 131.3
1952, 1, -11.09, -14.1, -16.07, 81.01, 172.8, 171.3
1952, 2, -8.989, -12.3, -14.28, 38.34, 74.32, 76.12
1952, 3, -0.788, -4.362, -6.423, 76.68, 153.2, 143.1
1952, 4, 5.309, 1.345, -0.9405, 40.65, 77.42, 96.92
1952, 5, 8.161, 4.32, 2.057, 71.7, 107, 120
1952, 6, 14.91, 11.31, 9.219, 5.413, 7.87, 9.18
1952, 7, 16.3, 12.82, 10.63, 65.44, 75.33, 64.67
1952, 8, 13.94, 10.41, 8.332, 66.18, 81.62, 83.11
1952, 9, 10.61, 7.185, 5.063, 46.21, 74.3, 67.2
1952, 10, 7.093, 3.868, 1.823, 4.137, 8.505, 11
1952, 11, -1.071, -4.301, -6.168, 120.4, 240, 228
1952, 12, -4.638, -7.891, -9.992, 32.31, 71.67, 79.29
1953, 1, -7.918, -11.32, -13.95, 20.98, 46.27, 53.37
1953, 2, -6.719, -10.3, -12.44, 21.3, 48.75, 55.67
1953, 3, -1.742, -5.659, -7.908, 20.52, 33.89, 39.92
1953, 4, 2.054, -2.196, -4.638, 25.04, 48.58, 57.91
1953, 5, 7.575, 3.875, 1.697, 39, 60.48, 71.38
1953, 6, 12.03, 8.355, 6.299, 7.03, 10.84, 12.27
1953, 7, 14.27, 10.87, 8.698, 122.2, 139.6, 123.9
1953, 8, 14.1, 10.66, 8.623, 55.28, 64.17, 52.13
1953, 9, 11.14, 7.683, 5.53, 23.63, 37.22, 31.18
1953, 10, 5.966, 2.627, 0.873, 53.51, 99.32, 104.5
1953, 11, 0.6158, -2.668, -4.742, 9.409, 13.87, 9.803
1953, 12, -3.894, -7.063, -9.351, 10.4, 22.6, 19.27
1954, 1, -3.447, -6.946, -9.191, 81.33, 134.9, 134.8
1954, 2, -4.13, -7.753, -10.11, 42.45, 95.3, 97.99
1954, 3, -4.468, -8.442, -10.68, 32.86, 70.74, 70.85
1954, 4, -0.8498, -5.081, -7.472, 42.51, 85.96, 82.52
1954, 5, 8.984, 5.085, 2.979, 26, 37.07, 43.89
1954, 6, 12.65, 8.893, 6.73, 3.592, 7.726, 12.81
1954, 7, 15.27, 11.9, 9.849, 98.57, 104.9, 90.05
1954, 8, 14.08, 10.59, 8.569, 40.95, 54.87, 47.72
1954, 9, 11.54, 8.017, 5.989, 46.12, 54.31, 50.85
1954, 10, 6.425, 3.116, 1.068, 22.41, 45.03, 56.09
1954, 11, -3.276, -6.426, -8.381, 51.7, 103.8, 115.6
1954, 12, -8.879, -11.95, -14.14, 10.46, 21.56, 18.45
1955, 1, -6.257, -9.428, -11.64, 24.66, 60.97, 69.1
1955, 2, -6.352, -10.07, -12.19, 53.4, 117.5, 110.9
1955, 3, -2.469, -6.647, -8.873, 50.78, 108.2, 113.3
1955, 4, 2.91, -1.109, -3.31, 80.85, 128.3, 143.8
1955, 5, 7.552, 3.969, 1.968, 84.78, 115.7, 121.7
1955, 6, 11.86, 8.267, 6.191, 12.52, 20.41, 31.66
1955, 7, 15.77, 12.44, 10.39, 95.57, 109.3, 93.2
1955, 8, 14.61, 11.17, 8.982, 66.86, 78.89, 75.36
1955, 9, 10.29, 6.847, 4.835, 52.3, 79.87, 85.91
1955, 10, 6.881, 3.602, 1.567, 47.75, 88.81, 100.7
1955, 11, -3.424, -6.745, -8.833, 112.5, 202.7, 214.8
1955, 12, -8.987, -12.08, -13.98, 39.69, 96.32, 114.9
1956, 1, -8.983, -12.04, -14.42, 19.65, 49.62, 70.73
1956, 2, -6.348, -9.72, -11.68, 36.96, 79.53, 83.15
1956, 3, -1.829, -5.658, -7.9, 40.28, 79.36, 67.82
1956, 4, 4.373, 0.4296, -1.572, 76.02, 111.8, 111.6
1956, 5, 10.39, 6.669, 4.513, 17.62, 33.5, 52.52
1956, 6, 11.56, 7.74, 5.674, 27.52, 33.55, 35.62
1956, 7, 15.98, 12.57, 10.57, 37.03, 47.78, 53.27
1956, 8, 14.38, 10.97, 9.014, 52.01, 64.04, 49.65
1956, 9, 11.36, 7.901, 5.83, 42.35, 56.03, 58.67
1956, 10, 7.759, 4.478, 2.618, 9.286, 19.16, 18.12
1956, 11, -2.004, -5.5, -7.687, 45.42, 85.55, 87.09
1956, 12, -7.272, -10.56, -12.69, 1.622, 3.836, 4.9
1957, 1, -5.551, -8.553, -10.76, 4.12, 12.75, 23.7
1957, 2, -3.16, -6.658, -8.956, 9.656, 26.53, 38.43
1957, 3, 1.308, -2.625, -4.816, 21.45, 48.01, 64.48
1957, 4, 3.32, -0.5421, -2.666, 36.03, 69.78, 86.11
1957, 5, 8.462, 4.672, 2.468, 46.88, 58.72, 70.06
1957, 6, 11.66, 7.954, 5.863, 6.426, 8.284, 12.64
1957, 7, 16.66, 13.31, 11.32, 53.3, 64.02, 55.96
1957, 8, 13.2, 9.834, 7.805, 102.8, 120.9, 111.8
1957, 9, 10.68, 7.243, 5.262, 34.51, 56.67, 64.29
1957, 10, 4.975, 1.656, -0.2488, 69.64, 147.7, 184
1957, 11, -0.1555, -3.516, -5.65, 49.14, 94.82, 95.77
1957, 12, -6.437, -9.638, -12.06, 30.34, 61.21, 58.36
1958, 1, -7.618, -10.83, -12.87, 18.55, 46.34, 55.68
1958, 2, -4.94, -8.545, -10.75, 19.45, 42.19, 41.99
1958, 3, -0.484, -4.508, -6.696, 32.65, 68.87, 72.75
1958, 4, 4.621, 0.3873, -2.044, 15.56, 34.67, 45.22
1958, 5, 10.35, 6.541, 4.288, 7.103, 11.64, 19.81
1958, 6, 14.02, 10.24, 8.017, 5.392, 5.395, 8.195
1958, 7, 15.31, 11.69, 9.654, 4.68, 5.913, 4.767
1958, 8, 13.67, 10.21, 8.212, 45.81, 56.31, 50.83
1958, 9, 12.21, 8.703, 6.589, 26.43, 42.13, 46.38
1958, 10, 4.909, 1.575, -0.4003, 2.017, 4.464, 4.057
1958, 11, -2.634, -6.017, -8.013, 68.17, 125.5, 125.7
1958, 12, -5.23, -8.115, -10.32, 43.47, 84.95, 73.74
1959, 1, -7.364, -10.43, -12.58, 25.21, 57.31, 55.37
1959, 2, -7.356, -10.83, -12.99, 13.43, 32.73, 39.04
1959, 3, -0.3935, -4.253, -6.725, 26.9, 46.71, 42.79
1959, 4, 1.858, -2.062, -4.141, 34.42, 64.83, 77.41
1959, 5, 7.675, 3.939, 1.931, 26.21, 46.14, 54.88
1959, 6, 12.29, 8.669, 6.683, 6.492, 9.384, 13.1
1959, 7, 15.44, 12.02, 9.99, 26.73, 32.01, 28.22
1959, 8, 14.88, 11.26, 9.155, 19.06, 28.19, 26.28
1959, 9, 11.51, 8.13, 6.279, 32.16, 37.25, 38.99
1959, 10, 5.927, 2.7, 0.8332, 44.45, 80.09, 84.21
1959, 11, -0.3549, -3.519, -5.599, 11.6, 26.91, 38.67
1959, 12, -7.047, -10.01, -11.93, 53.94, 110.8, 113.3
1960, 1, -8.115, -11.49, -13.53, 35.95, 87.3, 103.2
1960, 2, -10.31, -13.63, -15.47, 31.37, 65.35, 55.63
1960, 3, 1.139, -3.057, -5.523, 10.12, 19.83, 17.66
1960, 4, 3.515, -0.5419, -2.592, 24.13, 49.55, 61.76
1960, 5, 8.236, 4.457, 2.365, 12.32, 24.52, 26.96
1960, 6, 14.02, 10.45, 8.477, 7.317, 8.403, 13.01
1960, 7, 14.96, 11.59, 9.534, 56.43, 63.68, 55.84
1960, 8, 14.45, 11.09, 9.031, 51.6, 67.43, 64.75
1960, 9, 10.12, 6.771, 4.897, 49.51, 79.32, 80.33
1960, 10, 7.252, 3.988, 2.136, 0.9172, 1.938, 2.292
1960, 11, -2.464, -5.678, -7.543, 64.1, 124.8, 114.5
1960, 12, -6.639, -9.918, -12.41, 8.528, 18.32, 21.94
1961, 1, -9.389, -12.41, -14.46, 29.51, 63.7, 70.5
1961, 2, -4.525, -7.955, -10.15, 29.68, 54.28, 50.13
1961, 3, -2.927, -6.654, -8.682, 39.69, 70.58, 65.03
1961, 4, 3.893, -0.08378, -2.166, 29.76, 67.97, 77.65
1961, 5, 8.302, 4.472, 2.386, 7.602, 12.04, 9.969
1961, 6, 11.9, 8.276, 6.268, 6.278, 9.424, 12.93
1961, 7, 15.02, 11.72, 9.625, 73.02, 95.3, 106.8
1961, 8, 15.04, 11.65, 9.544, 52.15, 76.23, 82.41
1961, 9, 9.473, 6.101, 4.252, 51.96, 80.24, 84.28
1961, 10, 6.835, 3.492, 1.5, 37.85, 62.29, 73.25
1961, 11, -3.984, -7.414, -9.613, 74.96, 152.9, 142.1
1961, 12, -8.927, -12, -13.86, 83.41, 156.5, 155.9
1962, 1, -10.4, -13.34, -15.26, 20.96, 41.21, 40.1
1962, 2, -8.971, -12.28, -14.16, 10.75, 25.33, 30.9
1962, 3, -0.4999, -4.476, -6.786, 43.86, 88.83, 90.18
1962, 4, 0.9383, -2.981, -5.263, 122.1, 208.5, 170.4
1962, 5, 8.966, 5.199, 3.079, 15.01, 24.93, 35.88
1962, 6, 14.13, 10.57, 8.443, 6.715, 11.8, 16.24
1962, 7, 15.97, 12.61, 10.56, 68.49, 72.83, 51.95
1962, 8, 14.9, 11.49, 9.397, 40.45, 53.64, 54.92
1962, 9, 11.47, 7.984, 5.989, 28.67, 45.67, 45.36
1962, 10, 7.172, 3.902, 1.931, 43.75, 67.58, 74.41
1962, 11, 0.7528, -2.572, -4.711, 11.58, 21.64, 15.77
1962, 12, -6.573, -9.673, -11.83, 57.71, 116.6, 103
1963, 1, -8.788, -12.06, -14.69, 4.168, 8.634, 8.73
1963, 2, -1.072, -4.688, -7.265, 12.43, 28.4, 28.59
1963, 3, 0.3735, -3.189, -5.091, 126.5, 238.4, 226.4
1963, 4, 5.185, 1.444, -0.4773, 38.7, 48.86, 50.95
1963, 5, 7.662, 3.874, 1.716, 61.1, 95.5, 108.8
1963, 6, 14.41, 10.84, 8.673, 2.668, 3.78, 3.913
1963, 7, 15.73, 12.28, 10.21, 22.65, 28.48, 28.99
1963, 8, 14.85, 11.42, 9.358, 25.03, 35.52, 37.38
1963, 9, 12.03, 8.411, 6.26, 26.63, 30.47, 34.14
1963, 10, 7.134, 3.839, 1.8, 21.51, 35.05, 34.19
1963, 11, 1.142, -2.069, -4.149, 24.62, 51.25, 46.48
1963, 12, -6.852, -10.14, -12.44, 5.858, 10.62, 9.17
1964, 1, -8.397, -11.49, -13.6, 86.95, 182.3, 178.6
1964, 2, -5.135, -8.903, -11.15, 93.6, 192.4, 159.9
1964, 3, -3.057, -7.044, -9.391, 100.9, 182.5, 152.1
1964, 4, 0.2243, -3.832, -5.99, 37.22, 66.15, 71.74
1964, 5, 5.686, 1.851, -0.516, 37.53, 66.3, 82.09
1964, 6, 12.24, 8.76, 6.804, 53.97, 59.89, 60.71
1964, 7, 16.81, 13.49, 11.55, 59.34, 67.42, 56.72
1964, 8, 14.77, 11.41, 9.374, 66.32, 77.42, 60.27
1964, 9, 12.52, 9.069, 7.049, 15.33, 26.66, 34.39
1964, 10, 5.244, 2.073, 0.1348, 13.69, 24.08, 30.5
1964, 11, -4.06, -7.292, -9.145, 20.78, 41.4, 36.68
1964, 12, -10.57, -13.78, -15.71, 26.46, 55.25, 57.3
1965, 1, -9.679, -12.81, -14.87, 22.3, 47.1, 39.51
1965, 2, -8.211, -11.17, -12.96, 26.78, 67.49, 82.01
1965, 3, -4.317, -8.372, -10.51, 79.46, 167.7, 150.2
1965, 4, 0.1512, -4.038, -6.476, 15.44, 27.31, 37.88
1965, 5, 5.03, 1.397, -0.8603, 65.05, 116.3, 137.3
1965, 6, 13.49, 9.791, 7.712, 1.222, 1.282, 0.8548
1965, 7, 17.36, 14.12, 12.17, 22.21, 28.02, 30.65
1965, 8, 14.22, 10.84, 8.622, 133.4, 170.7, 157.4
1965, 9, 10.38, 7.054, 5.206, 88.58, 118.2, 105.4
1965, 10, 2.846, -0.4213, -2.377, 58.94, 115, 132.8
1965, 11, -0.0949, -3.425, -5.542, 28.59, 61.27, 56.97
1965, 12, -11.69, -14.9, -16.95, 65.47, 136.6, 119.8
1966, 1, -12.33, -15.16, -16.99, 37.13, 75.11, 60.16
1966, 2, -9.512, -12.63, -14.9, 59.87, 105.9, 98.87
1966, 3, -3.369, -7.052, -9.248, 47.75, 78.94, 61.41
1966, 4, -0.9746, -4.612, -6.554, 107.9, 192.2, 188
1966, 5, 5.433, 1.699, -0.4962, 75.67, 123.2, 117.2
1966, 6, 11.99, 8.286, 6.204, 8.927, 12.77, 19.75
1966, 7, 14.26, 10.9, 8.963, 58.43, 66.47, 59.71
1966, 8, 14.55, 11.17, 9.077, 65.9, 76.79, 82.99
1966, 9, 10.26, 6.804, 4.734, 48.08, 81.01, 84.34
1966, 10, 7.007, 3.774, 2.013, 32.97, 58.56, 57.32
1966, 11, -3.586, -6.882, -8.681, 101.4, 202.5, 217.2
1966, 12, -7.858, -10.91, -13.19, 3.39, 8.886, 10.24
1967, 1, -9.685, -13.08, -15.39, 26.04, 58.86, 55.98
1967, 2, -7.015, -10.62, -13.02, 26.41, 55.82, 60.78
1967, 3, -1.062, -4.981, -7.02, 36.43, 62.3, 63.53
1967, 4, 2.236, -1.53, -3.446, 73.7, 113.7, 131.5
1967, 5, 9.335, 5.48, 3.238, 9.525, 15.49, 22.53
1967, 6, 12.06, 8.713, 6.706, 54.5, 68.46, 80.77
1967, 7, 17.22, 13.98, 12.06, 79.97, 97.54, 84.92
1967, 8, 14.74, 11.26, 9.118, 42.92, 50.04, 39.54
1967, 9, 11.52, 8.083, 6.032, 19.09, 26.61, 27.29
1967, 10, 3.707, 0.5885, -1.392, 77.16, 154.8, 196.4
1967, 11, -3.005, -6.484, -8.729, 43.87, 94.14, 103.5
1967, 12, -5.244, -8.713, -11.06, 87.1, 173.3, 173.9
1968, 1, -10.25, -13.27, -15.21, 111.2, 234.3, 202.6
1968, 2, -11.14, -14.52, -16.58, 11.7, 21.95, 19.05
1968, 3, -3.291, -7.1, -9.194, 39.24, 87.37, 99.53
1968, 4, 4.542, 0.5238, -1.694, 22.06, 39.17, 47.03
1968, 5, 8.849, 5.028, 2.718, 6.23, 14.66, 21.09
1968, 6, 13.11, 9.446, 7.36, 9.172, 11.76, 14.24
1968, 7, 13.64, 10.05, 7.794, 144.5, 159, 139.7
1968, 8, 13.74, 10.34, 8.316, 93.98, 116.5, 116
1968, 9, 9.046, 5.556, 3.506, 139, 200.9, 192.1
1968, 10, 4.709, 1.155, -1.11, 34.83, 67.96, 77.3
1968, 11, 1.676, -1.624, -3.747, 8.889, 16.22, 16.92
1968, 12, -7.547, -10.65, -12.75, 40.16, 80.47, 71.91
1969, 1, -5.377, -8.679, -10.9, 71.7, 144.9, 128.9
1969, 2, -4.778, -8.328, -10.73, 31.83, 67.53, 46.45
1969, 3, -1.094, -4.816, -6.904, 58.32, 109.9, 97.31
1969, 4, 3.481, -0.323, -2.28, 34.26, 48.76, 45.68
1969, 5, 8.555, 4.648, 2.329, 22.87, 39.09, 39.89
1969, 6, 12.69, 9.007, 6.841, 4.409, 4.305, 5.736
1969, 7, 15.18, 11.92, 9.897, 65.27, 64.64, 50.23
1969, 8, 14.35, 10.9, 8.794, 35.79, 50.91, 56.34
1969, 9, 10.68, 7.236, 5.162, 63.46, 102.1, 109.2
1969, 10, 3.533, 0.3113, -1.57, 43.95, 77.11, 99.84
1969, 11, -3.421, -6.701, -8.829, 50.73, 94.34, 89.88
1969, 12, -7.98, -11.2, -13.3, 56.66, 124.6, 148
1970, 1, -9.098, -12.28, -14.65, 33.24, 71.19, 74.04
1970, 2, -8.522, -11.68, -13.44, 54.42, 116.9, 131.6
1970, 3, -3.916, -7.752, -9.892, 62.36, 126.9, 135.1
1970, 4, 0.3517, -3.921, -6.084, 49.13, 99.92, 98.01
1970, 5, 9.043, 5.465, 3.421, 32.32, 46.15, 52.17
1970, 6, 13.89, 10.43, 8.511, 37.98, 46.57, 46.56
1970, 7, 15.9, 12.6, 10.7, 57.09, 60.97, 42.18
1970, 8, 14.27, 10.74, 8.633, 18.72, 25.15, 24.14
1970, 9, 11.59, 8.12, 6.247, 5.912, 8.535, 7.209
1970, 10, 4.219, 0.7724, -1.283, 15.01, 31.67, 28.89
1970, 11, -2.369, -5.807, -8.043, 44.99, 79, 88.86
1970, 12, -10.23, -13.19, -15.36, 30.88, 62.66, 54.48
1971, 1, -9.185, -12.36, -14.37, 21.66, 49.38, 64.78
1971, 2, -3.929, -7.729, -10.12, 27.5, 56.66, 61.98
1971, 3, -3.816, -7.863, -10.07, 28.93, 61.67, 48.03
1971, 4, 4.096, 0.1692, -2.046, 42.68, 67.63, 84.83
1971, 5, 6.99, 3.158, 1.071, 0.0685, 0.5304, 1.556
1971, 6, 12.49, 8.723, 6.46, 20.64, 30.54, 48.11
1971, 7, 14.68, 11.16, 9.14, 37.01, 39.35, 34.71
1971, 8, 14.14, 10.66, 8.517, 72.87, 91.47, 81.66
1971, 9, 10.12, 6.7, 4.714, 35.7, 47.72, 54.16
1971, 10, 7.53, 4.27, 2.29, 0.4995, 1.611, 3.125
1971, 11, -0.9926, -4.157, -6.181, 44.12, 76.94, 75.33
1971, 12, -7.685, -10.63, -12.74, 25.18, 44.8, 39.4
1972, 1, -5.689, -8.841, -10.8, 48.91, 108.3, 104.5
1972, 2, -1.863, -5.607, -7.681, 45.2, 87.36, 78.84
1972, 3, -1.495, -5.63, -7.946, 76.26, 162.2, 164.1
1972, 4, 3.116, -1.015, -3.386, 33.28, 60.25, 57.76
1972, 5, 9.358, 5.44, 3.163, 11.9, 22.09, 25.76
1972, 6, 12.34, 8.76, 6.686, 56.77, 55.73, 60.11
1972, 7, 15.19, 11.77, 9.791, 46.44, 54.79, 57.37
1972, 8, 14.38, 10.96, 8.829, 91.94, 117.3, 122.3
1972, 9, 11.19, 7.687, 5.605, 65.59, 99.66, 98.68
1972, 10, 5.917, 2.601, 0.6006, 64.56, 119, 125.1
1972, 11, -0.4192, -3.877, -6.063, 11.02, 23.75, 27.42
1972, 12, -10.74, -13.84, -15.97, 36.51, 64.27, 56.38
1973, 1, -5.363, -8.592, -10.96, 12.24, 25.56, 31.49
1973, 2, -7.265, -10.34, -12.24, 52.63, 100.9, 95.55
1973, 3, -3.202, -6.834, -8.947, 45.75, 89.91, 100.2
1973, 4, 3.275, -0.6406, -2.732, 47.64, 80.5, 88.61
1973, 5, 5.993, 1.919, -0.4053, 5.765, 14.21, 22.4
1973, 6, 10.75, 6.941, 4.871, 2.337, 5.295, 12
1973, 7, 14.91, 11.49, 9.473, 48.89, 55.66, 52.58
1973, 8, 15.59, 11.95, 9.633, 90.27, 114.1, 105.1
1973, 9, 10.72, 7.244, 5.146, 87.07, 125.8, 112.2
1973, 10, 6.161, 2.895, 0.9358, 54.72, 103.6, 96.42
1973, 11, -3.226, -6.252, -7.926, 123.9, 225.5, 222.4
1973, 12, -9.136, -12.32, -14.67, 25.36, 57.12, 54.87
1974, 1, -5.705, -8.924, -11.22, 63.88, 137.9, 128
1974, 2, -7.701, -11.08, -13.27, 18.78, 42.91, 45.68
1974, 3, -3.23, -7.027, -9.187, 56.08, 103.4, 86.78
1974, 4, -1.442, -5.555, -7.812, 30.9, 62.35, 79.38
1974, 5, 6.11, 2.506, 0.3348, 48.81, 74.85, 83.77
1974, 6, 12.61, 9.098, 7.116, 36.8, 46.9, 57.43
1974, 7, 16.02, 12.72, 10.69, 66.88, 68.7, 62.97
