# Created by WEAP: 1/4/2021 11:53:43 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_SW_Canjeos (78,343 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 2000 - 3000 m (24,293 ha),  3000 - 4000 m (54,050 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 2000 to 3000 m, tavg[C]:Elevation 3000 to 4000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m

1950, 1, -6.362, -8.238, 82.83, 147.7
1950, 2, -4.001, -6.492, 40.91, 67.75
1950, 3, 0.7919, -1.999, 26.69, 40.11
1950, 4, 2.681, -0.4291, 76.14, 134.3
1950, 5, 11, 8.06, 25.78, 30.11
1950, 6, 14.25, 11.5, 9.569, 8.805
1950, 7, 16.83, 13.91, 22.78, 32.36
1950, 8, 14.36, 11.51, 154, 174.1
1950, 9, 11.22, 8.447, 47.03, 75.25
1950, 10, 4.483, 1.879, 164.7, 237.5
1950, 11, -2.76, -5.139, 42.09, 71
1950, 12, -5.897, -7.711, 57.24, 93.42
1951, 1, -4.776, -7.026, 37.79, 70.71
1951, 2, -5.682, -8.054, 81.78, 145.9
1951, 3, 0.02986, -2.578, 143, 199.1
1951, 4, 2.05, -1.073, 33.84, 66.12
1951, 5, 9.486, 6.494, 77.67, 103
1951, 6, 13.9, 11.15, 56.03, 70.35
1951, 7, 15.84, 13.14, 74.09, 95.28
1951, 8, 15.45, 12.78, 84.93, 101.4
1951, 9, 13.07, 10.25, 51.43, 86.79
1951, 10, 4.316, 1.641, 42.01, 85.33
1951, 11, -3.905, -6.19, 22.43, 43.07
1951, 12, -9.595, -11.49, 90.97, 160.2
1952, 1, -10.85, -12.31, 110.7, 205.8
1952, 2, -8.646, -10.53, 73.04, 98.74
1952, 3, -0.6744, -3.088, 98.83, 154.1
1952, 4, 5.734, 2.861, 44.37, 68.72
1952, 5, 8.162, 5.276, 96.77, 119.9
1952, 6, 15.15, 12.34, 9.992, 9.056
1952, 7, 16.33, 13.62, 64.03, 82.68
1952, 8, 14.27, 11.43, 86.89, 99.84
1952, 9, 10.35, 7.692, 56.41, 68.84
1952, 10, 6.756, 4.215, 13.27, 15.95
1952, 11, -0.7835, -3.175, 135.7, 257.4
1952, 12, -4.107, -6.526, 59.51, 109.1
1953, 1, -7.451, -9.451, 40.22, 66.4
