# Created by WEAP: 1/4/2021 11:54:06 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CO_E_Lwr South Platte (2,104,250 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 1000 - 2000 m (2,036,731 ha),  2000 - 3000 m (67,519 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 1000 to 2000 m, tavg[C]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m

1950, 1, -0.5853, -0.214, 27.3, 24.05
1950, 2, 2.072, 1.772, 4.601, 9.088
1950, 3, 8.481, 7.367, 4.529, 4.82
1950, 4, 10.37, 8.28, 23.51, 34.12
1950, 5, 19.05, 16.7, 25.41, 27.17
1950, 6, 21.7, 19.07, 20.13, 8.938
1950, 7, 25.24, 22.04, 52.94, 57.88
1950, 8, 21.4, 18.86, 53.98, 105.4
1950, 9, 19.14, 16.28, 37.4, 19.62
1950, 10, 10.72, 8.19, 44.65, 59.04
1950, 11, -0.2908, -0.6495, 19.01, 19.67
1950, 12, -0.9333, -0.7137, 4.959, 7.202
1951, 1, 2.678, 2.653, 2.651, 3.978
1951, 2, 0.1784, -0.5607, 6.85, 8.021
1951, 3, 11.64, 8.459, 5.204, 16.01
1951, 4, 9.944, 7.65, 46.66, 55.47
1951, 5, 17.54, 14.47, 79.37, 68.02
1951, 6, 21.15, 18.51, 135, 115.5
1951, 7, 23.96, 20.92, 102.3, 110.8
1951, 8, 24.06, 21.32, 37.04, 109.8
1951, 9, 19.89, 17.71, 43.7, 18.74
1951, 10, 9.799, 8.362, 59.58, 44.77
1951, 11, -0.7922, -1.183, 18.66, 25.36
1951, 12, -4.73, -4.749, 5.422, 16.82
1952, 1, -6.385, -6.322, 11.8, 16.68
1952, 2, -3.984, -3.933, 10.29, 14.01
1952, 3, 4.554, 2.252, 43.35, 57.47
1952, 4, 11.66, 9.61, 14.2, 21.54
1952, 5, 16.6, 13.13, 64.64, 56.07
1952, 6, 25.24, 21.86, 24.48, 32.67
1952, 7, 26.16, 23.04, 58.15, 60.29
1952, 8, 23.97, 21.07, 32.85, 84.22
1952, 9, 18.63, 16.28, 9.785, 3.383
1952, 10, 12.75, 11.4, 13.99, 11.81
1952, 11, 5.276, 3.752, 25.41, 36.75
1952, 12, 2.205, 1.386, 9.914, 15.69
1953, 1, -1.62, -1.029, 3.081, 2.655
1953, 2, -1.172, -1.224, 4.604, 6.557
1953, 3, 3.277, 1.896, 6.446, 11.87
1953, 4, 8.91, 6.696, 30.63, 30.67
1953, 5, 14.07, 11.5, 40.79, 54.88
1953, 6, 20.71, 17.33, 13.77, 16.92
1953, 7, 23.71, 19.94, 89.42, 107
1953, 8, 20.93, 18.42, 94.48, 70.9
1953, 9, 18.12, 15.99, 17.24, 9.285
1953, 10, 14.7, 12.11, 11.94, 17.94
1953, 11, 6.935, 6.385, 2.386, 5.574
1953, 12, 3.488, 3.428, 1.236, 1.586
