# Created by WEAP: 1/4/2021 11:54:17 AM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Downloads\monthly_CanESM2.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1950 - December 2099 (1,800 data points)
# Variables extracted:
#      tavg: tasmax[C]
#      Prcp: pr[mm]

# WEAP Catchment: CA_LADWP_CoastalLA (36,256 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (36,256 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, tavg[C]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 0 to 1000 m

1950, 1, 15.05, 3.234
1950, 2, 16.9, 3.097
1950, 3, 17.07, 13.86
1950, 4, 17.35, 27.57
1950, 5, 19.27, 0
1950, 6, 19.35, 0.05897
1950, 7, 20.6, 0.0219
1950, 8, 23.5, 0.3311
1950, 9, 24.23, 0.409
1950, 10, 20.22, 0.3779
1950, 11, 16.65, 22.36
1950, 12, 16.13, 4.727
1951, 1, 16.12, 83.13
1951, 2, 15.27, 165.4
1951, 3, 16.13, 102.9
1951, 4, 15, 52.07
1951, 5, 17.14, 2.385
1951, 6, 20.36, 0.02623
1951, 7, 21.89, 0.02524
1951, 8, 24.18, 0.01288
1951, 9, 22.9, 0
1951, 10, 20.55, 48.86
1951, 11, 15.73, 11.91
1951, 12, 14.39, 0.7038
1952, 1, 13.63, 44.47
1952, 2, 14.34, 22.2
1952, 3, 14.56, 147.5
1952, 4, 16.35, 46.82
1952, 5, 17.53, 0.3978
1952, 6, 19.75, 0.7745
1952, 7, 21.21, 0.03846
1952, 8, 22.1, 0
1952, 9, 21.25, 0.2768
1952, 10, 21.18, 2.015
1952, 11, 16.59, 167.6
1952, 12, 16.3, 22.74
1953, 1, 14.33, 220.2
1953, 2, 14.56, 29.33
1953, 3, 17, 44.01
1953, 4, 15.08, 41.18
1953, 5, 18.1, 0.01169
1953, 6, 19.14, 0.04285
1953, 7, 23.26, 0.04424
1953, 8, 22.37, 1.165
1953, 9, 21.25, 1.989
1953, 10, 19.32, 0.0007455
1953, 11, 17.37, 14.8
1953, 12, 16.21, 6.302
1954, 1, 15.17, 101.3
1954, 2, 14.49, 156.4
1954, 3, 13.38, 134.3
1954, 4, 14.91, 17.16
1954, 5, 17.68, 0.7663
1954, 6, 19.57, 0.02015
1954, 7, 22.85, 0.01986
1954, 8, 21.85, 0.1249
1954, 9, 21.71, 0.0227
1954, 10, 20.34, 9.962
1954, 11, 17.38, 44.1
1954, 12, 15.8, 0.001286
1955, 1, 15.3, 23.5
1955, 2, 12.91, 182.1
1955, 3, 13.74, 77.47
1955, 4, 17.23, 44.73
1955, 5, 17.14, 5.621
1955, 6, 18.61, 0.1079
1955, 7, 22.01, 0.093
1955, 8, 23.56, 0.3016
1955, 9, 21.76, 0
1955, 10, 21.56, 70.36
1955, 11, 16.29, 146.4
1955, 12, 14.47, 118.6
1956, 1, 15.61, 20.01
1956, 2, 14.64, 91.36
1956, 3, 15.24, 45.46
1956, 4, 16.84, 2.17
1956, 5, 18.16, 0.2087
1956, 6, 19.72, 2.355
1956, 7, 21.03, 0
1956, 8, 23.22, 0.2067
1956, 9, 21.27, 0.1661
1956, 10, 19.69, 15.88
1956, 11, 16.82, 28.98
1956, 12, 17.01, 0.04282
1957, 1, 15.19, 32.5
1957, 2, 15.91, 17.57
1957, 3, 17.06, 8.222
1957, 4, 17.1, 21.51
1957, 5, 17.66, 0.2367
1957, 6, 19.47, 0.0229
1957, 7, 23.57, 0
1957, 8, 23.39, 0.01916
1957, 9, 21.43, 1.144
1957, 10, 18.37, 81.52
1957, 11, 16.22, 66.7
1957, 12, 14.42, 94.17
1958, 1, 15.36, 18.95
1958, 2, 14.29, 25.28
1958, 3, 13.6, 62.36
1958, 4, 15.97, 15.5
1958, 5, 18.66, 0.7198
1958, 6, 20.44, 0.1355
1958, 7, 21.21, 0.01953
1958, 8, 21.7, 0.02929
1958, 9, 20.87, 5.644
1958, 10, 19.24, 0
1958, 11, 17.06, 0.07089
1958, 12, 17.43, 2.211
1959, 1, 15.79, 107.4
1959, 2, 15.21, 43.82
1959, 3, 17.15, 7.679
1959, 4, 16.36, 58.39
1959, 5, 17.09, 6.212
1959, 6, 19.82, 0.01275
1959, 7, 21.09, 0.0004301
1959, 8, 21.27, 0.0101
1959, 9, 21.42, 16.29
1959, 10, 21.83, 3.974
1959, 11, 19.99, 0.05647
1959, 12, 15.13, 46.63
1960, 1, 15.36, 84.57
1960, 2, 14.36, 3.494
1960, 3, 16.14, 41.21
1960, 4, 15.96, 0.5365
1960, 5, 16.7, 0.1898
1960, 6, 20.46, 0.02426
1960, 7, 22.06, 0.09972
1960, 8, 22.8, 0.188
1960, 9, 22.65, 7.107
1960, 10, 21.66, 0.07902
1960, 11, 16.24, 213.4
1960, 12, 16.74, 0
1961, 1, 15.4, 71.44
1961, 2, 17.67, 42.11
1961, 3, 15.3, 56.09
1961, 4, 14.76, 104.5
1961, 5, 16.33, 4.918
1961, 6, 20.05, 0.1107
1961, 7, 23.25, 0.0226
1961, 8, 21.27, 0.9051
1961, 9, 21.12, 0
1961, 10, 20.01, 13.5
1961, 11, 15.49, 58.15
1961, 12, 14.86, 28.79
1962, 1, 14.25, 61.47
1962, 2, 14.21, 97.88
1962, 3, 15.46, 239.4
1962, 4, 16.16, 119.9
1962, 5, 19.67, 0.9704
1962, 6, 20.52, 0.1521
1962, 7, 22.97, 0
1962, 8, 23.07, 0.5941
1962, 9, 19.73, 0.2171
1962, 10, 19.74, 65.19
1962, 11, 19.11, 0
1962, 12, 14.86, 104.1
1963, 1, 16.77, 11.45
1963, 2, 19.21, 7.319
1963, 3, 16.71, 93.3
1963, 4, 18.53, 0.0005543
1963, 5, 20.14, 0.6411
1963, 6, 22.96, 0.05709
1963, 7, 21.56, 0
1963, 8, 21.67, 0
1963, 9, 21.82, 0.2984
1963, 10, 19.15, 10.64
1963, 11, 18.5, 22.4
1963, 12, 17.3, 0.8126
1964, 1, 13.96, 170.8
1964, 2, 13.94, 186.3
1964, 3, 14.2, 193.1
1964, 4, 15.71, 71.81
1964, 5, 17.47, 11.37
1964, 6, 19.97, 0.539
1964, 7, 23.87, 0.03714
1964, 8, 21.44, 0.06299
1964, 9, 23.07, 0
1964, 10, 20.44, 0
1964, 11, 16.74, 10.83
1964, 12, 14.36, 38.15
1965, 1, 12.66, 178.6
1965, 2, 13.3, 172.7
1965, 3, 14.2, 166.3
1965, 4, 15.65, 44.26
1965, 5, 15.92, 177.6
1965, 6, 19.02, 0.1329
1965, 7, 22.5, 0
1965, 8, 22.45, 0.2699
1965, 9, 22.16, 0.6045
1965, 10, 18.81, 10.52
1965, 11, 16.3, 45.81
1965, 12, 10.73, 120.8
1966, 1, 12.05, 15.81
1966, 2, 13.88, 14.41
1966, 3, 14.5, 105.1
1966, 4, 14.18, 80.48
1966, 5, 16.68, 0.1442
1966, 6, 18.29, 0.3789
1966, 7, 21.3, 0.005752
1966, 8, 22.91, 0.6009
1966, 9, 22.66, 9.166
1966, 10, 21.29, 4.902
1966, 11, 17.26, 67.44
1966, 12, 16.16, 36.8
1967, 1, 14.23, 145.7
1967, 2, 14.93, 179.2
1967, 3, 16.86, 37.08
1967, 4, 17.28, 20.51
1967, 5, 17.6, 0.09278
1967, 6, 20.12, 0.01429
1967, 7, 22.51, 0
1967, 8, 21.64, 0.1734
1967, 9, 21.84, 2.266
1967, 10, 21.93, 3.884
1967, 11, 16.7, 65.45
1967, 12, 15, 98.76
1968, 1, 12.43, 309.2
1968, 2, 14.72, 16.18
1968, 3, 16.16, 22.31
1968, 4, 19.08, 0.1198
1968, 5, 17.97, 1.489
1968, 6, 19.06, 0.03923
1968, 7, 22.29, 0.2305
1968, 8, 22.24, 0.1152
1968, 9, 21.16, 24.08
1968, 10, 18.76, 0
1968, 11, 18.08, 0.9237
1968, 12, 14.38, 71.9
1969, 1, 14.02, 179.7
1969, 2, 15.08, 191.7
1969, 3, 16.34, 115.1
1969, 4, 17.7, 11.92
1969, 5, 16.44, 10.66
1969, 6, 19.6, 17.32
1969, 7, 21.74, 0.3699
1969, 8, 21.05, 0.01632
1969, 9, 22.56, 22.93
1969, 10, 20.46, 8.702
1969, 11, 17.55, 111.6
1969, 12, 14.71, 269.4
1970, 1, 14.39, 9.562
1970, 2, 14.9, 122.5
1970, 3, 14.68, 89.1
1970, 4, 15.82, 14.43
1970, 5, 18.08, 0.09431
1970, 6, 19.59, 0.0462
1970, 7, 20.63, 0
1970, 8, 21.25, 0.5708
1970, 9, 20.64, 0
1970, 10, 18.18, 3.077
1970, 11, 15.88, 55.43
1970, 12, 14.46, 15.01
1971, 1, 13.41, 5.918
1971, 2, 18.01, 9.608
1971, 3, 14.14, 60
1971, 4, 16.71, 0.8422
1971, 5, 17.72, 1.291
1971, 6, 19.63, 0.4477
1971, 7, 21.05, 0
1971, 8, 23, 0.4628
1971, 9, 20.28, 0
1971, 10, 21.01, 0
1971, 11, 17.97, 0.2477
1971, 12, 14.54, 15.89
1972, 1, 15.6, 72.19
1972, 2, 14.75, 104.4
1972, 3, 14.31, 178.7
1972, 4, 17.67, 11.91
1972, 5, 17.19, 0.06788
1972, 6, 19.7, 0.1087
1972, 7, 21.12, 0.0126
1972, 8, 23.46, 0.00763
1972, 9, 22.41, 3.183
1972, 10, 19.26, 0.102
1972, 11, 17.11, 13.67
1972, 12, 14.18, 6.357
1973, 1, 16.25, 6.305
1973, 2, 15.42, 65.98
1973, 3, 15.15, 193.8
1973, 4, 16.56, 47.34
1973, 5, 16.48, 16.3
1973, 6, 18.51, 0.1021
1973, 7, 21.14, 0.04141
1973, 8, 23.49, 1.192
1973, 9, 21.02, 4.732
1973, 10, 22.89, 20.16
1973, 11, 19.37, 13.15
1973, 12, 14.72, 18.98
1974, 1, 17.21, 283.4
1974, 2, 14.02, 323.6
1974, 3, 14.6, 128.6
1974, 4, 15.6, 43.29
1974, 5, 17.61, 5.232
1974, 6, 19.69, 0.02403
1974, 7, 21.6, 0.03161
1974, 8, 22.98, 0.1121
1974, 9, 21.43, 0.1264
1974, 10, 19.48, 5.758
1974, 11, 20.42, 0.5253
1974, 12, 17.19, 6.427
1975, 1, 14.44, 57.11
1975, 2, 17.85, 8.598
1975, 3, 14.98, 61.19
1975, 4, 17.8, 3.506
1975, 5, 16.57, 0.1014
1975, 6, 19.9, 0.08528
1975, 7, 21.26, 0.004429
1975, 8, 21.26, 8.996
1975, 9, 24.09, 7.521
1975, 10, 20.48, 0.8988
1975, 11, 20.46, 6.333
1975, 12, 17.28, 51.01
1976, 1, 15.48, 27.67
1976, 2, 12.37, 271.7
1976, 3, 16.73, 9.172
1976, 4, 17.46, 8.204
1976, 5, 18.32, 2.925
1976, 6, 18.85, 0
1976, 7, 22.43, 0.03525
1976, 8, 23.5, 0.4229
1976, 9, 22.02, 0.0295
1976, 10, 18.12, 0.0323
1976, 11, 17.52, 9.987
1976, 12, 15.51, 67.5
1977, 1, 13.21, 126.2
1977, 2, 19.37, 9.219
1977, 3, 17.36, 40.11
1977, 4, 13.48, 272.4
1977, 5, 17.86, 2.35
1977, 6, 18.23, 9.419
1977, 7, 22.67, 0.09331
1977, 8, 23.26, 0.3158
1977, 9, 21.75, 0.01142
1977, 10, 19.21, 12.91
1977, 11, 16.48, 32.34
1977, 12, 14.56, 2.154E-5
1978, 1, 13.98, 143.8
1978, 2, 16.44, 26.14
1978, 3, 17.14, 56.44
1978, 4, 15.28, 4.391
