# Created by WEAP: 12/14/2020 6:12:04 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_PGE_N_Lwr Middle Pit (61,139 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (17,330 ha),  1000 - 2000 m (43,205 ha),  2000 - 3000 m (603 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m

1970, 1, 278, 492.6, 538.6, 3.291, 1.298, -0.9032, 4.101, 4.118, 4.138
1970, 2, 61.53, 92.68, 99.24, 6.128, 4.128, 1.811, 2.285, 2.294, 2.298
1970, 3, 42.15, 71.3, 98.37, 6.776, 4.693, 2.241, 2.749, 2.762, 2.766
1970, 4, 10.93, 18.42, 33.01, 7.087, 4.977, 2.527, 2.566, 2.578, 2.592
1970, 5, 7.652, 13.02, 22.78, 15, 12.91, 10.56, 2.412, 2.424, 2.437
1970, 6, 64.56, 80.19, 102, 18.79, 16.74, 14.35, 2.244, 2.279, 2.306
1970, 7, 0, 0, 0, 21.87, 19.94, 17.85, 2.077, 2.11, 2.118
1970, 8, 0, 0, 0, 20.8, 18.84, 16.83, 1.931, 1.954, 1.962
1970, 9, 4.568, 5.901, 7.296, 16.47, 14.56, 12.59, 2.085, 2.1, 2.099
1970, 10, 46.48, 80.23, 86.3, 11.05, 9.162, 7.175, 2.253, 2.243, 2.221
1970, 11, 201.3, 344.4, 351.8, 6.838, 4.855, 2.652, 3.305, 3.31, 3.307
1970, 12, 174, 275.3, 296.4, 0.6951, -1.356, -3.645, 3.392, 3.381, 3.381
1971, 1, 82.97, 150.9, 150.3, 2.102, 0.2577, -1.686, 2.936, 2.947, 2.958
1971, 2, 12.69, 21.88, 29.68, 4.23, 2.217, -0.03478, 2.455, 2.453, 2.453
1971, 3, 120, 196.3, 235.9, 4.932, 2.729, 0.1793, 2.876, 2.858, 2.841
1971, 4, 32.08, 57.19, 81.77, 8.65, 6.435, 3.795, 2.792, 2.791, 2.794
1971, 5, 71.14, 95.95, 114.6, 12.75, 10.51, 7.804, 2.991, 3.011, 3.012
1971, 6, 59.17, 81.83, 108.6, 16.57, 14.47, 11.99, 2.234, 2.267, 2.307
1971, 7, 1.659, 1.76, 2.109, 22.06, 20.07, 17.85, 2.24, 2.295, 2.327
1971, 8, 1.326, 2.685, 3.084, 22.21, 20.17, 17.99, 1.963, 1.992, 2.017
1971, 9, 44.67, 68.73, 78.14, 15.71, 13.8, 11.85, 2.337, 2.333, 2.323
1971, 10, 12.13, 18.27, 23.47, 9.513, 7.541, 5.332, 2.211, 2.218, 2.221
1971, 11, 68.04, 114.1, 122.8, 5.106, 3.165, 1.102, 2.741, 2.738, 2.727
1971, 12, 79.33, 138.8, 144.4, -0.3445, -2.382, -4.645, 3.476, 3.468, 3.47
1972, 1, 64.03, 115.4, 120.3, 0.4471, -1.431, -3.243, 3.027, 3.018, 3.015
1972, 2, 109.4, 165.5, 175.4, 4.347, 2.231, -0.1821, 2.949, 2.934, 2.912
1972, 3, 33.46, 72.71, 81.62, 8.845, 6.725, 4.319, 2.257, 2.246, 2.231
1972, 4, 56.46, 97.83, 103.8, 8.599, 6.403, 3.908, 3.047, 3.044, 3.051
1972, 5, 24.91, 33.36, 41.5, 14.6, 12.5, 10.15, 1.927, 1.946, 1.956
1972, 6, 7.483, 18.1, 18.89, 19.31, 17.24, 15.05, 2.323, 2.353, 2.359
1972, 7, 0, 0, 0, 22.36, 20.34, 18.23, 1.98, 2.01, 2.037
1972, 8, 1.185, 2.091, 2.704, 21.36, 19.37, 17.2, 2.056, 2.081, 2.101
1972, 9, 62.31, 99.09, 140.1, 15.69, 13.72, 11.56, 1.657, 1.664, 1.663
1972, 10, 53.9, 79.98, 96.53, 11.03, 9.074, 6.804, 2.257, 2.265, 2.268
1972, 11, 110.6, 172, 169.9, 4.511, 2.554, 0.3276, 2.414, 2.43, 2.446
1972, 12, 69.05, 129, 135.7, -1.668, -3.413, -5.208, 3.29, 3.29, 3.286
1973, 1, 171.3, 257, 251, -0.04081, -1.91, -4, 3.322, 3.329, 3.338
1973, 2, 128.1, 184.6, 167, 4.648, 2.591, 0.125, 3.012, 3.044, 3.098
1973, 3, 56.23, 96.53, 103.6, 4.985, 2.733, -0.06327, 2.815, 2.817, 2.833
1973, 4, 8.905, 14.67, 20.23, 10.17, 8.03, 5.391, 2.571, 2.586, 2.595
1973, 5, 18.81, 34.55, 41.88, 16.42, 14.27, 11.93, 2.116, 2.132, 2.134
1973, 6, 3.067, 3.329, 5.732, 18.36, 16.33, 14.23, 2.697, 2.726, 2.745
1973, 7, 1.904, 2.004, 6.148, 22.06, 20.05, 17.93, 2.647, 2.697, 2.72
1973, 8, 0, 0.1438, 0.6963, 20.14, 18.1, 16.03, 2.166, 2.2, 2.202
1973, 9, 24.18, 61.13, 74.93, 16.68, 14.68, 12.62, 2.421, 2.425, 2.425
1973, 10, 42.55, 82.35, 94.91, 11.33, 9.33, 7.276, 2.241, 2.253, 2.27
1973, 11, 184.3, 394.9, 426.3, 5.503, 3.239, 0.6283, 4.204, 4.202, 4.217
1973, 12, 135, 228.5, 231, 3.299, 1.312, -0.8642, 3.344, 3.342, 3.331
1974, 1, 201.2, 351.3, 373.8, 0.4367, -1.475, -3.531, 3.275, 3.286, 3.306
1974, 2, 54.85, 104, 122.1, 3.136, 1.08, -1.379, 3.113, 3.107, 3.11
1974, 3, 167.7, 300.5, 368.5, 6.13, 3.966, 1.385, 3.438, 3.44, 3.445
1974, 4, 31.96, 65.17, 77.26, 7.853, 5.609, 2.904, 2.712, 2.706, 2.717
1974, 5, 6.988, 9.397, 15.92, 13.84, 11.71, 9.405, 2.773, 2.803, 2.824
1974, 6, 3.843, 6.095, 6.674, 18.61, 16.56, 14.44, 2.495, 2.528, 2.552
1974, 7, 28.69, 42.27, 53.74, 20.32, 18.28, 16.12, 2.526, 2.556, 2.59
1974, 8, 12.24, 17.27, 22.04, 20.59, 18.59, 16.58, 2.13, 2.177, 2.178
1974, 9, 0, 0, 0, 18.85, 16.95, 15.09, 1.818, 1.825, 1.83
1974, 10, 29.75, 44.43, 50.94, 12.48, 10.46, 8.35, 2.288, 2.299, 2.307
1974, 11, 28.15, 45.61, 54.04, 6.34, 4.379, 2.176, 2.155, 2.156, 2.153
1974, 12, 70.29, 110.7, 110.7, 1.895, -0.02114, -2.191, 2.9, 2.906, 2.912
1975, 1, 31.97, 62.3, 69.3, 2.294, 0.3007, -1.847, 2.75, 2.757, 2.777
1975, 2, 166.1, 268.8, 286.1, 3.069, 0.9045, -1.611, 3.693, 3.704, 3.73
1975, 3, 87.68, 202.2, 213.9, 5.267, 2.941, -0.016, 3.739, 3.752, 3.785
1975, 4, 64.62, 116.4, 142.7, 5.277, 2.94, 0.04678, 2.916, 2.918, 2.923
1975, 5, 5.164, 9.706, 15.74, 13.74, 11.4, 8.542, 2.96, 2.972, 2.989
1975, 6, 17.19, 24.92, 29.19, 17.87, 15.71, 13.25, 2.918, 2.941, 2.945
1975, 7, 11.55, 16.46, 23.15, 20.58, 18.4, 16.04, 2.676, 2.712, 2.733
1975, 8, 16.51, 35.32, 61.74, 19.45, 17.26, 14.84, 2.249, 2.276, 2.263
