# Created by WEAP: 12/14/2020 6:12:06 PM

# Climate time series data extracted from NetCDF file: C:\Users\yates\Documents\NCAR\Hyperion\Switch\livnehmon_1970-2013.nc
# Raster grid: 368 rows x 368 columns, (53 N, 125 W) - (30 N, 102 W), 0.062 degree resolution (approximately 7 km)
# Timespan: Monthly, January 1970 - December 2013 (528 data points)
# Variables extracted:
#      Prcp: Precipitation[mm]
#      Tavg: Daily maximum temperature[C]
#      wind: mean daily wind speed[m/s]

# WEAP Catchment: CA_SCE_VLY_S Frk Kern (250,682 ha)
# Climate grid intersected and averaged over each elevation band of catchment: 0 - 1000 m (19,941 ha),  1000 - 2000 m (102,950 ha),  2000 - 3000 m (123,182 ha),  3000 - 4000 m (4,609 ha)

"$ListSeparator = ,"
"$DecimalSymbol = ."

$Columns = Year, Month, Prcp[mm]:Elevation 0 to 1000 m, Prcp[mm]:Elevation 1000 to 2000 m, Prcp[mm]:Elevation 2000 to 3000 m, Prcp[mm]:Elevation 3000 to 4000 m, Tavg[C]:Elevation 0 to 1000 m, Tavg[C]:Elevation 1000 to 2000 m, Tavg[C]:Elevation 2000 to 3000 m, Tavg[C]:Elevation 3000 to 4000 m, wind[m/s]:Elevation 0 to 1000 m, wind[m/s]:Elevation 1000 to 2000 m, wind[m/s]:Elevation 2000 to 3000 m, wind[m/s]:Elevation 3000 to 4000 m

1970, 1, 111.2, 128.1, 210.1, 161.6, 8.207, 4.061, -1.001, -4.912, 1.62, 1.646, 1.705, 1.811
1970, 2, 42.45, 55.31, 91.58, 60.3, 11.25, 7.315, 2.064, -2.056, 1.721, 1.761, 1.796, 1.863
1970, 3, 41.74, 49.99, 80.88, 65.62, 11.06, 7.505, 2.647, -1.007, 1.965, 1.986, 1.955, 1.971
1970, 4, 9.133, 9.884, 20.74, 19, 12.02, 8.529, 3.756, 0.0871, 2.623, 2.625, 2.566, 2.556
1970, 5, 0.005145, 0.03229, 0.03994, 0.1926, 19.67, 16.57, 11.72, 8.137, 2.265, 2.28, 2.285, 2.331
1970, 6, 3.615, 3.758, 7.982, 5.332, 23.31, 20.35, 15.74, 12.74, 2.237, 2.238, 2.219, 2.232
1970, 7, 0.898, 0.7999, 2.162, 3.033, 29.15, 25.74, 20.86, 17.05, 1.767, 1.793, 1.872, 1.98
1970, 8, 0, 0.6098, 4.179, 7.7, 27.76, 24.71, 19.98, 16.52, 1.516, 1.533, 1.615, 1.731
1970, 9, 0, 0, 0, 0, 22.46, 18.99, 14.1, 10.64, 1.812, 1.838, 1.886, 1.969
1970, 10, 1.166, 2.716, 1.555, 1.044, 17.08, 13.42, 8.501, 4.969, 1.716, 1.759, 1.814, 1.907
1970, 11, 92.13, 124.9, 183.6, 141.2, 12.11, 8.328, 3.394, -0.2191, 1.906, 1.936, 1.974, 2.048
1970, 12, 81.01, 81.59, 116.1, 93.61, 5.673, 1.667, -3.666, -7.559, 1.753, 1.789, 1.876, 2.002
1971, 1, 21.15, 24.56, 41.3, 31.47, 7.416, 3.532, -1.653, -5.405, 2.006, 2.044, 2.109, 2.21
1971, 2, 11, 10.87, 21.24, 17.96, 8.357, 5.16, 0.3886, -2.901, 1.991, 2.012, 2.016, 2.067
1971, 3, 16.14, 17.04, 24.6, 19.51, 11.17, 7.727, 2.814, -0.7554, 2.152, 2.18, 2.127, 2.121
1971, 4, 16.14, 16.19, 28.38, 21.7, 12.33, 9.341, 4.727, 1.589, 2.689, 2.705, 2.66, 2.663
1971, 5, 23.81, 26.89, 66.07, 55.15, 15.54, 12.51, 7.597, 4.327, 2.481, 2.493, 2.479, 2.504
1971, 6, 0, 0, 0, 0, 22.04, 19.15, 14.64, 11.71, 2.392, 2.395, 2.413, 2.461
1971, 7, 1.778, 3.332, 14.5, 14.17, 27.29, 24.3, 19.68, 16.67, 2.05, 2.069, 2.169, 2.294
1971, 8, 1.24, 1.83, 3.7, 3.005, 27.76, 24.57, 19.9, 16.66, 1.795, 1.79, 1.808, 1.848
1971, 9, 1.936, 1.494, 2.638, 5.699, 23.39, 20, 15.04, 11.42, 1.442, 1.459, 1.525, 1.629
1971, 10, 1.476, 1.747, 4.103, 8.998, 15.4, 11.76, 6.809, 3.185, 1.614, 1.645, 1.691, 1.777
1971, 11, 17.66, 19.47, 32.13, 31.97, 10.2, 6.539, 1.621, -2.015, 1.657, 1.695, 1.756, 1.862
1971, 12, 91.33, 102.9, 163.2, 134.3, 4.397, 0.5905, -4.583, -8.433, 2.23, 2.268, 2.329, 2.436
1972, 1, 2.948, 4.023, 11.25, 14.21, 6.594, 2.592, -2.536, -6.513, 2.167, 2.206, 2.232, 2.295
1972, 2, 16.2, 14.64, 23.71, 16.53, 10.32, 6.675, 1.596, -2.053, 1.724, 1.736, 1.7, 1.693
1972, 3, 0, 5.956E-5, 0.0001323, 0, 14.84, 11.59, 6.886, 3.541, 1.918, 1.913, 1.837, 1.799
1972, 4, 11.38, 12.86, 27.35, 19.97, 14.4, 11.25, 6.533, 3.257, 2.357, 2.383, 2.375, 2.411
1972, 5, 1.355, 1.157, 3.913, 2.751, 19.41, 16.18, 11.32, 7.993, 2.001, 2.017, 2.031, 2.08
1972, 6, 14.84, 14.83, 34.39, 21.38, 24.02, 20.86, 16.13, 12.9, 1.798, 1.806, 1.855, 1.94
1972, 7, 0, 0, 0.1672, 1.409, 28.3, 25.36, 20.8, 17.84, 2.042, 2.071, 2.136, 2.231
1972, 8, 17.18, 12.87, 11.79, 6.737, 25.43, 22.45, 17.94, 15.21, 1.7, 1.691, 1.688, 1.712
1972, 9, 0.0005194, 0.03903, 2.051, 13.49, 21.66, 18.31, 13.4, 9.569, 1.142, 1.16, 1.257, 1.392
1972, 10, 10.66, 13.03, 19.89, 19.89, 15.35, 11.77, 6.693, 3.105, 1.503, 1.529, 1.608, 1.715
1972, 11, 75.93, 99.53, 137, 102, 9.045, 5.456, 0.2667, -3.446, 1.854, 1.891, 1.961, 2.068
1972, 12, 70.21, 67.35, 91.69, 62.92, 5.508, 1.529, -3.549, -7.428, 2.032, 2.075, 2.126, 2.222
1973, 1, 116.3, 138.8, 246.9, 203.8, 5.649, 1.545, -4.133, -8.372, 2.282, 2.312, 2.335, 2.398
1973, 2, 83.89, 92.36, 169.1, 134.2, 8.888, 4.902, -0.6291, -4.638, 2.317, 2.343, 2.414, 2.512
1973, 3, 71.4, 79.53, 118.5, 93.64, 7.876, 4.474, -0.4396, -4.055, 1.943, 1.963, 2, 2.097
1973, 4, 5.38, 5.512, 12.84, 10.91, 13.56, 10.27, 5.423, 2.026, 2.539, 2.573, 2.566, 2.611
1973, 5, 5.071, 11.6, 26.91, 17.34, 20.55, 17.35, 12.58, 9.173, 1.875, 1.875, 1.858, 1.877
1973, 6, 0.01727, 1.336, 8.686, 5.862, 24.26, 20.93, 16.72, 13.73, 2.135, 2.164, 2.24, 2.359
1973, 7, 0.0151, 0.2006, 0.8345, 1.037, 26.77, 23.5, 19.47, 16.47, 2.315, 2.323, 2.377, 2.461
1973, 8, 3.287, 3.43, 3.059, 7.563, 25.65, 22.66, 18.13, 15.04, 1.763, 1.777, 1.873, 2.006
1973, 9, 0, 0, 0, 0, 22.02, 18.73, 14.18, 10.93, 1.79, 1.788, 1.778, 1.808
1973, 10, 6.806, 7.431, 13.79, 22.54, 17.5, 13.94, 9.163, 5.559, 1.324, 1.357, 1.453, 1.589
1973, 11, 38.2, 46.59, 77.36, 81.76, 10.16, 6.676, 1.776, -1.887, 2.067, 2.096, 2.089, 2.139
1973, 12, 43.05, 44.84, 64.7, 53.82, 8.788, 4.97, -0.2924, -4.268, 2.059, 2.089, 2.044, 2.042
1974, 1, 97.36, 142.4, 232.5, 158.8, 6.414, 2.021, -4.067, -8.498, 1.923, 1.945, 1.883, 1.86
1974, 2, 8.082, 6.768, 11.57, 11.7, 8.872, 5.145, 0.2013, -3.39, 2.025, 2.059, 2.014, 2.018
1974, 3, 72.36, 94.13, 152.7, 146.6, 11.24, 7.926, 3.019, -0.364, 1.804, 1.835, 1.866, 1.946
1974, 4, 40.29, 43.93, 77.08, 54.36, 13.35, 9.991, 5.053, 1.441, 2.262, 2.296, 2.324, 2.411
1974, 5, 5.643, 8.339, 23.72, 15.6, 18.43, 15.72, 11.25, 8.416, 2.406, 2.419, 2.382, 2.396
1974, 6, 0, 0, 0, 0, 24.2, 21.39, 16.77, 13.85, 2.133, 2.135, 2.125, 2.154
1974, 7, 5.858, 7.44, 9.28, 7.608, 26.05, 23.2, 18.7, 15.84, 2.156, 2.178, 2.266, 2.383
1974, 8, 2.009, 5.081, 13.61, 21.37, 26.22, 22.9, 18.06, 14.76, 2.018, 2.02, 2.032, 2.074
1974, 9, 0.1733, 0.4386, 0.1178, 0, 25.26, 21.9, 17.18, 13.89, 1.342, 1.352, 1.359, 1.399
1974, 10, 46.21, 70.26, 81.16, 52.53, 17.68, 14.08, 8.992, 5.407, 1.371, 1.394, 1.453, 1.553
1974, 11, 4.071, 6.106, 12.15, 14.38, 11.36, 7.578, 2.632, -1.039, 1.625, 1.624, 1.579, 1.568
1974, 12, 57.8, 63.85, 94.35, 68.24, 6.331, 2.481, -2.504, -6.238, 2.012, 2.044, 2.028, 2.05
1975, 1, 16.1, 18.68, 31.63, 24.3, 7.881, 3.825, -1.311, -5.282, 2.066, 2.103, 2.108, 2.151
1975, 2, 66.08, 64.24, 109.6, 92.13, 7.989, 4.349, -0.7814, -4.55, 2.201, 2.235, 2.259, 2.331
1975, 3, 63.56, 75.68, 111.7, 94.01, 9.374, 5.861, 0.6896, -3.085, 2.434, 2.468, 2.469, 2.531
1975, 4, 19.41, 22.54, 45.18, 51.98, 9.664, 6.386, 1.436, -2.103, 2.368, 2.401, 2.396, 2.449
1975, 5, 1.791, 2.191, 4.966, 5.65, 18.71, 15.48, 10.4, 6.774, 2.327, 2.342, 2.309, 2.319
1975, 6, 0.05344, 2.878, 21, 18.78, 23.41, 20.5, 15.84, 12.63, 2.625, 2.638, 2.637, 2.677
1975, 7, 0, 0, 0.06906, 0.4588, 26.16, 23.27, 18.72, 15.54, 1.937, 1.965, 2.105, 2.279
1975, 8, 0.1019, 0.1236, 0.8271, 6.493, 25.4, 22.24, 17.48, 14.11, 1.72, 1.749, 1.878, 2.042
1975, 9, 9.274, 13.07, 25.75, 36.76, 24.97, 21.38, 16.4, 12.75, 1.145, 1.149, 1.172, 1.233
1975, 10, 14.94, 18.76, 26.71, 31.66, 16.46, 12.95, 8.059, 4.456, 1.416, 1.44, 1.501, 1.611
1975, 11, 11.89, 12.56, 19.43, 19.95, 11.16, 7.328, 2.349, -1.447, 1.804, 1.823, 1.815, 1.854
1975, 12, 3.49, 2.776, 4.283, 4.995, 9.113, 5.356, 0.378, -3.318, 2.18, 2.219, 2.205, 2.221
1976, 1, 0.03287, 0.09632, 0.1019, 0.3691, 9.191, 5.11, -0.3346, -4.323, 1.805, 1.839, 1.83, 1.849
1976, 2, 49.66, 70.69, 148.9, 118.1, 9.524, 5.689, 0.1186, -3.842, 2.113, 2.153, 2.078, 2.042
1976, 3, 32.49, 33.82, 41.97, 33.79, 10.48, 7.016, 2.137, -1.423, 2.019, 2.048, 1.953, 1.907
1976, 4, 27.18, 27.85, 40.99, 26.19, 12.2, 8.946, 3.953, 0.4449, 2.223, 2.228, 2.156, 2.134
1976, 5, 2.973, 9.193, 45.54, 36.31, 20.18, 17.06, 12.06, 8.811, 2.198, 2.2, 2.187, 2.216
1976, 6, 0, 0.1168, 1.133, 2.624, 22.82, 19.78, 14.84, 11.45, 2.201, 2.224, 2.28, 2.374
1976, 7, 6.578, 6.947, 22.19, 24.93, 26.99, 23.86, 19.07, 15.68, 1.888, 1.895, 1.967, 2.074
1976, 8, 0.1489, 0.2186, 1.756, 6.457, 23.2, 19.97, 15.01, 11.63, 1.687, 1.702, 1.766, 1.869
1976, 9, 83.52, 76.19, 122.7, 163.5, 21.75, 18.32, 13.47, 10.07, 1.203, 1.225, 1.309, 1.422
1976, 10, 4.341, 4.839, 5.122, 8.264, 17.61, 14.06, 9.095, 5.588, 1.38, 1.422, 1.472, 1.551
1976, 11, 2.005, 2.302, 4.342, 4.952, 14.12, 10.21, 5.019, 1.181, 1.653, 1.687, 1.675, 1.694
1976, 12, 8.74, 8.12, 9.991, 6.315, 9.259, 4.831, -0.4829, -4.289, 2.054, 2.101, 2.151, 2.23
1977, 1, 41.87, 57.22, 80.3, 44.55, 7.48, 3.208, -2.54, -6.752, 1.806, 1.846, 1.941, 2.063
1977, 2, 30.76, 30.36, 47.67, 27.99, 11.18, 7.517, 2.555, -0.9405, 1.583, 1.622, 1.703, 1.821
1977, 3, 15.93, 23.6, 22.57, 14.63, 8.713, 5.185, 0.2243, -3.233, 1.868, 1.891, 1.893, 1.953
1977, 4, 0.3452, 0.2627, 0.5533, 2.272, 16.34, 12.79, 7.959, 4.624, 1.776, 1.783, 1.809, 1.881
1977, 5, 22.94, 37.92, 107.8, 84.14, 14.04, 10.71, 5.702, 2.329, 2.397, 2.417, 2.418, 2.467
1977, 6, 20.35, 21.38, 43.21, 22.36, 24.75, 21.57, 16.99, 13.94, 2.023, 2.042, 2.086, 2.162
1977, 7, 0, 0, 0.253, 1.64, 26.75, 23.51, 19.18, 16.1, 1.825, 1.852, 1.972, 2.126
1977, 8, 32.82, 41.19, 56.73, 74.96, 26.73, 23.42, 18.78, 15.48, 1.834, 1.857, 1.934, 2.041
1977, 9, 0, 0, 0.05421, 0.3627, 22.56, 19, 14.27, 10.77, 1.351, 1.378, 1.435, 1.531
1977, 10, 0.2648, 1.691, 5.89, 9.966, 18.72, 15.21, 10.47, 6.995, 0.9902, 1.012, 1.081, 1.188
